,logP,IRSB,plx,EBV,M_B_g,M_B_i,M_V_g,M_V_i,M_I_g,M_I_i,M_J_g,M_J_i,M_H_g,M_H_i,M_K_g,M_K_i
29,0.799056,10.485,10.872222441629962,0.833,0.5507775583700383,0.9380000000000006,-0.9282224416299609,-0.5409999999999986,-2.6552224416299612,-2.267999999999999,-3.9882224416299614,-3.600999999999999,-4.6452224416299615,-4.257999999999999,-4.8422224416299615,-4.454999999999999
30,0.807281,10.943,11.674609409067935,0.319,-1.9216094090679352,-1.1899999999999995,-2.832609409067935,-2.100999999999999,-3.8586094090679355,-3.127,-4.6166094090679355,-3.885,-5.0556094090679355,-4.324,-5.147609409067935,-4.4159999999999995
31,0.807815,10.648,10.592480841288962,0.521,-0.6254808412889616,-0.6809999999999992,-1.7364808412889623,-1.7919999999999998,-3.123480841288962,-3.1789999999999994,-4.096480841288962,-4.151999999999999,-4.631480841288962,-4.686999999999999,-4.768480841288962,-4.824
32,0.821971,9.784,9.559813198538286,0.281,-1.635813198538286,-1.8600000000000003,-2.619813198538286,-2.8440000000000003,-3.7378131985382863,-3.9620000000000006,-4.460813198538286,-4.6850000000000005,-4.920813198538286,-5.1450000000000005,-5.049813198538287,-5.274000000000001
33,0.82586,9.871,10.389031150564474,0.166,-2.1540311505644745,-1.636000000000001,-3.0210311505644736,-2.503,-3.9680311505644736,-3.45,-4.583031150564474,-4.065,-5.002031150564474,-4.484000000000001,-5.105031150564474,-4.587000000000001
34,0.827263,12.541,11.622048975110925,0.978,0.6239510248890756,-0.29499999999999993,-1.0040489751109245,-1.923,-2.928048975110924,-3.8469999999999995,-4.389048975110925,-5.308000000000001,-5.080048975110925,-5.9990000000000006,-5.308048975110925,-6.227
35,0.828997,9.058,8.923040732551554,0.402,-1.1370407325515544,-1.2720000000000002,-2.2330407325515536,-2.3679999999999994,-3.497040732551554,-3.6319999999999997,-4.336040732551554,-4.471,-4.830040732551554,-4.965,-4.969040732551553,-5.103999999999999
36,0.844792,11.447,11.901871648972966,0.329,-1.3678716489729652,-0.9129999999999985,-2.337871648972966,-1.8829999999999991,-3.4828716489729654,-3.0279999999999987,-4.241871648972966,-3.786999999999999,-4.726871648972966,-4.271999999999999,-4.832871648972966,-4.377999999999999
37,0.845893,7.711,7.716269118243055,0.237,-2.405269118243055,-2.4000000000000004,-3.155269118243055,-3.1500000000000004,-4.061269118243056,-4.056000000000001,-4.700269118243055,-4.695,-5.098269118243055,-5.093,-5.195269118243055,-5.19
38,0.859672,11.325,11.259348318024385,0.798,0.2676516819756145,0.20199999999999996,-1.2233483180243852,-1.2889999999999997,-3.060348318024385,-3.1259999999999994,-4.185348318024385,-4.2509999999999994,-4.809348318024385,-4.874999999999999,-4.9873483180243845,-5.052999999999999
39,0.860413,11.706,11.8820689467904,0.73,0.15293105320960088,0.3290000000000006,-1.2810689467903984,-1.1049999999999986,-3.0450689467903995,-2.8689999999999998,-4.167068946790399,-3.9909999999999997,-4.809068946790399,-4.632999999999999,-4.9790689467904,-4.803
40,0.870124,10.626,11.40572101874594,0.757,0.7592789812540595,1.5389999999999997,-0.8307210187459404,-0.051000000000000156,-2.627721018745939,-1.847999999999999,-3.9077210187459395,-3.1279999999999992,-4.585721018745939,-3.805999999999999,-4.7537210187459396,-3.9739999999999993
41,0.870882,13.74,12.40368207514518,0.42,-0.944682075145181,-2.2810000000000006,-1.6076820751451812,-2.944000000000001,-2.9356820751451806,-4.272,-3.8526820751451805,-5.189,-4.39768207514518,-5.734,-4.547682075145181,-5.884
42,0.873787,11.159,9.712609588121726,0.546,-0.5816095881217258,-2.0280000000000005,-1.946609588121726,-3.3930000000000007,-3.401609588121726,-4.848000000000001,-4.433609588121726,-5.880000000000001,-4.983609588121726,-6.430000000000001,-5.122609588121726,-6.569000000000001
43,0.878917,11.328,11.001908401272402,0.352,-1.6259084012724028,-1.952,-2.5879084012724025,-2.9139999999999997,-3.748908401272402,-4.074999999999999,-4.512908401272402,-4.8389999999999995,-4.983908401272402,-5.31,-5.084908401272402,-5.411
44,0.903222,11.207,11.677938427875784,0.425,-1.1539384278757847,-0.6830000000000016,-2.220938427875783,-1.75,-3.4289384278757833,-2.958,-4.290938427875784,-3.820000000000001,-4.792938427875784,-4.322000000000001,-4.905938427875784,-4.4350000000000005
45,0.967448,10.381,10.22261827152559,0.347,-1.3786182715255908,-1.5370000000000008,-2.5856182715255907,-2.7440000000000007,-3.8586182715255903,-4.017,-4.73061827152559,-4.889,-5.26261827152559,-5.421,-5.4096182715255905,-5.5680000000000005
46,0.976878,10.148,10.582928469687204,0.486,-0.9899284696872037,-0.5549999999999997,-2.1939284696872043,-1.7590000000000003,-3.6359284696872036,-3.2009999999999996,-4.532928469687204,-4.098,-5.087928469687204,-4.653,-5.226928469687204,-4.792
47,0.980171,10.183,10.244027307737111,0.281,-1.8720273077371115,-1.811,-2.8930273077371114,-2.832,-4.030027307737111,-3.9689999999999994,-4.772027307737111,-4.710999999999999,-5.241027307737111,-5.18,-5.341027307737112,-5.28
48,0.989194,9.712,9.728963126792776,0.179,-2.3539631267927756,-2.3369999999999997,-3.2999631267927754,-3.2829999999999995,-4.301963126792776,-4.285,-4.9999631267927755,-4.983,-5.453963126792775,-5.436999999999999,-5.566963126792776,-5.55
49,0.991759,12.178,12.077054664486075,0.45,-1.001054664486075,-1.1020000000000003,-2.198054664486076,-2.2990000000000013,-3.570054664486076,-3.671000000000001,-4.450054664486076,-4.551000000000001,-5.009054664486076,-5.110000000000001,-5.129054664486075,-5.23
50,1.006127,11.72,11.344383530323435,0.885,0.49261646967656425,0.1169999999999991,-1.1233835303234354,-1.4990000000000006,-3.0203835303234357,-3.396000000000001,-4.458383530323435,-4.8340000000000005,-5.189383530323435,-5.565,-5.420383530323435,-5.796
51,1.006262,11.936,11.519353307836806,0.432,-1.4293533078368057,-1.846,-2.4493533078368053,-2.8659999999999997,-3.6763533078368056,-4.093,-4.5113533078368055,-4.928,-4.9953533078368055,-5.412,-5.114353307836805,-5.531
52,1.014575,11.08,11.143930014246289,0.757,0.05006998575371213,0.11400000000000077,-1.511930014246289,-1.4480000000000004,-3.3029300142462885,-3.239,-4.565930014246288,-4.502,-5.247930014246289,-5.184,-5.452930014246289,-5.389
53,1.032868,11.529,11.971016997017266,1.157,1.658983002982735,2.101000000000001,-0.2700169970172652,0.1720000000000006,-2.684016997017265,-2.241999999999999,-4.4650169970172655,-4.023,-5.277016997017266,-4.835,-5.581016997017266,-5.139
54,1.036854,11.209,11.32206851288647,0.37,-1.8080685128864715,-1.6950000000000003,-2.908068512886471,-2.795,-4.174068512886471,-4.061,-4.976068512886471,-4.8629999999999995,-5.495068512886471,-5.382,-5.629068512886471,-5.516
55,1.039548,10.839,11.102331520324078,0.271,-2.2993315203240776,-2.0359999999999996,-3.2833315203240785,-3.0200000000000005,-4.366331520324079,-4.103000000000001,-5.111331520324079,-4.848000000000001,-5.572331520324078,-5.309,-5.695331520324078,-5.432
56,1.043507,11.479,11.91595055784764,0.965,0.5910494421523591,1.0280000000000005,-1.097950557847641,-0.6609999999999996,-3.0909505578476413,-2.654,-4.56095055784764,-4.123999999999999,-5.277950557847641,-4.840999999999999,-5.48695055784764,-5.049999999999999
57,1.052579,11.034,11.4064412652367,0.322,-1.8804412652366995,-1.508000000000001,-3.035441265236699,-2.6630000000000003,-4.238441265236699,-3.8660000000000005,-5.134441265236699,-4.7620000000000005,-5.674441265236699,-5.3020000000000005,-5.820441265236699,-5.448
58,1.053181,12.456,12.300634761167014,0.309,-1.491634761167015,-1.6470000000000002,-2.571634761167015,-2.7270000000000003,-3.719634761167015,-3.875,-4.566634761167014,-4.7219999999999995,-5.100634761167014,-5.255999999999999,-5.1946347611670145,-5.35
59,1.065337,10.644,10.80361415548236,0.263,-2.1726141554823606,-2.013,-3.134614155482361,-2.9750000000000005,-4.213614155482361,-4.054,-4.984614155482361,-4.825,-5.44861415548236,-5.289,-5.534614155482361,-5.375
60,1.065819,11.88,12.313232382609929,0.404,-1.3772323826099289,-0.9440000000000008,-2.5192323826099283,-2.0860000000000003,-3.827232382609928,-3.394,-4.785232382609929,-4.352000000000001,-5.324232382609929,-4.891000000000001,-5.4852323826099285,-5.0520000000000005
61,1.084181,11.922,11.996823112034368,0.618,-0.6758231120343687,-0.6010000000000009,-2.046823112034369,-1.9720000000000013,-3.593823112034368,-3.519,-4.821823112034369,-4.747000000000001,-5.445823112034368,-5.371,-5.623823112034368,-5.549
62,1.101875,10.408,10.894666037511602,0.857,-0.05366603751160248,0.43299999999999983,-1.647666037511602,-1.1609999999999996,-3.5426660375116015,-3.055999999999999,-4.963666037511602,-4.476999999999999,-5.657666037511602,-5.170999999999999,-5.903666037511602,-5.417
63,1.110645,12.159,12.066442294122076,0.492,-1.1394422941220768,-1.232000000000001,-2.474442294122076,-2.567,-4.011442294122077,-4.104000000000001,-5.011442294122077,-5.104000000000001,-5.588442294122077,-5.681000000000001,-5.743442294122076,-5.836
64,1.135867,12.78,12.388919204911469,0.416,-1.3199192049114679,-1.7109999999999985,-2.506919204911469,-2.8979999999999997,-3.836919204911469,-4.228,-4.762919204911468,-5.153999999999999,-5.312919204911469,-5.704,-5.467919204911468,-5.858999999999999
65,1.138459,9.8,9.932871345899628,0.435,-1.4968713458996277,-1.3640000000000008,-2.7948713458996277,-2.662000000000001,-4.254871345899628,-4.122000000000001,-5.160871345899627,-5.0280000000000005,-5.728871345899628,-5.596000000000001,-5.8818713458996275,-5.7490000000000006
66,1.150646,13.296,13.05227817705691,0.462,-1.3672781770569102,-1.6109999999999989,-2.6042781770569103,-2.847999999999999,-3.978278177056911,-4.2219999999999995,-4.958278177056911,-5.202,-5.534278177056911,-5.778,-5.699278177056911,-5.943
67,1.167607,10.316,10.297969519686204,1.13,1.065030480313796,1.0469999999999988,-0.8089695196862028,-0.827,-3.069969519686204,-3.088000000000001,-4.835969519686204,-4.854000000000001,-5.660969519686204,-5.679000000000001,-5.925969519686204,-5.944000000000001
68,1.168739,12.613,12.235944074870767,1.02,0.8880559251292333,0.511000000000001,-0.9889440748707674,-1.3659999999999997,-3.051944074870768,-3.4290000000000003,-4.7019440748707675,-5.079,-5.489944074870767,-5.866999999999999,-5.7019440748707675,-6.079
69,1.170032,12.586,12.150423688538693,0.38,-1.688423688538693,-2.1240000000000006,-2.917423688538692,-3.3529999999999998,-4.279423688538692,-4.715,-5.2164236885386925,-5.652,-5.783423688538693,-6.219,-5.913423688538693,-6.349
70,1.177138,12.575,12.645686718721777,0.439,-1.0596867187217764,-0.988999999999999,-2.3976867187217774,-2.327,-3.875686718721777,-3.8049999999999997,-4.991686718721777,-4.920999999999999,-5.6316867187217765,-5.560999999999999,-5.826686718721777,-5.755999999999999
71,1.179252,11.502,11.57941626507364,0.571,-0.6694162650736395,-0.5920000000000005,-2.1474162650736393,-2.0700000000000003,-3.8244162650736397,-3.7470000000000008,-4.94441626507364,-4.867000000000001,-5.618416265073639,-5.541,-5.804416265073639,-5.727
72,1.182801,11.364,11.493701472036832,0.234,-2.183701472036832,-2.0540000000000003,-3.2377014720368322,-3.1080000000000005,-4.3607014720368324,-4.231000000000001,-5.148701472036833,-5.019000000000001,-5.667701472036833,-5.538000000000001,-5.7677014720368325,-5.638000000000001
73,1.214482,10.177,10.119499113710727,0.228,-2.586499113710727,-2.6439999999999992,-3.7424991137107275,-3.8,-4.896499113710727,-4.954,-5.648499113710727,-5.7059999999999995,-6.155499113710727,-6.212999999999999,-6.281499113710727,-6.3389999999999995
74,1.232334,11.843,11.831463238585702,0.493,-1.6144632385857012,-1.6259999999999994,-2.8834632385857013,-2.8949999999999996,-4.383463238585701,-4.395,-5.368463238585702,-5.38,-5.941463238585702,-5.953,-6.111463238585702,-6.123
75,1.233609,8.678,9.319633753826372,0.647,-1.788633753826372,-1.1470000000000011,-3.1536337538263712,-2.5120000000000005,-4.795633753826372,-4.154000000000001,-5.882633753826372,-5.241000000000001,-6.450633753826372,-5.809000000000001,-6.637633753826371,-5.996
76,1.234029,11.548,11.256058008028884,0.534,-1.2230580080288842,-1.5150000000000006,-2.6220580080288833,-2.9139999999999997,-4.238058008028884,-4.53,-5.301058008028884,-5.593,-5.909058008028883,-6.201,-6.0960580080288835,-6.388
77,1.251989,12.684,12.531832906000954,0.649,-0.30883290600095314,-0.4609999999999985,-1.954832906000954,-2.1069999999999993,-3.758832906000954,-3.9109999999999996,-5.074832906000954,-5.226999999999999,-5.805832906000954,-5.957999999999999,-5.994832906000954,-6.146999999999999
78,1.276818,11.255,11.096359923379694,0.242,-2.4543599233796947,-2.6130000000000013,-3.633359923379694,-3.7920000000000007,-4.816359923379694,-4.9750000000000005,-5.633359923379694,-5.792000000000001,-6.151359923379694,-6.3100000000000005,-6.290359923379694,-6.449000000000001
79,1.303917,12.263,12.23020280080577,0.753,-0.46120280080577025,-0.4939999999999998,-2.168202800805771,-2.2010000000000005,-4.069202800805771,-4.102,-5.4142028008057705,-5.447,-6.14720280080577,-6.18,-6.32520280080577,-6.358
80,1.307927,10.258,10.476692647650534,0.718,-1.0146926476505342,-0.7959999999999994,-2.4586926476505333,-2.2399999999999984,-4.221692647650534,-4.002999999999999,-5.477692647650534,-5.2589999999999995,-6.111692647650534,-5.892999999999999,-6.333692647650534,-6.114999999999999
81,1.309564,10.605,10.793705173405876,0.3,-2.5777051734058762,-2.389000000000001,-3.7037051734058757,-3.5150000000000006,-4.9267051734058755,-4.738,-5.8147051734058754,-5.626,-6.333705173405876,-6.1450000000000005,-6.485705173405876,-6.297000000000001
82,1.339443,11.21,10.967760656251569,0.435,-1.5437606562515693,-1.7860000000000014,-2.9377606562515695,-3.1800000000000015,-4.470760656251569,-4.713000000000001,-5.563760656251569,-5.806000000000001,-6.202760656251569,-6.445000000000001,-6.399760656251569,-6.642000000000001
83,1.361977,12.68,12.483841530446382,0.372,-2.0568415304463823,-2.253,-3.217841530446382,-3.4139999999999997,-4.520841530446382,-4.717,-5.4748415304463816,-5.670999999999999,-6.0278415304463815,-6.223999999999999,-6.193841530446382,-6.39
84,1.364945,13.249,12.96163567071646,0.455,-2.1686356707164602,-2.4560000000000013,-3.327635670716459,-3.615,-4.65663567071646,-4.944000000000001,-5.588635670716459,-5.876,-6.131635670716459,-6.4190000000000005,-6.29163567071646,-6.579000000000001
85,1.370016,11.976,11.74250303919865,0.344,-2.46150303919865,-2.6950000000000003,-3.6145030391986506,-3.8480000000000008,-4.89850303919865,-5.132000000000001,-5.811503039198651,-6.045000000000001,-6.352503039198651,-6.586000000000001,-6.511503039198651,-6.745000000000001
86,1.414321,12.192,11.818070902897958,0.421,-2.116070902897958,-2.49,-3.311070902897958,-3.6850000000000005,-4.711070902897958,-5.085,-5.638070902897958,-6.0120000000000005,-6.218070902897958,-6.5920000000000005,-6.387070902897958,-6.761
87,1.449158,11.812,11.955188031554531,0.545,-2.2111880315545314,-2.0679999999999996,-3.5841880315545307,-3.440999999999999,-5.1211880315545315,-4.978,-6.255188031554531,-6.111999999999999,-6.832188031554531,-6.688999999999999,-7.027188031554531,-6.8839999999999995
88,1.457818,12.204,11.484080204997342,0.869,0.2629197950026576,-0.45700000000000074,-1.6740802049973418,-2.394,-3.826080204997342,-4.546,-5.459080204997342,-6.179,-6.266080204997342,-6.986000000000001,-6.537080204997342,-7.257000000000001
89,1.478624,12.544,12.415260552745409,0.518,-2.334260552745409,-2.463000000000001,-3.7102605527454084,-3.8390000000000004,-5.275260552745409,-5.404000000000001,-6.313260552745408,-6.442,-6.932260552745409,-7.061000000000001,-7.116260552745408,-7.245
90,1.531857,12.974,12.70949627515709,0.791,-1.2414962751570897,-1.5060000000000002,-2.85349627515709,-3.1180000000000003,-4.713496275157089,-4.978,-6.192496275157089,-6.457,-6.9534962751570895,-7.218,-7.2194962751570895,-7.484
91,1.58897,10.752,11.122760074756943,0.263,-3.653760074756943,-3.2830000000000004,-4.8307600747569435,-4.460000000000001,-6.065760074756943,-5.695,-6.929760074756944,-6.559000000000001,-7.452760074756943,-7.082000000000001,-7.600760074756943,-7.23
92,1.61742,11.307,11.05487314490565,0.457,-2.6128731449056506,-2.865,-4.044873144905651,-4.297000000000001,-5.565873144905651,-5.8180000000000005,-6.61487314490565,-6.867,-7.227873144905651,-7.48,-7.4078731449056505,-7.66
93,1.652569,11.418,11.8154976151152,0.462,-3.115497615115201,-2.718,-4.6024976151152,-4.204999999999999,-6.1454976151152,-5.747999999999999,-7.1474976151152,-6.749999999999999,-7.7254976151152,-7.327999999999999,-7.8854976151152005,-7.4879999999999995
94,1.837426,12.999,12.882775885631403,0.787,-2.0327758856314038,-2.149000000000001,-3.921775885631403,-4.038,-5.941775885631404,-6.058000000000001,-7.346775885631404,-7.463000000000001,-8.050775885631403,-8.167000000000002,-8.282775885631404,-8.399000000000001
