,error_pair,rms,mu,EBV,A_B,A_V,A_I,A_J,A_H,A_K
26,MWCyg,0.04103777993057147,0.22,-0.03581673390457472,-0.151551346170427,-0.11568805051177633,-0.07033833471116001,-0.03378091074943869,-0.020939537142631515,-0.013766878010901384
27,FMAql,0.10236517208021487,-0.54,-0.21266750713513508,-0.8998600229408971,-0.6869160480464863,-0.4176449572122637,-0.20057948602957398,-0.12433180469641401,-0.08174300971753187
28,CRCep,0.047250649112856674,0.06,0.09794018056024352,0.41441428600455843,0.3163467832095866,0.19233884419142863,0.09237326069719927,0.057258767760935164,0.0376452672019408
29,RSCas,0.05307115266263914,0.44,0.10261484947929363,0.43419421260173513,0.3314459638181184,0.201519146001416,0.09678222143489057,0.05999171945107943,0.03944206969435609
30,RRLac,0.039766159739486884,0.42,0.008609533084548383,0.03642951734064957,0.02780879186309128,0.0169077454527595,0.008120167224022652,0.005033391327219521,0.0033092462317078617
31,XXSgr,0.0257982766722907,0.04,0.04312412839911888,0.18247112449519173,0.139290934729154,0.08468888831532563,0.04067295294091296,0.02521165918597687,0.016575621232769323
32,BBSgr,0.008354805964591283,-0.2,-0.07473555053942109,-0.31622853499745246,-0.2413958282423301,-0.14676866357133672,-0.07048758184676039,-0.04369264491186175,-0.028726103560837282
33,VCar,0.01579947443543477,-0.1,-0.04800792977491586,-0.20313595325660147,-0.15506561317297823,-0.09427989280917076,-0.045279159046509636,-0.028066875984309056,-0.018452807967584407
34,V0495Cyg,0.029671547001746745,0.74,0.03896688116406267,0.16488056426949838,0.12586302615992243,0.07652471990523284,0.03675200363869734,0.022781207734945956,0.014977700113030767
35,USgr,0.01517855909412759,-0.22,-0.07571334935652706,-0.3203658951322729,-0.2445541184215824,-0.1486889040003221,-0.07140980257910205,-0.04426429543430641,-0.029101940092168304
36,TWCMa,0.011850891759481261,-0.2,-0.007244728233539371,-0.03065461857457514,-0.023400472194332167,-0.014227487094153958,-0.006832937880744992,-0.004235485467174122,-0.0027846561911255277
37,xSgr,0.02409909087933531,0.2,-0.06740073935936626,-0.28519274845128645,-0.21770438813075302,-0.13236426798349785,-0.06356968133417988,-0.0394044942516663,-0.02590682218755961
38,V0600Aql,0.13193643093208315,-0.52,-0.23890545849981137,-1.0108806665502519,-0.7716646309543908,-0.46917209562026957,-0.22532607223868206,-0.1396712982027447,-0.0918280910835725
39,V0459Cyg,0.09279809266607647,-0.26,-0.08537487988683597,-0.36124672926516904,-0.2757608620344802,-0.16766260411696396,-0.0805221717140682,-0.04991271602824091,-0.03281554258210314
40,CKSct,0.030296904389394596,-0.12,0.1053778766485124,0.44588540946285055,0.3403705415746951,0.2069452892774146,0.09938819813981095,0.06160706802501981,0.040504094447388714
41,TZMon,0.1738009157464804,0.1,0.2769367023099314,1.1718022684840128,0.8945055484610784,0.5438593734643357,0.26119562015063486,0.1619055042714552,0.10644616026686833
42,V1344Aql,0.046128879992238865,-0.02,-0.023784634739065114,-0.10063992497140621,-0.07682437020718032,-0.046709217085965635,-0.02243271610049665,-0.013905211007499637,-0.009142100054654458
43,RSOri,0.030334945885207045,-0.06,-0.046089269942431725,-0.19501752790741136,-0.14886834191405446,-0.09051195188374513,-0.0434695558389039,-0.026945169886443857,-0.01771533268777248
44,BKAur,0.021143552633894353,-0.16,-0.019902954293095115,-0.08421537050037337,-0.06428654236669722,-0.03908621775895191,-0.018771670371075588,-0.011635864168372197,-0.007650098541636969
45,GHLup,0.038763046120195155,-0.16,0.001598881206014273,0.0067653460470081936,0.005164386295426102,0.00313994686761907,0.0015080007982644216,0.0009347539194721244,0.0006145619691557061
46,FNAql,0.07082780940170433,-0.44,-0.10631788193100282,-0.44986285381465224,-0.3434067586371391,-0.2087913092513806,-0.10027477352204461,-0.062156623313322175,-0.04086540427781955
47,YZSgr,0.016079908896266863,-0.22,-0.04341241084398367,-0.18369093400414813,-0.14022208702606725,-0.0852550289118489,-0.04094484941161164,-0.025380197751718174,-0.016686428356102005
48,SNor,0.039542807732126185,0.02,0.014228657298260457,0.060205717626129474,0.045958563073381274,0.027942806348615817,0.01341990041742733,0.00831849991628201,0.005469069005732371
49,DDCas,0.037146576675474115,-0.44,-0.054019891014830006,-0.2285743648510502,-0.1744842479779009,-0.10608642277056377,-0.05094940040954706,-0.031581648884000064,-0.02076362550937021
50,BZCyg,0.03978856712925441,0.38,0.12522334215781442,0.5298575276723602,0.40447139516974057,0.24591860826320228,0.11810564738956424,0.07320932252572304,0.04813209602519913
51,SYAur,0.03012980200842854,-0.38,-0.1064179874951916,-0.4502864304884042,-0.3437300996094689,-0.2089879005625571,-0.1003691890859649,-0.06221514802931386,-0.040903881853526794
52,YSct,0.013156702924263006,0.0,0.011906222311547206,0.05037879846684969,0.038457098066297477,0.023381915624308865,0.011229472635358862,0.006960734749999842,0.004576394669889399
53,TWNor,0.04882722086080326,0.36,0.1451135533114503,0.6140189781267397,0.4687167771959844,0.28497980053515853,0.13686529894122743,0.08483773667247319,0.055777296486322146
54,ZLac,0.03435631830780688,-0.22,-0.108175696691866,-0.4577238254122926,-0.34940750031472717,-0.21243976019135413,-0.10202699009190032,-0.06324275755696561,-0.04157949253745253
55,XXCen,0.01567090951612572,-0.02,-0.06262784137682115,-0.26499718521774335,-0.2022879276471323,-0.12299106000945645,-0.059068074872962624,-0.03661411490413095,-0.024072263390008744
56,TYSct,0.011216071540536814,0.28,0.04315427316726389,0.1825986760526437,0.13938830233026236,0.08474808781679952,0.040701384280436605,0.025229282721777487,0.016587207977301222
57,V340Nor,0.07612877235676217,0.28,0.09012346765685565,0.3813394286964533,0.2910988005316438,0.1769880707232394,0.08500084975523997,0.052688882896227515,0.034640757263265605
58,AAGem,0.0590115189809155,-0.12,0.1347081623363401,0.5699906472937558,0.4351073643463785,0.2645452775225981,0.1270513503891425,0.0787544329466945,0.05177777635721904
59,RXAur,0.017019438159796254,0.04,0.050350626879641834,0.2130486075158285,0.16263252482124313,0.09888057509131581,0.04748869724780299,0.029436486992645006,0.019353270453727933
60,UUMus,0.030412463949692003,-0.08,0.061029032139763136,0.25823214369297975,0.19712377381143492,0.11985125447735244,0.057560141952938994,0.03567940305986972,0.023457729083560756
61,RYCas,0.07351617873472573,0.44,0.18639052110932045,0.7886742119698676,0.6020413831831051,0.36604116097532785,0.17579608388946666,0.10896949035614201,0.0716429245987895
62,UNor,0.018542100090749254,0.4,0.052611291491943483,0.22261415768986045,0.16993447151897745,0.10332015868353829,0.04962086568354141,0.030758139344934918,0.020222202110758317
63,ZSct,0.0535238601598694,-0.28,-0.041241065616409674,-0.17450332094271426,-0.13320864194100324,-0.08099085430012998,-0.038896923446772945,-0.024110764191321587,-0.015851828390979386
64,BNPup,0.010190674025957094,-0.46,-0.02557845330044001,-0.10823010945015182,-0.08261840416042124,-0.05023198972953611,-0.024124574014842998,-0.014953931153036244,-0.009831590095090126
65,TTAql,0.05727215561877945,-0.42,-0.12076201354208975,-0.5109803079006444,-0.3900613037409499,-0.23715727267449754,-0.11389790069235735,-0.07060109597711192,-0.04641729514517304
66,LSPup,0.02684010128806956,-0.18,-0.0024339391876623795,-0.010298726884755827,-0.007861623576149486,-0.004779867134298887,-0.0022955940842356495,-0.0014229538672830568,-0.0009355332055617888
67,TXCyg,0.034490342062833815,0.78,0.23714498181945498,1.00343156157266,0.7659782912768396,0.46571480109631846,0.22366566105283714,0.13864207072110796,0.09115141666194392
68,UZSct,0.09581604694711585,0.58,0.2306896063358976,0.9761169312890836,0.7451274284649493,0.4530374765066892,0.21757720911176517,0.1348680645521558,0.08867016398732896
69,RWCas,0.007406717344686057,-0.02,0.06790932950498889,0.28734474593445947,0.2193471343011141,0.1333630576550774,0.06404936321592532,0.039701831308501655,0.026102308981832578
70,VWCen,0.06902284393745992,0.08,0.22159717454216335,0.9376441246402558,0.7157588737711876,0.4351813952528821,0.20900159114118677,0.12955235615258495,0.08517530597877132
71,SZCyg,0.02821340883530721,-0.3,0.03494737444884206,0.14787282550538539,0.11288001946975984,0.06863105183761399,0.032960965685169874,0.020431283524026532,0.013432722316901421
72,SVMon,0.0328749790553543,-0.12,0.09089292167005998,0.3845952194625248,0.29358413699429375,0.1784991552925306,0.08572656800233376,0.05313872879596716,0.034936512302320956
73,XCyg,0.03376308317404843,-0.16,-0.07318035056610027,-0.3096480173503401,-0.23637253232850386,-0.14371449965573035,-0.06902077943992312,-0.0427834283514592,-0.02812833134709196
74,CDCyg,0.05585189203638713,-0.26,-0.09239461062159769,-0.39094931592316634,-0.29843459230776054,-0.18144823212311842,-0.08714290095386606,-0.05401666120770466,-0.0355137164846235
75,YOph,0.08281500434346191,0.2,-0.2057361192471767,-0.8705312413705787,-0.6645276651683807,-0.4040328204223755,-0.19404207822916714,-0.12027950739547691,-0.0790787921550373
76,SZAql,0.0515091626879679,-0.34,-0.06731022824124148,-0.28480976875716507,-0.21741203721920999,-0.1321865186292797,-0.06348431486800932,-0.03935157873667701,-0.02587203242908599
77,CPCep,0.0410557690267203,0.1,0.22309676019330058,0.9439893214059127,0.7206025354243608,0.4381263415380114,0.21041594034391334,0.1304290589118093,0.08575170171549894
78,VYCar,0.04393637462937802,-0.22,-0.023131757013222037,-0.0978774034500464,-0.07471557515270719,-0.04542706969284597,-0.021816947944590496,-0.01352351910264,-0.008891153443172154
79,VXCyg,0.023519697482696,0.2,0.10561618921842303,0.4468937814399134,0.34114029117550637,0.20741329703470787,0.09961296502324785,0.061746392702766655,0.04059569464988526
80,RYSco,0.051466457953719756,0.0,-0.05123962942791709,-0.2168102439983456,-0.1655040030521722,-0.1006264338557207,-0.04832716889123428,-0.029956224552443168,-0.019694976363208494
81,RZVel,0.032142915057991814,0.1,0.020800558774956627,0.08801340434447398,0.0671858048431099,0.040848969344610825,0.01961825501418809,0.012160630676602892,0.007995110776330078
82,WZSgr,0.027504682667161592,-0.08,0.11178622055025829,0.4730010350143079,0.36106949237733427,0.21953025136541923,0.10543229177418159,0.0653535781202975,0.04296726959290278
83,WZCar,0.03179944459540806,-0.26,0.023182011037481482,0.09809004330289539,0.07487789565106519,0.04552576055584764,0.021864345530111032,0.013552899112842798,0.008910469582476757
84,VZPup,0.02005483764987799,-0.28,-0.12193265465314633,-0.515933641633858,-0.39384247452966265,-0.2394562245140349,-0.11500200256266148,-0.07128548788986894,-0.046867254469029854
85,SWVel,0.01898556317336234,-0.06,-0.005703104094526575,-0.024131544355170294,-0.018421026225320835,-0.011199983944995068,-0.005378939657793683,-0.0033342057467830714,-0.0021921021208131794
86,XPup,0.04428061285743545,-0.44,-0.08341576000929872,-0.3529571053273457,-0.26943290483003485,-0.1638152061366612,-0.07867440821037017,-0.04876735577423631,-0.032062515674774146
87,RYVel,0.01800903971446812,0.26,-0.04924866321854778,-0.20838586867664124,-0.15907318219590932,-0.09671649477511288,-0.04644936920120552,-0.02879224597745959,-0.01892970868131321
88,KQSco,0.044813404973758374,0.06,0.2189167206449265,0.9263023200648776,0.7071010076831126,0.4299174126713325,0.20647349424346886,0.12798528239064338,0.0841450199142904
89,AQPup,0.04343142645519008,0.02,-0.1166303361062485,-0.49349794116636925,-0.37671598562318265,-0.22904331925889504,-0.11000106780196932,-0.06818559339779606,-0.04482920228915873
90,KNCen,0.08093504213723864,0.78,0.17919199331916402,0.7582150813313787,0.5787901384208998,0.3519044041599071,0.16900672041890272,0.10476101505418287,0.06887602647208707
91,UCar,0.013158358066941487,0.24,-0.05962959132906646,-0.2523106897906789,-0.19260357999288466,-0.11710297663567387,-0.05624024535792231,-0.03486124797871212,-0.022919826019153273
92,RSPup,0.006773016670770012,-0.06,-0.08003250371061384,-0.33864153295072036,-0.2585049869852827,-0.15717103208705188,-0.07548345619970254,-0.04678940264433617,-0.03076209345124864
93,SVVul,0.05083794421392063,0.04,-0.21569665448923692,-0.9126772541403082,-0.6967001940002352,-0.423593717952143,-0.20343645664806867,-0.12610273511404257,-0.082907323086028
94,SVul,0.05125867552250855,0.06,-0.18623721753010947,-0.7880255385351522,-0.6015462126222536,-0.36574009727433016,-0.17565149408569802,-0.1088798644846279,-0.07158399930204817
