,error_pair,rms,mu,EBV,A_B,A_V,A_I,A_J,A_H,A_K
64,BNPup,0.0013601966395308388,-0.22,-0.04332336087389008,-0.1833141368656911,-0.13993445562266496,-0.08508014901858028,-0.04086086104181816,-0.025328136467702354,-0.01665220021909713
65,TTAql,0.014478303310752956,0.68,0.21390398265119645,0.9050919217920076,0.6909098639633645,0.42007319728972564,0.2017456802773024,0.12505468537736897,0.08221827381164037
66,LSPup,0.00507855795112002,-0.4,-0.09791069800912731,-0.4142895364860204,-0.31625155456948123,-0.1922809451782446,-0.0923454539342885,-0.0572415313770761,-0.03763393499376826
67,TXCyg,0.014477642374316466,-0.28,-0.08055951684452624,-0.34087148362424385,-0.26020723940781976,-0.1582060015599544,-0.07598051390708335,-0.047097510332815375,-0.03096466148953055
68,UZSct,0.03128391385663038,-0.82,-0.23718609007066171,-1.003605502915991,-0.7661110709282374,-0.46579553112436833,-0.2237044327110453,-0.13866610383801095,-0.09116721744046025
69,RWCas,0.003258951251124082,0.34,0.047912023953769284,0.20273014695558397,0.15475583737067478,0.09409154912137027,0.045188704512237034,0.028010806564092137,0.0184159446471103
70,VWCen,0.015672278351570354,-1.0,-0.024141460706445902,-0.10214976268718455,-0.07797691808182027,-0.04740996619374672,-0.022769260079891513,-0.014113822172809468,-0.00927925325173661
71,SZCyg,0.008813165094187126,0.12,0.17253764015943399,0.730058516806613,0.5572965777149718,0.33883631925070284,0.16273060069277173,0.10087068056640988,0.06631829274808164
72,SVMon,0.009384598947133201,-0.92,-0.07767104098992321,-0.32864947574066206,-0.25087746239745196,-0.1525334971376508,-0.07325621902005597,-0.045408820693938805,-0.029854418025296783
73,XCyg,0.015070560566980013,-0.08,-0.012251651047380694,-0.05184041107678193,-0.039572832883039644,-0.024060282392888103,-0.011555267201847574,-0.007162682751830175,-0.004709167113081717
74,CDCyg,0.015514772183903734,0.64,0.13103983131959865,0.5544688382626177,0.42325865516230365,0.2573412623386806,0.12359152730739265,0.07660981658437696,0.05036777996431413
75,YOph,0.02108459128764092,0.94,0.13672000111733887,0.578503340727796,0.4416056036090045,0.2684962069942748,0.1289488362538293,0.07993061425322982,0.05255106682947154
76,SZAql,0.013189049988133394,0.94,0.19527605882214305,0.8262715876941339,0.6307416699955221,0.3834909353572774,0.18417656763869242,0.11416424226918949,0.07505825872946713
77,CPCep,0.014683263904406498,-0.38,0.06216317153894104,0.26303102773272125,0.20078704407077957,0.12207852279503398,0.058629816868667625,0.0363424549768111,0.02389365824442277
78,VYCar,0.014404466448786483,-0.44,-0.0643565947786995,-0.2723120594871112,-0.20787180113519937,-0.12638605509020123,-0.06069856593147821,-0.037624796005471084,-0.024736744335088726
79,VXCyg,0.007785349987417464,0.34,0.10984176737963748,0.46477347031346006,0.3547889086362291,0.21571165645082727,0.10359836132177887,0.06421679246315747,0.04221988012771126
80,RYSco,0.01832064520988729,0.24,0.04885020525778644,0.20669987350727176,0.1577861629826502,0.09593398709345131,0.04607355959093385,0.028559295499859683,0.018776553394935374
81,RZVel,0.005504149906137841,-0.68,-0.10708838153753086,-0.45312306879975434,-0.3458954723662247,-0.21030444719866462,-0.1010014779309376,-0.06260708049828667,-0.04116156121158074
82,WZSgr,0.005012792418459618,-0.26,0.035170430462889146,0.14881664241762285,0.11360049039513194,0.06906909816024022,0.033171343195378525,0.02056168876151888,0.0135184583570207
