RA_d,DEC_d,logP,modulus_IRSB,EBV,B_mag,V_mag,I_mag,K_mag,J_mag,H_mag,Source,Gmagmean,BPmagmean,RPmagmean,M_B,M_V,M_I,M_K,M_J,M_H
303.09512298007,32.87162271156,0.774852,10.267,0.635,10.841,9.483,7.874,6.041,6.799,6.209,2055014277739104896,8.945678,9.8022,8.039602,-2.1128755000000012,-2.835049999999999,-3.6400384,-4.470074949999999,-4.066906599999999,-4.42924005
242.83527688702,-54.35411799908,0.578244,10.706,0.263,9.756,8.869,7.865,6.619,7.136,6.733,5932565900081831040,8.601915,9.098445,7.93864,-2.062831899999999,-2.686489999999999,-3.357489919999999,-4.18808931,-3.818051079999999,-4.12675769
340.36052531544,56.43278660668,0.807281,10.772,0.319,9.753,8.842,7.816,6.527,7.058,6.619,2006989121667184384,8.574277,9.116662,7.889063,-2.368784700000001,-2.9603699999999993,-3.5824649600000003,-4.36761403,-4.0148680400000005,-4.339496970000001
354.3169203050799,62.42899232658,0.799056,10.317,0.833,11.423,9.944,8.217,6.03,6.884,6.227,2015820463470505600,9.279619,10.257002,8.301531,-2.4186729000000007,-3.0635899999999996,-3.7358787199999997,-4.60718021,-4.21865228,-4.57699679
123.26756546301,-34.57852679107,1.61742,11.288,0.457,8.442,7.01,5.489,3.647,4.44,3.827,5546476927338700416,6.53749,7.396177,5.637083,-4.7797041,-5.754110000000001,-6.69647488,-7.8166570900000005,-7.27902412,-7.728175910000001
97.1420341022863,30.4930359991278,0.571489,7.999,0.059,6.036,5.443,4.767,3.937,4.302,3.989,3435571660360952704,5.267797,5.591469,4.785621,-2.2126466999999996,-2.74657,-3.347866559999999,-4.08467783,-3.7526464400000004,-4.04449317
280.48492440502,-4.11066011245,1.29448,11.834,0.911,11.126,9.487,7.371,5.072,5.777,5.315,4258436301367796480,8.625607,9.81225,7.56462,-4.5627143000000006,-5.289529999999999,-6.252058239999999,-7.11216107,-6.91621876,-7.051597929999999
58.59069294672,58.6533329467,1.215224,11.329,0.633,10.034,8.671,7.042,5.139,5.93,5.291,473043922712140928,8.142854,8.960486,7.200003,-3.9734128999999996,-4.702590000000001,-5.530110720000001,-6.4333062100000005,-5.996020280000001,-6.40807079
24.30841451588,57.75922027157,1.170032,12.707,0.38,10.462,9.233,7.871,6.237,6.934,6.367,508915489570374272,8.742037,9.418251,7.93124,-3.852894000000001,-4.7014,-5.5822592,-6.616060600000001,-6.131400800000001,-6.5621594000000005
75.34661743047,39.96039530757,1.065337,10.796,0.263,8.631,7.669,6.59,5.269,5.819,5.355,200708636406382720,7.343334,7.886392,6.612993,-3.277831899999999,-3.97649,-4.722489919999999,-5.628089309999999,-5.225051079999999,-5.594757689999999
61.24359429263,58.65978300811,0.898288,9.506,0.532,8.888,7.669,6.223,4.599,5.266,4.724,470361114339849472,7.168684,7.908594,6.319619,-2.8690516000000006,-3.5553600000000003,-4.327762880000001,-5.11148484,-4.7417611200000005,-5.09302316
109.15681547013,-11.48730532182,0.670099,10.713,0.239,8.953,8.108,7.119,5.936,6.455,6.045,3046774762417915136,7.877729,8.350953,7.19662,-2.7712807,-3.3769699999999983,-4.06335776,-4.8688644299999995,-4.483415239999999,-4.807726569999999
358.02930081425,58.74172448295,1.084181,12.069,0.618,11.321,9.95,8.403,6.373,7.175,6.551,1999252442448732288,9.330531,10.172781,8.418761,-3.3629434000000007,-4.115140000000002,-4.87965312,-5.93354066,-5.476872880000001,-5.8793013400000005
267.71810332336,-33.70567008012,1.307927,10.337,0.718,9.462,8.018,6.255,4.143,4.999,4.365,4041690364529590144,7.448688,8.437653,6.449693,-3.9130734,-4.638139999999999,-5.49203712,-6.46997766,-6.01518888,-6.39176434
155.17096495336,-55.32139671669,1.449158,11.847,0.545,9.744,8.371,6.834,4.928,5.7,5.123,5355057622307185280,7.866588,8.706035,6.942901,-4.4090585,-5.236349999999999,-6.0832928,-7.1284816499999994,-6.6610222,-7.0426233499999995
110.38690497372,-16.68722188919,0.628882,10.942,0.443,10.698,9.698,8.469,7.027,7.629,7.177,3027940437469882880,9.286951,9.892735,8.550377,-2.1184659000000003,-2.6748899999999995,-3.342981120000001,-4.08527591,-3.7308198800000003,-4.023991090000001
90.65244653553,22.23415242364,0.742669,11.655,0.563,11.055,10.006,8.662,7.01,7.703,7.164,3423693395726613504,9.627711,10.322967,8.804928,-2.982221899999999,-3.4674899999999997,-4.098641919999999,-4.86140031,-4.482999079999999,-4.82014669
129.25542862496,-44.11467951346,1.309564,10.684,0.3,8.216,7.09,5.867,4.308,4.979,4.46,5523162573544337408,6.749806,7.422944,5.964455,-3.7373899999999995,-4.563,-5.406152,-6.491311,-5.987947999999999,-6.399388999999999
183.1959162535299,-70.15178866574,0.98498,9.67,0.14,6.963,6.136,5.188,4.017,4.553,4.127,5855852527008107008,5.846876,6.289113,5.211192,-3.2993819999999996,-3.9862,-4.7569376000000005,-5.7068118,-5.2490424,-5.6248482
280.93129653335,-7.73109921464,0.564814,10.346,0.325,9.165,8.218,7.095,5.845,6.381,5.937,4251917636212432384,7.872897,8.413174,7.169219,-2.5561725000000006,-3.1777499999999996,-3.8892480000000003,-4.62592025,-4.271527,-4.59900475
299.00526206144,16.63479501567,0.923352,9.342,0.099,6.424,5.617,4.775,3.765,4.227,3.846,1820309639468685824,5.41014,5.851563,4.784532,-3.3368987,-4.044770000000001,-4.76142016,-5.615052630000001,-5.20837284,-5.5538783700000005
86.26316806988,13.57636214328,0.605768,10.137,0.368,9.066,8.219,7.138,5.788,6.352,5.898,3346584610911570176,7.944657,8.475571,7.230175,-2.6281184,-3.1066400000000005,-3.7216931200000003,-4.490448160000001,-4.1320828800000005,-4.45414384
42.99479662967,68.88850191501,0.289884,8.196,0.259,6.673,5.971,5.094,4.13,4.53,4.205,541716257882226560,5.723415,6.127977,5.120506,-2.6189067,-3.0615699999999997,-3.6106345599999994,-4.16555183,-3.910278439999999,-4.142419169999999
184.5705548025,-63.2801567103,1.108822,10.527,0.952,11.516,9.802,7.657,4.736,6.012,5.027,6054171091399658880,9.364939,10.054352,7.762898,-3.0391975999999987,-3.7999599999999996,-4.739575679999999,-6.15692024,-5.4128883199999995,-6.056567759999999
296.20305894013,29.26469320418,0.584952,9.17,0.098,7.455,6.886,6.196,5.324,5.703,5.387,2031776202613700480,6.767588,7.086713,6.254854,-2.1296673999999998,-2.6005399999999996,-3.16645632,-3.8836682600000003,-3.55942968,-3.840293740000001
95.35960378731,6.47016067825,1.182801,11.481,0.234,9.31,8.256,7.133,5.726,6.345,5.826,3324153371114695680,8.04144,8.649963,7.27635,-3.1611241999999997,-3.9808199999999996,-4.80753856,-5.84494258,-5.35669944,-5.79180342
72.44975671152,42.28971719624,1.046469,12.383,0.408,10.023,8.977,7.734,6.237,6.891,6.355,203496585576324224,8.633633,9.256299,7.856826,-4.0863704,-4.723839999999999,-5.450246719999999,-6.302822959999999,-5.876809279999999,-6.266529039999998
297.09919321614,27.28650798735,1.837426,12.908,0.787,10.85,8.961,6.941,4.6,5.536,4.832,2027971514401523456,8.094279,9.232691,7.043314,-5.3880330999999995,-6.489009999999999,-7.512542079999999,-8.610499189999999,-8.114266919999999,-8.53610381
346.79201073507,58.55420288098,0.735675,11.655,0.467,10.808,9.703,8.387,6.859,7.5,6.982,2010285491880986112,9.310958,9.967616,8.513202,-2.8230170999999995,-3.4604099999999995,-4.185113279999999,-4.975500789999999,-4.5954557199999995,-4.946022209999999
130.91120980353,-47.40311138874,1.370016,12.036,0.344,9.281,8.128,6.844,5.231,5.931,5.39,5329352998951582976,7.655149,8.318543,6.852056,-4.210567199999999,-5.019119999999999,-5.86756096,-6.9372232799999995,-6.4294470399999994,-6.84711272
78.1634483007,42.83178095762,1.006262,12.106,0.432,10.09,9.07,7.843,6.405,7.008,6.524,201509768065410944,8.722814,9.336517,7.967868,-3.8439216,-4.43136,-5.11137888,-5.86704784,-5.50544512,-5.83456016
3.7908870275,58.42428946801,0.609712,11.472,0.442,10.85,9.873,8.752,7.343,7.909,7.448,422923956470923008,9.541354,10.120504,8.813682,-2.4922345999999997,-3.0266599999999997,-3.588017279999999,-4.29889154,-3.97987672,-4.282406459999999
286.16423259618,1.30615522959,1.234029,11.65,0.534,10.033,8.634,7.018,5.16,5.955,5.347,4267549637851481344,7.99431,8.818839,7.115047,-3.876514200000001,-4.74082,-5.68069056,-6.69525358,-6.19864744,-6.61519242
308.2262244927999,46.60127359267,1.179252,11.621,0.571,10.91,9.432,7.755,5.775,6.635,5.961,2071433765909167232,8.884593,9.807118,7.960639,-3.1270723,-4.033329999999999,-4.987352640000001,-6.06547527,-5.52454436,-5.99382373
69.31157356521,18.54303526135,0.498166,8.731,0.295,7.365,6.526,5.517,4.314,4.827,4.414,3409635486731094400,6.265192,6.750618,5.588162,-2.614233499999999,-3.15785,-3.7933328,-4.5303891499999995,-4.1822322,-4.48946585
96.30416531705,7.08571071747,1.431915,10.585,0.179,7.307,6.128,4.98,3.525,4.183,3.652,3324535073449061504,5.914979,6.527228,5.141083,-4.035402700000001,-5.035170000000001,-5.956527360000001,-7.128802230000002,-6.570825640000001,-7.0376487700000006
287.05729047077,1.2986522174,1.138459,9.93,0.435,8.436,7.138,5.678,4.051,4.772,4.204,4267397694768545920,6.711267,7.481482,5.855424,-3.3346155,-4.19705,-5.1062704,-6.046200949999999,-5.5682746,-5.9803140500000005
129.42011104802,-47.36196790012,0.666501,10.003,0.289,8.944,8.032,6.959,5.641,6.225,5.768,5521459979795304320,7.716266,8.24656,7.028826,-2.281845699999999,-2.90447,-3.611549760000001,-4.47308293,-4.05057324,-4.403958070000001
312.86765990349,28.25050545082,0.646934,8.69,0.06,6.39,5.753,5.054,4.205,4.601,4.27,1857884212378132096,5.470193,5.775338,4.986707,-2.553878,-3.1308,-3.753830399999999,-4.5080621999999995,-4.145589599999999,-4.4550778
110.50991422088,-14.31819408265,0.844792,11.266,0.329,10.534,9.564,8.419,7.069,7.66,7.175,3031875585286182144,9.186402,9.758504,8.496361,-2.1240977,-2.7646700000000006,-3.493103359999999,-4.32345773,-3.91629964,-4.2833432700000005
315.02658743313,42.59755987072,1.167607,10.438,1.13,11.363,9.489,7.228,4.372,5.462,4.637,2161786374436607616,8.393982,9.698108,7.254809,-3.856369000000001,-4.5988999999999995,-5.429139200000001,-6.5003381000000005,-6.0417708,-6.4616319
104.16581881265,0.19003966747,0.604502,12.948,0.545,12.062,11.743,11.043,8.723,9.405,8.866,3113680251125330304,11.259422,11.902694,10.433661,-3.1920585000000017,-2.965350000000001,-2.975292800000002,-4.43448165,-4.0570222000000005,-4.40062335
280.53297412978,-4.29348184328,1.043507,11.638,0.965,12.507,10.818,8.825,6.429,7.355,6.638,4256744187345732224,9.884467,11.002147,8.844377,-3.2142044999999992,-3.9369499999999995,-4.708105600000001,-5.57991705,-5.193149399999999,-5.56416795
104.50389488884,-0.3759620089,0.870882,13.551,0.42,11.459,10.796,9.468,7.856,8.551,8.006,3112475495616980992,10.461011,11.174309,9.640165,-3.8691460000000006,-4.111600000000001,-4.9078128,-5.8564354000000005,-5.3961272000000005,-5.7905446
292.33900610224,-7.0440728084,0.846591,8.861,0.36,7.475,6.449,5.259,3.89,4.476,4.008,4207681367143932800,6.137736,6.73651,5.342029,-2.909268000000001,-3.5748000000000006,-4.3089824000000005,-5.1093732,-4.724537600000001,-5.0634668000000005
164.45077781032,-59.73218985615,1.58897,10.743,0.263,7.469,6.292,5.057,3.522,4.193,3.67,5338359442320395904,6.0282,6.679043,5.190452,-4.3868319,-5.300490000000001,-6.20248992,-7.322089310000001,-6.7980510800000005,-7.22675769
235.58716073879,-55.31192759614,1.101875,10.549,0.857,10.841,9.247,7.352,4.991,5.931,5.237,5884368498528237952,8.379894,9.436552,7.380869,-3.3342241,-4.07011,-4.8800108799999995,-5.88740509,-5.42628812,-5.81302791
178.07384465493,-65.40418424407,1.065819,12.033,0.404,10.936,9.794,8.486,6.828,7.528,6.989,5332375453374624640,9.381062,10.063683,8.573566,-2.8064452000000006,-3.543919999999998,-4.340391359999999,-5.360285479999999,-4.8860366399999995,-5.28019052
