Identifier,name,gal,logP,IRSB,sig_mM0_IRSB,EBV,sig_EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,Wvi,Wjk,DR3Name,RAdeg,DEdeg,Plx,RUWE,QLT
RXAur,RXAur,MW,1.065337,10.644,0.05,0.263,0.02,8.631,7.669,6.59,5.819,5.355,5.269,-5.726,-5.753,Gaia DR3 200708636406382720,75.34662500842,39.9603810927,0.6182,0.982,3
AAGem,AAGem,MW,1.053181,12.456,0.051,0.309,0.02,10.809,9.729,8.581,7.734,7.2,7.106,-5.655,-5.782,Gaia DR3 3430067092837622272,91.64560763763,26.32921983415,0.2749,1.249,3
HZPer,HZPer,MW,1.052296,12.97,0.089,1.213,0.02,15.842,13.774,,9.295,8.347,8.072,,-5.74,Gaia DR3 256735552768873856,66.40539208275,45.62032007941,0.3591,1.16,3
XXCen,XXCen,MW,1.039548,10.839,0.025,0.271,0.02,8.803,7.819,6.736,5.991,5.53,5.407,-5.784,-5.834,Gaia DR3 5871922507947292032,205.07765290606,-57.61318392067,0.5516,1.238,2
ZLac,ZLac,MW,1.036854,11.209,0.049,0.37,0.02,9.514,8.414,7.148,6.346,5.827,5.693,-6.026,-5.966,Gaia DR3 2007201567928631296,340.21724149798,56.82945573799,0.4866,1.055,2
TWNor,TWNor,MW,1.032868,11.529,0.104,1.157,0.02,13.63,11.701,9.287,7.506,6.694,6.39,-5.986,-5.907,Gaia DR3 5981406000300438016,241.23009532876,-51.95352728432,0.3175,0.891,3
SYAur,SYAur,MW,1.006262,11.936,0.068,0.432,0.02,10.09,9.07,7.843,7.008,6.524,6.405,-5.995,-5.947,Gaia DR3 201509768065410944,78.16345237446,42.83178007665,0.4268,1.084,3
BZCyg,BZCyg,MW,1.006127,11.72,0.087,0.885,0.02,11.837,10.221,8.324,6.886,6.155,5.924,-6.339,-6.458,Gaia DR3 2070224337474904064,311.49912578441,45.30693439453,0.4718,1.138,3
SNor,SNor,MW,0.989194,9.712,0.024,0.179,0.02,7.375,6.429,5.427,4.729,4.275,4.162,-5.839,-5.941,Gaia DR3 5835124087174043136,244.7159519047,-57.89980282729,1.0774,0.878,2
YZSgr,YZSgr,MW,0.980171,10.183,0.028,0.281,0.02,8.372,7.351,6.214,5.472,5.003,4.903,-5.732,-5.671,Gaia DR3 4099189015819292800,282.36912121969,-16.72304157114,0.8235,0.955,1
FNAql,FNAql,MW,0.976878,10.148,0.036,0.486,0.02,9.593,8.389,6.947,6.05,5.495,5.356,-5.438,-5.27,Gaia DR3 4269036830424588800,288.19713780419,3.55739781345,0.7018,1.125,2
GHLup,GHLup,MW,0.967448,10.381,0.039,0.347,0.02,8.844,7.637,6.364,5.492,4.96,4.813,-5.992,-6.035,Gaia DR3 5888819699572539264,231.15974101293,-52.85387016499,0.8408,0.95,3
BKAur,BKAur,MW,0.903222,11.207,0.069,0.425,0.02,10.524,9.457,8.249,7.387,6.885,6.772,-4.831,-4.858,Gaia DR3 261548119462093568,77.66762373902,49.68760306511,0.3927,1.007,3
CKSct,CKSct,MW,0.870124,10.626,0.048,0.757,0.02,12.165,10.575,8.778,7.498,6.82,6.652,-4.635,-4.556,Gaia DR3 4253442933709196288,280.25276444138,-6.09722740672,0.4498,0.971,2
