Identifier,ID,gal,logP,B_mag,V_mag,I_mag,K_mag,mM0_IRSB,sig_mM0_IRSB,Radius_IRSB,sig_Radius_IRSB,Mbol,Mb,Mv,Mi,Mj,Mh,Mk,Wvi,Wjk,EBV,sig_EBV,Teq,gamma,J_mag,H_mag,phase_shift,dist_IRSB,sig_dist_IRSB,loggf,logg,Mass
HV2527,HV2527,LMC,1.112251,,14.605,13.67,12.608,18.767,0.05,83.2,1.9,-4.664,,-4.576,-5.344,-5.742,-6.154,-6.207,-6.547,-6.527,0.126,0.02,5517.0,230.39,13.144,12.687,0.0,56687.5,1293.6,2.39,1.356,5.7
HV2538,HV2538,LMC,1.142118,,14.478,13.468,12.397,18.55,0.057,84.4,2.2,-4.543,,-4.414,-5.29,-5.713,-6.144,-6.194,-6.648,-6.525,0.106,0.02,5329.0,278.31,12.937,12.468,0.0,51275.1,1351.4,2.413,1.32,5.4
HV2549,HV2549,LMC,1.210289,,13.795,12.913,12.002,18.129,0.069,80.0,2.5,-4.722,,-4.662,-5.415,-5.752,-6.114,-6.166,-6.585,-6.45,0.101,0.02,5702.0,237.96,12.472,12.075,0.0,42250.5,1335.3,2.206,1.23,4.0
HV2827,HV2827,LMC,1.896354,13.499,12.304,11.193,9.904,18.253,0.07,241.5,7.8,-6.562,-5.262,-6.337,-7.295,-7.866,-8.34,-8.395,-8.783,-8.759,0.12,0.02,5015.0,301.58,10.5,9.983,0.0,44732.0,1441.0,1.635,0.436,5.8
HV5655,HV5655,LMC,1.152657,,14.552,13.578,12.487,18.923,0.061,95.4,2.7,-4.856,,-4.742,-5.571,-5.988,-6.431,-6.48,-6.856,-6.818,0.115,0.02,5388.0,222.14,13.043,12.559,0.0,60888.8,1719.3,2.388,1.314,6.8
HV6093,HV6093,LMC,0.679885,,15.309,14.628,13.8,18.372,0.064,37.8,1.1,-3.273,,-3.266,-3.865,-4.217,,-4.596,-4.799,-4.856,0.062,0.02,5946.0,277.06,14.213,,0.0,47242.2,1400.3,2.754,1.851,3.7
HV873,HV873,LMC,1.537311,,13.029,,11.025,18.473,0.053,151.7,3.7,-5.912,,-5.814,,-7.052,-7.441,-7.492,,-7.795,0.115,0.02,5448.0,251.92,11.53,11.099,0.0,49497.5,1217.0,1.914,0.859,6.1
HV876,HV876,LMC,1.356342,,13.654,12.727,11.704,18.383,0.022,105.7,1.1,-5.141,,-5.04,-5.843,-6.259,-6.664,-6.716,-7.095,-7.03,0.095,0.02,5465.0,296.53,12.214,11.775,0.0,47500.3,488.6,2.114,1.064,4.7
HV877,HV877,LMC,1.655215,,13.336,,10.9,18.24,0.016,153.9,1.2,-5.541,,-5.299,,-6.838,-7.338,-7.387,,-7.765,0.122,0.02,4967.0,292.5,11.517,10.973,0.0,44453.4,332.4,1.927,0.711,4.4
HV878,HV878,LMC,1.367445,,13.542,12.915,11.666,18.489,0.049,110.9,2.5,-5.383,,-5.314,-5.791,-6.431,-6.813,-6.865,-6.545,-7.164,0.111,0.02,5641.0,252.92,12.162,11.74,0.0,49863.4,1123.6,2.048,1.053,5.1
HV879,HV879,LMC,1.566167,14.391,13.36,12.309,11.083,18.503,0.046,152.9,3.2,-5.792,-4.789,-5.655,-6.509,-6.991,-7.431,-7.482,-7.825,-7.819,0.16,0.02,5278.0,252.68,11.662,11.165,0.0,50196.6,1060.7,1.933,0.823,5.7
HV881,HV881,LMC,1.55282,,13.105,,11.077,18.575,0.104,154.2,7.4,-5.861,,-5.743,,-7.051,-7.468,-7.529,,-7.858,0.081,0.02,5341.0,242.28,11.601,11.154,0.0,51885.0,2489.8,1.93,0.84,6.0
HV899,HV899,LMC,1.492039,14.338,13.4,12.446,11.289,18.741,0.015,154.4,1.1,-5.794,-4.801,-5.648,-6.479,-6.998,-7.434,-7.488,-7.774,-7.824,0.094,0.02,5255.0,272.62,11.832,11.362,0.0,56010.2,382.1,2.035,0.917,7.2
HV900,HV900,LMC,1.675637,,12.763,,10.674,18.923,0.074,218.3,7.4,-6.643,,-6.535,,-7.806,-8.233,-8.294,,-8.63,0.116,0.02,5373.0,234.3,11.227,10.758,0.0,60908.7,2061.7,1.787,0.708,8.9
HV909,HV909,LMC,1.574986,13.488,12.755,11.917,10.914,18.349,0.037,146.2,2.5,-6.005,-5.33,-5.953,-6.65,-7.055,-7.425,-7.478,-7.731,-7.769,0.111,0.02,5670.0,238.15,11.399,10.989,0.0,46760.7,794.7,1.795,0.809,5.0
HV914,HV914,LMC,0.837489,,14.925,14.153,13.249,18.835,0.041,60.7,1.2,-4.321,,-4.323,-4.933,-5.265,-5.605,-5.635,-5.878,-5.89,0.128,0.02,5968.0,258.52,13.69,13.305,0.0,58478.8,1108.8,2.579,1.683,6.5
U1,LMC-CEP-0079,LMC,1.353098,,14.126,13.116,11.843,18.636,0.024,115.6,1.3,-5.13,,-4.97,-5.795,-6.343,-6.791,-6.846,-7.087,-7.193,0.14,0.02,5212.0,249.72,12.425,11.927,0.0,53360.2,578.8,2.206,1.074,5.8
