,name,logP,new_mod,new_EBV,new_M_B,new_M0_B,new_M_V,new_M0_V,new_M_I,new_M0_I,new_M_J,new_M0_J,new_M_H,new_M0_H,new_M_K,new_M0_K
10,YLac,0.635863,12.157,0.22204650935943426,-2.3043532950525742,-2.3027120691583964,-3.029300225230973,-2.9915871232015316,-3.8899105369404325,-3.8669809709065333,-4.455759665767443,-4.503524182224075,-4.843950340766806,-4.963319379360307,-4.933939726802486,-5.07880877110216
11,TVul,0.646934,8.875,0.03225678443705893,-2.367610131988527,-2.5047120691583964,-3.0323894137317,-3.1005871232015307,-3.766516763548873,-3.8079809709065313,-4.247833708809655,-4.326524182224074,-4.588780483885437,-4.727319379360306,-4.659336340234072,-4.816808771102159
12,XYCas,0.653376,11.305,0.4667026602472904,0.06052393369564202,-0.23971206915839482,-1.1378595925987478,-1.3305871232015312,-2.438802632300037,-2.5559809709065306,-3.4104710010388337,-3.525524182224074,-3.9312405862603725,-4.0923193793603065,-4.06751729151925,-4.239808771102159
13,TVel,0.666501,9.873,0.23749640506017156,-0.7110728387311023,-0.9487120691583948,-1.6746433883443532,-1.8195871232015304,-2.812855180113367,-2.9009809709065317,-3.599423869396551,-3.700524182224074,-4.074889453290328,-4.227319379360306,-4.212203563212977,-4.378808771102159
14,VZCyg,0.687034,11.468,0.3066717810978918,-1.8040945073595083,-1.6517120691583953,-2.64336985294619,-2.490587123201531,-3.614872870591283,-3.5219809709065313,-4.223359997060286,-4.237524182224074,-4.6197779433832595,-4.718319379360306,-4.724633012500595,-4.855808771102159
15,CFCas,0.687994,12.028,0.5416411015944894,0.3580629068232355,0.2902879308416019,-0.8633107581502013,-0.8785871232015318,-2.314692940955322,-2.323980970906532,-3.316286741379859,-3.379524182224075,-3.8893592472251877,-4.0183193793603085,-4.057633980219874,-4.20880877110216
16,VLac,0.697493,11.74,0.3171883381377494,-1.848633515162259,-1.9437120691583967,-2.7614683321849323,-2.797587123201533,-3.839020745968439,-3.8609809709065335,-4.602200752998001,-4.671524182224076,-5.0585867681254735,-5.191319379360308,-5.146153731530008,-5.299808771102161
17,V0386Cyg,0.720788,9.804,0.9443550688239734,0.9256736972851212,1.3432879308416035,-0.5108368723014333,-0.15558712320153034,-2.2649728183592717,-2.048980970906532,-3.419480366712018,-3.374524182224074,-4.055424473886559,-4.117319379360307,-4.25672658780387,-4.36380877110216
18,CRSer,0.724391,11.991,1.0716385868854965,0.3502024473113997,0.48128793084160404,-1.2531126356401538,-1.1165871232015319,-3.1659884824692144,-3.082980970906533,-4.561612889606925,-4.580524182224075,-5.248835387050868,-5.350319379360307,-5.4566984036411785,-5.5898087711021605
19,V1162Aql,0.730464,9.932,0.15793921346048764,-1.0981846939153614,-1.2747120691583966,-2.0232936594773747,-2.121587123201531,-3.014218544962244,-3.0739809709065318,-3.677045748567393,-3.7645241822240743,-4.103333152365404,-4.247319379360306,-4.203754945477807,-4.364808771102159
20,CVMon,0.730685,10.826,0.7386936953320499,0.6993639669414966,0.7502879308416028,-0.5749206359225222,-0.49958712320153226,-2.2427837466408937,-2.196980970906533,-3.437744825689377,-3.474524182224075,-4.044759635101976,-4.157319379360307,-4.256416555674781,-4.396808771102161
21,SWCas,0.735675,11.825,0.4988303978483776,-1.1516839624158401,-1.0367120691583964,-2.22481218505026,-2.1005871232015316,-3.5005098085105573,-3.4249809709065313,-4.355021158034675,-4.377524182224074,-4.861609005494096,-4.965319379360306,-4.97823465002098,-5.112808771102159
