,name,logP,new_mod,new_EBV,new_M_B,new_M0_B,new_M_V,new_M0_V,new_M_I,new_M0_I,new_M_J,new_M0_J,new_M_H,new_M0_H,new_M_K,new_M0_K
10,YLac,0.635863,12.157,0.21883537078457463,-2.2907660044007705,-2.211213209039833,-3.0189282476341766,-2.9358111333833015,-3.8836043745615805,-3.833069169097048,-4.452731048309179,-4.43673358925094,-4.842073012821786,-4.837398066186167,-4.932705461468467,-4.930497599269905
11,TVul,0.646934,8.875,0.04206079759520398,-2.4090938528645864,-2.413213209039833,-3.064056376232508,-3.0448111333833006,-3.7857702767493646,-3.774069169097046,-4.257080461859892,-4.259733589250939,-4.594512204098083,-4.601398066186166,-4.663104708771668,-4.668497599269903
12,XYCas,0.653376,11.305,0.48852210693250414,-0.031800691063502945,-0.14821320903983112,-1.208336405391988,-1.274811133383301,-2.4816525344783273,-2.5220691690970454,-3.43105023037446,-3.45873358925094,-3.943996889375949,-3.966398066186166,-4.075904032241645,-4.091497599269903
13,TVel,0.666501,9.912999999999998,0.2804416164158327,-0.9327869115403113,-0.8972132090398311,-1.8533564210231388,-1.8038111333833002,-2.937192703982068,-2.907069169097046,-3.679928074938756,-3.67373358925094,-4.139996512205188,-4.1413980661861665,-4.268710414101753,-4.270497599269904
14,VZCyg,0.687034,11.427999999999999,0.26567607036425156,-1.5906293565322565,-1.5202132090398317,-2.470953707276532,-2.3948111333833006,-3.494363854024131,-3.448069169097046,-4.144694482524746,-4.130733589250939,-4.555810621017051,-4.552398066186166,-4.668875491165906,-4.667497599269903
15,CFCas,0.687994,12.028,0.5472124615223699,0.3344888115603947,0.38178679096016566,-0.8813062507172553,-0.8228111333833017,-2.3256342004360913,-2.290069169097047,-3.3215414252094386,-3.312733589250941,-3.892616431379824,-3.892398066186168,-4.0597754438353535,-4.060497599269905
16,VLac,0.697493,11.74,0.32367296508802434,-1.8760719171769573,-1.8522132090398329,-2.78241367723432,-2.741811133383303,-3.8517555157584673,-3.827069169097048,-4.608316793752421,-4.604733589250941,-5.062377875579412,-5.065398066186168,-5.148646227590885,-5.151497599269906
17,V0386Cyg,0.720788,9.744,0.8715034237805617,1.2939308629573092,1.4947867909601673,-0.2155260588112135,-0.03981113338330017,-2.0619038437572184,-1.9550691690970465,-3.290769609172874,-3.2477335892509402,-3.9528332166448292,-3.9313980661861665,-4.168724600998535,-4.155497599269904
18,CRSer,0.724391,11.951,1.0347796377093559,0.5461637189604032,0.6127867909601677,-1.09405822980122,-1.0208111333833016,-3.0536034037191424,-3.0090691690970477,-4.486849003101956,-4.473733589250941,-5.187286539594021,-5.1843980661861675,-5.402530929346345,-5.401497599269905
19,V1162Aql,0.730464,9.932,0.17104913537950184,-1.1536567065312862,-1.1832132090398328,-2.0656387072757907,-2.065811133383301,-3.0399643340236806,-3.0400691690970465,-3.6894105025245305,-3.6977335892509404,-4.110997606016917,-4.121398066186166,-4.208794006165818,-4.216497599269903
20,CVMon,0.730685,10.866000000000001,0.7601088839041219,0.5687498795364883,0.8017867909601665,-0.6840916950103149,-0.4838111333833021,-2.3248397505662717,-2.2030691690970476,-3.497942774943012,-3.4477335892509413,-4.097279596796867,-4.071398066186167,-4.304647911706228,-4.288497599269905
21,SWCas,0.735675,11.805,0.4739723063360536,-1.0265019197997434,-0.9252132090398327,-2.1245205494654535,-2.0248111333833014,-3.4316924940749947,-3.371069169097046,-4.311576000443912,-4.29073358925094,-4.827076219453247,-4.819398066186166,-4.948679945386389,-4.944497599269904
22,XLac,0.735997,12.14,0.34338555418956485,-2.8652504954423073,-2.7622132090398344,-3.7588553400322957,-3.6578111333833023,-4.837504046739635,-4.776069169097047,-5.538965759289431,-5.517733589250941,-5.987317816545846,-5.979398066186167,-6.096838785463843,-6.092497599269905
23,VCen,0.739882,9.171000000000001,0.28924438537439573,-1.4458775678346814,-1.3942132090398334,-2.3216393647592994,-2.259811133383302,-3.365660733773654,-3.328069169097047,-4.093514694509716,-4.083733589250941,-4.5402197250214344,-4.539398066186168,-4.660172084406358,-4.660497599269905
24,FMCas,0.764123,11.232,0.32759272866186634,-1.1239706127869549,-1.0412132090398327,-2.112374513577828,-2.0268111333833008,-3.2590917042553196,-3.2070691690970468,-4.011445357964726,-3.99473358925094,-4.4875157869575855,-4.482398066186166,-4.594996567115761,-4.592497599269904
25,CSVel,0.771201,12.495000000000001,0.7307941437561064,0.5802588395247856,0.6257867909601659,-0.7659550843322249,-0.7088111333833023,-2.414812691273993,-2.3800691690970477,-3.64914688462501,-3.6407335892509414,-4.257371870264134,-4.257398066186168,-4.474614655035535,-4.475497599269905
26,MWCyg,0.774852,10.788,0.6493229777972988,-0.007604815953711652,0.12478679096016568,-1.351263218285275,-1.2278111333833013,-2.942128036717448,-2.867069169097048,-4.002508859739301,-3.974733589250941,-4.587373642509636,-4.575398066186168,-4.752505322975948,-4.745497599269905
27,FMAql,0.786342,10.667,0.6353279193284707,-1.317027325054558,-1.0492132090398327,-2.54663917943096,-2.319811133383301,-4.040980621094024,-3.9030691690970465,-4.91669464039384,-4.85873358925094,-5.459084691477003,-5.4283980661861655,-5.609807062352283,-5.590497599269903
28,CRCep,0.794695,10.007,0.7389309187701606,0.9143533034078202,1.112786790960168,-0.4486768676276188,-0.27481113338330104,-2.1367795355175914,-2.0310691690970457,-3.2812296453472642,-3.2387335892509403,-3.9264985130405985,-3.9053980661861663,-4.083504547247687,-4.070497599269904
29,RSCas,0.799056,10.584999999999999,0.8057887092991143,0.953139134342658,0.9097867909601678,-0.553107531036138,-0.5638111333832996,-2.3145613788699717,-2.3210691690970457,-3.675335399062552,-3.68673358925094,-4.34209146311754,-4.354398066186166,-4.544540796193299,-4.553497599269903
