,logP,B_gVI_M,V_gVI_M,I_gVI_M,J_gVI_M,H_gVI_M,K_gVI_M,B_gVI_S,V_gVI_S,I_gVI_S,J_gVI_S,H_gVI_S,K_gVI_S,B_iVI_M,V_iVI_M,I_iVI_M,J_iVI_M,H_iVI_M,K_iVI_M,B_iVI_S,V_iVI_S,I_iVI_S,J_iVI_S,H_iVI_S,K_iVI_S
59,1.065819,-2.9063176509722477,-3.658076098917042,-4.472609362124653,-5.032814747771606,-5.4320830952615164,-5.515034784850474,-3.48568566945483,-4.213929548140387,-4.998728259252448,-5.534963954944823,-5.925812569570942,-6.004061345308053,-1.9483320933988173,-2.6964825140448982,-3.5064533685392982,-4.062980894101111,-4.460957335042127,-4.5431874191713435,-3.416016878796479,-4.148150289157617,-4.937867375807832,-5.478067884434025,-5.87030920233753,-5.949335884409757
60,1.084181,-2.6389283188159602,-3.3939263233180275,-4.161981864494832,-4.762057249729197,-5.165488793276711,-5.220288394177124,-3.8794862132345145,-4.587023952645168,-5.295065223125734,-5.846761757492722,-6.233199464184923,-6.278507012067053,-2.6450864340740163,-3.3004629267740593,-3.942545459478627,-4.441071174618026,-4.808831789746105,-4.843707088286113,-3.6843168374436637,-4.40140216598753,-5.121516516920418,-5.68294543246836,-6.072801792043744,-6.120018857752516
61,1.101875,-3.17687274363091,-3.918205507831684,-4.734994035466212,-5.286823562845067,-5.675513681639536,-5.750980234479691,-3.5254971157930526,-4.255323349176831,-5.057561683004061,-5.597661972517849,-5.982232010923009,-6.055397257599765,-2.601973880577128,-3.340522046242082,-4.1537894041151855,-4.702780437502688,-5.090473490369817,-5.165383123502807,-3.487475196537874,-4.2199886996472316,-5.025625129385517,-5.568464700296992,-5.953996954636149,-6.02769965525802
62,1.110645,-3.596712632196184,-4.482740262117577,-5.452007458663342,-5.994345300776763,-6.410584226329263,-6.47578975231354,-2.604315052211299,-3.531139056022245,-4.5519939253573805,-5.135917748596927,-5.566764408026007,-5.6401292087881965,-3.8346568926511564,-4.7904022081306525,-5.847828542543438,-6.461233444774152,-6.9024357996716486,-6.981584862767548,-2.8082446500697835,-3.7276447710456355,-4.739112020795748,-5.315468273145327,-5.743656703559261,-5.815536727754432
63,1.135867,-3.4552613392118907,-4.2174093837667535,-5.010177233655481,-5.503102337137212,-5.900977927284275,-5.971007536195247,-3.6347248428353462,-4.387534195693055,-5.168493119306673,-5.651898782219693,-6.046430518242936,-6.1145923888144775,-3.1667692685660707,-3.92881623554662,-4.721456271212344,-5.214278340779613,-5.6121177386339385,-5.682127132030047,-3.6419448257060334,-4.395667805882469,-5.177782025976541,-5.66211899931768,-6.056977872864726,-6.125322468900012
64,1.138459,-3.7584054322223572,-4.658485152252856,-5.61530854016239,-6.11568657735477,-6.541205444849562,-6.614621388855661,-2.69921896017838,-3.6369687613795914,-4.641426574511445,-5.1802037912197765,-5.619210978101501,-5.700160938341742,-3.6560742973239364,-4.6483162574991885,-5.721680284559507,-6.316004347189764,-6.774523242607353,-6.8663716346424035,-2.922918992324533,-3.8520144979576587,-4.845528814758256,-5.375484233403637,-5.811392624130336,-5.890611725256962
65,1.150646,-3.3453945746036475,-4.10955786984068,-4.885648230269442,-5.383659847349772,-5.790353801450773,-5.86078646049818,-3.8280681987095746,-4.567934682135281,-5.31330133214456,-5.786545876539796,-6.184540004476096,-6.250113301161237,-2.6487206268977364,-3.408244753357051,-4.178468810041087,-4.671751467980259,-5.076784300357625,-5.1462891256494885,-3.778999021410592,-4.521892382756177,-5.271086568715756,-5.747416575764803,-6.146494521278868,-6.212673193547985
66,1.167607,-3.0586240494855144,-3.8100798477772795,-4.651604599165578,-5.273333735488797,-5.696390489070689,-5.7368816487290415,-3.733301357573257,-4.467085426470213,-5.286263991010882,-5.889979364467134,-6.30670849881411,-6.343665312593501,-2.9402836696711128,-3.6388195951687874,-4.413426313862624,-4.981211321789287,-5.385319346725552,-5.415226531825086,-3.6271657264803903,-4.36666849349648,-5.19307844404586,-5.802623200100973,-6.221399997322864,-6.259500550726082
67,1.168739,-2.9540901972333726,-3.7893609621704667,-4.535077542348985,-5.1231858059622795,-5.538179531472013,-5.541833684459432,-4.145699181930939,-4.940360187130441,-5.63472507112465,-6.181437579650592,-6.581890391189767,-6.577422592229668,-3.372731526391005,-4.0987721575503855,-4.706365471790635,-5.183129470004712,-5.5590117605166185,-5.540819886748496,-3.9154370813369392,-4.721295481936596,-5.429819653017451,-5.987946280725486,-6.392408482230523,-6.390180162350455
68,1.170032,-3.277906069982753,-4.159165964450189,-5.081442992292882,-5.66397243310485,-6.106459040478674,-6.166911019372161,-3.2220681918477765,-4.107075981141047,-5.034092282440923,-5.62044215797858,-6.064270753499718,-6.125472311358373,-3.3872340230822933,-4.26997253670404,-5.194119302316056,-5.77815598071758,-6.221172029143431,-6.281919731867781,-3.237209049301043,-4.122319884962628,-5.049466490057277,-5.6359214064090875,-6.079786899178236,-6.141009066310553
69,1.177138,-1.8962050588026194,-2.9131969019895965,-3.985276910148611,-4.774055692235981,-5.299114061893251,-5.429912430530647,-3.16862151085545,-4.125881216533742,-5.122428973391451,-5.850319512082871,-6.353989922825742,-6.472841863961401,-1.7534936569791926,-2.6786745473123617,-3.6346581247659153,-4.3298489678152094,-4.822033093063537,-4.934469271130171,-2.981002748023894,-3.947002097728164,-4.954601275418723,-5.691400612536624,-6.198200379688797,-6.318800249629651
70,1.179252,-3.078131712266352,-4.071321186594794,-5.135270457358502,-5.761076502157817,-6.261483055868968,-6.350520950734658,-2.6796065728179377,-3.6819126831990574,-4.757390087293895,-5.3924892191662614,-5.89616011675434,-5.987021338830564,-3.5894715016825027,-4.594787405864506,-5.674070742765621,-6.312237922512436,-6.816986520461476,-6.908449701297877,-2.798151518407872,-3.7966805484029558,-4.867381773428998,-5.498630720133663,-6.000949179260934,-6.091054985259952
71,1.182801,-3.1924995020567373,-4.021974777395538,-4.861059641694926,-5.420189277201574,-5.858794940306758,-5.913889995374518,-3.7089012650983584,-4.515563909488378,-5.325801834007374,-5.861677303772684,-6.292114573215562,-6.342647102093567,-2.4704668749851,-3.2933945610573283,-4.1241998931228565,-4.67665521182874,-5.112916415551377,-5.166701952765823,-3.6436139687624856,-4.453964861650752,-5.268866635883658,-5.80850173960202,-6.240259639958786,-6.291529818536439
72,1.214482,-3.3596642219396027,-4.313770188694602,-5.212471927300924,-5.758670267606019,-6.193379178282808,-6.279000371633809,-3.456766620220458,-4.397359805702889,-5.2789744144419615,-5.811398435772438,-6.241268898961308,-6.324187536057795,-3.398538570158412,-4.352319519204896,-5.250610267676577,-5.7964772996078295,-6.231069832976086,-6.316626022785383,-3.471291206356942,-4.412588707142704,-5.2950939339427645,-5.828235902485669,-6.258358555992829,-6.3414180561499816
73,1.232334,-4.203335463015591,-4.96855653967722,-5.8315199656493455,-6.302990482504425,-6.695605126083267,-6.764849341415593,-3.3979228908117993,-4.197554576162876,-5.104030771832623,-5.610577909158237,-6.01551377068717,-6.091640107757385,-4.564033819163687,-5.3744151291325855,-6.294484398512612,-6.811989217706715,-7.220774138372999,-7.299050400366778,-3.5773853602845453,-4.370408671972936,-5.268528472559545,-5.768339332216097,-6.170908969627102,-6.24571363196478
74,1.233609,-4.9974845202947025,-5.6410007511304405,-6.370672888187245,-6.722224917039161,-7.031887180338408,-7.074590426505555,-3.6880781234875823,-4.390614188682257,-5.1949178582187505,-5.606632040804291,-5.937427212535287,-5.991934425574221,-4.717006844203329,-5.4738372856513955,-6.346797069676049,-6.8138564874102086,-7.164092548702904,-7.229458636992516,-3.948598948297238,-4.641159502516975,-5.4328489775303215,-5.834394574734958,-6.161617869955574,-6.2141299807995205
75,1.234029,-3.810950812199379,-4.71586930892239,-5.707095278972136,-6.266450907889787,-6.697537853490608,-6.785721552835211,-2.9466490759374766,-3.8857153117759,-4.92012164870707,-5.5142859407230125,-5.957599980007093,-6.052613227174779,-4.4266187937579,-5.37325098760145,-6.417224600461681,-7.019101288379623,-7.465124428755861,-7.561650867524572,-3.1270548945787877,-4.059385415708997,-5.08527433275107,-5.6725725413870265,-6.113474760243328,-6.207140864469371
76,1.251989,-2.501856126538117,-3.6099651354186366,-4.733793301486904,-5.501491516990917,-6.039891839525555,-6.121313641301658,-2.897327582384957,-3.987576933775003,-5.088821274887576,-5.838314162110976,-6.3703195750280575,-6.448169445306066,-1.9920008689388904,-3.0958556251441918,-4.214304220087668,-4.977665842542104,-5.514542868151098,-5.595113819392158,-2.8562969379761176,-3.949669418302381,-5.054863006327847,-5.807539470144294,-6.34066316471273,-6.419137660777982
77,1.276818,-3.258283305540984,-4.223377772357778,-5.135890775558369,-5.734845135281295,-6.176253154044728,-6.272472047408086,-3.7011803097026075,-4.641925103778864,-5.523647553062389,-6.097780956056252,-6.530470221031944,-6.621819179847195,-2.6834170020161543,-3.646974810699354,-4.557544684905207,-5.154932644724212,-5.595790440736584,-5.691702002473224,-3.644752963631309,-4.589063331016265,-5.47529450525789,-6.053062492656751,-6.487028462913945,-6.579090536390936
78,1.303917,-3.617415137017251,-4.610654965852703,-5.609093717154305,-6.226518832999474,-6.703946642679265,-6.739194608446355,-3.2377528056639857,-4.249844025888378,-5.272120665655996,-5.908762038529892,-6.392939862545722,-6.4319581065906,-4.322170934673027,-5.317313690590098,-6.31815872387878,-6.937523597652309,-7.415632777996808,-7.451261329180221,-3.2975267775476387,-4.307967005761557,-5.328155939503027,-5.963114365682375,-6.446701028042842,-6.485389073685625
79,1.307927,-4.399552238309713,-5.0851503504438,-5.88913893094884,-6.372058296866168,-6.734501491856115,-6.804821114282932,-3.9535741113678444,-4.664251016900388,-5.4999521361544454,-6.008435691471492,-6.379858712484758,-6.455194093591267,-4.962374779807913,-5.652347160158712,-6.461867073376498,-6.949245370766343,-7.313254835988726,-7.384449312058885,-4.0490252546097745,-4.756355156190666,-5.587823934963925,-6.092895705607674,-6.46312028327051,-6.537786263586688
80,1.309564,-3.527553676595247,-4.348322351413029,-5.185352417634225,-5.762213389383964,-6.17192088262517,-6.262874617588727,-4.138606739041843,-4.933095681524935,-5.736894602342264,-6.2869672017766405,-6.6872648553754255,-6.772962643872044,-2.750568499592613,-3.559098091292071,-4.3806516395055795,-4.945036642657286,-5.350361754523865,-5.438867672863758,-4.050973306527919,-4.849941455364824,-5.659404404861814,-6.214042904966529,-6.615944403421034,-6.702538033188415
81,1.339443,-2.784379913160278,-3.8422028370979118,-4.950101502206145,-5.700417773058701,-6.219044690984757,-6.348809275772284,-3.2739789054275126,-4.305866189973663,-5.380968820754602,-6.10484747209842,-6.614187757855268,-6.7387652147644985,-2.2856131718349313,-3.3294757036907874,-4.419721227843999,-5.155806905477711,-5.669435102368032,-5.796407608739205,-3.2239466735315068,-4.258737918726341,-5.337512654585615,-6.0643514722680925,-6.574731563289468,-6.699889812328435
82,1.361977,-3.7720473266925127,-4.536624581015947,-5.338341625192678,-5.888246181212694,-6.299301262599473,-6.38601671346416,-4.430578265579198,-5.1671062137538755,-5.933354457897338,-6.45466681797217,-6.855678438125038,-6.936784027759973,-3.0402542733049223,-3.7830490635915432,-4.557221830663659,-5.08492232656873,-5.488177880510069,-5.570536838567394,-4.34975678112734,-5.090302886356747,-5.861632154904902,-6.387040442816169,-6.789490822430571,-6.871400043476453
83,1.364945,-4.7870403262408425,-5.383211743635835,-6.000505923051441,-6.3587838840089175,-6.700254939914866,-6.7476892233938655,-4.906127219161822,-5.497781890903758,-6.109364572590338,-6.46303836701115,-6.80289213657036,-6.849423070918748,-4.585253344496225,-5.178857514882613,-5.79290536904863,-6.148566394345724,-6.4891182101937535,-6.536039044271032,-4.911711701427972,-5.503787558341962,-6.115902835471914,-6.470005967035854,-6.8100105480598945,-6.856625719442693
84,1.370016,-3.939475321071483,-4.723794857422187,-5.541592464678561,-6.078776250119923,-6.487764858297111,-6.573028765567251,-4.301528022596036,-5.07116333186841,-5.870392497141865,-6.392607844658221,-6.7963385521718775,-6.878665614026352,-3.3013862080002134,-4.083714662595583,-4.898994514858115,-5.434148681477911,-5.842424353929802,-5.927290044848875,-4.266294200580745,-5.037995572962401,-5.83983730836114,-6.364158707305021,-6.768629198706196,-6.851369473182526
85,1.414321,-4.564857556423004,-5.298694302535397,-6.115545929877521,-6.57245693559209,-6.987330738232335,-7.064098087454814,-4.260902297391642,-5.005140669687029,-5.835145321105713,-6.302659274800367,-6.72125753068678,-6.800105205145858,-4.945876034463161,-5.682767965239055,-6.503482922865345,-6.963508245849804,-7.3794760017082695,-7.456854387863448,-4.370257787817555,-5.110845639555386,-5.936234148849675,-6.400026926750173,-6.817318060759526,-6.895435631107091
86,1.449158,-4.4386622797987085,-5.208824862275276,-5.983527224632744,-6.503021986124989,-6.864167297914986,-6.938599814410299,-4.604441280768166,-5.3732363133969985,-6.146209386914752,-6.664310129852532,-7.024965770568018,-7.099124777093785,-4.119835269232072,-4.888965854375626,-5.662363239460381,-6.180806029477683,-6.541581819641988,-6.6158079366706986,-4.595119986080469,-5.365366401588143,-6.140174772165591,-6.659754989263738,-7.020930318687454,-7.095379601788989
87,1.457818,-2.696021057811513,-3.885485436153197,-5.092214585540102,-5.963210532494852,-6.502544551836552,-6.624037427504889,-3.2998975660779757,-4.464780480631413,-5.640425972582857,-6.48636468548249,-7.016896954887109,-7.133473537797796,-2.8568343002487824,-3.994026183396017,-5.1346559195047785,-5.952367645551638,-6.472984739194679,-6.584023115824126,-3.198420640693628,-4.368366901292846,-5.55041507598605,-6.401515135177511,-6.933860409134005,-7.051449661253849
88,1.478624,-4.7315716672747685,-5.559200334828889,-6.430775940252165,-6.909790969113785,-7.332438653302519,-7.406764386813342,-4.167031181762111,-5.014665613063501,-5.911538829418809,-6.410946830358291,-6.840757868662983,-6.919084754923261,-5.625331049076352,-6.456504617615535,-7.3325628075102465,-7.8151913483437365,-8.239108335788412,-8.314143049496248,-4.297064437866111,-5.139659876233672,-6.0301612047500734,-6.5244326838602325,-6.952439437598295,-7.029758525271807
89,1.531857,-3.8271543382403794,-4.595372659190135,-5.38839711664918,-6.007284179294738,-6.46615590066707,-6.563399564857022,-5.1011193614468695,-5.84236886011112,-6.601290806809139,-7.192687069963665,-7.641902213033768,-7.733752112766619,-4.745541463381805,-5.359024017848705,-5.956382602852013,-6.417539013211822,-6.821005347230615,-6.887301858123996,-4.858994703992063,-5.6112783999939415,-6.384153267196316,-6.98679729279823,-7.439963390398903,-7.534020129599279
90,1.58897,-4.554671701478473,-5.4285552096588745,-6.280259516777317,-6.835276254148307,-7.249740994174193,-7.337117695810273,-4.770627188257581,-5.636002146131477,-6.476947254152659,-7.023290759598307,-7.434708889675734,-7.520383881250512,-4.2106277967488674,-5.082921982251045,-5.932616565208635,-6.486013218817305,-6.899908878787439,-6.986967715887874,-4.753673309868828,-5.620513976999107,-6.463312498015457,-7.0111500812837395,-7.423093029836839,-7.509061163262894
91,1.61742,-4.672258360989251,-5.621655752603056,-6.532396970385673,-7.089453666353292,-7.52965079689888,-7.613130275221641,-4.533342844416573,-5.487216426975058,-6.40361786040385,-6.965237383269917,-7.407037278960214,-7.49141199547191,-4.891842212523269,-5.84420779581929,-6.758702339858128,-7.318784676379233,-7.760044611043291,-7.844117727702495,-4.569944599473764,-5.522759236239516,-6.437821615633625,-6.998361696981938,-7.439782421759352,-7.523945349112502
92,1.652569,-5.488230040367285,-6.456339161109158,-7.343193275079527,-7.8162593465454355,-8.208462934940107,-8.264684759088482,-4.39364831587126,-5.4078034935549395,-6.352883589206562,-6.872886931619604,-7.281577979112794,-7.34700901464953,-5.531375534305286,-6.58925613305747,-7.589627728898941,-8.15420279085278,-8.578550360083401,-8.652726479833838,-4.587278946416921,-5.594067898028183,-6.529833282001134,-7.042327826224228,-7.4483812895431,-7.512339079865353
93,1.837426,-5.779093483652952,-6.828888555876859,-7.7877003891406416,-8.337252785343077,-8.74076327894583,-8.804922293390613,-4.695592850171445,-5.7935445608528084,-6.813251240166018,-7.411892338796054,-7.832646015846477,-7.906436357982752,-6.442242672536222,-7.5519257042261225,-8.586466828169483,-9.19706630563403,-9.62202055246493,-9.69815715880291,-4.881141981515782,-5.972154184363192,-6.983085744092821,-7.574653021834053,-7.992921907369738,-8.065324347939221
