,name,logP,new_mod,new_EBV,new_M_B,new_M0_B,new_M_V,new_M0_V,new_M_I,new_M0_I,new_M_J,new_M0_J,new_M_H,new_M0_H,new_M_K,new_M0_K
12,XYCas,0.653376,11.181368055041329,0.501015295442179,-0.8410311746458193,-0.7635471564160818,-2.005057459319567,-1.8748041231398167,-3.2625552128424964,-3.091804123139816,-4.199201361090575,-4.035574659121584,-4.70766883721569,-4.6685309484691215,-4.837074094150439,-4.922119507000061
13,TVel,0.666501,9.936600336000831,0.30447209619342397,-1.2980674166240644,-1.019779437375584,-2.19457520670559,-1.9110364040993182,-3.2479850573893243,-2.984036404099319,-3.9661929982466204,-3.7578069400810863,-4.417645787598392,-4.350763229428623,-4.541547345614696,-4.608351787959562
14,VZCyg,0.687034,11.502505097664256,0.0778993042752022,-0.19059462384391923,-0.7736841990390106,-1.2589398504731601,-1.6329411657627448,-2.5201054273720698,-2.655941165762745,-3.362096045484456,-3.345711701744512,-3.8405357879226685,-3.8926679910920496,-3.9912048332485157,-4.136256549622988
15,CFCas,0.687994,12.412554504981491,0.4979478798120434,0.47838753116980887,0.45826639364375354,-0.7867361567743911,-0.730990573079979,-2.2934409492715737,-2.1679905730799787,-3.3396315473050175,-3.197761109061746,-3.9283693839560065,-3.902717398409284,-4.105394121544846,-4.199305956940223
16,VLac,0.697493,10.952474932442641,0.26851914953222,-1.6951745098583226,-1.7636540338173945,-2.656741785431712,-2.6379110005411293,-3.795917179059996,-3.6929110005411294,-4.608772853515449,-4.477681536522896,-5.082608232833662,-5.063637825870433,-5.17992168794834,-5.278226384401373
17,V0386Cyg,0.720788,10.599435638990368,0.5719342068043246,2.5860624517584925,1.660385259634877,0.7766468730316638,0.14112829291114445,-1.4490334716809734,-1.743871707088857,-2.983663545479935,-3.043642243070624,-3.753131704314381,-3.852598532418161,-4.029014820059746,-4.2051870909491
18,CRSer,0.724391,10.983017638117676,0.8535153303898185,2.1211297444038855,1.56180326050757,0.29940784472320975,-0.05645370621616444,-1.8896469445504178,-2.014453706216165,-3.5079053971281375,-3.486224242197932,-4.273331625723476,-4.322180531545469,-4.524876005659611,-4.667769090076408
19,V1162Aql,0.730464,10.320667869239477,0.14825217242415564,-1.4858637864178068,-1.4708469706142315,-2.4206723861694996,-2.338103937337965,-3.4238626155329306,-3.2821039373379652,-4.096577188183043,-3.946874473319732,-4.52633768680381,-4.495830762667269,-4.628699406754149,-4.719419321198208
20,CVMon,0.730685,11.118800580030445,0.6621733989194163,1.010343717121829,0.970020318594801,-0.34056065854015977,-0.3002366481289328,-2.1053107077643514,-1.9892366481289334,-3.3783745229552813,-3.2410071841107,-4.012824154240703,-3.9899634734582374,-4.239805029373102,-4.335552031989177
21,SWCas,0.735675,11.652722080938332,0.30000494897543056,0.14188407846192885,-0.3519011823130863,-1.130328066128973,-1.43615814903682,-2.6577705199342407,-2.7521581490368194,-3.7152190286139986,-3.678928685018587,-4.293091764257838,-4.332884974366125,-4.449534193176018,-4.586473532897064
22,XLac,0.735997,10.830870634889783,0.14919900711500983,-1.6544595936955253,-2.2320497362645386,-2.7425034278712657,-3.112306702988272,-4.067023373022524,-4.2003067029882715,-4.966687410440376,-4.949077238970039,-5.4846611704194315,-5.536033528317576,-5.63306993725458,-5.777622086848515
23,VCen,0.739882,8.977433322695395,0.2744080455903098,-1.6295338860016737,-1.4996124240701503,-2.520151309952097,-2.3498693907938843,-3.58295785894747,-3.387869390793884,-4.325954974974352,-4.150639926775651,-4.777979278388859,-4.731596216123188,-4.900902763178943,-4.981184774654127
24,FMCas,0.764123,11.512937268073236,0.19450497850968249,-0.8017736836412557,-1.1411163694479907,-1.9234383486595104,-2.1113733361717237,-3.238665925069691,-3.2613733361717245,-4.126859583604428,-4.056143872153492,-4.650645963659351,-4.669100161501029,-4.784778896663004,-4.9076887200319685
25,CSVel,0.771201,12.367220228688158,0.7617347916709605,0.21711944731450675,0.5346006699370875,-1.0981136057853602,-0.7846562967866457,-2.7077954019632573,-2.4256562967866464,-3.910549094800541,-3.6934268327684134,-4.507680929942751,-4.43538312211595,-4.718727540562724,-4.781971680646889
26,MWCyg,0.774852,11.159703416360896,0.4004302525740998,0.5938315559223153,-0.1858825177356506,-0.9990431321752373,-1.5231394844593829,-2.905045963576016,-3.132139484459384,-4.219466613378684,-4.246910020441151,-4.893566904923292,-4.972866309788689,-5.1085418425428015,-5.271454868319627
27,FMAql,0.786342,10.853257091898545,0.06764986738296608,2.8187317242439107,0.8255638067267008,1.020703836454475,-0.4296931599970324,-1.1924088474599086,-1.982693159997033,-2.647540500819463,-2.9454636959788,-3.3934601638666475,-3.6404199853263366,-3.657865741424535,-3.9310085438572755
28,CRCep,0.794695,10.965208369884511,0.5399913905164179,1.3979177594233707,0.8956125287407353,-0.16431056125254073,-0.4766444379829988,-2.1043025022362722,-2.2026444379829986,-3.451806209763976,-3.4174149739647666,-4.168400866522124,-4.2093712633123035,-4.3652465306573065,-4.502959821843243
29,RSCas,0.799056,10.192222441629962,0.929831986485523,-0.5389476260461556,0.08359845699528382,-1.9209897579782007,-1.374658509728449,-3.525384969969691,-3.1016585097284497,-4.759550498003647,-4.474429045710217,-5.3818333258889925,-5.267385335057754,-5.559441752275402,-5.594973893588693
30,RRLac,0.807281,11.054609409067936,0.3017747917194596,-2.4687243852704848,-2.3287885104426898,-3.3969719863217893,-3.2190454771664228,-4.444781856038279,-4.245045477166424,-5.220363281626061,-5.042816013148191,-5.665539035550883,-5.6177723024957285,-5.760988555761144,-5.840360861026667
31,XXSgr,0.807815,10.692480841288962,0.391082118270371,0.02424069167361753,-0.3126599426637161,-1.2168460833022605,-1.40291690938745,-2.768342908433047,-2.78991690938745,-3.873947491956845,-3.802687445369217,-4.455526950093369,-4.473643734716755,-4.6185443050885455,-4.741232293247695
32,BBSgr,0.821971,9.579813198538286,0.1615675302966068,-1.1104585894823182,-1.4029922999130404,-2.2140463213963257,-2.366249266636774,-3.4832669372359746,-3.4842492666367746,-4.328169270412834,-4.247019802618542,-4.8309893937755914,-4.842976091966079,-4.983906940158394,-5.102564650497019
33,VCar,0.82586,10.229031150564474,0.11020509443235929,-2.0779461666361163,-2.101210251939229,-3.000813605580994,-2.9474672186629616,-4.018458883214518,-3.894467218662962,-4.690407627429298,-4.54923775464473,-5.129411774922465,-5.104194043992267,-5.2435852627114405,-5.337782602523206
34,V0495Cyg,0.827263,10.762048975110925,0.9558352225437236,-0.14226315226018177,-0.02322807648567879,-1.7924567439271515,-1.6304850432094122,-3.74452089855119,-3.554485043209412,-5.228144043605264,-5.055255579191181,-5.927090781266663,-5.882211868538718,-6.1595294996000565,-6.240800427069657
35,USgr,0.828997,9.063040732551555,0.2407217894919795,-0.3146242404289671,-0.7842198339263088,-1.5721121126106472,-1.8594768006500413,-3.0403161316274825,-3.123476800650042,-4.04392957552881,-4.00224733663181,-4.5957526523422505,-4.632203625979347,-4.7670502267785855,-4.901792184510286
36,TWCMa,0.844792,12.121871648972967,0.19850248883482974,-0.5956975299797802,-0.9350507503477197,-1.6963646879094656,-1.8843077170714535,-3.0065954166463573,-3.0293077170714535,-3.898791616342424,-3.8280782530532216,-4.430578889020473,-4.449034542400759,-4.562712320606409,-4.685623100931698
