,name,logP,new_mod,new_EBV,new_M_B,new_M0_B,new_M_V,new_M0_V,new_M_I,new_M0_I,new_M_J,new_M0_J,new_M_H,new_M0_H,new_M_K,new_M0_K
10,YLac,0.635863,11.513883479119981,0.12689412604077252,-1.2586184946363002,-1.5270016540220854,-2.078841506231675,-2.248524660036458,-3.0599299596038914,-3.1155246600364586,-3.7228992230365945,-3.7042679562086223,-4.145204882027197,-4.10517837791269,-4.254249484346272,-4.209404797287503
11,TVul,0.646934,8.719609271617035,-0.0077104946738157515,-2.043105855503719,-2.2167274465191418,-2.74790437382061,-2.8452504525335134,-3.5326366937568086,-3.544250452533513,-4.05474744146048,-4.014993748705678,-4.410023685115883,-4.356904170409746,-4.488583388779261,-4.435130589784558
12,XYCas,0.653376,11.701368055041328,0.4595831027758355,-0.30571913781672005,-0.5034862299434334,-1.5112314770072777,-1.627009235957807,-2.8211890155966244,-2.8440092359578055,-3.8001241742553855,-3.765752532129971,-4.323446334417165,-4.273662953834038,-4.461148802255276,-4.409889373208851
13,TVel,0.666501,9.89660033600083,0.30246917298706627,-1.009592447661003,-0.8397185109029354,-1.9081057647490545,-1.7432415169173083,-2.9640516366797507,-2.8162415169173083,-3.684303921195312,-3.567984813089473,-4.136474818604259,-4.03589523479354,-4.260777482021869,-4.176121654168353
14,VZCyg,0.687034,10.682505097664256,0.14104309346189237,-0.31777493902956133,-0.7336232725663623,-1.3228942895461693,-1.605146278580735,-2.5041097263284593,-2.6281462785807346,-3.281650741693775,-3.295889574752899,-3.737451541394883,-3.717799996456966,-3.8754754114982037,-3.8440264158317787
15,CFCas,0.687994,11.95255450498149,0.5566584618813857,0.369965445259801,0.4983273201164019,-0.8363713368583666,-0.7031956858979691,-2.2687391387626312,-2.1401956858979685,-3.2550050198895386,-3.1479389820701336,-3.822693351551206,-3.727849403774201,-3.9879607079748394,-3.9070758231490137
16,VLac,0.697493,11.752474932442642,0.36272068484079695,-2.0537694662095043,-1.823593107344746,-2.9210127444784155,-2.7101161133591196,-3.9409139221603917,-3.765116113359119,-4.657619973557086,-4.527859409531283,-5.097681276421116,-4.98876983123535,-5.176129932074898,-5.0859962506101635
17,V0386Cyg,0.720788,9.919435638990368,0.7818625081470995,1.4977928302868093,1.3604461861075254,-0.1014215403054991,-0.1710768199068458,-2.0612990669899682,-2.056076819906846,-3.3816595221743864,-3.3338201160790106,-4.075862087128407,-4.017730537783078,-4.309704961246869,-4.252956957157891
18,CRSer,0.724391,11.223017638117676,1.0024856012809142,1.4107918371823924,1.3818641869802186,-0.2617661302550295,-0.2486588190341547,-2.2622007213371873,-2.2066588190341547,-3.7284081978217833,-3.656402115206319,-4.440424115194538,-4.3673125369103865,-4.662135708682022,-4.595538956285199
19,V1162Aql,0.730464,10.080667869239477,0.14634594031516335,-1.1977979464950277,-1.290786044141583,-2.1345152564574548,-2.1703090501559554,-3.1401190806680077,-3.114309050155955,-3.8147793063071265,-3.75705234632812,-4.2452232463259305,-4.180962768032186,-4.347966708318416,-4.287189187406999
20,CVMon,0.730685,10.878800580030445,0.7979500721818684,0.39583187954641524,0.8300812450674494,-0.8191193131778802,-0.45244176094692307,-2.4119543697840857,-2.1414417609469227,-3.546433650109496,-3.3711850571190873,-4.13220327073013,-3.995095478823154,-4.33199350927499,-4.223321898197968
21,SWCas,0.735675,11.472722080938333,0.4604201525934304,-0.6368807726069138,-0.5518402558404378,-1.7484691738151124,-1.6483632618548103,-3.0728003134074133,-2.964363261854809,-3.9665162320583516,-3.8691065580269743,-4.486875304749029,-4.398016979731041,-4.6111929849906685,-4.534243399105854
22,XLac,0.735997,11.710870634889783,0.2496568877333432,-2.039527023955879,-2.2919888097918903,-3.0269823822684825,-3.184511815806262,-4.224306577296032,-4.272511815806261,-5.021435265124364,-4.999255111978426,-5.503391861165328,-5.461165533682493,-5.631682932827848,-5.5853919530573055
23,VCen,0.739882,9.157433322695397,0.2784614509806868,-1.386685060229976,-1.3395514975975018,-2.2732438093630147,-2.2020745036118745,-3.3309180985893074,-3.2400745036118734,-4.06977798480234,-3.980817799784038,-4.520349020782235,-4.436728221488106,-4.642460770608842,-4.568954640862918
24,FMCas,0.764123,11.472937268073236,0.3130019619990962,-1.3031699698800119,-1.2410554429753422,-2.3061836053303164,-2.223578448989714,-3.4713750411255413,-3.373578448989714,-4.238621198552305,-4.146321745161879,-4.719922855116768,-4.634232166865946,-4.830325582206829,-4.755458586240759
25,CSVel,0.771201,12.487220228688157,0.7763019899962207,0.39548126104083337,0.674661596409736,-0.9051656563759507,-0.6568614096046359,-2.496403048722336,-2.2978614096046357,-3.684288293572993,-3.5436047057768003,-4.276197351099649,-4.160515127480868,-4.4843267345830045,-4.38974154685568
26,MWCyg,0.774852,11.419703416360896,0.5991832660954253,-0.4271520701904692,-0.4658215912630022,-1.8210153658491186,-1.815344597277373,-3.475365081649736,-3.424344597277374,-4.586922505611456,-4.5170878934495375,-5.1897638792182645,-5.1179983151536055,-5.364936538349993,-5.299224734528417
27,FMAql,0.786342,9.353257091898545,0.3763324928648649,1.0926029310423524,0.3056247331993493,-0.39634104385205815,-0.9618982728150225,-2.2186121346862806,-2.514898272815022,-3.3586776058689702,-3.455641568987187,-3.9939252872021296,-4.025551990691254,-4.196514082181012,-4.198778410066066
28,CRCep,0.794695,10.72520836988451,0.8069401805602435,-0.09162265588906876,0.43567345521338363,-1.3865551530940976,-0.9488495508009891,-2.988547214075939,-2.674849550800988,-4.0635816305817105,-3.8675928469731535,-4.684467137645445,-4.53450326867722,-4.827853637086451,-4.710729688052033
