,name,logP,new_mod,new_EBV,new_M_B,new_M0_B,new_M_V,new_M0_V,new_M_I,new_M0_I,new_M_J,new_M0_J,new_M_H,new_M0_H,new_M_K,new_M0_K
41,TZMon,0.870882,14.02,0.20109658568210756,-1.074753982996702,-1.9660889165289637,-1.9569419717532082,-2.6373503179610402,-3.56210871882595,-3.986688120618095,-4.702539055751936,-4.915264912597255,-5.32602249688733,-5.463259340427564,-5.519860094638632,-5.608660612645622
42,V1344Aql,0.873787,10.879000000000001,0.5996955030719325,-2.5352017821482686,-2.2730889165289643,-3.846436474922343,-3.6463503179610406,-5.233449376752785,-5.122688120618096,-6.210643450677325,-6.166264912597256,-6.741392001960945,-6.719259340427565,-6.86963894051576,-6.853660612645623
43,RSOri,0.878917,10.927999999999999,0.3564553267378255,-2.370851824025761,-2.3170889165289634,-3.328390705363176,-3.2873503179610393,-4.483749548860811,-4.469688120618095,-5.243202085966048,-5.245264912597255,-5.712604717670735,-5.7192593404275645,-5.812712493938218,-5.815660612645622
44,BKAur,0.903222,10.987,0.45620560920061765,-1.0350402942105752,-0.8680889165289649,-2.070794117717995,-1.9433503179610394,-3.2392828235725415,-3.1726881206180955,-4.069431882373656,-4.046264912597256,-4.560243735306958,-4.551259340427565,-4.666994500008442,-4.659660612645622
45,GHLup,0.967448,10.361,0.36760045922328155,-1.644166723111472,-1.5220889165289642,-2.8305394832912,-2.7373503179610403,-4.077456005841049,-4.031688120618095,-4.92842952912103,-4.915264912597255,-5.453043646475707,-5.450259340427564,-5.595918198511653,-5.592660612645622
46,FNAql,0.976878,9.988,0.4895732161062794,-0.7301193493104998,-0.6800889165289632,-1.9305414880232827,-1.8923503179610397,-3.3680172247181557,-3.355688120618095,-4.261370114502799,-4.264264912597255,-4.815089009332214,-4.822259340427564,-4.95337343707477,-4.956660612645622
47,YZSgr,0.980171,10.003,0.2971038074917854,-2.059140040639991,-1.9560889165289632,-3.0640152981984667,-2.9853503179610397,-4.180625301304667,-4.143688120618094,-4.906188467073951,-4.8972649125972545,-5.369414768973922,-5.369259340427564,-5.466189820485617,-5.464660612645622
48,SNor,0.989194,9.491999999999999,0.19411855988370078,-2.620971162435903,-2.5220889165289635,-3.5518329484243534,-3.4763503179610393,-4.534690432642007,-4.499688120618095,-5.21725922093991,-5.209264912597255,-5.665838763664807,-5.666259340427564,-5.775811120862498,-5.774660612645621
49,DDCas,0.991759,12.158000000000001,0.4749258124332402,-1.2274685901487696,-1.0870889165289637,-2.3995103741593673,-2.292350317961041,-3.7399503074888956,-3.6856881206180963,-4.594509029254535,-4.577264912597256,-5.144572377722846,-5.139259340427565,-5.259580734524964,-5.254660612645622
50,BZCyg,1.006127,11.42,0.8795416290752298,-0.15990399510602088,-0.14808891652896428,-1.781369461912993,-1.77235031796104,-3.6852806328431,-3.6906881206180957,-5.128851882878594,-5.140264912597256,-5.861808872606252,-5.874259340427565,-6.093901965967646,-6.100660612645622
51,SYAur,1.006262,11.636,0.45295446902901565,-2.234664644802474,-2.1110889165289635,-3.23368293496372,-3.139350317961039,-4.434151224457942,-4.387688120618095,-5.2477634170094065,-5.234264912597255,-5.724250611228433,-5.721259340427564,-5.839054269260682,-5.835660612645621
52,YSct,1.014575,10.86,0.7707686847285211,-0.1642594356917908,-0.07108891652896263,-1.7124728516731238,-1.6413503179610398,-3.486039493817259,-3.453688120618095,-4.734986072688551,-4.728264912597255,-5.412049586152835,-5.413259340427564,-5.614292269349102,-5.613660612645622
53,TWNor,1.032868,11.369,1.0748888349342651,2.288436972742645,1.9759110834710376,0.27721906316232425,0.0386496820389611,-2.240746809597306,-2.3966881206180943,-4.105556033556601,-4.189264912597255,-4.9469953495676195,-5.004259340427565,-5.267438931483684,-5.303660612645622
54,ZLac,1.036854,10.828999999999999,0.3851651670808927,-2.1391683714693817,-2.0400889165289637,-3.223983489671283,-3.1483503179610395,-4.4707819617201405,-4.435688120618095,-5.257303178984015,-5.249264912597255,-5.770866011630502,-5.771259340427564,-5.901829035270882,-5.900660612645622
55,XXCen,1.039548,10.379,0.2998243704151393,-2.6179645585375786,-2.461088916528963,-3.5731027164409004,-3.45335031796104,-4.619606451596068,-4.557688120618096,-5.335185993200744,-5.314264912597256,-5.785851591675803,-5.778259340427565,-5.9030792232564675,-5.896660612645622
