,name,logP,new_mod,new_EBV,new_M_B,new_M0_B,new_M_V,new_M0_V,new_M_I,new_M0_I,new_M_J,new_M0_J,new_M_H,new_M0_H,new_M_K,new_M0_K
32,BBSgr,0.821971,8.884,0.3748740342580044,-3.157209201155894,-2.0368835401739624,-4.047213130653354,-3.1770034200257733,-5.046353583437241,-4.516504764720675,-5.67353823415078,-5.417216816129285,-6.099881576648258,-5.944746706612817,-6.210082362547751,-6.105622606573236
33,VCar,0.82586,8.911000000000001,0.2646153741656069,-3.0132712327069333,-1.8728835401739632,-3.7815276585549102,-2.896003420025773,-4.603664816401386,-4.064504764720674,-5.1180100762980345,-4.857216816129284,-5.50165350619844,-5.343746706612817,-5.584904791368035,-5.478622606573236
34,V0495Cyg,0.827263,11.541,0.8092911839937845,-0.5811423868329004,-0.571883540173962,-2.378070524299924,-2.356003420025773,-4.515682878774354,-4.501504764720673,-6.148880593095579,-6.140216816129285,-6.900367764898287,-6.898746706612816,-7.162153392391692,-7.1586226065732355
35,USgr,0.828997,8.058,0.46981217050488544,-2.558933637057322,-1.5488835401739625,-3.5870333107307792,-2.8010034200257725,-4.765172252924314,-4.286504764720673,-5.534957726733388,-5.303216816129284,-6.004645029242271,-5.864746706612816,-6.130064963976962,-6.035622606573234
36,TWCMa,0.844792,10.447,0.43038986225985787,-2.3420109241801352,-1.1898835401739607,-3.21048925509934,-2.316003420025772,-4.227113467100398,-3.682504764720673,-4.882626862489007,-4.619216816129283,-5.33127555517298,-5.171746706612815,-5.416971221356821,-5.309622606573234
37,xSgr,0.845893,6.711,0.1178201672236926,-2.895714373573611,-2.6768835401739626,-3.7650491401325277,-3.5830034200257734,-4.821949877200577,-4.710504764720675,-5.582594348918699,-5.527216816129284,-6.023323894363988,-5.992746706612816,-6.144190847675771,-6.1216226065732355
38,V0600Aql,0.859672,10.325,0.6862916116193439,-0.32532829624493004,-0.07488354017396215,-1.9281819055304805,-1.7220034200257728,-3.906622598562532,-3.7805047647206735,-5.1456411164149,-5.083216816129283,-5.809691924901016,-5.774746706612815,-6.010062646758127,-5.984622606573234
39,V0459Cyg,0.860413,10.706,0.7601256299665269,-0.7984705780773647,0.05211645982603852,-2.2023057847918803,-1.5380034200257717,-3.928161917153464,-3.523504764720674,-5.019413289159229,-4.823216816129284,-5.65061234704733,-5.532746706612815,-5.814579388390234,-5.734622606573235
40,CKSct,0.870124,10.026,0.8206057329372457,0.6698650622226321,1.6621164598260376,-0.8564465173873037,-0.08400342002577321,-2.5729114825714796,-2.102504764720673,-3.787990383077092,-3.5602168161292833,-4.443185819647101,-4.305746706612815,-4.598448135569088,-4.505622606573234
41,TZMon,0.870882,13.46,0.5345917903882139,-3.0458722426696503,-1.837883540173963,-3.594131482953932,-2.657003420025774,-4.777039941635991,-4.206504764720674,-5.577078393022548,-5.301216816129284,-6.080993798414662,-5.913746706612816,-6.208045646471518,-6.095622606573236
42,V1344Aql,0.873787,10.159,0.5263711199966381,-2.9449443200417753,-2.3048835401739627,-4.329598717589142,-3.8260034200257738,-5.809452020294199,-5.502504764720674,-6.86148682553603,-6.712216816129285,-7.418524367883635,-7.329746706612816,-7.561455247393108,-7.500622606573236
43,RSOri,0.878917,10.328,0.30847595288217006,-2.767836699430326,-2.228883540173962,-3.773417327809409,-3.347003420025773,-4.989525735308121,-4.729504764720673,-5.797949859720347,-5.6712168161292835,-6.284554536333503,-6.209746706612815,-6.394270662009319,-6.342622606573235
44,BKAur,0.903222,10.207,0.430506871167417,-1.7063012239706932,-0.9598835401739637,-2.767787193870757,-2.183003420025773,-3.9688146138734206,-3.6125047647206743,-4.825193860610262,-4.652216816129285,-5.325219482090608,-5.221746706612817,-5.43711667607062,-5.366622606573236
45,GHLup,0.967448,10.101,0.3808306606033518,-1.9601476742109634,-1.0938835401739628,-3.1332730337488273,-2.457003420025774,-4.363438004519287,-3.9515047647206747,-5.200907725854658,-5.0012168161292845,-5.720778419108538,-5.600746706612816,-5.8610034910161115,-5.779622606573236
46,FNAql,0.976878,9.148,0.5498623361753153,-1.8252207030586114,-0.8318835401739618,-2.9652753458462686,-2.1920034200257734,-4.326415410274531,-3.8555047647206737,-5.15823240098711,-4.930216816129284,-5.690335837598174,-5.552746706612815,-5.816546766155706,-5.723622606573235
47,YZSgr,0.980171,9.183,0.3164731824427176,-2.961097676869871,-2.087883540173962,-3.946578379289978,-3.265003420025773,-5.038663654608306,-4.623504764720673,-5.744456886752673,-5.543216816129283,-6.200738686651485,-6.0797467066128155,-6.293634827135508,-6.211622606573235
48,SNor,0.989194,8.932,0.26179544622373674,-3.467332371606497,-2.393883540173962,-4.33042929130267,-3.496003420025773,-5.227597009112023,-4.719504764720674,-5.841089353060379,-5.595216816129284,-6.265404701725783,-6.116746706612815,-6.361824085665018,-6.261622606573235
49,DDCas,0.991759,11.178,0.5598189000315081,-2.5666767117033205,-1.3788835401739625,-3.6537150471017723,-2.7320034200257743,-4.886666748637878,-4.325504764720675,-5.654576793753718,-5.383216816129285,-6.174203423525422,-6.009746706612817,-6.272211090605111,-6.161622606573236
50,BZCyg,1.006127,10.82,0.9719756087462808,-1.1510198932881388,-0.059883540173963024,-2.679931216250487,-1.8320034200257735,-4.466806179480297,-3.9505047647206752,-5.816031915145143,-5.566216816129285,-6.515848550141339,-6.3647467066128165,-6.729430814733808,-6.627622606573236
51,SYAur,1.006262,10.936,0.35727735325633536,-2.5298260648335322,-2.1228835401739623,-3.624645851017963,-3.2990034200257727,-4.946256677418922,-4.747504764720674,-5.857524588497245,-5.760216816129284,-6.368314899034251,-6.311746706612816,-6.502278856271137,-6.462622606573235
52,YSct,1.014575,10.2,0.8399291219964568,-1.1168979939036066,-0.04288354017396134,-2.5958610640485555,-1.7610034200257734,-4.281859526941521,-3.773504764720674,-5.460215430702178,-5.214216816129284,-6.112482852592788,-5.963746706612816,-6.300875466621778,-6.200622606573235
53,TWNor,1.032868,10.749,1.1935757659822315,1.1662369613993853,2.044116459826039,-0.7261397241226067,-0.04100342002577251,-3.0938289522665445,-2.6765047647206734,-4.837496799443802,-4.635216816129284,-5.636383290066192,-5.514746706612816,-5.933058627170591,-5.850622606573236
54,ZLac,1.036854,10.209,0.4160190629312403,-2.8897204609809575,-1.9718835401739625,-3.943641573267906,-3.228003420025773,-5.151374076546887,-4.715504764720674,-5.906403339394228,-5.6952168161292835,-6.408904124761491,-6.281746706612815,-6.533688347218881,-6.447622606573235
55,XXCen,1.039548,9.839,0.2766073440433529,-3.0597263548506386,-2.312883540173962,-4.03811172126003,-3.4530034200257735,-5.114011926526099,-4.757504764720674,-5.85328862260793,-5.680216816129285,-6.312278221548065,-6.208746706612816,-6.434155294829944,-6.3636226065732355
56,TYSct,1.043507,10.479,0.8500454018188034,0.5144073912840976,0.7511164598260384,-1.2896966478747347,-1.0940034200257727,-3.4282475619078387,-3.308504764720674,-5.015579421179422,-4.956216816129283,-5.773794093265327,-5.740746706612815,-6.005814901097092,-5.981622606573234
57,V340Nor,1.052579,10.614,0.36115685817609455,-2.0936844140005095,-1.204883540173963,-3.2094766519087856,-2.5160034200257733,-4.362897804360542,-3.9405047647206746,-5.218931182357366,-5.014216816129284,-5.74489227399549,-5.621746706612816,-5.8830507215771455,-5.7996226065732355
58,AAGem,1.053181,11.796,0.4269182351903685,-2.8059474285610064,-1.5838835401739626,-3.7678758996648907,-2.8200034200257735,-4.766572546996254,-4.189504764720674,-5.493215762702148,-5.214216816129284,-5.984938537839344,-5.815746706612815,-6.055324232060122,-5.941622606573235
