,BBVI_h,VVVI_h,RRVI_h,IIVI_h,JJVI_h,HHVI_h,KKVI_h
21,-0.0033457153083543967,0.01122280569378735,0.021332946346718062,0.006823465861822531,0.0032660513853210726,0.003178466047480677,0.00204298514639617
22,-0.14018755450346554,-0.12088866822015881,-0.10691530255243378,-0.07350031027785642,-0.03490957983539075,-0.023933603433143102,-0.01512614859514641
23,0.03982091519779313,0.0016706070021147434,-0.012936418065362165,0.0010157290572859745,0.009863011733915517,0.006423327348145325,0.005523632697211428
24,-0.09640004651434493,-0.0801242892708971,-0.06604605801631863,-0.048715567876704835,-0.02240884516082256,-0.014065141377587846,-0.00916253489755776
25,0.3262003815747061,0.231312617507998,0.19041901196018407,0.14063807144486262,0.07044405310171438,0.043031203688215225,0.028209863805383192
26,-0.29514202450899324,-0.22301486360394576,-0.1806104422605671,-0.13559303707119955,-0.0647180387242095,-0.04031275287518921,-0.02705822661375255
27,0.05423365977434326,0.02465437430285128,0.02080520933721826,0.014989859576133885,0.008795066419836434,0.0038541720204696706,0.0024946823504162496
28,-0.025759241666917974,-0.02090045144943934,-0.010725846524286375,-0.012707474481258741,-0.003809908470489634,-0.002699686209143494,-0.001842080529139381
29,0.030674821498124935,0.018493973858713507,0.013272103600782958,0.011244336106098785,0.0028017527827352215,0.001958323111798027,0.0011103326688431635
30,-0.08305442854010855,-0.06709310938738396,-0.05931550510135566,-0.04079261050752948,-0.01879116973163927,-0.012241731041125657,-0.008061344803880988
31,-0.059405370592920226,-0.027699146278153036,-0.0161542234035999,-0.016841080937116698,-0.008597528252246134,-0.0039730863835331365,-0.002789093447102431
32,0.06449702289399029,0.0512047252686329,0.04319726672427679,0.03113247296332855,0.011289124727124927,0.006336015233604185,0.0037894481788060715
33,0.051093837654632684,0.05873892839553621,0.05349410293009654,0.035713268464485665,0.013633290104073797,0.009694058395540328,0.005895572878742317
34,0.013119871220344831,0.0307214924707441,0.02323347382787827,0.018678667422212053,0.005820185735646299,0.005367880392991575,0.0034911320933248557
35,0.38651537659382285,0.26423634086648723,0.2054408618122286,0.16065569524682427,0.07681602663358517,0.0375059633899929,0.025033401731371363
36,-0.0002665203422545226,-0.010586119543495823,-0.009464800720983324,-0.006436360682445824,-0.0008713358879478411,-0.0012331915680321437,-0.0008055059503437878
37,0.14198602895329832,0.09447776068779395,0.07733854870307875,0.057442478498178656,0.030634944580765322,0.018687896461847153,0.012634072600757454
38,-0.036922439787776574,-0.029638216215465616,-0.024109575828099413,-0.018020035459002846,-0.007625105663673061,-0.005250114537768438,-0.003305944148710379
39,0.5022816987533772,0.3977290885530167,0.3368929934570766,0.24181928584023463,0.11392337610027678,0.07049950845219269,0.045813992996948105
40,0.1096104268457461,0.05648733599130315,0.042989724264211965,0.034344300282712875,0.019474323614833478,0.010537755292655188,0.00699600518615176
41,-0.06077374029681981,-0.053300849035845185,-0.049666889934149305,-0.03240691621379416,-0.016835929489975823,-0.010978865394798143,-0.006952078244575971
42,-0.09318379559433747,-0.06279624372737833,-0.06197857058955899,-0.038180116186246164,-0.015997647296623674,-0.006770834309666018,-0.0036993774093388165
43,0.13698645307869556,0.07034688628427238,0.048717392568192186,0.042770906860837066,0.024693353529901707,0.013627344447626588,0.00939116119617045
44,0.167803664393853,0.11886086201769624,0.10076296760878892,0.07226740410675953,0.03671122032304679,0.022302583205593293,0.014700179126435023
45,-0.108010517501856,-0.06429806242835547,-0.06472691571892458,-0.0390932219564393,-0.019460140249937252,-0.009666717697302929,-0.005831359054188884
46,-0.08325188913823925,-0.03801206802380386,-0.034965417634230736,-0.02311133735847365,-0.013339480551007171,-0.005480517987281858,-0.0037663042588593487
47,-0.015661675849808862,0.0012070748098139544,0.009324263455950721,0.0007339014843664587,-0.0011529062732028028,0.00013164938084425648,-0.00017074799506595906
48,0.2824287964544699,0.21496689333079522,0.1812452904644934,0.1306998711451233,0.05962122246043233,0.035726179116820904,0.023248281554112682
49,-0.13455060517589612,-0.05902679938110267,-0.03672999972309021,-0.035888294023710854,-0.023889672486775093,-0.012439532484241733,-0.008720774316148427
50,-0.08449526072470474,-0.04933057162381711,-0.034513955649172284,-0.02999298754728183,-0.015460101322785497,-0.008653519993665468,-0.005954950388508115
51,0.03691215251612502,0.010717810267338715,0.013188619356389666,0.006516428642541469,0.0032660673940551332,0.0001894562628171892,2.50880679123211e-05
52,-0.16606374758206693,-0.11018451310468833,-0.08810010160280317,-0.06699218396765003,-0.034430284738528216,-0.018891166252124225,-0.012720549416744553
53,-0.10011237136507553,-0.07916050700944043,-0.0690554960485543,-0.048129588261740325,-0.019042857336697326,-0.011799288282057077,-0.007550691353764797
54,-0.30805865375018937,-0.22823541878757111,-0.1973546165440515,-0.1387671346228437,-0.07256199977991036,-0.04703580312720526,-0.0315169602706753
55,0.20544083002878025,0.14924335233871192,0.1282458286041211,0.09073995822193652,0.043853056039673086,0.026582313660382523,0.017526014596743758
56,-0.16078397326407545,-0.102901650134335,-0.07519155860589238,-0.06256420328167653,-0.032723296213387404,-0.018308076993568567,-0.012487258697446074
57,-0.011297143121692499,-0.024855963952827853,-0.021125014790448565,-0.015112426083319863,-0.003998542527262311,-0.0029106737492856083,-0.0018705186768277204
58,-0.14494524615243579,-0.13182319937045842,-0.11337398791003697,-0.08014850521724029,-0.03492636603877808,-0.02129351704354665,-0.013388740058535437
