,rms_hVI_M,mu_hVI_M,rd_hVI_M,rms_hVI_S,mu_hVI_S,rd_hVI_S
36,5.3385045147110034e-05,-0.14,-0.008927925738334555,3.81683298155815e-07,0.1,0.0033579352885008654
37,0.00012560577396371488,-0.58,-0.0021275677952239717,2.1967765150491266e-06,0.12,0.037782722359312945
38,1.0189112862485867e-05,-0.08,-0.013068892146728501,1.2150796189455102e-07,0.02,-0.007701315997852077
39,0.0005970562077964246,0.56,0.16035035904030323,2.0395880108839977e-06,-0.1,0.11590644058852996
40,4.433430767871902e-05,0.04,0.02412591255912159,2.6086014882802894e-07,0.28,0.034593022344515785
41,0.00011535548657604048,0.38,2.9302333393243468e-05,6.786759801221588e-07,0.1,-0.0116710085971307
42,0.00700138278662246,-1.0,-0.04403840681431819,1.9548369974175848e-05,-0.14,-0.025167935536542157
43,0.0002095842570062217,-0.22,0.0076136836273102615,2.1284133421438255e-06,0.36,0.04391247197849838
44,2.8468661348678034e-05,-0.22,0.02926357117981886,4.178290888894254e-07,0.08,0.0424039677885899
45,0.0007545976779464952,-0.96,-0.0921127200698411,7.836845513111755e-06,-0.18,-0.030187017892347963
46,0.00041070244209341877,-0.52,-0.052178806340126505,2.0586752243991272e-06,-0.26,-0.02716844121139162
47,2.0802331430178863e-05,0.06,0.006849307971183627,7.336760438935152e-07,-0.16,-0.008994871728598435
48,0.000914894415999485,0.98,0.11836791877010448,6.1219734200564375e-06,0.06,0.06784253670647097
49,0.00028233462968476686,0.5,0.009247494241736515,5.3153478736101315e-06,-0.46,-0.047071504137646346
50,3.716743326848855e-05,-0.06,-0.01749467261663226,2.7106213676708194e-07,-0.18,-0.025674370043681487
51,0.0003492648801721077,0.7,0.05311106408709285,3.3501556536831927e-06,0.18,0.013401047581793408
52,0.0003371813009242938,-0.28,-0.05343316287827054,2.7364326343247e-07,-0.22,-0.046743655971463724
53,0.0004441536438836528,-0.86,-0.07683698699908208,5.167627016600229e-06,0.0,-0.0225999318954806
54,0.009712743154486494,0.98,-0.08516466187196227,1.8404425114748547e-05,0.06,-0.07189432698878906
55,0.00022098131733451352,0.1,0.06016369785139252,3.639822884500642e-07,0.08,0.050989617737560104
56,2.7348593576753237e-05,-0.04,-0.02991418341663295,1.1091089308090623e-06,-0.26,-0.04696892131915611
57,0.00026196671203943504,-0.4,-0.027442075368747505,1.5086272642176075e-06,0.14,0.002042677683233643
58,0.0009201101798034435,-0.92,-0.09560951736985712,5.168686596898149e-06,0.16,-0.02915237963702712
