,var_gVI_M,mu_gVI_M,rd_gVI_M,var_gVI_S,mu_gVI_S,rd_gVI_S,var_iVI_M,mu_iVI_M,rd_iVI_M,var_iVI_S,mu_iVI_S,rd_iVI_S
22,7.268625072270921e-05,0.42,-0.036121507799453244,3.6544721460695113e-07,0.58,-0.030422259843978547,8.676421768704521e-05,0.32,-0.03475291034425997,1.7670974192019188e-08,0.7,-0.03250040464848946
23,0.00014442345709131672,0.16,-0.013995939195715035,1.213815704710613e-07,-0.18,-0.033616898690965825,0.00010734351176982353,0.82,-0.017474212974538193,9.383777721128989e-09,-0.16,-0.030924516414668767
24,1.8679823675136928e-05,-0.06,0.01601792030117148,1.6970513999298208e-08,0.12,0.022812452461005606,2.4543474646509585e-05,-0.7,0.017915093204517913,2.9614526067870773e-09,-0.22,0.02089769771922499
25,0.00017320422364736616,0.12,0.010062157572329448,2.583517690265792e-07,-0.26,-0.007959949624963289,0.00015109308477413962,0.98,0.003946122039133197,2.215731511814301e-08,-0.1,-0.0050880203095324305
26,3.6545041917564204e-05,0.02,0.04571049085155687,9.183592087647874e-08,0.68,0.07660813689094707,0.003696991313507597,-1.0,0.11385466816447022,8.702690401395395e-09,-0.22,0.07094139689585881
27,0.00026337388939732604,-0.92,0.014087315035732325,1.477113134976289e-06,0.58,0.08387714134623503,0.014767281342664501,-1.0,0.15378614675882396,4.753687900330956e-08,0.92,0.06996091251802405
28,0.0004191274999136983,-0.36,0.05693046416580169,1.0298266844141734e-06,0.22,0.08988078521547323,0.00366342915994472,-1.0,0.12143307868870622,5.3433465168439674e-08,-0.46,0.08460308199827578
29,0.00016012095068776178,0.54,-0.018696227708541853,7.538932067478639e-07,-0.14,-0.046959803125977355,0.0008018905951396767,0.98,-0.0482023101348081,2.4398223694942338e-08,-0.42,-0.03991998164177243
30,0.00013751791264115544,0.5,-0.06696541806841284,2.840457862309776e-07,0.0,-0.0864646787623856,0.00020870745662893674,0.68,-0.07254927078892037,1.0083271073978291e-08,-0.66,-0.08151599942813491
31,6.208336466106006e-05,-0.18,-0.011476674458531502,1.400229014675604e-06,-0.02,0.0034245758981351717,5.47031180898881e-05,-0.4,-0.010484969921409714,8.187299305031084e-08,-0.02,0.0016153510705315983
32,0.00022609866925955442,-0.04,0.027425772493496578,1.2924570298144307e-07,0.1,0.02728538956509018,0.0002496027641887813,-0.1,0.02990569194929124,6.740386397236469e-09,0.28,0.025858417970773664
33,0.00016371422170608838,0.12,0.016640658998075795,3.360173483263114e-07,0.0,0.003791081009411081,0.00014901594031315913,-0.2,0.01606822474686034,1.8597265213587798e-08,-0.52,0.004807422854571259
34,0.00014401474856969335,0.74,-0.03054106248033019,2.788149708533801e-07,0.42,-0.039784695941440434,0.004920388013532632,0.98,-0.1024976986851942,5.9088296364574855e-06,0.98,-0.03864630363520159
35,6.079567955210664e-05,-0.18,0.011372816697020179,8.066857075508186e-08,0.08,0.020662902872495798,8.548024834417047e-05,-0.58,0.014912480198988763,4.558976367424775e-09,0.14,0.018375741019807438
36,2.9567788351623457e-05,-0.28,-0.010453023528592025,1.947453751991896e-07,-0.18,-0.005307898743227149,3.173995120573803e-05,-0.92,-0.008721858701018742,1.0175058105193176e-08,-0.68,-0.006374504989313331
37,0.00016670568965905096,0.32,-0.09224691999225626,7.123872906688254e-07,-0.04,-0.10627074406728844,0.00017302911008299646,0.98,-0.100389500976982,5.310472843913612e-08,-0.02,-0.10356097131072084
38,0.0012329005353254366,-1.0,0.02310318429943985,2.6535513996489233e-06,0.76,0.08542927559058683,0.045516762164520275,-1.0,0.22560822476035378,9.484214517017512e-08,0.46,0.0677908272000652
39,0.0003156197222079297,-0.78,0.025080497815911245,1.606968069125699e-06,0.52,0.0900537436043901,0.018849791191275365,-1.0,0.17744572979636475,7.021253906428328e-08,0.08,0.07790931655908
40,0.0006830402332159261,-0.34,0.06290508203469514,1.6861981043271802e-06,-0.14,0.0751513314771613,0.0019783739854015497,-1.0,0.10208990160623964,9.871542039107192e-08,-0.96,0.07461545660303369
