,error_pair,A0_B,A0_V,A0_I,A0_J,A0_H,A0_K,min_rms,min_mu,avg_EBV,A_B,A_V,A_I,A_J,A_H,A_K
12,XYCas,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.05829245073728684,-0.38,-0.07398702568685833,-0.31306130178880365,-0.2389780929685524,-0.14529868052487988,-0.06978160314681729,-0.043255034827307984,-0.028438393063257735
13,TVel,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.010615449504028472,-0.04,-0.02609533080449741,-0.11041717323306989,-0.08428791849852663,-0.051247054447104194,-0.024612072201569773,-0.01525611324823332,-0.010030262301324668
14,VZCyg,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.015502355376596359,-0.12,-0.005888691457046318,-0.024916820162200086,-0.01902047340625961,-0.01156444783100584,-0.005553978234627804,-0.0034427056865329888,-0.002263436335344893
15,CFCas,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.012596985887556028,0.04,-0.011352300298927961,-0.04803498825485388,-0.03666792996553732,-0.022294101419046686,-0.010707035549936895,-0.006636895323762254,-0.004363483665898941
16,VLac,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.011879238480063423,-0.54,-0.02886398213230584,-0.1221321675964257,-0.09323066228734786,-0.0566842426707075,-0.02722335338790557,-0.016874749874009963,-0.011094448812194395
17,V0386Cyg,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.007571892042216789,-0.28,0.024938661959263895,0.10552296034823332,0.08055187812842238,0.04897554190208081,0.02352114841349933,0.01457988994124445,0.009585673497282263
18,CRSer,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.02223327523522393,-0.5,-0.018757309510974287,-0.0793678037337855,-0.060586109720446944,-0.03683635471003174,-0.017691144038370507,-0.010966085859400896,-0.007209747056733187
19,V1162Aql,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.03755230840697141,-0.06,-0.04148781184082833,-0.1755473782420969,-0.1340056322458755,-0.08147542440549231,-0.03912964461579564,-0.024255019436503465,-0.015946670237259184
20,CVMon,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.03743296844274484,-0.08,0.032544122082824076,0.1377039437690535,0.10511751432752177,0.06391144871113323,0.030694314183636353,0.01902627009328144,0.01250898420497509
21,SWCas,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.0092969032153959,-0.28,0.0014075445147557358,0.005955743105285945,0.0045463687826610266,0.0027641922198579044,0.0013275396845370197,0.0008228927496616458,0.0005410178851366622
22,XLac,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.0027714953629254953,-0.94,0.0018207923682669197,0.0077043187478478175,0.005881159349502151,0.0035757448844973075,0.0017172985300546277,0.0010644898422598893,0.0006998579625907559
23,VCen,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.005753945380474172,-0.26,-0.010320376446902075,-0.043668608859776754,-0.0333348159234937,-0.020267568081484173,-0.00973376624966016,-0.00603360168215236,-0.00396684309489575
24,FMCas,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.012793773954176177,-0.28,-0.01494421855846382,-0.06323347198642797,-0.04826982594383814,-0.02934805417385359,-0.014094789175600735,-0.008736838495834703,-0.005744109287316739
25,CSVel,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.006780824001878522,-0.1,-0.011770618065191446,-0.04980501621924457,-0.03801909635056837,-0.02311561058114557,-0.011101576134365963,-0.0068814564394528745,-0.004524272465717636
26,MWCyg,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.013363005909647695,-0.64,0.008758215976000907,0.03705863925925264,0.028289037602482928,0.01719973486230962,0.008260398979925015,0.00512031580604941,0.003366395474695468
27,FMAql,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.012941741007856613,-0.42,0.04076315750717285,0.17248114836010048,0.13166499874816828,0.08005231923888632,0.03844617963446514,0.023831364773418462,0.015668134851032026
28,CRCep,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.013503402675211745,-0.18,0.024366156948862776,0.10310051989772306,0.07870268694482677,0.047851233662454674,0.022981184587889412,0.014245186337013644,0.009365619746434385
29,RSCas,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.022894103774573498,-0.36,-0.044748237921215794,-0.1893432191160404,-0.14453680848552702,-0.08787837955920043,-0.042204748077773885,-0.026161162335880388,-0.017199880209777713
30,RRLac,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.020968457696722863,-0.6,-0.03547830896400809,-0.15011936871940743,-0.11459493795374613,-0.06967372227587765,-0.03346172188249386,-0.02074168376962805,-0.01363679761649579
31,XXSgr,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.015740727927491618,-0.26,0.0125551575063272,0.05312463795652228,0.04055315874543686,0.02465632051722561,0.01184152235366756,0.00734012173292407,0.004825825890706985
32,BBSgr,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.015667413601424315,-0.26,-0.011791704217528773,-0.049894238055629495,-0.038087204622617936,-0.023157020410551704,-0.011121463749804435,-0.006893784036693846,-0.0045323773500915345
33,VCar,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.022712897008054664,-0.26,-0.02278543375443406,-0.09641200584513684,-0.07359695102682201,-0.04474694622430779,-0.021490309699832028,-0.013321048135854784,-0.00875803717219182
34,V0495Cyg,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.019728247016633883,-0.86,-0.03047673424314841,-0.12895620560303386,-0.09843985160536936,-0.05985142977606457,-0.028744436668767852,-0.017817613140571856,-0.011714342341038953
35,USgr,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.015243023637896348,-0.26,-0.004384390053222497,-0.01855166963220035,-0.014161579871908666,-0.008610240562120468,-0.00413518132259733,-0.0025632459568154685,-0.001685228004757131
36,TWCMa,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.004609224936030647,-0.12,0.0026175098892916456,0.011075469594559741,0.008454556942412015,0.005140370620986505,0.002468730627184308,0.0015302748065765747,0.0010060922761470298
37,xSgr,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.007097957690824176,-0.64,-0.0059508886820289104,-0.02517999528026893,-0.01922137044295338,-0.011686593229315655,-0.005612640169342387,-0.0034790680501745616,-0.002287343082711452
38,V0600Aql,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.014705538636974639,-0.56,0.06088107927472148,0.257606110735129,0.19664588605735037,0.11956069872286904,0.0574205987287463,0.035592905376380414,0.023400860440824695
