,name,logP,EBV,d_BVVI_g,d_VVVI_g,d_IVVI_g,d_JVVI_g,d_HVVI_g,d_KVVI_g,d_BVVI_i,d_VVVI_i,d_IVVI_i,d_JVVI_i,d_HVVI_i,d_KVVI_i
11,TVul,0.646934,0.646934,-0.14403808857001965,-0.12919932781383472,-0.07855319131081107,-0.06344352781007054,-0.03818244552965383,-0.05463580560729963,-0.15144249157000522,-0.13549679667921422,-0.08238205238096241,-0.06961915087210936,-0.04543877403330369,-0.062044433693520556
12,XYCas,0.653376,0.653376,-0.32530399843728364,-0.33102876319598806,-0.2012654880231608,-0.14923603101918698,-0.11760754085486837,-0.09653845956060078,-0.3173340068865228,-0.32465676084289485,-0.19739131059248016,-0.14130349861777447,-0.1055223983989485,-0.08191018937481842
13,TVel,0.666501,0.666501,0.11470263744270556,0.08826838818421129,0.05366718001600054,0.03294732889297902,0.020597312537733864,-0.010084057926976434,0.08914591778958819,0.06655194041039092,0.040463579769517824,0.011569765931685572,-0.004654690286054905,-0.03597659682680043
14,VZCyg,0.687034,0.687034,0.030321052751408006,0.020672444217395447,0.012568846084176938,0.05753911215632743,0.08598968662916678,0.0658642592524932,-0.013484627426488482,-0.016282298017032543,-0.009899637194356353,0.02004788966688459,0.03988299881056426,0.01708820976204145
15,CFCas,0.687994,0.687994,0.2066390262200676,0.15387020758405823,0.09355308621110708,0.09355257277067267,0.06800584146238317,0.052638418801367326,0.17453218999378897,0.12659369527498296,0.0769689667271899,0.06667765936507539,0.036220820414265886,0.020014741774682238
16,VLac,0.697493,0.697493,-0.23544377870532368,-0.177973706782376,-0.10820801372368458,-0.10469893603851294,-0.09909543613726086,-0.07822457622082214,-0.21887671803054148,-0.1638179118924392,-0.0996012904306034,-0.09108816520998778,-0.08354798237889896,-0.06271946176057822
17,V0386Cyg,0.720788,0.720788,0.33369404394318414,0.2658248194351042,0.16162149021654446,0.16353243143177584,0.1263745633152994,0.11079192392623521,0.3935561960237321,0.3164112201594562,0.19237802185694927,0.21449272799775568,0.18847344291772694,0.1760333725696357
18,CRSer,0.724391,0.724391,-0.18123188295211368,-0.15588734628855794,-0.09477950654344322,-0.0554131693766404,-0.04418065309763504,-0.012332043322884262,-0.19492902582585148,-0.16701868338841452,-0.10154735950015592,-0.06847533091081859,-0.06305221054497223,-0.0345178606857659
19,V1162Aql,0.730464,0.730464,0.08468848080740912,0.013346191631981641,0.00811448451224539,0.014670764089824706,0.021137828938239053,0.009020100239408274,0.07310419109534688,0.0032825442654304537,0.00199578691338248,0.00567654952356772,0.012005759643061387,0.0008857112430716851
20,CVMon,0.730685,0.730685,0.15369996210210185,0.20779456691294743,0.12633909668307228,0.0824089407854123,0.07710602528507611,0.048359722715860295,0.13105454572154168,0.18856645161686486,0.11464840258305381,0.06342078330887153,0.05457819045463416,0.025179480313355956
21,SWCas,0.735675,0.735675,0.05589125993261796,0.04773524956196848,0.029023031733676832,0.03989659963710063,0.03310342673188321,0.044191044023261225,0.04856016072984137,0.04172020349623051,0.025365883725707916,0.03308632496492592,0.023604725202010235,0.033253467474664455
22,XLac,0.735997,0.735997,-0.27348348422573876,-0.19374444945736763,-0.11779662527007945,-0.09478768446261848,-0.09824287702011564,-0.10535703562138315,-0.20207135703094403,-0.13280873470631605,-0.08074771070144071,-0.03585721709631118,-0.030356352871966474,-0.037169108406240436
23,VCen,0.739882,0.739882,-0.1268443359508486,-0.07766703604457359,-0.04722155791510048,-0.03698754399028881,-0.026531687512736796,-0.04450575040622419,-0.14486132649002187,-0.09303453473598808,-0.05656499711948068,-0.05187549211344669,-0.0437258021998089,-0.06181298810304511
24,FMCas,0.764123,0.764123,0.07740816124285732,0.05360419275171702,0.032591349193044114,0.03399982944759235,0.01960250704858489,0.018407314827537394,0.10446119754288213,0.07637340641129914,0.04643503109807018,0.05732048194109887,0.04863278584170136,0.04939569458018542
25,CSVel,0.771201,0.771201,-0.014007163327781513,0.019552676957835274,0.011888027590364697,-0.018275899306717275,-0.0029749436885790903,-0.026897532696158133,-0.05099033118838758,-0.01184703744326393,-0.007202998765503135,-0.049294205204388,-0.039792556352418934,-0.06479535349856716
26,MWCyg,0.774852,0.774852,0.19423167631210436,0.13287606373915106,0.08078864675340403,0.04903013123091515,0.017605736692393792,0.015107336191760412,0.3182391026666608,0.2377695393571867,0.14456387992916953,0.15427687647972238,0.14518218189406176,0.14860128658704083
27,FMAql,0.786342,0.786342,0.20440240206387172,0.175287100354355,0.10657455701544788,0.20017238799438072,0.1940062075517619,0.1930995871835246,0.2196825969687195,0.18881427236248483,0.11479907759639063,0.2112370018815778,0.20339380669031448,0.1996917619939591
