,name,logP,d_BVVI_h,d_VVVI_h,d_RVVI_h,d_IVVI_h,d_JVVI_h,d_HVVI_h,d_KVVI_h
42,Y Oph,1.233609,-0.15396308664841074,-0.06279624372737833,-0.10407981959080077,-0.03818011618624614,0.03427636754364853,0.1156683010746238,0.15659268320449987
43,SZ Aql,1.234029,0.10418181864585124,0.07034688628427238,0.049018186246822915,0.042770906860837954,0.011507757350487313,0.03667263815416244,0.02924674540892952
44,VY Car,1.276818,0.19413778534529957,0.11886086201769624,0.1101660929853012,0.07226740410675879,0.06148551484240714,0.043187878015296444,0.034441679641620884
45,RU Sct,1.29448,-0.1486602388833408,-0.06429806242835547,-0.12924925347520932,-0.03909322195644009,0.0008142900326594676,0.04312109340139926,0.07931216387650182
46,RY Sco,1.307927,-0.131962404292421,-0.03801206802380386,-0.07346200281603954,-0.023111337358472872,-0.008029701092677644,0.03221413373889129,0.040367951078002534
47,RZ Vel,1.309564,-0.008562144813150888,0.0012070748098139544,0.029044134746258735,0.0007339014843664587,0.00411846478132849,-0.0018929045921702442,-0.004910207569013086
48,WZ Sgr,1.339443,0.3248651717348999,0.21496689333079522,0.1738154646889873,0.1306998711451241,0.007156971762457387,-0.04897179693700383,-0.07273274739353514
49,WZ Car,1.361977,-0.11064227949179722,-0.05902679938110267,-0.03686899947796379,-0.03588829402371091,-0.03973995094784155,-0.05825080447137093,-0.05204451156697132
50,SW Vel,1.370016,-0.10390293573212397,-0.04933057162381711,-0.018531768054034586,-0.02999298754728104,-0.0039158100732197415,-0.0010535606371260553,-0.0016510813548878123
51,T Mon,1.431915,0.09038932181564523,0.010717810267338715,0.04640162431864257,0.006516428642541525,-0.022482039250076927,-0.046672103222873795,-0.05968333460954152
52,RY Vel,1.449158,-0.1846093748179097,-0.11018451310468833,-0.08391049194189458,-0.06699218396765003,-0.043259797903835745,0.009436343586837412,0.01263597236253565
53,AQ Pup,1.478624,-0.17855940087313993,-0.07916050700944043,-0.063515288716294,-0.04812958826173949,0.03271634402168504,0.05531855464171764,0.06419959614050583
54,KN Cen,1.531857,-0.3681384722300336,-0.22823541878757111,-0.21764301452768253,-0.1387671346228429,-0.1922493684012418,-0.1995520686728202,-0.21581642460805875
55,l Car,1.550816,0.3168284534111457,0.14924335233871192,0.13089654911622625,0.09073995822193653,0.063326632197299,0.015220877862880719,0.010980821644417937
56,U Car,1.58897,-0.12377509824771596,-0.102901650134335,-0.052876279648840147,-0.06256420328167575,-0.025148815967328958,-0.009361855344136416,-0.007943295486812468
57,RS Pup,1.61742,-0.035264548634566406,-0.024855963952827853,0.0028662450127063255,-0.015112426083319808,0.013264704100933722,0.039006379350171067,0.032467156932766056
58,SV Vul,1.652569,-0.13717236002747538,-0.13182319937045842,-0.09626845020686772,-0.08014850521723865,-0.014597247936519037,0.046657318826101885,0.07140032461839707
