,name,logP,EBV,d_BBVI_g,d_VVVI_g,d_IIVI_g,d_JJVI_g,d_HHVI_g,d_KKVI_g,d_BBVI_i,d_VVVI_i,d_IIVI_i,d_JJVI_i,d_HHVI_i,d_KKVI_i
55,TYSct,1.043507,1.043507,-0.10743380490922659,-0.08226591515063104,-0.05001767641158375,-0.022163811154779348,-0.013759076017079028,-0.008408686414745889,-0.06657147775316236,-0.050234842567953686,-0.03054278428131535,-0.018429313585416995,-0.011439293370297199,-0.007835425595112244
56,V340Nor,1.052579,1.052579,0.0038470023213635074,-0.00994587898700334,-0.006047094424097698,-0.005030928090046197,-0.00394337109034866,-0.002558823724422815,0.011702978510196638,0.006025289961199609,0.0036633762964096706,-0.002514530671236914,-0.0016065280780000468,-0.0012889332475685689
57,AAGem,1.053181,1.053181,-0.008487140128149218,-0.007148452145982587,-0.00434625890475715,-0.016856169895904216,-0.010569741012823652,-0.007941116035822371,-0.11528940760739198,-0.08959566210453968,-0.05447416255955995,-0.03125281890127629,-0.01943245288818557,-0.013087916718067027
58,RXAur,1.065337,1.065337,-0.14125790419137205,-0.10254687719790168,-0.06234850133632355,-0.03678355112259593,-0.022442309532171745,-0.015101604826654125,-0.1686747031113633,-0.12779949951773784,-0.07770209570678477,-0.04201724676942348,-0.026066939217903262,-0.017479984821532568
59,UUMus,1.065819,1.065819,0.03334538370608808,0.03131387503029534,0.019038836018419325,0.0015478875112446833,0.0011719884178889306,-8.394849546317085e-06,0.015295541856574113,0.012962774806300148,0.007881367082230195,-0.004142810552500098,-0.0026163881443271864,-0.002299153514998986
60,RYCas,1.084181,1.084181,-0.10087357581870907,-0.0778964658099619,-0.04736105121245643,-0.030804040987327655,-0.019418513115550075,-0.01291593704283698,-0.13084124459901358,-0.10046219391473066,-0.06108101390015602,-0.03273522669673701,-0.02031928340998318,-0.013488959658496169
61,UNor,1.101875,1.101875,-0.06673536889499534,-0.04851590256207222,-0.029497668757740514,-0.010644217323299288,-0.006873251914409961,-0.004026911400974498,-0.0010193367640888573,0.0007882811302660775,0.00047927492720095666,-0.0028221735693174377,-0.0017599963371353056,-0.0013627049240825528
62,ZSct,1.110645,1.110645,0.30022914036891535,0.22943573111349091,0.1394969245170018,0.07181168218351584,0.044893659539131034,0.029714952643835866,0.3152522541296672,0.24089126236764197,0.14646188751952507,0.07236124717164968,0.044875998692666216,0.02955750634883412
63,BNPup,1.135867,1.135867,0.023831634986824446,0.02351216418131008,0.014295395822237211,-0.0030006774567142847,-0.001355460564431421,-0.0021014728005118166,-0.0655626288798319,-0.050021464722198636,-0.030413050551096,-0.015593268746768946,-0.009677174670193106,-0.006425616887779442
64,TTAql,1.138459,1.138459,0.2521906254337711,0.1892551213663242,0.11506711379072507,0.06176377140931708,0.03844060913875577,0.025417966391703007,0.2817325480597836,0.21470119114356986,0.1305383242152908,0.06278777654795809,0.03891976390310797,0.025468328231874116
65,LSPup,1.150646,1.150646,-0.06949897978564931,-0.051718422561745386,-0.03144480091754126,-0.02203301702704963,-0.013657411161081656,-0.009745163261207418,-0.12827778548936505,-0.09842129855666,-0.0598401495224498,-0.029571689096125675,-0.018348952536148187,-0.012084212723912722
66,TXCyg,1.167607,1.167607,-0.04722115837844684,-0.029275766138005255,-0.017799665811906965,-0.008714483187981154,-0.006048955366215358,-0.003173760967593642,-0.020976725521746148,-0.014036170910241008,-0.008533991913425895,-0.003024004666070418,-0.0018744884709889775,-0.001047176927213761
67,UZSct,1.168739,1.168739,-0.14513638235165893,-0.12486504777229473,-0.07591794904555454,-0.04476869465914822,-0.02834175248329985,-0.01825921408157169,-0.21168503371638253,-0.16593969673204012,-0.10089133561307911,-0.04711498631809863,-0.029214019289593107,-0.018950280863201385
68,RWCas,1.170032,1.170032,0.17206987960517506,0.13023674020986198,0.07918393804759541,0.0367140785671876,0.022605677950742753,0.014868392448105228,0.13748051252530108,0.10412713726788797,0.06330929945887553,0.0339835407753305,0.021075284019035134,0.014144633682485586
69,VWCen,1.177138,1.177138,0.35627659242293686,0.2712957689085997,0.16494782749642933,0.07033866429984903,0.042934307181180326,0.027481778313489996,0.3080620642937472,0.23439256316219442,0.142510678402615,0.06399536454490873,0.03960782280488284,0.025810067864217856
70,SZCyg,1.179252,1.179252,0.40589610007480686,0.30890627239602747,0.18781501361678446,0.0909670108234362,0.056004820047299175,0.03664977192431976,0.39887244518914833,0.3041888745001,0.1849468356960608,0.08714587200065085,0.05397977453976635,0.03529965317861017
71,SVMon,1.182801,1.182801,0.04770576225511658,0.0373888680795193,0.022732431792346575,0.0014507489856303568,0.0008019578571335506,-0.00018589094071641554,-0.009453340422284295,-0.007692065746042198,-0.004676775973594505,-0.008135167088729744,-0.005099674330387549,-0.0037731336292743944
72,XCyg,1.214482,1.214482,0.060381466068032214,0.029915733878189396,0.01818876619793773,0.01120327319698209,0.006649192446114505,0.0044281468490541265,0.05645422732299352,0.039134534685791394,0.023793797088960067,0.012711260377468156,0.007876927029105793,0.005272882168355447
73,CDCyg,1.232334,1.232334,0.0504314246034394,0.0481182607177652,0.02925590251640065,0.017128747317372538,0.011048005590090108,0.0071618310155123835,0.06896098974332701,0.05520637667597096,0.03356547701899004,0.016650608154049312,0.010334939088726264,0.006751626706960466
74,YOph,1.233609,1.233609,-0.2593952901796581,-0.19339226951156085,-0.11758249986303015,-0.039798929436714814,-0.02428203491681391,-0.014631445571808399,-0.10898173074207827,-0.07995364416864327,-0.048611815654534735,-0.023059980047983847,-0.01424963810208249,-0.00948435552852711
75,SZAql,1.234029,1.234029,0.26466530364517976,0.20539001681934776,0.12487713022616306,0.06410098201495674,0.04010560962586165,0.026317858723188526,0.26736031917115666,0.20487124901291454,0.12456171939985289,0.06363361886656427,0.03947491453288168,0.02616327221452716
76,CPCep,1.251989,1.251989,0.45719142720036443,0.34041551220046695,0.20697263141788438,0.09557197548082746,0.05852734401408065,0.03853002289924637,0.4156449877120624,0.314642012423833,0.19130234355369113,0.09152991313707455,0.05669916718031366,0.03729553921308958
77,VYCar,1.276818,1.276818,0.07946892616670814,0.04871058656655951,0.029616036632467507,0.010714530077135714,0.006616441677484403,0.00388095944474319,0.03722755778625873,0.024951181871896815,0.015170318578112242,0.007197499608688448,0.004454155743824264,0.0029549289469096296
78,VXCyg,1.303917,1.303917,0.22270340190699744,0.16148728791318084,0.09818427105121436,0.05101332695178977,0.03106540109699185,0.02128232968037043,0.23670636487276908,0.17881891933819946,0.10872190295762554,0.05384970989747405,0.03337132582037544,0.02203923563941823
79,RYSco,1.307927,1.307927,-0.11084806721518187,-0.06820596903213288,-0.041469229171537066,-0.018236568303560373,-0.010660071451810887,-0.007071362025994669,-0.07157587627535693,-0.050110371485421135,-0.030467105863136057,-0.01645163173191755,-0.010181218642331319,-0.006880871600897787
80,RZVel,1.309564,1.309564,-0.09819450121627857,-0.07381617368164498,-0.0448802335984405,-0.02465113821086865,-0.01524293757039125,-0.010315088016741988,-0.09793980946043218,-0.07443418696614257,-0.045255985675414834,-0.02477252933317342,-0.015369028068550339,-0.010287860010037453
81,WZSgr,1.339443,1.339443,0.353785826253123,0.26917959548664966,0.16366119405588303,0.07532560086121293,0.046313709552170054,0.03000240871585179,0.3187598858103516,0.24260375912629056,0.14750308554878494,0.0716938068096028,0.044424595680570306,0.029322778283993878
82,WZCar,1.361977,1.361977,-0.10549496383722828,-0.06839380399582784,-0.041583432829463474,-0.03247586817679338,-0.019621695263290773,-0.014248622473704453,-0.18701920515881265,-0.14094369099351517,-0.08569376412405827,-0.0448032203899999,-0.027795164545512063,-0.018496753707195668
83,VZPup,1.364945,1.364945,-0.4115272967463719,-0.30043524740580635,-0.18266463042273084,-0.09551667310935325,-0.05854994262957908,-0.03948434314371885,-0.4688770059551881,-0.3554295981927486,-0.21610119570119202,-0.10465954488800372,-0.06487167336996837,-0.04270740363911973
84,SWVel,1.370016,1.370016,-0.12337303373669542,-0.08683538434714377,-0.05279591368306441,-0.030331858508111736,-0.01859201923250267,-0.012827961670561938,-0.15852249103902488,-0.11974952062079011,-0.0728077085374412,-0.034782169297044224,-0.02155736955983808,-0.014115919035792013
85,XPup,1.414321,1.414321,-0.08844955366039028,-0.04963884349024961,-0.030180416842072844,-0.0203096199215842,-0.012133261837223852,-0.00902505209968929,-0.1441496701007297,-0.10653953146375586,-0.06477603512996372,-0.030855539450586975,-0.01913142257466365,-0.012590643516855675
86,RYVel,1.449158,1.449158,-0.2824013968979194,-0.21389858332302625,-0.13005033866040105,-0.06011997595697688,-0.036881623007489345,-0.023960125974394092,-0.2427472699978584,-0.18434209765201,-0.11207999537242239,-0.05371156310410785,-0.033261439071344365,-0.02183404196763044
87,KQSco,1.457818,1.457818,0.48368300757781674,0.36345586871416724,0.22098116817821287,0.10061914306964836,0.06224344516206898,0.04067377911095961,0.4111224104704095,0.3113269209756884,0.18928676795321797,0.0962349243946572,0.05967585663699082,0.039735012427870364
88,AQPup,1.478624,1.478624,-0.13092135436964714,-0.0958631474861891,-0.05828479367160322,-0.020112847998587924,-0.01267778304655462,-0.007840900597117867,-0.08549776976972895,-0.06371523940273355,-0.038738865556861735,-0.014346832322913006,-0.008868034795091684,-0.005550671376678695
89,KNCen,1.531857,1.531857,-0.30043600768584977,-0.22117564551480223,-0.13447479247299973,-0.06804432114520995,-0.04334303014930074,-0.028367627955893676,-0.3019728924726874,-0.2286240542117431,-0.13900342496073903,-0.06414646003403396,-0.0397730185086953,-0.025746068365761265
90,UCar,1.58897,1.58897,-0.24452528224564793,-0.18883422074227998,-0.11481120621130683,-0.051166593704852964,-0.03182739937222839,-0.020523468797490563,-0.1893766692386551,-0.14427236678259706,-0.08771759900381873,-0.04387699380744525,-0.02719611041920858,-0.01799976585619692
91,RSPup,1.61742,1.61742,-0.10404284988297927,-0.08366348474114625,-0.05086739872261618,-0.02223386037248269,-0.013763269632412006,-0.008952872988164134,-0.10672438644434812,-0.08258292361321101,-0.05021041755683098,-0.020759024552952476,-0.012844449014029702,-0.008190576976745467
92,SVVul,1.652569,1.652569,-0.183638017452939,-0.1555147529852826,-0.09455296981505223,-0.03077261562907474,-0.018890537752256742,-0.011125422225320647,-0.0807197218803338,-0.06387065676630688,-0.03883335931391341,-0.016726032735963292,-0.010326393997011185,-0.006758719905685474
93,SVul,1.837426,1.837426,-0.14538744149647254,-0.12532463970943075,-0.0761973809433345,-0.023259179673193797,-0.013881078776492806,-0.007856687367492732,-0.07350658099989238,-0.05865486861798641,-0.035662160119735886,-0.01014485038747881,-0.006202209534578729,-0.0036315857350025516
