,name,logP,r_BBBV_g,r_VVBV_g,r_IIBV_g,r_JJBV_g,r_HHBV_g,r_KKBV_g,r_BBBV_i,r_VVBV_i,r_IIBV_i,r_JJBV_i,r_HHBV_i,r_KKBV_i,r_BBVI_g,r_VVVI_g,r_IIVI_g,r_JJVI_g,r_HHVI_g,r_KKVI_g,r_BBVI_i,r_VVVI_i,r_IIVI_i,r_JJVI_i,r_HHVI_i,r_KKVI_i,r_BBVK_g,r_VVVK_g,r_IIVK_g,r_JJVK_g,r_HHVK_g,r_KKVK_g,r_BBVK_i,r_VVVK_i,r_IIVK_i,r_JJVK_i,r_HHVK_i,r_KKVK_i,r_BBJK_g,r_VVJK_g,r_IIJK_g,r_JJJK_g,r_HHJK_g,r_KKJK_g,r_BBJK_i,r_VVJK_i,r_IIJK_i,r_JJJK_i,r_HHJK_i,r_KKJK_i
11,TVul,0.646934,-1.7603872796705833,-1.3438070837180027,-0.799127944022295,-0.3841346968128865,-0.23393198895829848,-0.15621011611391253,-1.7231989920345534,-1.3154190778889718,-0.7871900345858398,-0.37745477172473296,-0.23242041841535055,-0.15362644830079322,-1.7299309004735974,-1.3580114676575663,-0.8256709723357998,-0.405525630391623,-0.2494987129972886,-0.16723749734627805,-1.7772100354615472,-1.372418255781564,-0.8344302995151915,-0.4052069207799637,-0.2504824443964849,-0.16600256941967306,-1.756639196233335,-1.3555973389551803,-0.812981733580412,-0.3941578649198119,-0.24179082438867372,-0.1613160833356663,-1.7515796520789706,-1.3430325276866892,-0.8116028700710802,-0.3913796315226111,-0.24150334920907016,-0.15982087079471566,-1.7244220044275496,-1.3222359305544036,-0.797589910749975,-0.3839823870683166,-0.2356773170999081,-0.1564859728120882,-1.713181282286984,-1.310041021659277,-0.7920956390652222,-0.3805965362170053,-0.23479047057117053,-0.15510612263638246
12,XYCas,0.653376,0.09070141220309161,0.06923771923900099,0.10072906828675128,0.06021323646304669,0.0428247147028899,0.03190038535145662,0.5290447805085328,0.40385097748742943,0.2877429828300164,0.1385579473760074,0.08745482641867264,0.05479271961628007,0.18449034553244356,0.011795222042080304,0.007171495001585239,-0.01491273590874569,-0.010902090663286783,-0.007659912489233634,0.3300316495127373,0.19600614067053845,0.11917173352768834,0.04312930785241309,0.026143534418768766,0.013829583009211222,0.12968214764858405,0.011453336379296327,0.02483704429965718,0.002528749474152185,0.001526874511537768,0.0013629470291369556,0.2839258484613665,0.19085685605682112,0.13079572596598282,0.05937943983585331,0.03824309208540483,0.022711965870761353,0.02701798258933201,-0.005349930225698463,0.008842340136784851,-0.0025345471309223093,-0.001762766648960786,-0.0010329147554093455,0.11874101947854987,0.0933080635031836,0.08163845326708907,0.041097603739000954,0.028226439863649144,0.016748680975824937
13,TVel,0.666501,-0.44813066963102494,-0.3420844806343701,-0.18880109867119893,-0.08505593264881574,-0.05157878976173523,-0.03923204964989921,-0.5144258547377522,-0.39269149216622307,-0.23559528289757253,-0.11503138129852308,-0.07199830836168158,-0.04910754208121716,-0.3954335170913445,-0.32034394745101613,-0.19476912005021735,-0.09478244020996758,-0.0589264473336371,-0.044170554515988905,-0.532400732517819,-0.41112412928895314,-0.2499634706076838,-0.12263864633329004,-0.07679537931874603,-0.05236080145025637,-0.43328016532218133,-0.33118631403586435,-0.18987937605886135,-0.08786698699507185,-0.05328755167826628,-0.039411171370267756,-0.5117318712869576,-0.38715618145185166,-0.22938928861638913,-0.1092922229893849,-0.0677918458734317,-0.04607158559277099,-0.3710084333981679,-0.2722065653362518,-0.14437145302348298,-0.057270936456934506,-0.0319976698636486,-0.023339867939641448,-0.3559597181380795,-0.2654494085311813,-0.15119067362440877,-0.067558512121591,-0.04077669374486895,-0.027532407337224223
14,VZCyg,0.687034,-0.634966686259317,-0.4847073940910817,-0.27284511133341127,-0.10962706606702535,-0.057979354894720614,-0.04377647956808392,-0.9210103027285648,-0.7030612997927973,-0.42113385014547566,-0.1923074648731458,-0.11681177577347046,-0.07616832822810951,-0.5771174539821917,-0.463962402412126,-0.28208914066657204,-0.12340051021507972,-0.0692447646494134,-0.05172094905131833,-0.9377593197228103,-0.722004044694314,-0.43897845917414297,-0.20459903821239214,-0.12514660461520416,-0.08220252170028111,-0.5861250331939084,-0.4883745053418466,-0.3048511613577275,-0.13848881379319414,-0.07929650284424705,-0.05811656613567931,-0.9326844420874123,-0.7231568756338849,-0.4455347448381498,-0.21196761383422993,-0.13056874623785863,-0.08605566820043245,-0.7485170184909297,-0.5625772786633931,-0.3246234623876525,-0.14428714203264884,-0.08236849196277227,-0.058801951718784634,-0.8603775719014656,-0.6671880079882917,-0.41436082089647464,-0.19854543114018522,-0.12281334548819225,-0.08091406269069223
15,CFCas,0.687994,0.7793004524318973,0.5948858415510667,0.3875317606665686,0.2074135249687618,0.12993949775211738,0.08181033529083226,0.6937764852006012,0.5296003703821386,0.32761482240381695,0.16070641068966862,0.09842532974753836,0.06340631696502527,0.8477656920844246,0.6195431073247031,0.37668220925342,0.19150028961238916,0.11800070131206405,0.07315290298953453,0.6649211463487115,0.499726353420448,0.30383362287963256,0.14780741532999173,0.0902476058680502,0.058011172723142185,0.8220974870707536,0.5967549778801278,0.36299546552775375,0.18394847582745305,0.11415027382174309,0.0710138423677357,0.64359759371081,0.48737746447161673,0.2982927410390481,0.14648211676850575,0.08993418888770172,0.057997918272122057,0.7776223338785612,0.6053205132015017,0.3921010651380298,0.206441981715067,0.13127022372666824,0.08413217747977059,0.7681449172855305,0.591132938042554,0.3687295165052761,0.18425711276504234,0.1148307365310914,0.07509108362684953
16,VLac,0.697493,-0.8637562561675662,-0.6593559207386002,-0.4143830429918517,-0.21751681510865611,-0.14010618855270499,-0.08756032358078586,-0.8294342980567079,-0.6331559527150443,-0.3834013285804867,-0.18528684637606208,-0.11491721991445222,-0.07325360269897452,-0.9075011807644934,-0.6869527743819479,-0.4176672868242245,-0.21405984984118748,-0.13665067259631072,-0.08520863135677775,-0.8283434660550468,-0.6329514506424614,-0.3848344819906169,-0.18775807836752337,-0.11702606636714316,-0.07497010395516979,-0.9024282187880442,-0.6647991709703722,-0.39643164327595687,-0.19955941648522255,-0.12728242072246254,-0.0791111013454737,-0.7761025494256121,-0.5917472965740866,-0.3592788376004765,-0.17582048829056374,-0.10986989835617639,-0.07041792829231616,-0.7970675203219041,-0.6207013378226497,-0.39357493200699667,-0.20253265846178214,-0.13050678833333626,-0.08253899437312379,-0.7907322351036482,-0.6108856180322678,-0.37913832152485727,-0.1879381744195689,-0.11831284770770231,-0.07659124231482431
17,V0386Cyg,0.720788,1.7273917957229106,1.318619691391535,0.7689044157378648,0.3919287365654145,0.24031140967366685,0.1605010755913103,2.112398889098556,1.6125182359530958,0.9744775152379107,0.47667362471894026,0.29497046442919267,0.19146932736166705,1.634663671606317,1.2766553865771209,0.77620647503889,0.40420675710836823,0.24965118149618626,0.16729829529089174,2.1286137870790176,1.6307565393017387,0.9914999758954574,0.4888593639666195,0.30363039201887776,0.19787761233623213,1.7166216126508844,1.290388329941234,0.7547890418181387,0.37873276940650724,0.2312092224369483,0.1535562112630065,1.998581087671139,1.5185371122571363,0.9144147903022266,0.4476282945031135,0.2777633155415149,0.18070591635859795,1.854868514478126,1.3973401923299518,0.8184053954090951,0.4039825531354406,0.24752566577431592,0.1646367254216351,1.9873152438014856,1.5251912071447848,0.9331854600837096,0.4590416652481161,0.2863414351093434,0.1870751991935819
18,CRSer,0.724391,2.1543993725701376,1.644579673717662,0.9991250865670649,0.48194687667963776,0.29792708055467737,0.20188559055716326,1.8585351642701686,1.4187291330306637,0.8763488868421117,0.4380269927906678,0.2736101377083745,0.18690459060763598,2.1310255001684775,1.604583827481193,0.9755869671085656,0.4676847991915415,0.2882382626044572,0.19433529765166319,1.831975887921911,1.3867431287678325,0.843139822290842,0.41242006557872035,0.2553467335731626,0.17349626966179132,2.152312805327897,1.6151578996630223,0.9757721724416153,0.46542321360332106,0.28614411183992944,0.19220379005990007,1.9137077237214255,1.4394989498078263,0.863279587516022,0.41273672824597296,0.2535182243954589,0.17130037502713158,2.106727631835339,1.5893894377086717,0.9502108115552297,0.4470328205897383,0.27332634043200454,0.18218118373348954,1.9582364443310045,1.4620223703427375,0.8574907146557034,0.40157679385947187,0.2441317683768709,0.16365629612766108
19,V1162Aql,0.730464,-0.9250578240528711,-0.7061510107273826,-0.38224110801081035,-0.1602212439744217,-0.09159135668699532,-0.06146662386155756,-0.7207421636814583,-0.5501848577721057,-0.306862299826217,-0.14298868710908924,-0.08717796787358262,-0.060014667868082294,-0.8364795223949909,-0.72790700524356,-0.44256745918808443,-0.21265863198455603,-0.12980666861736823,-0.08939097836015383,-0.8514572187171828,-0.6866648764875118,-0.4174922449044075,-0.2054176520102166,-0.1271632816765445,-0.08671465255156979,-0.8721856419170312,-0.7429287250571235,-0.4468677667069876,-0.21272320034294034,-0.1292108939664644,-0.08840851828179774,-0.9058009747593372,-0.7115075154147232,-0.42539065030710194,-0.2036836730992676,-0.1249240214935377,-0.08466939433435222,-0.9930611349174933,-0.7679013265716108,-0.4487921381724876,-0.20860965167376577,-0.12562737027304993,-0.0850155772232126,-0.9555429299398317,-0.7268057190524879,-0.42434957727435413,-0.19857090668922,-0.12043825511515893,-0.08092444484937478
20,CVMon,0.730685,1.3849083117740366,1.057181917384761,0.6105847795595594,0.2745596711402183,0.16887887046294953,0.10252662062197179,1.1610230795229328,0.8862771599411698,0.4970174586621332,0.22079775474745178,0.13445534091301617,0.08548636294742103,1.3670039179459252,1.1505551780824157,0.6995375482741094,0.3396522866994094,0.2146576985484669,0.13655149040937598,1.3299520854964935,1.065846954146569,0.6480349481211143,0.3111645921358555,0.19378296806870587,0.1259531720920658,1.3646850172853593,1.1351988592145443,0.6902722377011752,0.3349585531990828,0.21177443084756503,0.1350886642465312,1.3347182078523387,1.0583009992813488,0.6446377450667554,0.3104543371818548,0.19352282836154303,0.1259378189144802,1.3849733236618857,1.099521869866203,0.683314285413595,0.3353918694156157,0.21259039916126488,0.13668367280978902,1.3819213154258403,1.076976719686246,0.6590490218400034,0.31880277299594434,0.1989998358259894,0.12992304789903164
