,name,p_BBBV_g,p_VBBV_g,p_IBBV_g,p_JBBV_g,p_HBBV_g,p_KBBV_g,p_BBBV_i,p_VBBV_i,p_IBBV_i,p_JBBV_i,p_HBBV_i,p_KBBV_i,p_BVVI_g,p_VVVI_g,p_IVVI_g,p_JVVI_g,p_HVVI_g,p_KVVI_g,p_BVVI_i,p_VVVI_i,p_IVVI_i,p_JVVI_i,p_HVVI_i,p_KVVI_i,p_BVVK_g,p_VVVK_g,p_IVVK_g,p_JVVK_g,p_HVVK_g,p_KVVK_g,p_BVVK_i,p_VVVK_i,p_IVVK_i,p_JVVK_i,p_HVVK_i,p_KVVK_i,p_BJJK_g,p_VJJK_g,p_IJJK_g,p_JJJK_g,p_HJJK_g,p_KJJK_g,p_BJJK_i,p_VJJK_i,p_IJJK_i,p_JJJK_i,p_HJJK_i,p_KJJK_i
10,YLac,-0.006317339207481618,0.02520952278398006,0.04486009720312825,0.05553990140760998,0.05858954161215585,0.06007920215102607,-0.09067059691540655,-0.12782642736108674,-0.1578375873542676,-0.1789900051747245,-0.18539275018221346,-0.18807558580481823,-0.035485524306731506,0.0009336751101514404,0.04472881539795834,0.06733190687994052,0.0739219285170387,0.07877273768846826,-0.10905126747410213,-0.140188731791727,-0.18791407282737765,-0.21840164353967068,-0.2276645990947004,-0.23323211086181012,-0.013603899771025321,0.008704187086042398,0.03301707422423366,0.05074923459532417,0.05499344492284201,0.0585925777962296,-0.16741030380130856,-0.19664305023811926,-0.2409094779168174,-0.2790432110808419,-0.28921971163637367,-0.2958601962880592,-0.006903781538080909,0.010049043751186735,0.02824291793660149,0.04150122874096841,0.04470134579502502,0.04757261964749215,-0.18525324793924025,-0.21335687556328817,-0.2565231711790977,-0.2941550655863681,-0.304321556743241,-0.3111523526861456
11,TVul,0.003479264989096948,-0.013884106446312421,-0.024706630510117587,-0.030588516481198876,-0.0322681011994711,-0.033088529482377525,-0.02089632875204233,-0.029459418380452324,-0.03637591707773991,-0.041250792635129305,-0.04272639629434893,-0.043344693924064044,-0.012172558364348546,0.00032027749325111627,0.015343273817614897,0.023096786148472003,0.025357353649362993,0.027021321109534913,0.02142287502245604,0.02753975951213981,0.03691529489189639,0.04290450925167318,0.0447241959347378,0.04581792103794349,0.0032725103106055666,-0.0020938512091347857,-0.00794248102701912,-0.012208072410401175,-0.013229045976141444,-0.014094841787316735,-0.0015715488590578614,-0.0018459685827349873,-0.0022615156090142574,-0.0026194925285033728,-0.00271502349328951,-0.002777360433376306,0.002746406175256949,-0.003997628786694671,-0.011235367718475053,-0.016509681001090213,-0.017782725518842774,-0.018924952310894836,-0.0044606362077798,-0.005137331814168639,-0.006176715162755794,-0.007082837957512196,-0.00732763268616024,-0.007492108591710346
12,XYCas,0.014196732771785322,-0.05665246815376543,-0.10081250842995412,-0.12481285436142193,-0.13166620283806785,-0.13501386423417758,0.08023859572804931,0.11311950485951144,0.13967776537553275,0.15839651610516475,0.1640626006538854,0.16643676571125018,-0.030026070641812105,0.0007900290431552563,0.03784727990080448,0.05697288209551693,0.06254902783585306,0.06665353923019827,0.24967461953934272,0.32096434167640253,0.43023227263640723,0.5000340529786513,0.5212417377454612,0.5339886449060222,-0.0017690858499165869,0.0011319147059392334,0.00429362460756589,0.00659956000322208,0.0071514879474768745,0.007619528373049521,0.27763392189485103,0.32611362629011986,0.3995252481894368,0.4627663848125766,0.4796431343091343,0.49065574079312985,-0.0014534424670962869,0.0021156096642283304,0.005945937903357011,0.008737189604869283,0.009410905306964442,0.010015390157595803,0.29567601434765534,0.3405311987885492,0.40942736327588397,0.4694902699966501,0.48571663913513186,0.4966190256880656
13,TVel,-0.0057531593164069006,0.022958146793045905,0.040853795828067,0.0505798233593495,0.05335711065994165,0.05471373472681701,0.03178007829336425,0.04480321082794303,0.055322133683912686,0.06273606407917909,0.06498022861049087,0.06592056350443816,-0.04627697244272239,0.0012176136096919944,0.05833122654959003,0.08780810936497463,0.09640221233104229,0.10272819360754182,0.049190468311429765,0.06323584795067314,0.08476362961010009,0.09851585749109823,0.10269415942425139,0.10520553336328915,-0.01884871731102372,0.012059980194540196,0.04574640426380947,0.07031498266956052,0.0761954964941553,0.08118223112445483,0.03343037590035349,0.03926790011357166,0.048107519201897944,0.05572249274420844,0.05775465104747104,0.05908069785000129,-0.009448956645036727,0.01375376352876812,0.038655062539313834,0.05680123406659323,0.06118111879151332,0.06511092769382852,0.024137526573166822,0.02779928185208306,0.03342362376825483,0.03832686223429257,0.03965150270988267,0.04054151959445455
14,VZCyg,-0.005522311635755847,0.02203694252114145,0.03921452191020321,0.04855028892998874,0.05121613653343655,0.05251832554956327,-0.09792951501093697,-0.13805997162157163,-0.17047376885056556,-0.19331960960750524,-0.2002349463831866,-0.20313256479878905,-0.04910225464407003,0.0012919508421857333,0.0618924399880299,0.0931689330193289,0.1022877195345772,0.10899991195158888,-0.09265997620351225,-0.11911722672005498,-0.15966906134882822,-0.1855741025476832,-0.19344476064440896,-0.19817543017079184,-0.04017323705998783,0.02570405377190639,0.09750165556662203,0.1498659256776631,0.1623993661241298,0.17302784917433242,-0.10042793432788417,-0.11796439578048415,-0.14451942728632647,-0.16739551055548405,-0.1735003016362744,-0.17748386860534407,-0.025209421552255102,0.03669446646353986,0.10313009184926371,0.15154331933835133,0.16322866879318304,0.17371323475743775,-0.10873117925734833,-0.12522611582102106,-0.1505618239864062,-0.17264921139854236,-0.17861625696828465,-0.18262547411508437
15,CFCas,-0.006562492329485508,0.026187813328740043,0.04660095558061103,0.057695204420267314,0.06086319014855011,0.06241065903359835,0.030532307606657733,0.04304411720251568,0.05315003907484247,0.060272878776904765,0.0624289314196155,0.06333234625611284,-0.05817042981945714,0.0015305475551035306,0.07332269898350709,0.11037531614058148,0.1211781547244495,0.12912995084376733,0.05672221191263037,0.07291813416420587,0.09774211806214175,0.11360000295150981,0.11841806091726816,0.12131396107134047,-0.03800801168417846,0.0243186769996788,0.09224658840583946,0.14178857047818313,0.15364649345862227,0.16370213093075273,0.0725913182606825,0.08526702311303717,0.10446153066080124,0.12099682088919173,0.12540948590342724,0.12828888773121291,-0.02185285647943545,0.03180869928153758,0.0893986040584637,0.13136574359922226,0.14149522094637862,0.1505837958187178,0.06620348054373362,0.07624680224153876,0.09167303116727085,0.1051214452540927,0.10875461825909599,0.11119572237648549
16,VLac,0.007203157688547813,-0.028744406767169384,-0.05115038839374403,-0.06332771673422162,-0.06680497805662713,-0.06850351907389324,-0.06790216790300586,-0.09572774227142045,-0.11820275505557798,-0.13404355764496895,-0.13883849979081445,-0.1408476445532807,0.04361423350146549,-0.001147553123821665,-0.05497489573911883,-0.0827557029558529,-0.09085530830410089,-0.09681729781974281,-0.07462463426012829,-0.09593224434400341,-0.12859106805342194,-0.1494539508660859,-0.15579266371622386,-0.15960255551283406,0.036417714247529445,-0.023301156535397327,-0.08838688865883929,-0.13585597915898126,-0.14721775346749313,-0.1568526518957433,-0.11674984746541074,-0.13713639841237815,-0.16800725021765564,-0.1946012377387017,-0.20169820166871233,-0.20632919242959663,0.02226513960355156,-0.03240881258600143,-0.09108522730643726,-0.13384413260176853,-0.1441647159752844,-0.15342475886809318,-0.1191683953180527,-0.13724669755474173,-0.16501440601644665,-0.18922198412467855,-0.1957618124443261,-0.2001558784070886
17,V0386Cyg,0.011066201340355073,-0.04415999294313549,-0.07858227198086648,-0.09729028491491494,-0.10263239674566717,-0.1052418629956983,0.08756296024053428,0.12344531477112788,0.1524278747040554,0.1728553162740262,0.17903861411912664,0.18162949845148826,0.08344995343093754,-0.0021956881287213993,-0.10518704837827648,-0.1583418761120362,-0.1738393785293954,-0.18524684135731218,0.08183937322315779,0.10520701142248522,0.14102330304098046,0.16390321756176593,0.170854759660968,0.17503299329352062,0.024895088326582993,-0.015928631492834643,-0.06042112871548322,-0.09287091929682777,-0.10063780914154952,-0.1072242095333648,0.18510405566906515,0.21742643846708776,0.26637142636360994,0.30853554951603274,0.3197876139503881,0.32712993764686726,0.01716848837303026,-0.02499020136292909,-0.07023516105490497,-0.10320624416858504,-0.11116437148357561,-0.1183047236919934,0.1909738191019154,0.21994527929322552,0.26444453866889334,0.30323849599456226,0.3137189257019572,0.3207606548118843
18,CRSer,0.010266983937631686,-0.04097069303987131,-0.07290694425267641,-0.09026383686572163,-0.09522013349113675,-0.09764114023508255,-0.29588712347275675,-0.41713846806322963,-0.5150744705221918,-0.5841015672471435,-0.6049957696351893,-0.6137507193336385,0.03705030750136621,-0.0009748468034022984,-0.0467011942768973,-0.07030100028934448,-0.07718161803039046,-0.08224633033049389,-0.29960585142182816,-0.3851524638003987,-0.5162723651695306,-0.6000334693970353,-0.6254823775118012,-0.6407784776115278,0.018049972362235232,-0.011548918985231664,-0.04380782623072634,-0.0673352713022166,-0.07296658882150663,-0.07774200248862494,-0.3728093055588131,-0.43790828484039257,-0.5364860652263079,-0.621406827308659,-0.6440690769968827,-0.6588569031662146,0.009827499945535115,-0.014304765637893358,-0.04020365837950017,-0.059076800292967434,-0.06363215158862925,-0.06771939616221442,-0.38771775226391164,-0.44653602106118345,-0.5368790476795902,-0.615639089273059,-0.6369166060971986,-0.6512128242667444
19,V1162Aql,0.005148289601647968,-0.020544396896965706,-0.03655855168996815,-0.04526201419653026,-0.04774730593695918,-0.04896129866560189,0.05528896682313364,0.077945787740656,0.09624594331076548,0.1091442297111012,0.11304848498611927,0.11468442006073318,-0.04604832698125764,0.0012115976192116679,0.058043023378374727,0.08737426668628706,0.09592590787201712,0.10222063371343017,0.16679946864723671,0.2144258064560623,0.28742414668759597,0.3340564391216406,0.34822460149580836,0.35674039435132593,-0.025371286384783164,0.016233317432775077,0.0615768757363861,0.0946473721799154,0.10256282859382315,0.10927521492454978,0.2036990530973553,0.23926844538327366,0.2931302997459239,0.33953010406022865,0.3519125170893976,0.35999242857000285,-0.015365731232427668,0.022366134352878448,0.06286019970932687,0.09236919261302044,0.09949168603111586,0.10588227386596383,0.2121018915683297,0.2442785613179886,0.2937009226204664,0.33678678522137256,0.3484266999271737,0.35624747908502385
20,CVMon,-0.02365672708440109,0.09440284601502973,0.16798893357780692,0.20798191243843603,0.21940199036287839,0.22498036626751894,0.15881116417169483,0.22389026246361285,0.27645534330350774,0.31350417956789195,0.32471870139884956,0.3294177357385554,-0.03913071517954254,0.0010295853173749726,0.04932350782045016,0.07424846390432577,0.08151543444361685,0.08686453483838025,0.034476403180424005,0.0443204682582139,0.0594087669784372,0.06904736911681518,0.07197583934696053,0.07373600027714128,-0.025609766425077084,0.01638590418524633,0.06215567397247375,0.09553701998053764,0.10352687854875106,0.11030235865163976,0.044156015896147205,0.05186642312343409,0.06354210281496583,0.0736002276109675,0.07628437374829539,0.0780358629886824,-0.01577570884586418,0.022962891789611556,0.0645373912641671,0.09483372232330356,0.10214625309198766,0.10870735008838195,0.04408811420771252,0.05077645008372633,0.06104952541279004,0.07000547774796577,0.07242498417067032,0.07405063400413016
21,SWCas,0.002124918987358979,-0.0084795499919479,-0.015089275593876954,-0.018681566270383566,-0.01970735231137789,-0.020208418956654258,-0.10591525483459067,-0.14931818129725272,-0.1843751872804052,-0.20908401020688966,-0.216563263594201,-0.21969717059729052,0.014103214994954575,-0.00037107584208353355,-0.017776829069069043,-0.02676010506537372,-0.029379215076714763,-0.03130709992499351,-0.12132313446794077,-0.15596459126068327,-0.2090606084103385,-0.24297903711642205,-0.2532843809093341,-0.25947842151444034,-0.0014965064268872626,0.0009575101356478535,0.0036320661431815454,0.005582704739804454,0.00604959203970268,0.0064455171469808325,-0.12962139627815913,-0.15225554318635656,-0.18652987417836675,-0.21605582106324994,-0.22393521785831855,-0.22907677051649156,-0.0015608210579702913,0.002271908375547862,0.006385216683178517,0.00938268272152771,0.010106171733800946,0.010755315202117506,-0.13481277025848684,-0.15526438412467644,-0.18667742523730912,-0.21406296363706187,-0.2214613377649799,-0.2264322547900646
22,XLac,0.02287870211478315,-0.09129811512217728,-0.16246409556971167,-0.20114178106570776,-0.2121862742463918,-0.21758118792786704,-0.22078322761401983,-0.31125780757217447,-0.3843350894380586,-0.4358413024455441,-0.45143200942701256,-0.45796472375853015,0.16955806796610257,-0.00446131629384587,-0.21372465729220375,-0.321727472429379,-0.3532161247311688,-0.3763944163655368,-0.2838500782364491,-0.36489793661866793,-0.48912246055689435,-0.5684787076906457,-0.5925893000743638,-0.6070810037223908,0.10774758592755916,-0.06894016875810832,-0.2615066342688967,-0.4019514703396893,-0.4355670823815378,-0.46407345813167444,-0.3577850150262995,-0.4202604922559909,-0.5148655681238462,-0.5963640062922188,-0.6181129627274053,-0.6323048365066023,0.0699187643955315,-0.10177273405364741,-0.28603308406547573,-0.42030800344115765,-0.4527175211969839,-0.48179664528258054,-0.38307589011127663,-0.44118997063184623,-0.5304513860174275,-0.6082684910182902,-0.6292912676365162,-0.6434163276022926
23,VCen,-0.008642053628085301,0.03448636216646065,0.06136814140539109,0.0759780012912229,0.08014987703328219,0.08218771699117346,0.08257152372736465,0.11640844153345163,0.14373888043829885,0.16300187670579358,0.16883270201512024,0.17127589565015477,-0.03895583949662599,0.0010249840869944224,0.04910308041261044,0.07391664653857617,0.08115114089055601,0.0864763360850124,0.0731163359487607,0.0939932808424156,0.12599201088248943,0.1464332172443596,0.1526438132871869,0.15637670030621503,-0.011601342273310753,0.007422890148836991,0.028156806899921057,0.043278710557901064,0.0468981533293279,0.04996747705664809,0.05828072181248158,0.068457547994702,0.08386806514086476,0.09714360101732826,0.10068635665682212,0.10299811543090706,-0.0057664996419389235,0.008393632804486944,0.02359037221418146,0.03466459930036344,0.037337550891399535,0.03973583066761081,0.05461219301136988,0.06289707197137394,0.0756223876890744,0.08671617580677266,0.08971323190961403,0.09172693342688783
24,FMCas,0.006350638699252162,-0.025342405358257953,-0.045096560433703047,-0.055832659233190314,-0.05889837447590827,-0.06039588720337044,0.07254651765250857,0.10227529634176817,0.12628754752666682,0.14321182402874721,0.14833472902234338,0.15048129459569717,0.027966877667101545,-0.0007358487185001192,-0.035251707079661125,-0.053065672259115765,-0.05825940498672765,-0.062082428299309746,0.09865520792449903,0.12682428002837454,0.1699998758026992,0.19758100986378144,0.2059609106888116,0.21099766123494085,0.011950444016847615,-0.007646256017370824,-0.02900408733951404,-0.04458103169952601,-0.048309388918298,-0.05147107318799734,0.14527029266543748,0.1706370086552145,0.20904920168109817,0.24213974898539292,0.25097040743618093,0.25673268805383975,0.008172528220274582,-0.011895812923734535,-0.03343327748518784,-0.04912814248115574,-0.052916363007575185,-0.05631530697154488,0.1517707217908936,0.17479492188936238,0.21015937522838835,0.24098971067504882,0.24931871822618956,0.254914921489524
25,CSVel,-0.01487657517351736,0.059365398701438046,0.10564014158734296,0.13078979793288878,0.1379713343780722,0.14147930605122233,0.07895719992299749,0.11131300690573624,0.13744713682343493,0.15586695250263238,0.16144255070988703,0.16377880078235707,-0.06526843889218926,0.0017173063682340115,0.08226960180401988,0.12384341320988429,0.13596442404239392,0.14488650560011426,0.051640605875776846,0.0663855745500697,0.08898563765611524,0.10342285291945277,0.10780927270293393,0.11044573615295587,-0.026695478554295694,0.017080575687783553,0.06479072999022771,0.09958726002023988,0.10791584430013168,0.11497856719965059,0.024377342151206856,0.028634049448957317,0.03507987643112368,0.040632695103178414,0.042114539591308224,0.043081489430883635,-0.016510954371235714,0.024033104456621355,0.06754523253518363,0.09925355985160669,0.10690689974521496,0.11377378440891855,0.02329271320463789,0.026826307058126688,0.032253797021570114,0.03698542215379598,0.038263700216117226,0.039122566511997935
26,MWCyg,0.031087979001139753,-0.12405746932331149,-0.22075904333082105,-0.2733149561828567,-0.28832240592177666,-0.29565310861641475,0.07016972279556961,0.09892451664616117,0.12215006990307428,0.1385198672289076,0.14347493378400436,0.145551172811303,0.18218499461358303,-0.004793548869206807,-0.2296406535214487,-0.34568639838067744,-0.3795199989801925,-0.4044243694251517,0.09901298457929388,0.12728421283486197,0.17061638645793778,0.19829754449228426,0.20670783532862522,0.2117628518315077,0.09500452253658327,-0.060786770859618124,-0.2305788358503806,-0.35441357867798357,-0.3840535482821099,-0.40918853941973937,0.19485439848432212,0.22887936047083168,0.28040252208350896,0.3247876373895334,0.3366324035084509,0.3443614835774066,0.060058401560230706,-0.08742013367254466,-0.24569498575712043,-0.36103365195139436,-0.38887258544200454,-0.41385079732047647,0.21003223391442902,0.241894928666826,0.2908350341648544,0.3335004715416029,0.34502680574897715,0.35277127094600486
27,FMAql,0.011206704119511367,-0.044720673301752015,-0.07957999715015869,-0.0985255376448291,-0.1039354759623494,-0.10657807347838297,-0.2982408574893553,-0.42045673683541773,-0.5191718042896113,-0.5887480003593458,-0.6098084127342719,-0.618633006635811,0.09659010268941526,-0.002541424328087241,-0.12174995175836212,-0.18327461484269916,-0.20121237620000176,-0.21441607447271618,-0.37311771770732094,-0.4796542109594003,-0.642945942788691,-0.7472588321855321,-0.7789519332009583,-0.7980011137558375,0.009696083808797397,-0.00620384807990635,-0.02353268725790762,-0.0361711597520441,-0.03919619078950059,-0.04176144741199453,-0.34435363038776207,-0.40448375459844427,-0.49553732017555757,-0.5739762761842343,-0.5949087685778894,-0.6085678740535957,0.006225501900530449,-0.009061749799938314,-0.02546812038025681,-0.03742383460080446,-0.04030954798731169,-0.04289872621186595,-0.36508185184576847,-0.4204661678062448,-0.5055347499555318,-0.5796965897694106,-0.5997318736827167,-0.6131934440473781
