,name,logP,HST,EBV,M_B_h,M_V_h,M_R_h,M_I_h,M_J_h,M_H_h,M_K_h
39,VW Cen,1.177138,12.764,0.428,-1.1290035999999999,-2.48756,-3.2618381999999997,-3.98947648,-5.14632752,-5.69977836,-5.935489639999999
40,X Cyg,1.214482,10.328,0.228,-2.7952635999999997,-3.92356,-4.5477082,-5.08224448,-5.92495952,-6.34670436,-6.512363639999999
41,CD Cyg,1.232334,12.045,0.493,-1.7839691000000002,-3.0876099999999997,-3.844430450000001,-4.53182688,-5.66502212,-6.16177741,-6.36050559
42,Y Oph,1.233609,8.712,0.645,-1.1608114999999999,-2.53665,-3.3995692500000003,-4.1633232,-5.3516618000000005,-5.83291365,-6.03208135
43,SZ Aql,1.234029,11.686,0.537,-1.6277918999999996,-3.05549,-3.86433905,-4.625417919999999,-5.79352308,-6.3160536899999995,-6.5335933100000005
44,VY Car,1.276818,11.298,0.237,-2.6871818999999997,-3.8444900000000004,-4.48314405,-5.04456992,-5.90647108,-6.35144269,-6.51890431
45,RU Sct,1.29448,11.183,0.921,-0.04297269999999953,-1.71517,-2.7462686499999998,-3.70130336,-5.22134964,-5.84155577,-6.1059952299999996
46,RY Sco,1.307927,10.353,0.718,-0.8719266000000001,-2.3308600000000004,-3.230326700000001,-4.06996288,-5.41281112,-5.96023566,-6.2140223400000005
47,RZ Vel,1.309564,10.775,0.299,-2.5648413000000003,-3.69423,-4.3239243499999995,-4.92281184,-5.84799516,-6.295195629999999,-6.47507337
48,WZ Sgr,1.339443,11.221,0.431,-1.8063097,-3.2078699999999998,-3.9836501500000003,-4.70358496,-5.89349804,-6.44802447,-6.67433653
49,WZ Car,1.361977,12.688,0.37,-2.264419,-3.4149000000000003,-4.0801405,-4.7033792,-5.7310308,-6.2036869,-6.3977831
50,SW Vel,1.370016,11.884,0.344,-2.6144328000000003,-3.7688800000000002,-4.4311036,-5.05443904,-6.01555296,-6.4788872799999995,-6.66777672
51,T Mon,1.431915,10.713,0.181,-3.4141347,-4.58537,-5.1859876499999995,-5.72454496,-6.57928804,-7.03418197,-7.20042903
52,RY Vel,1.449158,11.734,0.547,-2.0054789,-3.3731899999999992,-4.15704555,-4.91577952,-6.10409148,-6.60020739,-6.82974961
53,AQ Pup,1.478624,12.407,0.518,-2.3681865999999996,-3.7168599999999996,-4.5161967,-5.26273088,-6.36144312,-6.89716166,-7.11089634
54,KN Cen,1.531857,12.843,0.797,-1.4176539,-3.0156899999999998,-3.9647080499999996,-4.864819519999999,-6.398301480000001,-7.064049890000001,-7.36365711
55,l Car,1.550816,8.484,0.147,-3.4879989000000005,-4.74519,-5.3987855499999995,-5.92131552,-6.77135548,-7.24405939,-7.40349761
56,U Car,1.58897,10.87,0.265,-3.3887054999999995,-4.57405,-5.21672225,-5.7995824,-6.720062599999999,-7.16507305,-7.3481419500000005
57,RS Pup,1.61742,11.298,0.457,-2.8462959000000003,-4.2838899999999995,-5.072687050000001,-5.82252512,-6.93897588,-7.4728240900000005,-7.6943429100000005
58,SV Vul,1.652569,11.686,0.461,-3.0193706999999996,-4.480969999999999,-5.27176965,-5.994669760000001,-7.085203239999999,-7.59048557,-7.78280543
