,name,logP,plx,EBV,A_B,A_V,A_I,A_J,A_H,A_K
21,CVMon,0.730685,10.978800580030445,0.722,3.0549986,2.33206,1.41789248,0.6809615199999999,0.42210285999999997,0.27751514
22,SWCas,0.735675,11.512722080938332,0.467,1.9760171000000002,1.50841,0.91711328,0.44045572,0.27302221,0.17950079
23,XLac,0.735997,11.290870634889783,0.336,1.4217168,1.08528,0.65985024,0.31690176,0.19643568,0.12914832
24,VCen,0.739882,9.197433322695396,0.294,1.2440022,0.9496199999999999,0.5773689599999999,0.27728903999999993,0.17188121999999997,0.11300477999999999
25,FMCas,0.764123,11.492937268073236,0.325,1.3751725000000001,1.04975,0.638248,0.306527,0.19000475,0.12492025
26,CSVel,0.771201,12.547220228688158,0.737,3.1184681,2.38051,1.44735008,0.6951089199999999,0.43087231,0.28328069
27,MWCyg,0.774852,11.199703416360896,0.635,2.6868755,2.05105,1.2470384,0.5989066,0.37124005,0.24407494999999998
28,FMAql,0.786342,9.893257091898544,0.589,2.4922356999999997,1.9024699999999999,1.15670176,0.5555212399999999,0.34434707,0.22639393
29,CRCep,0.794695,10.66520836988451,0.709,2.9999917,2.29007,1.39236256,0.6687004399999998,0.41450266999999996,0.27251833
30,RSCas,0.799056,10.872222441629962,0.833,3.5246729,2.69059,1.63587872,0.7856522799999999,0.48699678999999996,0.32018020999999997
31,RRLac,0.807281,11.674609409067935,0.319,1.3497847,1.03037,0.6264649600000001,0.30086803999999995,0.18649696999999998,0.12261403
32,XXSgr,0.807815,10.592480841288962,0.521,2.2045073,1.68283,1.02316064,0.49138635999999997,0.30459223,0.20025677
33,BBSgr,0.821971,9.559813198538286,0.281,1.1889953000000002,0.90763,0.5518390400000001,0.26502796,0.16428103000000002,0.10800797000000001
34,VCar,0.82586,10.389031150564474,0.166,0.7023958,0.53618,0.32599744,0.15656456,0.09704858,0.06380542
35,V0495Cyg,0.827263,11.622048975110925,0.978,4.1382114,3.15894,1.92063552,0.9224104799999999,0.57176814,0.37591386
36,USgr,0.828997,8.923040732551554,0.402,1.7009826000000001,1.2984600000000002,0.7894636800000001,0.37915032,0.23502126,0.15451674
37,TWCMa,0.844792,11.901871648972966,0.329,1.3920977,1.06267,0.64610336,0.31029964,0.19234327,0.12645773
38,xSgr,0.845893,7.716269118243055,0.237,1.0028181,0.7655099999999999,0.46543007999999997,0.22352891999999996,0.13855731,0.09109568999999999
39,V0600Aql,0.859672,11.259348318024385,0.798,3.3765774000000004,2.57754,1.5671443200000001,0.75264168,0.46653474,0.30672726
40,V0459Cyg,0.860413,11.8820689467904,0.73,3.088849,2.3579,1.4336032,0.6885067999999999,0.4267799,0.2805901
41,CKSct,0.870124,11.40572101874594,0.757,3.2030941,2.44511,1.48662688,0.7139721199999999,0.44256491,0.29096809
42,V1344Aql,0.873787,9.712609588121726,0.546,2.3102898,1.7635800000000001,1.0722566400000002,0.5149653599999999,0.31920798,0.20986602000000001
43,RSOri,0.878917,11.001908401272402,0.352,1.4894176,1.13696,0.6912716799999999,0.33199231999999995,0.20578976,0.13529824
44,BKAur,0.903222,11.677938427875784,0.425,1.7983025,1.37275,0.834632,0.40084299999999995,0.24846775,0.16335724999999998
45,GHLup,0.967448,10.22261827152559,0.347,1.4682610999999999,1.1208099999999999,0.6814524799999999,0.32727651999999996,0.20286660999999998,0.13337638999999998
46,FNAql,0.976878,10.582928469687204,0.486,2.0564118,1.56978,0.95442624,0.4583757599999999,0.28413018,0.18680381999999998
47,YZSgr,0.980171,10.244027307737111,0.281,1.1889953000000002,0.90763,0.5518390400000001,0.26502796,0.16428103000000002,0.10800797000000001
48,SNor,0.989194,9.728963126792776,0.179,0.7574027,0.57817,0.35152736,0.16882563999999997,0.10464876999999999,0.06880222999999999
49,DDCas,0.991759,12.077054664486075,0.45,1.904085,1.4535,0.8837280000000001,0.42442199999999997,0.2630835,0.1729665
50,BZCyg,1.006127,11.344383530323435,0.885,3.7447005,2.85855,1.7379984,0.8346965999999999,0.51739755,0.34016745
51,SYAur,1.006262,11.519353307836806,0.432,1.8279216,1.39536,0.8483788800000001,0.40744511999999994,0.25256016,0.16604784
52,YSct,1.014575,11.143930014246289,0.757,3.2030941,2.44511,1.48662688,0.7139721199999999,0.44256491,0.29096809
53,TWNor,1.032868,11.971016997017266,1.157,4.8956141,3.73711,2.27216288,1.0912361199999998,0.67641691,0.44471609
54,ZLac,1.036854,11.32206851288647,0.37,1.5655810000000001,1.1951,0.7266208,0.3489692,0.21631309999999998,0.1422169
55,XXCen,1.039548,11.102331520324078,0.271,1.1466823000000002,0.87533,0.53220064,0.25559635999999997,0.15843473,0.10416427
56,TYSct,1.043507,11.91595055784764,0.965,4.0832045,3.1169499999999997,1.8951056,0.9101493999999999,0.56416795,0.37091704999999997
57,V340Nor,1.052579,11.4064412652367,0.322,1.3624786,1.04006,0.63235648,0.30369752,0.18825086,0.12376714
58,AAGem,1.053181,12.300634761167014,0.309,1.3074717,0.99807,0.60682656,0.29143643999999996,0.18065066999999999,0.11877033
59,RXAur,1.065337,10.80361415548236,0.263,1.1128319,0.8494900000000001,0.51648992,0.24805107999999998,0.15375769,0.10108931
60,UUMus,1.065819,12.313232382609929,0.404,1.7094452000000002,1.30492,0.7933913600000001,0.38103664,0.23619052000000001,0.15528548
61,RYCas,1.084181,11.996823112034368,0.618,2.6149434,1.99614,1.21365312,0.5828728799999999,0.36130133999999997,0.23754066
62,UNor,1.101875,10.894666037511602,0.857,3.6262241,2.76811,1.68301088,0.8082881199999999,0.50102791,0.32940509
63,ZSct,1.110645,12.066442294122076,0.492,2.0817996,1.58916,0.96620928,0.46403471999999996,0.28763795999999997,0.18911003999999998
64,BNPup,1.135867,12.388919204911469,0.416,1.7602208,1.34368,0.8169574399999999,0.3923545599999999,0.24320608,0.15989792
65,TTAql,1.138459,9.932871345899628,0.435,1.8406155,1.40505,0.8542704,0.41027459999999993,0.25431405,0.16720095
66,LSPup,1.150646,13.05227817705691,0.462,1.9548606000000002,1.4922600000000001,0.90729408,0.43573991999999995,0.27009906,0.17757894
67,TXCyg,1.167607,10.297969519686204,1.13,4.781369,3.6498999999999997,2.2191392,1.0657707999999997,0.6606318999999999,0.43433809999999995
68,UZSct,1.168739,12.235944074870767,1.02,4.315926,3.2946,2.0031168,0.9620231999999999,0.5963226,0.3920574
69,RWCas,1.170032,12.150423688538693,0.38,1.607894,1.2274,0.7462592,0.35840079999999996,0.2221594,0.14606059999999998
70,VWCen,1.177138,12.645686718721777,0.439,1.8575407,1.41797,0.86212576,0.4140472399999999,0.25665256999999997,0.16873843
71,SZCyg,1.179252,11.57941626507364,0.571,2.4160722999999997,1.8443299999999998,1.12135264,0.5385443599999999,0.33382373,0.21947526999999997
72,SVMon,1.182801,11.493701472036832,0.234,0.9901242000000001,0.75582,0.45953856000000004,0.22069944,0.13680342,0.08994258000000001
73,XCyg,1.214482,10.119499113710727,0.228,0.9647364,0.73644,0.44775552,0.21504047999999998,0.13329564,0.08763636
74,CDCyg,1.232334,11.831463238585702,0.493,2.0860309,1.59239,0.96817312,0.46497787999999995,0.28822259,0.18949441
75,YOph,1.233609,9.319633753826372,0.647,2.7376511000000003,2.08981,1.27060448,0.6102245199999999,0.37825561,0.24868739
76,SZAql,1.234029,11.256058008028884,0.534,2.2595142000000004,1.72482,1.04869056,0.50364744,0.31219242,0.20525358000000002
77,CPCep,1.251989,12.531832906000954,0.649,2.7461137,2.09627,1.2745321600000001,0.6121108399999999,0.37942487,0.24945613
78,VYCar,1.276818,11.096359923379694,0.242,1.0239746,0.78166,0.47524928,0.22824471999999996,0.14148046,0.09301754
79,VXCyg,1.303917,12.23020280080577,0.753,3.1861689,2.43219,1.47877152,0.7101994799999999,0.44022638999999997,0.28943061
80,RYSco,1.307927,10.476692647650534,0.718,3.0380734,2.31914,1.41003712,0.6771888799999999,0.41976433999999996,0.27597765999999996
81,RZVel,1.309564,10.793705173405876,0.3,1.26939,0.969,0.589152,0.282948,0.175389,0.115311
82,WZSgr,1.339443,10.967760656251569,0.435,1.8406155,1.40505,0.8542704,0.41027459999999993,0.25431405,0.16720095
83,WZCar,1.361977,12.483841530446382,0.372,1.5740436,1.20156,0.7305484800000001,0.35085552,0.21748235999999999,0.14298564
84,VZPup,1.364945,12.96163567071646,0.455,1.9252415,1.4696500000000001,0.8935472000000001,0.42913779999999996,0.26600665,0.17488835
85,SWVel,1.370016,11.74250303919865,0.344,1.4555672,1.1111199999999999,0.67556096,0.3244470399999999,0.20111271999999997,0.13222328
86,XPup,1.414321,11.818070902897958,0.421,1.7813773,1.3598299999999999,0.82677664,0.39707035999999996,0.24612922999999998,0.16181977
87,RYVel,1.449158,11.955188031554531,0.545,2.3060585000000002,1.76035,1.0702928,0.5140222,0.31862335,0.20948165000000002
88,KQSco,1.457818,11.484080204997342,0.869,3.6769997,2.80687,1.70657696,0.8196060399999999,0.5080434699999999,0.33401753
89,AQPup,1.478624,12.415260552745409,0.518,2.1918134,1.67314,1.0172691200000001,0.48855687999999997,0.30283834,0.19910366
90,KNCen,1.531857,12.70949627515709,0.791,3.3469583000000003,2.55493,1.5533974400000001,0.7460395599999999,0.46244233,0.30403667
91,UCar,1.58897,11.122760074756943,0.263,1.1128319,0.8494900000000001,0.51648992,0.24805107999999998,0.15375769,0.10108931
92,RSPup,1.61742,11.05487314490565,0.457,1.9337041000000001,1.47611,0.8974748800000001,0.43102411999999996,0.26717591,0.17565709
93,SVVul,1.652569,11.8154976151152,0.462,1.9548606000000002,1.4922600000000001,0.90729408,0.43573991999999995,0.27009906,0.17757894
94,SVul,1.837426,12.882775885631403,0.787,3.3300331,2.54201,1.5455420800000002,0.7422669199999999,0.46010381,0.30249919000000003
