,Unnamed: 0,name,logP,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,plx,EBV
38,38,xSgr,0.845893,5.311,4.561,3.655,3.016,2.618,2.521,7.656269118243055,0.158818227534858
39,39,V0600Aql,0.859672,11.527,10.036,8.199,7.074,6.45,6.272,11.259348318024385,0.7333277371095052
40,40,V0459Cyg,0.860413,12.035,10.601,8.837,7.715,7.073,6.903,11.8820689467904,0.7224913327622307
41,41,CKSct,0.870124,12.165,10.575,8.778,7.498,6.82,6.652,11.60572101874594,0.8017083864796083
42,42,V1344Aql,0.873787,9.131,7.766,6.311,5.279,4.729,4.59,9.672609588121729,0.5275719910987652
43,43,RSOri,0.878917,9.376,8.414,7.253,6.489,6.018,5.917,11.101908401272402,0.3010374569319435
44,44,BKAur,0.903222,10.524,9.457,8.249,7.387,6.885,6.772,11.997938427875784,0.3615246044912568
45,45,GHLup,0.967448,8.844,7.637,6.364,5.492,4.96,4.813,10.20261827152559,0.4201774832030996
46,46,FNAql,0.976878,9.593,8.389,6.947,6.05,5.495,5.356,10.782928469687205,0.461576272179147
47,47,YZSgr,0.980171,8.372,7.351,6.214,5.472,5.003,4.903,10.404027307737111,0.2606103443438746
48,48,SNor,0.989194,7.375,6.429,5.427,4.729,4.275,4.162,9.688963126792776,0.2210316495897129
49,49,DDCas,0.991759,11.076,9.879,8.507,7.627,7.068,6.948,12.417054664486075,0.430986965247315
50,50,BZCyg,1.006127,11.837,10.221,8.324,6.886,6.155,5.924,11.224383530323436,0.9200004855442252
51,51,SYAur,1.006262,10.09,9.07,7.843,7.008,6.524,6.405,11.959353307836803,0.3255622855721632
52,52,YSct,1.014575,11.194,9.632,7.841,6.578,5.896,5.691,11.083930014246288,0.7857611785413002
53,53,TWNor,1.032868,13.63,11.701,9.287,7.506,6.694,6.39,11.651016997017264,1.258082613339523
54,54,ZLac,1.036854,9.514,8.414,7.148,6.346,5.827,5.693,11.32206851288647,0.3601136039716546
55,55,XXCen,1.039548,8.803,7.819,6.736,5.991,5.53,5.407,11.08233152032408,0.2477150951385514
56,56,TYSct,1.043507,12.507,10.818,8.825,7.355,6.638,6.429,11.85595055784764,0.9143434287668109
57,57,V340Nor,1.052579,9.526,8.371,7.168,6.272,5.732,5.586,11.2264412652367,0.3920100413338577
58,58,AAGem,1.053181,10.809,9.729,8.581,7.734,7.2,7.106,12.780634761167017,0.3139950647930595
59,59,RXAur,1.065337,8.631,7.669,6.59,5.819,5.355,5.269,11.02361415548236,0.2236686847673398
60,60,UUMus,1.065819,10.936,9.794,8.486,7.528,6.989,6.828,12.493232382609929,0.4455444641032881
61,61,RYCas,1.084181,11.321,9.95,8.403,7.175,6.551,6.373,12.016823112034368,0.6334480481285472
62,62,UNor,1.101875,10.841,9.247,7.352,5.931,5.237,4.991,10.594666037511605,0.8831599380632746
63,63,ZSct,1.110645,10.927,9.592,8.055,7.055,6.478,6.323,12.126442294122077,0.5082154483955619
64,64,BNPup,1.135867,11.069,9.882,8.552,7.626,7.076,6.921,12.808919204911469,0.4237309735116217
65,65,TTAql,1.138459,8.436,7.138,5.678,4.772,4.204,4.051,9.952871345899627,0.4559353746436161
66,66,LSPup,1.150646,11.685,10.448,9.074,8.094,7.518,7.353,13.272278177056911,0.4617814699641805
67,67,TXCyg,1.167607,11.363,9.489,7.228,5.462,4.637,4.372,10.057969519686203,1.1521079115041444
68,69,RWCas,1.170032,10.462,9.233,7.871,6.934,6.367,6.237,12.230423688538693,0.4157434033044787
69,70,VWCen,1.177138,11.586,10.248,8.77,7.654,7.014,6.819,12.745686718721776,0.5956869047890289
70,71,SZCyg,1.179252,10.91,9.432,7.755,6.635,5.961,5.775,11.719416265073638,0.6452275388939908
71,72,SVMon,1.182801,9.31,8.256,7.133,6.345,5.826,5.726,11.813701472036833,0.2540586055176689
72,73,XCyg,1.214482,7.533,6.377,5.223,4.471,3.964,3.838,10.039499113710727,0.2468734563046425
73,74,CDCyg,1.232334,10.217,8.948,7.448,6.463,5.89,5.72,11.891463238585702,0.4772091904431115
74,75,YOph,1.233609,7.531,6.166,4.524,3.437,2.869,2.682,8.839633753826371,0.5494499111401966
75,76,SZAql,1.234029,10.033,8.634,7.018,5.955,5.347,5.16,11.316058008028884,0.5529141148828765
76,77,CPCep,1.251989,12.223,10.577,8.773,7.457,6.726,6.537,12.631832906000954,0.7622176686918756
77,78,VYCar,1.276818,8.642,7.463,6.28,5.463,4.945,4.806,11.176359923379694,0.2749146664028531
78,79,VXCyg,1.303917,11.769,10.062,8.161,6.816,6.083,5.905,12.15020280080577,0.7817058102407302
79,80,RYSco,1.307927,9.462,8.018,6.255,4.999,4.365,4.143,10.456692647650534,0.6802778885066161
80,81,RZVel,1.309564,8.216,7.09,5.867,4.979,4.46,4.308,10.753705173405876,0.3139801171723558
81,82,WZSgr,1.339443,9.424,8.03,6.497,5.404,4.765,4.568,11.007760656251568,0.5548659196299034
82,83,WZCar,1.361977,10.427,9.266,7.963,7.009,6.456,6.29,12.863841530446384,0.3747733565502278
83,84,VZPup,1.364945,10.793,9.634,8.305,7.373,6.83,6.67,13.28163567071646,0.347557878548476
84,85,SWVel,1.370016,9.281,8.128,6.844,5.931,5.39,5.231,11.86250303919865,0.3270062404182259
85,86,XPup,1.414321,9.702,8.507,7.107,6.18,5.6,5.431,12.178070902897955,0.3833716588561153
86,87,RYVel,1.449158,9.744,8.371,6.834,5.7,5.123,4.928,11.735188031554532,0.4865832559758728
87,88,KQSco,1.457818,11.747,9.81,7.658,6.025,5.218,4.947,11.564080204997342,0.9974218830156136
88,89,AQPup,1.478624,10.081,8.705,7.14,6.102,5.483,5.299,12.195260552745408,0.4848115060906514
89,90,KNCen,1.531857,11.468,9.856,7.996,6.517,5.756,5.49,12.36949627515709,0.836455318791803
90,91,UCar,1.58897,7.469,6.292,5.057,4.193,3.67,3.522,10.842760074756944,0.2269519512665878
91,92,RSPup,1.61742,8.442,7.01,5.489,4.44,3.827,3.647,10.97487314490565,0.4292700392598583
92,93,SVVul,1.652569,8.7,7.213,5.67,4.668,4.09,3.93,11.3954976151152,0.3757419444352426
93,94,SVul,1.837426,10.85,8.961,6.941,5.536,4.832,4.6,12.482775885631405,0.7047698673784631
