,Unnamed: 0,name,logP,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,plx,EBV
31,31,RRLac,0.807281,9.753,8.842,7.816,7.058,6.619,6.527,11.474609409067936,0.2710423006010988
32,32,XXSgr,0.807815,9.967,8.856,7.469,6.496,5.961,5.824,10.69248084128896,0.5200924085613958
33,33,BBSgr,0.821971,7.924,6.94,5.822,5.099,4.639,4.51,9.559813198538286,0.2790948951519356
34,34,VCar,0.82586,8.235,7.368,6.421,5.806,5.387,5.284,10.389031150564476,0.1548823893741895
35,35,V0495Cyg,0.827263,12.246,10.618,8.694,7.233,6.542,6.314,11.042048975110925,0.9838376411531196
36,36,USgr,0.828997,7.786,6.69,5.426,4.587,4.093,3.954,8.963040732551553,0.3975821852051824
37,37,TWCMa,0.844792,10.534,9.564,8.419,7.66,7.175,7.069,12.141871648972968,0.3096434670665892
38,38,xSgr,0.845893,5.311,4.561,3.655,3.016,2.618,2.521,7.676269118243055,0.1278832973877505
39,39,V0600Aql,0.859672,11.527,10.036,8.199,7.074,6.45,6.272,11.239348318024383,0.7560231615175954
40,40,V0459Cyg,0.860413,12.035,10.601,8.837,7.715,7.073,6.903,11.8620689467904,0.7407741350263608
41,41,CKSct,0.870124,12.165,10.575,8.778,7.498,6.82,6.652,11.52572101874594,0.8729910780828877
42,42,V1344Aql,0.873787,9.131,7.766,6.311,5.279,4.729,4.59,9.612609588121728,0.5854286328926507
43,43,RSOri,0.878917,9.376,8.414,7.253,6.489,6.018,5.917,11.101908401272402,0.2948024221809278
44,44,BKAur,0.903222,10.524,9.457,8.249,7.387,6.885,6.772,11.977938427875785,0.3695976097705019
45,45,GHLup,0.967448,8.844,7.637,6.364,5.492,4.96,4.813,10.22261827152559,0.4067152357113643
46,46,FNAql,0.976878,9.593,8.389,6.947,6.05,5.495,5.356,10.782928469687205,0.4602328311420345
47,47,YZSgr,0.980171,8.372,7.351,6.214,5.472,5.003,4.903,10.404027307737111,0.259954572267736
48,48,SNor,0.989194,7.375,6.429,5.427,4.729,4.275,4.162,9.728963126792776,0.1854774071922891
49,49,DDCas,0.991759,11.076,9.879,8.507,7.627,7.068,6.948,12.397054664486076,0.4399556962506324
50,50,BZCyg,1.006127,11.837,10.221,8.324,6.886,6.155,5.924,11.204383530323437,0.933185097186876
51,51,SYAur,1.006262,10.09,9.07,7.843,7.008,6.524,6.405,11.959353307836803,0.3157263249738836
52,52,YSct,1.014575,11.194,9.632,7.841,6.578,5.896,5.691,11.063930014246289,0.8028747060524127
53,53,TWNor,1.032868,13.63,11.701,9.287,7.506,6.694,6.39,11.651016997017264,1.2803331809990837
54,54,ZLac,1.036854,9.514,8.414,7.148,6.346,5.827,5.693,11.362068512886472,0.3217263026211844
55,55,XXCen,1.039548,8.803,7.819,6.736,5.991,5.53,5.407,11.10233152032408,0.2241673366567141
56,56,TYSct,1.043507,12.507,10.818,8.825,7.355,6.638,6.429,11.79595055784764,0.9662495887582632
57,57,V340Nor,1.052579,9.526,8.371,7.168,6.272,5.732,5.586,11.2464412652367,0.3716935215069267
58,58,AAGem,1.053181,10.809,9.729,8.581,7.734,7.2,7.106,12.740634761167016,0.3347598077556303
59,59,RXAur,1.065337,8.631,7.669,6.59,5.819,5.355,5.269,11.00361415548236,0.2334247827711197
60,60,UUMus,1.065819,10.936,9.794,8.486,7.528,6.989,6.828,12.533232382609928,0.4119600035190344
61,61,RYCas,1.084181,11.321,9.95,8.403,7.175,6.551,6.373,11.976823112034367,0.665044490200318
62,62,UNor,1.101875,10.841,9.247,7.352,5.931,5.237,4.991,10.614666037511602,0.8714520315445929
63,63,ZSct,1.110645,10.927,9.592,8.055,7.055,6.478,6.323,12.106442294122076,0.5316367061189314
64,64,BNPup,1.135867,11.069,9.882,8.552,7.626,7.076,6.921,12.828919204911468,0.4005833060994549
65,65,TTAql,1.138459,8.436,7.138,5.678,4.772,4.204,4.051,9.972871345899629,0.4421416261917832
66,66,LSPup,1.150646,11.685,10.448,9.074,8.094,7.518,7.353,13.29227817705691,0.439050327587456
67,67,TXCyg,1.167607,11.363,9.489,7.228,5.462,4.637,4.372,9.997969519686205,1.203896269921088
68,68,UZSct,1.168739,13.124,11.247,9.184,7.534,6.746,6.534,12.155944074870767,1.0988265947593434
69,69,RWCas,1.170032,10.462,9.233,7.871,6.934,6.367,6.237,12.210423688538691,0.4296337820653609
70,70,VWCen,1.177138,11.586,10.248,8.77,7.654,7.014,6.819,12.785686718721776,0.5649396818411839
71,71,SZCyg,1.179252,10.91,9.432,7.755,6.635,5.961,5.775,11.719416265073638,0.647241649159948
72,72,SVMon,1.182801,9.31,8.256,7.133,6.345,5.826,5.726,11.813701472036833,0.2464360116253128
73,73,XCyg,1.214482,7.533,6.377,5.223,4.471,3.964,3.838,10.039499113710727,0.2437011764373214
74,74,CDCyg,1.232334,10.217,8.948,7.448,6.463,5.89,5.72,11.911463238585702,0.459504116598958
75,75,YOph,1.233609,7.531,6.166,4.524,3.437,2.869,2.682,8.85963375382637,0.5381594591243445
76,76,SZAql,1.234029,10.033,8.634,7.018,5.955,5.347,5.16,11.316058008028884,0.558977652761991
77,77,CPCep,1.251989,12.223,10.577,8.773,7.457,6.726,6.537,12.591832906000954,0.8015843940552209
78,78,VYCar,1.276818,8.642,7.463,6.28,5.463,4.945,4.806,11.196359923379694,0.2596789802875962
79,79,VXCyg,1.303917,11.769,10.062,8.161,6.816,6.083,5.905,12.09020280080577,0.8339624620993862
80,80,RYSco,1.307927,9.462,8.018,6.255,4.999,4.365,4.143,10.476692647650534,0.6663003373739561
81,81,RZVel,1.309564,8.216,7.09,5.867,4.979,4.46,4.308,10.793705173405876,0.280193889724631
82,82,WZSgr,1.339443,9.424,8.03,6.497,5.404,4.765,4.568,11.047760656251567,0.5271122533386
83,83,WZCar,1.361977,10.427,9.266,7.963,7.009,6.456,6.29,12.903841530446382,0.334432508676121
84,84,VZPup,1.364945,10.793,9.634,8.305,7.373,6.83,6.67,13.30163567071646,0.3181346638146225
85,85,SWVel,1.370016,9.281,8.128,6.844,5.931,5.39,5.231,11.88250303919865,0.3055238087572068
86,86,XPup,1.414321,9.702,8.507,7.107,6.18,5.6,5.431,12.218070902897958,0.3398852510949923
87,87,RYVel,1.449158,9.744,8.371,6.834,5.7,5.123,4.928,11.735188031554532,0.4896561090226076
88,88,KQSco,1.457818,11.747,9.81,7.658,6.025,5.218,4.947,11.524080204997343,1.046123024914421
89,89,AQPup,1.478624,10.081,8.705,7.14,6.102,5.483,5.299,12.235260552745409,0.4477774830591094
90,90,KNCen,1.531857,11.468,9.856,7.996,6.517,5.756,5.49,12.409496275157087,0.7933473442598723
91,91,UCar,1.58897,7.469,6.292,5.057,4.193,3.67,3.522,10.862760074756943,0.2073923212923312
92,92,RSPup,1.61742,8.442,7.01,5.489,4.44,3.827,3.647,10.99487314490565,0.4130796796592408
93,93,SVVul,1.652569,8.7,7.213,5.67,4.668,4.09,3.93,11.3754976151152,0.3958874878624005
94,94,SVul,1.837426,10.85,8.961,6.941,5.536,4.832,4.6,12.442775885631404,0.7487755579766642
