,Unnamed: 0,Unnamed: 0.1,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag
27,27,27,32,VCen,0.739882,9.181,0.2724236446778221,7.705,6.834,5.796,5.073,4.628,4.509
28,28,28,33,RZGem,0.742669,11.595,0.508301437073214,11.055,10.006,8.662,7.703,7.164,7.01
29,29,29,34,YSgr,0.761428,8.363000000000001,0.2061535937739289,6.595,5.743,4.797,4.131,3.702,3.612
30,30,30,35,FMCas,0.764123,11.295,0.3434873199064945,10.119,9.128,7.978,7.223,6.746,6.638
31,31,31,36,CSVel,0.771201,12.575,0.7604731363112858,13.049,11.709,10.068,8.84,8.234,8.018
32,32,32,37,MWCyg,0.774852,10.527,0.6981060075360317,10.841,9.483,7.874,6.799,6.209,6.041
33,33,33,38,CRCep,0.794695,10.46,0.7855764724437885,11.048,9.655,7.929,6.754,6.098,5.935
34,34,34,39,RSCas,0.799056,10.597,0.8492290906737825,11.423,9.944,8.217,6.884,6.227,6.03
35,35,35,40,XVul,0.800689,9.757,0.7568886462263642,10.28,8.835,7.137,6.021,5.426,5.255
36,36,36,41,RRLac,0.807281,11.412,0.2648828478933255,9.753,8.842,7.816,7.058,6.619,6.527
37,37,37,42,XXSgr,0.807815,10.577,0.5226204427591963,9.967,8.856,7.469,6.496,5.961,5.824
38,38,38,43,AWPer,0.810474,9.495,0.4330666163510586,8.533,7.467,6.19,5.308,4.83,4.715
39,39,39,44,BBSgr,0.821971,9.41,0.2997166513405695,7.924,6.94,5.822,5.099,4.639,4.51
40,40,40,45,VCar,0.82586,10.255,0.1747584107196324,8.235,7.368,6.421,5.806,5.387,5.284
41,41,41,47,USgr,0.828997,8.801,0.4171172988218425,7.786,6.69,5.426,4.587,4.093,3.954
42,42,42,48,TWCMa,0.844792,12.046,0.3151217930676088,10.534,9.564,8.419,7.66,7.175,7.069
43,43,43,49,xSgr,0.845893,7.648999999999998,0.1370480751500419,5.311,4.561,3.655,3.016,2.618,2.521
44,44,44,50,UAql,0.846591,8.821000000000002,0.3519607255530009,7.475,6.449,5.259,4.476,4.008,3.89
45,45,45,51,etaAql,0.85593,7.092,0.1077621432880569,4.689,3.904,3.018,2.46,2.066,1.985
46,46,46,53,V0459Cyg,0.860413,11.64,0.7660856143771146,12.035,10.601,8.837,7.715,7.073,6.903
47,47,47,55,CKSct,0.870124,11.358,0.8597045524396987,12.165,10.575,8.778,7.498,6.82,6.652
48,48,48,58,RSOri,0.878917,11.017,0.3090214747737844,9.376,8.414,7.253,6.489,6.018,5.917
49,49,49,60,GHCyg,0.893092,11.648,0.588570376549166,11.159,9.896,8.43,7.356,6.799,6.638
50,50,50,61,VYCyg,0.895256,11.387,0.5656524818620414,10.822,9.582,8.079,7.102,6.548,6.396
51,51,51,62,RXCam,0.898288,9.606,0.5293251732709422,8.888,7.669,6.223,5.266,4.724,4.599
52,52,52,63,WGem,0.898368,9.875,0.2271701975313219,7.865,6.95,5.901,5.204,4.763,4.693
53,53,53,65,DLCas,0.903126,11.047,0.487409626007351,10.121,8.968,7.575,6.651,6.101,5.949
54,54,54,66,BKAur,0.903222,11.928,0.3729995730040084,10.524,9.457,8.249,7.387,6.885,6.772
55,55,55,67,SSge,0.923352,9.122,0.0691879180226259,6.424,5.617,4.775,4.227,3.846,3.765
56,56,56,68,FNAql,0.976878,10.667,0.4844693667488016,9.593,8.389,6.947,6.05,5.495,5.356
57,57,57,69,YZSgr,0.980171,10.341,0.2739111267824792,8.372,7.351,6.214,5.472,5.003,4.903
58,58,58,70,SMus,0.98498,9.63,0.1253333114023517,6.963,6.136,5.188,4.553,4.127,4.017
59,59,59,71,SNor,0.989194,9.728,0.1886472764999391,7.375,6.429,5.427,4.729,4.275,4.162
60,60,60,72,DDCas,0.991759,12.333,0.4434525845913221,11.076,9.879,8.507,7.627,7.068,6.948
61,61,61,73,betaDor,0.993131,7.603000000000001,0.0149072168800052,4.545,3.743,2.947,2.438,2.029,1.959
62,62,62,75,BZCyg,1.006127,11.21,0.9173505029221743,11.837,10.221,8.324,6.886,6.155,5.924
63,63,63,77,ZetaGem,1.006497,7.812,-0.0051724768328412,4.708,3.849,3.117,2.612,2.201,2.131
64,64,64,78,YSct,1.014575,11.008,0.7997788101931556,11.194,9.632,7.841,6.578,5.896,5.691
65,65,65,79,TWNor,1.032868,11.591,1.28360270462242,13.63,11.701,9.287,7.506,6.694,6.39
66,66,66,80,ZLac,1.036854,11.31,0.3462829873449214,9.514,8.414,7.148,6.346,5.827,5.693
67,67,67,81,VXPer,1.036883,11.878,0.4502351075664316,10.492,9.299,7.919,6.98,6.437,6.298
68,68,68,82,XXCen,1.039548,11.139,0.2263872885998678,8.803,7.819,6.736,5.991,5.53,5.407
69,69,69,83,TYSct,1.043507,11.758,0.9656433619478912,12.507,10.818,8.825,7.355,6.638,6.429
70,70,70,84,SVPer,1.046469,11.943,0.3364930941356637,10.023,8.977,7.734,6.891,6.355,6.237
71,71,71,85,V0438Cyg,1.049647,11.087000000000002,1.2136499310112585,12.847,10.943,8.639,6.921,6.081,5.789
72,72,72,87,AAGem,1.053181,12.832,0.3028559031743972,10.809,9.729,8.581,7.734,7.2,7.106
73,73,73,88,RXAur,1.065337,11.076,0.2234274391320869,8.631,7.669,6.59,5.819,5.355,5.269
74,74,74,89,UUMus,1.065819,12.593,0.4112628832606015,10.936,9.794,8.486,7.528,6.989,6.828
75,75,75,90,RYCas,1.084181,12.089,0.6352838339987489,11.321,9.95,8.403,7.175,6.551,6.373
76,76,76,91,UNor,1.101875,10.669,0.8700960969494798,10.841,9.247,7.352,5.931,5.237,4.991
77,77,77,93,ZSct,1.110645,12.078,0.5376469753366527,10.927,9.592,8.055,7.055,6.478,6.323
78,78,78,95,BNPup,1.135867,12.912,0.3952596438253242,11.069,9.882,8.552,7.626,7.076,6.921
79,79,79,96,TTAql,1.138459,9.93,0.4620436207401672,8.436,7.138,5.678,4.772,4.204,4.051
80,80,80,97,CYAur,1.141376,13.516,0.8124038931730602,13.446,11.867,9.962,8.708,7.961,7.774
81,81,81,98,LSPup,1.150646,13.383,0.437047276905554,11.685,10.448,9.074,8.094,7.518,7.353
82,82,82,99,TXCyg,1.167607,10.138,1.166867587473156,11.363,9.489,7.228,5.462,4.637,4.372
83,83,83,100,UZSct,1.168739,12.275,1.049709201891355,13.124,11.247,9.184,7.534,6.746,6.534
84,84,84,101,RWCas,1.170032,12.307,0.4088513876027238,10.462,9.233,7.871,6.934,6.367,6.237
85,85,85,103,SZCyg,1.179252,11.741,0.6446966892914708,10.91,9.432,7.755,6.635,5.961,5.775
86,86,86,104,SVMon,1.182801,11.941,0.2310772859573516,9.31,8.256,7.133,6.345,5.826,5.726
87,87,87,105,XCyg,1.214482,10.125,0.2358568542882483,7.533,6.377,5.223,4.471,3.964,3.838
88,88,88,106,RWCam,1.215224,11.289,0.5867030300656967,10.034,8.671,7.042,5.93,5.291,5.139
89,89,89,107,CDCyg,1.232334,12.005,0.4670221259700319,10.217,8.948,7.448,6.463,5.89,5.72
90,90,90,108,SZAql,1.234029,11.37,0.5652435107556966,10.033,8.634,7.018,5.955,5.347,5.16
91,91,91,110,CPCep,1.251989,12.7,0.769694511018529,12.223,10.577,8.773,7.457,6.726,6.537
92,92,92,113,VYCar,1.276818,11.324,0.2569729320123595,8.642,7.463,6.28,5.463,4.945,4.806
93,93,93,115,VXCyg,1.303917,12.203,0.8086873396086989,11.769,10.062,8.161,6.816,6.083,5.905
94,94,94,116,RYSco,1.307927,10.637,0.6738948054820401,9.462,8.018,6.255,4.999,4.365,4.143
95,95,95,117,RZVel,1.309564,11.004,0.2747648324031649,8.216,7.09,5.867,4.979,4.46,4.308
96,96,96,118,WZSgr,1.339443,11.239,0.5108706852291542,9.424,8.03,6.497,5.404,4.765,4.568
97,97,97,119,BMPer,1.360896,12.215,0.94941633542014,12.21,10.401,8.214,6.8,6.012,5.773
98,98,98,120,WZCar,1.361977,13.182,0.3188321403964562,10.427,9.266,7.963,7.009,6.456,6.29
99,99,99,122,SWVel,1.370016,12.136,0.2952052788236521,9.281,8.128,6.844,5.931,5.39,5.231
100,100,100,123,XPup,1.414321,12.458,0.3436828512499684,9.702,8.507,7.107,6.18,5.6,5.431
101,101,101,124,TMon,1.431915,10.645,0.1860716281586505,7.307,6.128,4.98,4.183,3.652,3.525
102,102,102,125,RYVel,1.449158,12.007,0.4838119883110497,9.744,8.371,6.834,5.7,5.123,4.928
103,103,103,126,KQSco,1.457818,11.777,1.001241925540261,11.747,9.81,7.658,6.025,5.218,4.947
104,104,104,127,AQPup,1.478624,12.47,0.4560099145539272,10.081,8.705,7.14,6.102,5.483,5.299
105,105,105,128,KNCen,1.531857,12.843,0.7529495060583314,11.468,9.856,7.996,6.517,5.756,5.49
106,106,106,129,lCar,1.550816,8.576,0.180159203881241,5.009,3.729,2.557,1.766,1.212,1.093
107,107,107,130,UCar,1.58897,11.243,0.191553406342448,7.469,6.292,5.057,4.193,3.67,3.522
108,108,108,131,RSPup,1.61742,11.308,0.4117440943856865,8.442,7.01,5.489,4.44,3.827,3.647
