name,Identifier,logP,B_mag,V_mag,I_mag,K_mag,EBV,J_mag,H_mag,DR3Name,RAdeg,DEdeg,Plx,RUWE,Gmag,BP-RP,BP-G,G-RP,RV,[Fe/H],E(BP-RP),RA_ICRS,DE_ICRS,plxDR3,mMplx,Period,mM0,Quality,FeH,MODE
XCyg,XCyg,1.214482,7.533,6.377,5.223,3.838,0.228,4.471,3.964,Gaia DR3 1870258975238302208,310.85076233271,35.58777650649,0.8842,1.277,6.199011,1.368372,0.611578,0.756794,19.1,,,310.85076233271,35.58777650649,0.9094554519071408,10.206092846195121,16.386337,10.303,2.0,0.089,FU
UAql,UAql,0.846591,7.475,6.449,5.259,3.89,0.36,4.476,4.008,Gaia DR3 4207681367143932800,292.33901044157,-7.04412597366,1.73,3.09,6.16102,1.434491,0.658596,0.775895,-0.74,-0.2496,0.6481,292.33901044157,-7.04412597366,1.7720938489773668,8.75756640938445,7.0241055,8.892,3.0,0.111,FU
USgr,USgr,0.828997,7.786,6.69,5.426,3.954,0.402,4.587,4.093,Gaia DR3 4092905375639902464,277.97220951561,-19.1250998575,1.5693,0.853,6.42923,1.489588,0.699878,0.78971,17.54,-0.9225,0.0018,277.97220951561,-19.1250998575,1.6050707059888893,8.972529157278565,6.745234,8.913,2.0,0.066,FU
SNor,SNor,0.989194,7.375,6.429,5.427,4.162,0.179,4.729,4.275,Gaia DR3 5835124087174043136,244.7159519047,-57.89980282729,1.0774,0.878,6.175861,1.196758,0.523911,0.672847,-0.22,-0.129,0.2211,244.7159519047,-57.89980282729,1.0959412109867408,9.801063709316807,9.7542515,9.914,2.0,0.104,FU
RSPup,RSPup,1.61742,8.442,7.01,5.489,3.647,0.457,4.44,3.827,Gaia DR3 5546476927338700416,123.26754647233,-34.57851289632,0.5693,1.157,6.638235,1.853358,0.95577,0.897588,31.8,,,123.26754647233,-34.57851289632,0.578212811734186,11.18956144845464,41.440025,11.291,2.0,0.217,FU
UVul,UVul,0.902584,8.419,7.125,5.542,3.957,0.603,4.631,4.099,Gaia DR3 1825621002188696448,294.15720454195,20.33293147254,1.2781,2.883,6.700444,1.808961,0.90101,0.907951,-2.75,,,294.15720454195,20.33293147254,1.3036302331895695,9.424227880666464,7.990686,9.035,3.0,0.082,FU
TTAql,TTAql,1.138459,8.436,7.138,5.678,4.051,0.435,4.772,4.204,Gaia DR3 4267397694768545920,287.05728923954,1.29863144782,0.9627,1.076,6.774303,1.675568,0.807858,0.86771,,-0.4549,0.2198,287.05728923954,1.29863144782,0.9943966840689069,10.012201662846625,13.75495,9.952,2.0,0.13,FU
VCen,VCen,0.739882,7.705,6.834,5.796,4.509,0.294,5.073,4.628,Gaia DR3 5891675303053080704,218.13779279681,-56.88774644776,1.3898,1.06,6.637,1.293163,0.591839,0.701324,-17.81,-0.4147,0.6055,218.13779279681,-56.88774644776,1.4101492886272764,9.253674536741,5.493916,9.075,3.0,-0.04,FU
BBSgr,BBSgr,0.821971,7.924,6.94,5.822,4.51,0.281,5.099,4.639,Gaia DR3 4085919765884068736,282.74947248862,-20.29525298445,1.1516,0.82,6.584278,1.258731,0.552543,0.706188,3.72,,,282.74947248862,-20.29525298445,1.1877215517138815,9.626426814990605,6.636988,9.642,1.0,0.074,FU
RZVel,RZVel,1.309564,8.216,7.09,5.867,4.308,0.3,4.979,4.46,Gaia DR3 5523162573544337408,129.2554000675,-44.1146536029,0.652,1.244,6.850103,1.581212,0.753757,0.827455,26.46,-0.9696,0.693,129.2554000675,-44.1146536029,0.6568394119726612,10.912703981873618,20.396893,10.698,2.0,0.048,FU
WGem,WGem,0.898368,7.865,6.95,5.901,4.693,0.255,5.204,4.763,Gaia DR3 3356940155020790656,98.73938107213,15.33046066377,0.9723,1.225,6.75011,1.322217,0.605814,0.716403,-2.82,,,98.73938107213,15.33046066377,1.0052236163762378,9.988686583975696,7.913488,9.824,6.0,-0.05,FU
AWPer,AWPer,0.810474,8.533,7.467,6.19,4.715,0.489,5.308,4.83,Gaia DR3 174489098011145216,71.9429804233,36.72278112168,1.0566,1.156,7.085648,1.484663,0.684055,0.800609,12.29,-0.5843,0.6817,71.9429804233,36.72278112168,1.0875555213135075,9.817742812167399,6.4635925,9.948,5.0,0.045,FU
YZSgr,YZSgr,0.980171,8.372,7.351,6.214,4.903,0.281,5.472,5.003,Gaia DR3 4099189015819292800,282.36912121969,-16.72304157114,0.8235,0.955,7.014152,1.313139,0.578158,0.734982,16.49,-0.78,0.1022,282.36912121969,-16.72304157114,0.8567057218244308,10.335841662469747,9.553689,10.388,1.0,0.081,FU
RYSco,RYSco,1.307927,9.462,8.018,6.255,4.143,0.718,4.999,4.365,Gaia DR3 4041690364529590144,267.71811125846,-33.70567624871,0.7279,0.733,7.489791,2.044532,1.023912,1.02062,-14.98,,,267.71811125846,-33.70567624871,0.7659000232098343,10.579139586576137,20.320158,10.352,2.0,0.067,FU
VYCar,VYCar,1.276818,8.642,7.463,6.28,4.806,0.242,5.463,4.945,Gaia DR3 5351161399793209984,161.13616016361,-57.56535723495,0.5535,0.916,7.337772,1.51116,0.708612,0.802548,,,,161.13616016361,-57.56535723495,0.5665705141735631,11.233730155298584,18.91551,11.36,1.0,0.055,FU
BFOph,BFOph,0.609329,8.2,7.337,6.366,5.178,0.235,5.701,5.285,Gaia DR3 4111834567779557376,256.52291020043,-26.58056513078,1.1538,0.837,7.069333,1.167566,0.506621,0.660945,-27.15,-0.5115,0.4736,256.52291020043,-26.58056513078,1.184992572454706,9.631421859037507,4.0675135,9.284,2.0,0.027,FU
VCar,VCar,0.82586,8.235,7.368,6.421,5.284,0.166,5.806,5.387,Gaia DR3 5302258008774271488,127.18202311384,-60.12256315649,0.7927,1.042,7.17335,1.139474,0.477389,0.662085,20.13,,,127.18202311384,-60.12256315649,0.7989759237953383,10.4873315372246,6.696687,9.727,2.0,-0.026,FU
WZSgr,WZSgr,1.339443,9.424,8.03,6.497,4.568,0.435,5.404,4.765,Gaia DR3 4094784475310672128,274.24882157138,-19.07583147548,0.5742,0.944,7.682094,1.77924,0.883683,0.895557,-5.58,-0.9491,0.6122,274.24882157138,-19.07583147548,0.6033949061027922,11.096991802432486,21.849575,11.293,2.0,0.273,FU
RXAur,RXAur,1.065337,8.631,7.669,6.59,5.269,0.263,5.819,5.355,Gaia DR3 200708636406382720,75.34662500842,39.9603810927,0.6182,0.982,7.36267,1.295845,0.569168,0.726676,-23.95,,,75.34662500842,39.9603810927,0.653680458923426,10.923172488040027,11.623499,11.009,3.0,-0.015,FU
XXCen,XXCen,1.039548,8.803,7.819,6.736,5.407,0.271,5.991,5.53,Gaia DR3 5871922507947292032,205.07765290606,-57.61318392067,0.5516,1.238,7.621872,1.337834,0.592699,0.745135,-11.88,,,205.07765290606,-57.61318392067,0.5649129621651804,11.240092300400269,10.953379,11.024,2.0,0.084,FU
RYVel,RYVel,1.449158,9.744,8.371,6.834,4.928,0.545,5.7,5.123,Gaia DR3 5355057622307185280,155.17091157355,-55.32138032787,0.3649,1.075,7.879678,1.78725,0.891147,0.896102,,,,155.17091157355,-55.32138032787,0.3694081360575676,12.162467718193092,28.12924,11.857,3.0,0.063,FU
SWVel,SWVel,1.370016,9.281,8.128,6.844,5.231,0.344,5.931,5.39,Gaia DR3 5329352998951582976,130.91118029355,-47.4030901241,0.404,1.049,7.787433,1.607461,0.749219,0.858242,,,,130.91118029355,-47.4030901241,0.4112284226544702,11.92958438038239,23.443153,12.049,3.0,-0.039,FU
V1162Aql,V1162Aql,0.730464,8.677,7.789,6.845,5.714,0.195,6.22,5.807,Gaia DR3 4190143160245024256,298.08749761841,-11.3669243656,0.7868,0.952,7.593359,1.153272,0.499295,0.653977,15.78,-0.0744,0.2865,298.08749761841,-11.3669243656,0.8178037646009765,10.436754472933437,5.376058,10.018,3.0,0.005,FU
FNAql,FNAql,0.976878,9.593,8.389,6.947,5.356,0.486,6.05,5.495,Gaia DR3 4269036830424588800,288.19713780419,3.55739781345,0.7018,1.125,8.005132,1.605709,0.703979,0.901731,8.26,-0.1958,0.7629,288.19713780418,3.55739781345,0.727564811473406,10.690641568331941,9.481522,10.354,2.0,-0.083,FU
TVel,TVel,0.666501,8.944,8.032,6.959,5.641,0.289,6.225,5.768,Gaia DR3 5521459979795304320,129.42006775171,-47.36194868437,0.9309,0.926,7.774636,1.253075,0.531322,0.721753,6.51,-0.3743,0.5009,129.42006775171,-47.36194868437,0.9372713526535202,10.140673284092125,4.6398187,10.04,2.0,-0.037,FU
SZAql,SZAql,1.234029,10.033,8.634,7.018,5.16,0.534,5.955,5.347,Gaia DR3 4267549637851481344,286.16423460279,1.30614320294,0.4901,0.94,8.201151,1.827561,0.851484,0.976077,5.05,,,286.16423460279,1.30614320294,0.5237746828164559,11.404277487351148,17.14072,11.668,2.0,0.181,FU
XPup,XPup,1.414321,9.702,8.507,7.107,5.431,0.421,6.18,5.6,Gaia DR3 5620098679741674496,113.19596459365,-20.90968216106,0.3763,1.038,8.347651,1.697088,0.774582,0.922506,89.29,,,113.19596459365,-20.90968216106,0.3958982392825665,12.012082148621722,25.960972,12.161,2.0,0.002,FU
RYCMa,RYCMa,0.670099,8.953,8.108,7.119,5.936,0.239,6.455,6.045,Gaia DR3 3046774762417915136,109.1568033685,-11.48729732864,0.8006,1.29,7.938902,1.221569,0.510564,0.711005,46.41,-0.1008,0.3669,109.1568033685,-11.48729732864,0.8228447913455686,10.423410378124547,4.678418,10.75,5.0,,FU
XVul,XVul,0.800689,10.28,8.835,7.137,5.255,0.742,6.021,5.426,Gaia DR3 2027263738133623168,299.36918285728,26.5564491634,0.8362,1.059,8.322478,1.876393,0.900714,0.975679,-17.91,,,299.36918285728,26.5564491634,0.8591664494264298,10.329613452877272,6.3195906,9.47,5.0,0.076,FU
STTau,STTau,0.605768,9.066,8.219,7.138,5.788,0.368,6.352,5.898,Gaia DR3 3346584610911570176,86.26316893008,13.57635184119,0.8812,1.351,8.051365,1.297464,0.557817,0.739648,1.46,-0.3466,0.6637,86.26316893008,13.57635184119,0.9000791286564376,10.228596543757622,4.0342984,10.173,3.0,-0.061,FU
AQPup,AQPup,1.478624,10.081,8.705,7.14,5.299,0.518,6.102,5.483,Gaia DR3 5597379741549105280,119.59202293226,-29.13008221932,0.2751,1.18,8.315241,1.883613,0.937991,0.945621,,0.3209,0.6648,119.59202293226,-29.13008221932,0.2918121746735618,12.674482964487549,30.103985,12.578,2.0,0.049,FU
ZLac,ZLac,1.036854,9.514,8.414,7.148,5.693,0.37,6.346,5.827,Gaia DR3 2007201567928631296,340.21724149798,56.82945573799,0.4866,1.055,8.185639,1.50366,0.676661,0.826998,-37.12,,,340.21724149798,56.82945573799,0.506984214539496,11.475027813245717,10.885643,11.395,2.0,0.025,FU
V340Nor,V340Nor,1.052579,9.526,8.371,7.168,5.586,0.322,6.272,5.732,Gaia DR3 5932569709575669504,243.32248330227,-54.23489685836,0.4665,0.919,8.036095,1.446433,0.661645,0.784788,-44.41,,,243.32248330227,-54.23489685836,0.48625302405618187,11.565688423685124,11.287014,11.215,4.0,,FU
TXCyg,TXCyg,1.167607,11.363,9.489,7.228,4.372,1.13,5.462,4.637,Gaia DR3 2161786374436607616,315.02658089008,42.59755012053,0.7954,0.952,8.521427,2.551886,1.344398,1.207489,-31.15,,,315.02658089008,42.59755012053,0.8347783834104224,10.39214402759162,14.709807,10.226,3.0,0.135,FU
RSOri,RSOri,0.878917,9.376,8.414,7.253,5.917,0.352,6.489,6.018,Gaia DR3 3368698813404804352,95.55497028344,14.67812664531,0.5552,1.119,8.193092,1.3455,0.595746,0.749754,43.09,-0.1611,0.5525,95.55497028344,14.67812664531,0.5934030704182107,11.133251054317014,7.566881,11.168,4.0,-0.02,FU
UNor,UNor,1.101875,10.841,9.247,7.352,4.991,0.857,5.931,5.237,Gaia DR3 5884368498528237952,235.58714333319,-55.31194067495,0.5969,0.984,8.493722,2.108131,1.057847,1.050284,-30.97,-0.16,1.3007,235.58714333319,-55.31194067495,0.6253183573922279,11.019494108019003,12.643723,10.572,2.0,0.119,FU
CDCyg,CDCyg,1.232334,10.217,8.948,7.448,5.72,0.493,6.463,5.89,Gaia DR3 2058374144759464064,301.1106612854,34.11224946615,0.3665,1.007,8.587173,1.681824,0.78891,0.892914,,-0.0117,0.9644,301.1106612854,34.11224946615,0.39323659946306927,12.026730340705887,17.073952,11.963,1.0,0.154,FU
XXSgr,XXSgr,0.807815,9.967,8.856,7.469,5.824,0.521,6.496,5.961,Gaia DR3 4096979650282842112,276.18541940721,-16.79717387453,0.687,1.1,8.539941,1.577002,0.702007,0.874994,3.16,,,276.18541940721,-16.79717387453,0.7242088550552029,10.700680846379209,6.424141,10.51,3.0,0.061,FU
V0386Cyg,V0386Cyg,0.720788,11.167,9.627,7.742,5.587,0.841,6.482,5.809,Gaia DR3 1968971582984827136,318.66846943872,41.716336531,0.8638,0.951,8.998431,2.050472,1.0166,1.033873,-0.07,-0.1374,1.3702,318.66846943872,41.716336531,0.8922078545232968,10.247669788899994,5.2576056,9.634,4.0,0.0,FU
SZCyg,SZCyg,1.179252,10.91,9.432,7.755,5.775,0.571,6.635,5.961,Gaia DR3 2071433765909167232,308.22621041712,46.6012487157,0.4186,0.956,8.952725,1.84288,0.902597,0.940283,,,,308.22621041712,46.6012487157,0.4461886752986179,11.752407283637574,15.10957,11.641,2.0,0.158,FU
BGLac,BGLac,0.726883,9.833,8.881,7.784,6.543,0.3,7.112,6.658,Gaia DR3 1960981328902089088,330.10475637179,43.44535204904,0.5555,1.43,8.614144,1.251175,0.544402,0.706773,-24.44,-0.3346,0.4836,330.10475637179,43.44535204904,0.5817790118008753,11.17620975184459,5.3319125,11.282,2.0,-0.011,FU
RRLac,RRLac,0.807281,9.753,8.842,7.816,6.527,0.319,7.058,6.619,Gaia DR3 2006989121667184384,340.36049512807,56.43277230583,0.4012,1.1,8.684987,1.287878,0.527432,0.760445,-43.08,-0.168,0.6044,340.36049512807,56.43277230583,0.4254641990979801,11.85568488986323,6.4162464,10.805,4.0,-0.01,FU
YSct,YSct,1.014575,11.194,9.632,7.841,5.691,0.757,6.578,5.896,Gaia DR3 4156450099578283776,279.51377343258,-8.36894716336,0.5185,0.944,8.931744,2.011136,0.98025,1.030885,11.65,0.0047,1.1386,279.51377343258,-8.36894716336,0.5534919714384416,11.284443371534877,10.341299,11.175,4.0,0.166,FU
SYAur,SYAur,1.006262,10.09,9.07,7.843,6.405,0.432,7.008,6.524,Gaia DR3 201509768065410944,78.16345237446,42.83178007665,0.4268,1.084,8.798152,1.37561,0.586559,0.789051,-10.01,,,78.16345237446,42.83178007665,0.45974023499787614,11.687437432598164,10.14523,12.132,3.0,-0.033,FU
VLac,VLac,0.697493,9.816,8.921,7.866,6.587,0.335,7.121,6.671,Gaia DR3 2003938801532007808,342.15828864485,56.32153324908,0.4725,1.094,8.771336,1.308413,0.534657,0.773755,-37.16,-0.2824,0.5188,342.15828864485,56.32153324908,0.4945021351514291,11.529159144373626,4.9830246,11.357,3.0,0.008,FU
CRCep,CRCep,0.794695,11.048,9.655,7.929,5.935,0.709,6.754,6.098,Gaia DR3 2008504454839717120,341.60317447817,59.44218743844,0.6727,1.056,9.031693,1.843758,0.902249,0.941508,-24.7,,,341.60317447817,59.44218743844,0.6991364560132636,10.777190256394054,6.2329698,9.973,2.0,-0.165,FU
VZCyg,VZCyg,0.687034,9.836,8.956,7.933,6.759,0.266,7.283,6.872,Gaia DR3 1960750328384177408,327.92264896468,43.13402308887,0.52,1.314,8.745005,1.19764,0.506611,0.69103,-18.29,-0.2581,0.5206,327.92264896468,43.13402308887,0.5484623619102718,11.304265852073845,4.864453,11.488,1.0,-0.057,FU
WZCar,WZCar,1.361977,10.427,9.266,7.963,6.29,0.372,7.009,6.456,Gaia DR3 5338182833266967680,163.8279757782,-60.93997649537,0.2705,1.376,8.997776,1.529316,0.704422,0.824894,,-0.1606,0.7831,163.8279757782,-60.93997649537,0.2815896728226487,12.751916383984494,23.013195,12.755,2.0,0.01,FU
FMCas,FMCas,0.764123,10.119,9.128,7.978,6.638,0.325,7.223,6.746,Gaia DR3 422226488141991296,3.61765603372,56.25293038823,0.4463,1.081,8.797508,1.280448,0.537297,0.743151,-37.31,-0.0682,0.4114,3.61765603372,56.25293038823,0.4658200030981689,11.658909330309495,5.809289,11.089,3.0,-0.148,FU
ZSct,ZSct,1.110645,10.927,9.592,8.055,6.323,0.492,7.055,6.478,Gaia DR3 4253435825622331392,280.7386394805,-5.82091281592,0.3188,0.903,9.223479,1.69163,0.830909,0.860722,53.29,-0.5432,0.4921,280.7386394805,-5.82091281592,0.34911043693230936,12.285185837075556,12.901643,12.15,3.0,0.237,FU
VYCyg,VYCyg,0.895256,10.822,9.582,8.079,6.396,0.606,7.102,6.548,Gaia DR3 1873112207907294848,316.06930218182,39.97223311596,0.4572,1.073,9.205185,1.666895,0.785139,0.881756,-7.42,,,316.06930218182,39.97223311596,0.48075049767892464,11.590401287510868,7.856986,11.176,5.0,-0.064,FU
ASPer,ASPer,0.696531,11.02,9.719,8.09,6.315,0.679,7.035,6.478,Gaia DR3 270272675510149504,64.94524474253,48.95326102831,0.6125,1.079,9.226171,1.776366,0.846898,0.929468,-34.56,-0.3998,1.2495,64.94524474253,48.95326102831,0.650111004828797,10.935062411642551,4.9719987,10.867,5.0,0.05,FU
VXCyg,VXCyg,1.303917,11.769,10.062,8.161,5.905,0.753,6.816,6.083,Gaia DR3 1873250780732545920,314.33678002732,40.17748649759,0.2878,0.998,9.421895,2.121063,1.097628,1.023436,-15.58,0.163,1.2215,314.33678002732,40.17748649759,0.32106299488409235,12.467048737564072,20.133396,12.358,3.0,0.081,FU
V0600Aql,V0600Aql,0.859672,11.527,10.036,8.199,6.272,0.798,7.074,6.45,Gaia DR3 4307944836090489600,290.25978306915,8.51632750768,0.4871,1.126,9.388953,1.896937,0.91533,0.981607,-3.11,-0.2468,0.0043,290.25978306915,8.51632750768,0.5229256159176089,11.407800416983083,7.23889,11.17,4.0,-0.08,FU
RSCas,RSCas,0.799056,11.423,9.944,8.217,6.03,0.833,6.884,6.227,Gaia DR3 2015820463470505600,354.31690503772,62.42898845585,0.6029,1.045,9.329637,1.962568,0.976338,0.98623,-39.21,-0.1898,1.2549,354.31690503772,62.42898845585,0.6321993518768109,10.99572976864851,6.2958736,10.35,4.0,0.115,FU
BKAur,BKAur,0.903222,10.524,9.457,8.249,6.772,0.425,7.387,6.885,Gaia DR3 261548119462093568,77.66762373902,49.68760306511,0.3927,1.007,9.128825,1.39373,0.587401,0.806329,-37.04,-0.0671,0.6489,77.66762373902,49.68760306511,0.42475575238114144,11.859303654284332,8.002433,11.437,3.0,0.005,FU
SWCas,SWCas,0.735675,10.808,9.703,8.387,6.859,0.467,7.5,6.982,Gaia DR3 2010285491880986112,346.79198165636,58.55419147277,0.4363,1.123,9.355734,1.465435,0.648597,0.816838,-32.01,-0.5406,0.8127,346.79198165636,58.55419147277,0.46125949534382754,11.68027340245187,5.4409533,11.69,3.0,0.046,FU
RYCas,RYCas,1.084181,11.321,9.95,8.403,6.373,0.618,7.175,6.551,Gaia DR3 1999252442448732288,358.02927448682,58.74171978277,0.3297,1.134,9.384336,1.74932,0.858231,0.891089,-92.26,-1.8015,0.7186,358.02927448682,58.74171978277,0.361690031975352,12.208317300230512,12.138946,12.092,3.0,0.15,FU
DDCas,DDCas,0.991759,11.076,9.879,8.507,6.948,0.45,7.627,7.068,Gaia DR3 2013029941628292352,359.39564965836,62.71824065724,0.3221,1.049,9.469182,1.480394,0.661828,0.818566,-62.72,-1.1153,0.0309,359.39564965836,62.71824065724,0.34722805034859505,12.296925990929065,9.812035,12.379,4.0,0.002,FU
BNPup,BNPup,1.135867,11.069,9.882,8.552,6.921,0.416,7.626,7.076,Gaia DR3 5596601154188852352,121.58947099704,-30.09687032198,0.2811,1.249,9.638985,1.630846,0.789432,0.841414,,,,121.58947099704,-30.09687032198,0.29582516732611025,12.644824405821653,13.6731,12.933,3.0,0.028,FU
AAGem,AAGem,1.053181,10.809,9.729,8.581,7.106,0.309,7.734,7.2,Gaia DR3 3430067092837622272,91.64560763763,26.32921983415,0.2749,1.249,9.393121,1.363424,0.614984,0.748441,,-0.2277,0.5586,91.64560763763,26.32921983415,0.30963550773175963,12.545746210105019,11.3026705,12.648,3.0,-0.192,FU
CVMon,CVMon,0.730685,11.596,10.305,8.616,6.576,0.722,7.404,6.791,Gaia DR3 3127142323596470144,99.27018871085,3.06396219477,0.5675,1.1,9.701135,1.824931,0.89334,0.931591,9.35,-1.4814,0.5633,99.27018871085,3.06396219477,0.6001473541798718,11.108710520996771,5.378795,10.953,2.0,-0.061,FU
V0438Cyg,V0438Cyg,1.049647,12.847,10.943,8.639,5.789,1.238,6.921,6.081,Gaia DR3 2062267687221984128,304.72629821519,40.06447451486,0.4929,1.094,9.948211,2.474897,1.365044,1.109854,,-0.097,1.958,304.72629821519,40.06447451486,0.5325027539977432,11.368390708996074,11.211069,11.432,5.0,0.22,FU
V0402Cyg,V0402Cyg,0.639968,10.897,9.867,8.669,7.299,0.391,7.895,7.41,Gaia DR3 2060021625508894592,302.28231841529,37.15195204657,0.3859,0.92,9.520483,1.348202,0.600918,0.747284,-17.96,-0.2234,0.512,302.28231841529,37.15195204657,0.40793940148305874,11.947021728130672,4.364836,11.433,5.0,0.01,FU
XYCas,XYCas,0.653376,11.085,9.953,8.736,7.212,0.533,7.832,7.335,Gaia DR3 426881614218441600,12.47192037703,60.12737898732,0.4069,1.18,9.585123,1.455218,0.668857,0.786362,-37.01,,,12.47192037703,60.12737898732,0.43694330091770417,11.797874573685071,4.5016937,11.076,3.0,-0.008,FU
SYCas,SYCas,0.609712,10.85,9.873,8.752,7.343,0.442,7.909,7.448,Gaia DR3 422923956470923008,3.79086871838,58.42428046193,0.4018,1.039,9.639541,1.344128,0.587946,0.756182,,-0.2768,0.8255,3.79086871838,58.42428046193,0.4247657513515505,11.859252537300778,4.0711017,11.511,3.0,-0.024,FU
VWCen,VWCen,1.177138,11.586,10.248,8.77,6.819,0.439,7.654,7.014,Gaia DR3 5864955727424819200,203.49589762776,-64.05556091566,0.2386,1.063,9.853758,1.733689,0.844557,0.889132,,-0.1565,0.5431,203.49589762776,-64.05556091566,0.25870771558533695,12.935953094411696,15.036196,12.713,3.0,0.31,FU
CPCep,CPCep,1.251989,12.223,10.577,8.773,6.537,0.649,7.457,6.726,Gaia DR3 2198162651499971200,329.46951559015,56.16388559015,0.2534,1.009,9.859632,2.037813,1.042439,0.995374,,-0.1676,1.0169,329.46951559015,56.16388559015,0.27462580887873805,12.806293254525485,17.864426,12.797,2.0,-0.05,FU
TYSct,TYSct,1.043507,12.507,10.818,8.825,6.429,0.965,7.355,6.638,Gaia DR3 4256744187345732224,280.53296920017,-4.29349280288,0.3279,0.905,9.899057,2.149066,1.121984,1.027081,8.63,,,280.53296920017,-4.29349280288,0.37681848692297226,12.119338993147352,11.053682,11.663,4.0,0.324,FU
V0459Cyg,V0459Cyg,0.860413,12.035,10.601,8.837,6.903,0.73,7.715,7.073,Gaia DR3 2165771172070496512,317.72653587334,49.14204142755,0.3551,1.086,10.057569,1.946774,0.961648,0.985126,-20.94,,,317.72653587334,49.14204142755,0.38332595718360224,12.082158855986078,7.2512527,11.551,4.0,0.055,FU
V0916Aql,V0916Aql,1.128449,12.574,10.791,8.896,6.581,1.089,7.486,6.767,Gaia DR3 4313179507891570304,287.50172438518,12.53653558769,0.2987,0.916,10.064854,2.183231,1.126293,1.056938,15.26,0.2422,1.226,287.50172438518,12.53653558769,0.33857020522537945,12.351756316125806,13.44154,12.503,1.0,0.278,FU
LSPup,LSPup,1.150646,11.685,10.448,9.074,7.353,0.462,8.094,7.518,Gaia DR3 5597327141100381568,119.74673595271,-29.30786248156,0.1925,1.247,10.147516,1.660714,0.78062,0.880095,94.89,,,119.74673595271,-29.30786248156,0.2082134934545069,13.407455645430378,14.146401,13.395,2.0,,FU
