,Unnamed: 0,gal,name,overtone,logP,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,BPmag,Gmag,RPmag,gplx,IRSB,EBV,E(BP-RP),DR3Name,RA_ICRS,DE_ICRS,QLT,RUWE,[Fe/H],Mb_1,Mv_1,Mi_1,Mj_1,Mh_1,Mk_1,Wvi_1,Wjk_1,Radius_IRSB,Teq,Mass,mu,rd
35,38,MW,DDCas,0,0.991759,11.076,9.879,8.507,7.627,7.068,6.948,10.13101,9.469182,8.650616,12.077054664486075,12.178,0.45,0.0309,Gaia DR3 2013029941628292352,359.39564965836,62.71824065724,4,1.049,-1.1153,-3.006,-3.751,-4.555,-4.975,-5.373,-5.403,-5.8,-5.697,57.3,5486.0,3.7,-0.06094533551392445,0.00018710607651789557
36,39,MW,UUMus,0,1.065819,10.936,9.794,8.486,7.528,6.989,6.828,10.127277,9.441485,8.624062,12.313232382609929,11.88,0.404,,Gaia DR3 5332375453374624640,178.07378070609,-65.4041820158,3,1.006,,-2.653,-3.391,-4.187,-4.733,-5.127,-5.207,-5.423,-5.534,53.7,5281.0,2.6,-0.06676761739007375,0.00131268950434682
37,40,MW,RZCMa,0,0.628882,10.698,9.698,8.469,7.629,7.177,7.027,9.896969,9.302669,8.542116,10.986010203765472,11.061,0.443,0.729,Gaia DR3 3027940437469882880,110.38689819352,-16.68721769549,5,1.626,-0.3109,-2.237,-2.794,-3.462,-3.85,-4.143,-4.204,-4.498,-4.448,31.9,5815.0,3.0,-0.03498979623452847,-3.803807255398084e-05
38,41,MW,GHCyg,0,0.893092,11.159,9.896,8.43,7.356,6.799,6.638,10.179724,9.393191,8.509033,11.717694705460506,12.304,0.63,,Gaia DR3 2030063919381336832,299.79497615604,29.45072316718,6,1.073,,-3.811,-4.446,-5.111,-5.542,-5.873,-5.909,-6.147,-6.161,70.1,5741.0,7.5,-0.0463052945394935,-0.00038599757753021713
39,42,MW,TWCMa,0,0.844792,10.534,9.564,8.419,7.66,7.175,7.069,9.807674,9.219297,8.575474,11.901871648972966,11.447,0.329,,Gaia DR3 3031875585286182144,110.50990452423,-14.31817971516,3,1.149,,-2.305,-2.946,-3.674,-4.097,-4.464,-4.505,-4.804,-4.785,37.4,5605.0,2.2,-0.06512835102703285,0.0008184602167891075
40,43,MW,RYCas,0,1.084181,11.321,9.95,8.403,7.175,6.551,6.373,10.242566,9.384336,8.493246,11.996823112034368,11.922,0.618,0.7186,Gaia DR3 1999252442448732288,358.02927448682,58.74171978277,3,1.134,-1.8015,-3.216,-3.971,-4.733,-5.33,-5.732,-5.787,-5.918,-6.101,70.2,5275.0,4.3,-0.04517688796563135,3.8887946498977755e-05
41,44,MW,SWCas,0,0.735675,10.808,9.703,8.387,7.5,6.982,6.859,10.004331,9.355734,8.538896,11.512722080938332,11.805,0.467,0.8127,Gaia DR3 2010285491880986112,346.79198165636,58.55419147277,3,1.123,-0.5406,-2.973,-3.61,-4.335,-4.745,-5.096,-5.126,-5.458,-5.388,49.2,5677.0,5.6,-0.032277919061668214,-0.0006923152081400596
42,45,MW,BZCyg,0,1.006127,11.837,10.221,8.324,6.886,6.155,5.924,10.510661,9.456697,8.45659,11.344383530323435,11.72,0.885,1.3121,Gaia DR3 2070224337474904064,311.49912578441,45.30693439453,3,1.138,-0.219,-3.628,-4.356,-5.134,-5.668,-6.082,-6.136,-6.339,-6.458,81.9,5325.0,7.5,-0.055616469676563085,0.0002617829715779729
43,46,MW,VZPup,0,1.364945,10.793,9.634,8.305,7.373,6.83,6.67,10.091524,9.341325,8.493485,12.96163567071646,13.249,0.455,0.7051,Gaia DR3 5600052040150252800,114.64681824177,-28.49960082926,1,1.237,-0.3459,-4.381,-5.093,-5.837,-6.306,-6.685,-6.754,-7.005,-7.062,108.4,5448.0,4.9,-0.08736432928353999,0.0011947597427262036
44,47,MW,YLac,0,0.635863,9.874,9.144,8.277,7.706,7.316,7.225,9.470252,9.062985,8.430667,11.63388347911998,12.057,0.217,0.0505,Gaia DR3 1977074811892425600,332.26206158309,51.04584489597,2,1.053,-0.8522,-3.101,-3.614,-4.206,-4.556,-4.868,-4.915,-5.125,-5.163,43.3,5981.0,5.6,-0.04311652088002127,0.000979503552487715
