,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,Mb,Mv,Mi,Mj,Mh,Mk,Wvi,Wjk,DR3Name,RAdeg,DEdeg,RUWE,RA_ICRS,DE_ICRS,QLT,Mvpl,Mipl,Mjpl,Mkpl,Wvipl
27,26,FM Cas,0.764123,11.212,0.325,10.119,9.128,7.978,7.223,6.746,6.638,-2.468,-3.134,-3.872,-4.295,-4.656,-4.699,-5.017,-4.977,Gaia DR3 422226488141991296,3.61765603372,56.25293038823,1.081,3.61765603372,56.25293038823,3,-3.346291,-4.1093826,-4.4944925,-4.8746476,-5.0952883
28,19,CS Vel,0.771201,12.675,0.737,13.049,11.709,10.068,8.84,8.234,8.018,-2.744,-3.352,-4.054,-4.531,-4.872,-4.94,-5.152,-5.221,Gaia DR3 5308893149150949248,145.29271952315,-53.81603750378,0.905,145.29271952315,-53.81603750378,3,-3.3653312,-4.129987,-4.516831,-4.8976297,-5.1187873
29,34,MW Cyg,0.774852,10.428,0.635,10.841,9.483,7.874,6.799,6.209,6.041,-2.274,-2.995,-3.801,-4.228,-4.591,-4.631,-5.05,-4.908,Gaia DR3 2055014277739104896,303.09510555228,32.87159966536,1.208,303.09510555228,32.87159966536,4,-3.375152,-4.1406145,-4.528353,-4.9094844,-5.1309085
30,25,FM Aql,0.786342,10.527,0.589,9.546,8.27,6.717,5.794,5.235,5.075,-3.473,-4.159,-4.966,-5.288,-5.637,-5.679,-6.218,-5.947,Gaia DR3 4312361436842603520,287.31662690693,10.55246519356,1.261,287.31662690693,10.55246519356,2,-3.4060602,-4.174062,-4.5646157,-4.9467926,-5.1690555
31,16,CR Cep,0.794695,10.107,0.709,11.048,9.655,7.929,6.754,6.098,5.935,-2.059,-2.742,-3.57,-4.022,-4.423,-4.445,-4.854,-4.736,Gaia DR3 2008504454839717120,341.60317447817,59.44218743844,1.056,341.60317447817,59.44218743844,2,-3.4285297,-4.1983776,-4.5909777,-4.973915,-5.1967874
32,37,RS Cas,0.799056,10.485,0.833,11.423,9.944,8.217,6.884,6.227,6.03,-2.587,-3.232,-3.904,-4.386,-4.745,-4.775,-4.947,-5.042,Gaia DR3 2015820463470505600,354.31690503772,62.42898845585,1.045,354.31690503772,62.42898845585,4,-3.440261,-4.2110724,-4.604741,-4.988075,-5.211266
33,36,RR Lac,0.807281,10.943,0.319,9.753,8.842,7.816,7.058,6.619,6.527,-2.54,-3.134,-3.753,-4.186,-4.51,-4.539,-4.718,-4.781,Gaia DR3 2006989121667184384,340.36049512807,56.43277230583,1.1,340.36049512807,56.43277230583,4,-3.4623861,-4.2350154,-4.630699,-5.0147815,-5.238573
34,99,XX Sgr,0.807815,10.648,0.521,9.967,8.856,7.469,6.496,5.961,5.824,-2.885,-3.477,-4.202,-4.644,-4.991,-5.024,-5.33,-5.286,Gaia DR3 4096979650282842112,276.18541940721,-16.79717387453,1.1,276.18541940721,-16.79717387453,3,-3.4638228,-4.23657,-4.6323843,-5.0165157,-5.240346
35,5,BB Sgr,0.821971,9.784,0.281,7.924,6.94,5.822,5.099,4.639,4.51,-3.049,-3.753,-4.514,-4.95,-5.309,-5.382,-5.695,-5.678,Gaia DR3 4085919765884068736,282.74947248862,-20.29525298445,0.82,282.74947248862,-20.29525298445,1,-3.5019023,-4.2777777,-4.677061,-5.06248,-5.287344
36,84,VC ar,0.82586,9.871,0.166,8.235,7.368,6.421,5.806,5.387,5.284,-2.338,-3.039,-3.776,-4.222,-4.581,-4.65,-4.919,-4.945,Gaia DR3 5302258008774271488,127.18202311384,-60.12256315649,1.042,127.18202311384,-60.12256315649,2,-3.5123637,-4.2890987,-4.689335,-5.0751076,-5.3002553
37,78,V0 495Cyg,0.827263,12.541,0.978,12.246,10.618,8.694,7.233,6.542,6.314,-4.433,-5.082,-5.768,-6.23,-6.57,-6.603,-6.831,-6.86,Gaia DR3 2055809495218465152,303.99301316376,35.01469729736,1.318,303.99301316376,35.01469729736,4,-3.5161376,-4.293183,-4.6937623,-5.0796633,-5.304913
38,71,US gr,0.828997,9.058,0.402,7.786,6.69,5.426,4.587,4.093,3.954,-2.973,-3.666,-4.421,-4.85,-5.2,-5.259,-5.593,-5.54,Gaia DR3 4092905375639902464,277.97220951561,-19.1250998575,0.853,277.97220951561,-19.1250998575,2,-3.5208023,-4.2982306,-4.699235,-5.0852933,-5.31067
39,63,TW CMa,0.844792,11.447,0.329,10.534,9.564,8.419,7.66,7.175,7.069,-2.305,-2.946,-3.674,-4.097,-4.464,-4.505,-4.804,-4.785,Gaia DR3 3031875585286182144,110.50990452423,-14.31817971516,1.149,110.50990452423,-14.31817971516,3,-3.5632908,-4.3442097,-4.749084,-5.1365795,-5.3631096
40,109,xS gr,0.845893,7.711,0.237,5.311,4.561,3.655,3.016,2.618,2.521,-3.403,-3.915,-4.522,-4.919,-5.232,-5.281,-5.462,-5.53,Gaia DR3 4057701830728920064,266.89007492147,-27.83083461775,1.222,266.89007492147,-27.83083461775,2,-3.5662525,-4.347415,-4.7525587,-5.140155,-5.366765
41,79,V0 600Aql,0.859672,11.325,0.798,11.527,10.036,8.199,7.074,6.45,6.272,-3.174,-3.868,-4.693,-5.004,-5.341,-5.36,-5.975,-5.604,Gaia DR3 4307944836090489600,290.25978306915,8.51632750768,1.126,290.25978306915,8.51632750768,4,-3.603318,-4.3875256,-4.7960453,-5.184895,-5.412511
42,76,V0 459Cyg,0.860413,11.706,0.73,12.035,10.601,8.837,7.715,7.073,6.903,-2.76,-3.464,-4.302,-4.68,-5.059,-5.084,-5.604,-5.361,Gaia DR3 2165771172070496512,317.72653587334,49.14204142755,1.086,317.72653587334,49.14204142755,4,-3.6053114,-4.389683,-4.7983837,-5.187301,-5.4149714
43,14,CK Sct,0.870124,10.626,0.757,12.165,10.575,8.778,7.498,6.82,6.652,-1.664,-2.497,-3.335,-3.842,-4.248,-4.265,-4.635,-4.556,Gaia DR3 4253442933709196288,280.25276444138,-6.09722740672,0.971,280.25276444138,-6.09722740672,2,-3.6314337,-4.417951,-4.8290315,-5.2188325,-5.4472117
44,68,TZ Mon,0.870882,13.74,0.42,11.459,10.796,9.468,8.551,8.006,7.856,-4.058,-4.302,-5.097,-5.585,-5.98,-6.045,-6.331,-6.362,Gaia DR3 3112475495616980992,104.50389379431,-0.37596337895,1.236,104.50389379431,-0.37596337895,4,-3.633473,-4.420158,-4.8314238,-5.221294,-5.449728
45,82,V1 344Aql,0.873787,11.159,0.546,9.131,7.766,6.311,5.279,4.729,4.59,-4.338,-5.156,-5.92,-6.395,-6.749,-6.779,-7.105,-7.043,Gaia DR3 4293157229319068544,287.99653924734,4.3548290869,0.917,287.99653924734,4.3548290869,4,-3.6412873,-4.428614,-4.840592,-5.2307262,-5.459373
46,38,RS Ori,0.878917,11.328,0.352,9.376,8.414,7.253,6.489,6.018,5.917,-3.442,-4.052,-4.766,-5.171,-5.516,-5.546,-5.875,-5.805,Gaia DR3 3368698813404804352,95.55497028344,14.67812664531,1.119,95.55497028344,14.67812664531,4,-3.655087,-4.4435477,-4.8567824,-5.2473836,-5.476404
47,8,BK Aur,0.903222,11.207,0.425,10.524,9.457,8.249,7.387,6.885,6.772,-2.481,-3.122,-3.793,-4.221,-4.57,-4.598,-4.831,-4.858,Gaia DR3 261548119462093568,77.66762373902,49.68760306511,1.007,77.66762373902,49.68760306511,3,-3.7204676,-4.5142994,-4.933489,-5.326302,-5.557097
48,28,GH Lup,0.967448,10.381,0.347,8.844,7.637,6.364,5.492,4.96,4.813,-3.005,-3.865,-4.699,-5.216,-5.624,-5.701,-5.992,-6.035,Gaia DR3 5888819699572539264,231.15974101293,-52.85387016499,0.95,231.15974101293,-52.85387016499,3,-3.8932354,-4.7012615,-5.136186,-5.534844,-5.7703276
49,27,FN Aql,0.976878,10.148,0.486,9.593,8.389,6.947,6.05,5.495,5.356,-2.611,-3.328,-4.156,-4.556,-4.937,-4.979,-5.438,-5.27,Gaia DR3 4269036830424588800,288.19713780419,3.55739781345,1.125,288.19713780418,3.55739781345,2,-3.918602,-4.728712,-5.1659474,-5.565463,-5.801635
50,106,YZ Sgr,0.980171,10.183,0.281,8.372,7.351,6.214,5.472,5.003,4.903,-3.0,-3.742,-4.521,-4.976,-5.345,-5.388,-5.732,-5.671,Gaia DR3 4099189015819292800,282.36912121969,-16.72304157114,0.955,282.36912121969,-16.72304157114,1,-3.9274602,-4.7382984,-5.17634,-5.5761557,-5.8125677
51,47,SN or,0.989194,9.712,0.179,7.375,6.429,5.427,4.729,4.275,4.162,-3.094,-3.861,-4.637,-5.152,-5.542,-5.619,-5.839,-5.941,Gaia DR3 5835124087174043136,244.7159519047,-57.89980282729,0.878,244.7159519047,-57.89980282729,2,-3.9517322,-4.764564,-5.2048163,-5.605453,-5.842524
52,23,DD Cas,0.991759,12.178,0.45,11.076,9.879,8.507,7.627,7.068,6.948,-3.006,-3.751,-4.555,-4.975,-5.373,-5.403,-5.8,-5.697,Gaia DR3 2013029941628292352,359.39564965836,62.71824065724,1.049,359.39564965836,62.71824065724,4,-3.958632,-4.772031,-5.2129116,-5.6137815,-5.85104
53,11,BZ Cyg,1.006127,11.72,0.885,11.837,10.221,8.324,6.886,6.155,5.924,-3.628,-4.356,-5.134,-5.668,-6.082,-6.136,-6.339,-6.458,Gaia DR3 2070224337474904064,311.49912578441,45.30693439453,1.138,311.49912578441,45.30693439453,3,-3.997282,-4.813856,-5.258257,-5.6604342,-5.8987417
54,55,SY Aur,1.006262,11.936,0.432,10.09,9.07,7.843,7.008,6.524,6.405,-3.674,-4.262,-4.941,-5.335,-5.665,-5.698,-5.995,-5.947,Gaia DR3 201509768065410944,78.16345237446,42.83178007665,1.084,78.16345237446,42.83178007665,3,-3.997645,-4.814249,-5.258683,-5.6608725,-5.8991895
55,104,YS ct,1.014575,11.08,0.757,11.194,9.632,7.841,6.578,5.896,5.691,-3.089,-3.892,-4.726,-5.216,-5.626,-5.68,-6.017,-6.0,Gaia DR3 4156450099578283776,279.51377343258,-8.36894716336,0.944,279.51377343258,-8.36894716336,4,-4.020007,-4.838448,-5.2849193,-5.6878653,-5.9267893
56,64,TW Nor,1.032868,11.529,1.157,13.63,11.701,9.287,7.506,6.694,6.39,-2.794,-3.563,-4.514,-5.114,-5.511,-5.584,-5.986,-5.907,Gaia DR3 5981406000300438016,241.23009532876,-51.95352728432,0.891,241.23009532876,-51.95352728432,3,-4.0692153,-4.8916993,-5.342652,-5.7472625,-5.9875216
57,107,ZL ac,1.036854,11.209,0.37,9.514,8.414,7.148,6.346,5.827,5.693,-3.261,-3.989,-4.788,-5.212,-5.598,-5.659,-6.026,-5.966,Gaia DR3 2007201567928631296,340.21724149798,56.82945573799,1.055,340.21724149798,56.82945573799,2,-4.0799375,-4.903302,-5.355232,-5.7602053,-6.0007553
58,98,XX Cen,1.039548,10.839,0.271,8.803,7.819,6.736,5.991,5.53,5.407,-3.183,-3.896,-4.636,-5.103,-5.467,-5.536,-5.784,-5.834,Gaia DR3 5871922507947292032,205.07765290606,-57.61318392067,1.238,205.07765290606,-57.61318392067,2,-4.0871844,-4.9111447,-5.363734,-5.7689524,-6.0096993
59,67,TY Sct,1.043507,11.479,0.965,12.507,10.818,8.825,7.355,6.638,6.429,-3.055,-3.778,-4.549,-5.034,-5.405,-5.421,-5.746,-5.687,Gaia DR3 4256744187345732224,280.53296920017,-4.29349280288,0.905,280.53296920017,-4.29349280288,4,-4.097834,-4.922669,-5.3762283,-5.7818074,-6.0228434
60,83,V3 40Nor,1.052579,11.034,0.322,9.526,8.371,7.168,6.272,5.732,5.586,-2.87,-3.703,-4.498,-5.066,-5.49,-5.572,-5.731,-5.92,Gaia DR3 5932569709575669504,243.32248330227,-54.23489685836,0.919,243.32248330227,-54.23489685836,4,-4.122238,-4.949078,-5.40486,-5.811264,-6.0529623
61,0,AA Gem,1.053181,12.456,0.309,10.809,9.729,8.581,7.734,7.2,7.106,-2.954,-3.725,-4.482,-5.013,-5.437,-5.469,-5.655,-5.782,Gaia DR3 3430067092837622272,91.64560763763,26.32921983415,1.249,91.64560763763,26.32921983415,3,-4.1238575,-4.9508305,-5.4067597,-5.813219,-6.054961
62,42,RX Aur,1.065337,10.644,0.263,8.631,7.669,6.59,5.819,5.355,5.269,-3.126,-3.826,-4.57,-5.073,-5.442,-5.476,-5.726,-5.753,Gaia DR3 200708636406382720,75.34662500842,39.9603810927,0.982,75.34662500842,39.9603810927,3,-4.1565566,-4.986216,-5.4451237,-5.8526893,-6.095319
63,72,UU Mus,1.065819,11.88,0.404,10.936,9.794,8.486,7.528,6.989,6.828,-2.653,-3.391,-4.187,-4.733,-5.127,-5.207,-5.423,-5.534,Gaia DR3 5332375453374624640,178.07378070609,-65.4041820158,1.006,178.07378070609,-65.4041820158,3,-4.1578536,-4.9876194,-5.4466453,-5.8542542,-6.096919
64,43,RY Cas,1.084181,11.922,0.618,11.321,9.95,8.403,7.175,6.551,6.373,-3.216,-3.971,-4.733,-5.33,-5.732,-5.787,-5.918,-6.101,Gaia DR3 1999252442448732288,358.02927448682,58.74171978277,1.134,358.02927448682,58.74171978277,3,-4.2072473,-5.041071,-5.5045953,-5.9138756,-6.157881
65,70,UN or,1.101875,10.408,0.857,10.841,9.247,7.352,5.931,5.237,4.991,-3.194,-3.932,-4.739,-5.285,-5.672,-5.747,-5.994,-6.064,Gaia DR3 5884368498528237952,235.58714333319,-55.31194067495,0.984,235.58714333319,-55.31194067495,2,-4.2548437,-5.0925784,-5.5604377,-5.971328,-6.2166247
66,108,ZS ct,1.110645,12.159,0.492,10.927,9.592,8.055,7.055,6.478,6.323,-3.314,-4.157,-5.07,-5.568,-5.968,-6.025,-6.487,-6.339,Gaia DR3 4253435825622331392,280.7386394805,-5.82091281592,0.903,280.7386394805,-5.82091281592,3,-4.2784357,-5.1181083,-5.588116,-5.9998045,-6.2457414
67,80,V0 916Aql,1.128449,12.348,1.089,12.574,10.791,8.896,7.486,6.767,6.581,-4.382,-5.071,-5.591,-5.889,-6.217,-6.186,-6.391,-6.389,Gaia DR3 4313179507891570304,287.50172438518,12.53653558769,0.916,287.50172438518,12.53653558769,1,-4.326328,-5.169935,-5.644305,-6.057614,-6.3048506
68,10,BN Pup,1.135867,12.78,0.416,11.069,9.882,8.552,7.626,7.076,6.921,-3.472,-4.24,-5.045,-5.546,-5.947,-6.019,-6.292,-6.344,Gaia DR3 5596601154188852352,121.58947099704,-30.09687032198,1.249,121.58947099704,-30.09687032198,3,-4.3462825,-5.1915293,-5.6677165,-6.0817003,-6.3294783
69,60,TT Aql,1.138459,9.8,0.435,8.436,7.138,5.678,4.772,4.204,4.051,-3.205,-4.067,-4.977,-5.438,-5.851,-5.916,-6.388,-6.245,Gaia DR3 4267397694768545920,287.05728923954,1.29863144782,1.076,287.05728923954,1.29863144782,2,-4.353255,-5.1990743,-5.6758966,-6.0901165,-6.3380837
70,33,LS Pup,1.150646,13.296,0.462,11.685,10.448,9.074,8.094,7.518,7.353,-3.566,-4.342,-5.129,-5.638,-6.048,-6.12,-6.353,-6.452,Gaia DR3 5597327141100381568,119.74673595271,-29.30786248156,1.247,119.74673595271,-29.30786248156,2,-4.386038,-5.234551,-5.714359,-6.1296873,-6.378545
71,65,TX Cyg,1.167607,10.316,1.13,11.363,9.489,7.228,5.462,4.637,4.372,-3.734,-4.481,-5.307,-5.92,-6.34,-6.378,-6.594,-6.694,Gaia DR3 2161786374436607616,315.02658089008,42.59755012053,0.952,315.02658089008,42.59755012053,3,-4.431663,-5.283924,-5.767888,-6.1847596,-6.434855
72,73,UZ Sct,1.168739,12.613,1.02,13.124,11.247,9.184,7.534,6.746,6.534,-3.805,-4.659,-5.432,-6.041,-6.463,-6.471,-6.629,-6.768,Gaia DR3 4104869264724284544,277.8431918063,-12.92871602632,0.913,277.8431918063,-12.92871602632,2,-4.434708,-5.2872195,-5.7714605,-6.1884356,-6.4386134
73,41,RW Cas,1.170032,12.586,0.38,10.462,9.233,7.871,6.934,6.367,6.237,-3.732,-4.583,-5.461,-6.01,-6.441,-6.495,-6.826,-6.829,Gaia DR3 508915489570374272,24.30840720487,57.75921601261,1.262,24.30840720487,57.75921601261,3,-4.4381866,-5.2909837,-5.7755413,-6.192634,-6.4429064
74,87,VW Cen,1.177138,12.575,0.439,11.586,10.248,8.77,7.654,7.014,6.819,-2.846,-3.747,-4.667,-5.335,-5.818,-5.925,-6.098,-6.33,Gaia DR3 5864955727424819200,203.49589762776,-64.05556091566,1.063,203.49589762776,-64.05556091566,3,-4.4573016,-5.311669,-5.797968,-6.2157073,-6.466498
75,58,SZ Cyg,1.179252,11.502,0.571,10.91,9.432,7.755,6.635,5.961,5.775,-3.008,-3.918,-4.869,-5.406,-5.875,-5.947,-6.348,-6.319,Gaia DR3 2071433765909167232,308.22621041712,46.6012487157,0.956,308.22621041712,46.6012487157,2,-4.4629884,-5.317823,-5.80464,-6.2225714,-6.473517
76,50,SV Mon,1.182801,11.364,0.234,9.31,8.256,7.133,6.345,5.826,5.726,-3.044,-3.864,-4.691,-5.24,-5.675,-5.728,-5.973,-6.063,Gaia DR3 3324153371114695680,95.35960712119,6.47015262948,1.006,95.35960712119,6.47015262948,3,-4.472535,-5.328154,-5.8158402,-6.234095,-6.4852996
77,94,XC yg,1.214482,10.177,0.228,7.533,6.377,5.223,4.471,3.964,3.838,-3.608,-4.534,-5.402,-5.921,-6.346,-6.427,-6.744,-6.775,Gaia DR3 1870258975238302208,310.85076233271,35.58777650649,1.277,310.85076233271,35.58777650649,2,-4.557757,-5.4203773,-5.9158254,-6.336963,-6.59048
78,12,CD Cyg,1.232334,11.843,0.493,10.217,8.948,7.448,6.463,5.89,5.72,-3.712,-4.489,-5.363,-5.845,-6.242,-6.312,-6.72,-6.634,Gaia DR3 2058374144759464064,301.1106612854,34.11224946615,1.007,301.1106612854,34.11224946615,1,-4.6057787,-5.472345,-5.9721665,-6.3949285,-6.649749
79,103,YO ph,1.233609,8.678,0.647,7.531,6.166,4.524,3.437,2.869,2.682,-3.885,-4.603,-5.424,-5.851,-6.188,-6.245,-6.701,-6.515,Gaia DR3 4175017625462647168,268.16124433489,-6.1435971224,1.031,268.16124433489,-6.1435971224,2,-4.6092086,-5.476056,-5.97619,-6.3990684,-6.6539817
