name,logP,B_mag,V_mag,I_mag,H_mag,J_mag,K_mag,BPmag,Gmag,"RPmag ",IRSB,gplx,EBV,E(BP-RP),Mb,Mv,Mi,Mj,Mh,Mk,Wvi,Wjk,Radius_IRSB,Teq,Teff,RUWE,QLT,[Fe/H],Mass,RA_ICRS,DE_ICRS,DR3Name,ID,GDR3_Source,RA,DEC,Period,logP_2,distance,sig_distance,Radius,sig_Radius,mM0,sig_mM0,Mbol,M_B,M_V,M_I,M_J,M_H,M_K,W_VI,W_JK,W_G,EBV_2,RV_gamma,ph_shift,gal,MODE,Quality,FeH
YZSgr,0.980171,8.372,7.351,6.214,5.003,5.472,4.903,7.592309,7.014152,6.27917,10.361,10.244027307737111,0.281,0.1022,-3.178,-3.92,-4.699,-5.154,-5.523,-5.566,-5.91,-5.849,56.9,5492.0,4801.5,0.955,1,-0.78,3.7,282.36912121969,-16.72304157114,Gaia DR3 4099189015819292800,YZSgr,4099189015819292800,282.36912,-16.72303,9.553689,0.980171,1195.6,15.4,61.3,0.8,10.388,0.028,-4.011,-3.205,-3.946,-4.726,-5.181,-5.55,-5.593,-5.937,-5.876,-5.8688116,0.281,23.01,-0.005,MW,FU,1.0,0.081
SMus,0.98498,6.963,6.136,5.188,4.127,4.553,4.017,6.333974,5.881265,5.251543,9.67,9.602141962137964,0.14,,-3.299,-3.988,-4.757,-5.249,-5.625,-5.707,-5.952,-6.021,61.4,5399.0,,4.495,3,,4.3,183.19580971297,-70.15179538057,Gaia DR3 5855852527008107008,SMus,5855852527008107008,183.19591,-70.15179,9.660065,0.98498,869.6,17.6,66.2,1.3,9.697,0.044,-4.103,-3.326,-4.015,-4.784,-5.276,-5.652,-5.734,-5.979,-6.048,-5.8723526,0.14,-0.02,0.01,MW,FU,3.0,-0.01
SNor,0.989194,7.375,6.429,5.427,4.275,4.729,4.162,6.699772,6.175861,5.503014,9.888,9.728963126792777,0.179,0.2211,-3.27,-4.036,-4.813,-5.328,-5.718,-5.795,-6.015,-6.117,64.5,5345.0,5350.9,0.878,2,-0.129,4.8,244.7159519047,-57.89980282729,Gaia DR3 5835124087174043136,SNor,5835124087174043136,244.71597,-57.89979,9.7542515,0.989194,961.2,10.7,69.4,0.8,9.914,0.024,-4.164,-3.296,-4.063,-4.839,-5.354,-5.744,-5.821,-6.041,-6.143,-6.011978,0.179,5.62,0.0,MW,FU,2.0,0.104
DDCas,0.991759,11.076,9.879,8.507,7.068,7.627,6.948,10.13101,9.469182,8.650616,12.353,12.077054664486077,0.45,0.0309,-3.181,-3.926,-4.73,-5.15,-5.548,-5.578,-5.975,-5.872,57.3,5486.0,4215.1,1.049,4,-1.1153,3.7,359.39564965836,62.71824065724,Gaia DR3 2013029941628292352,DDCas,2013029941628292352,359.39567,62.71825,9.812035,0.991759,2991.2,71.0,61.6,1.5,12.379,0.052,-4.019,-3.207,-3.952,-4.756,-5.176,-5.574,-5.604,-6.001,-5.898,-5.7225666,0.45,-69.34,-0.01,MW,FU,4.0,0.002
betDor,0.993131,4.545,3.743,2.947,2.029,2.438,1.959,4.038506,3.593462,2.9889321,7.703,7.639078525279643,0.051,0.2101,-3.373,-4.124,-4.856,-5.313,-5.703,-5.763,-5.992,-6.073,62.4,5498.0,5838.2,4.535,2,-0.3443,4.4,83.4063106733,-62.48976923943,Gaia DR3 4757601523650165120,betDor,4757601523650165120,83.40632,-62.48982,9.8430805,0.993131,351.4,5.0,67.1,1.0,7.729,0.031,-4.214,-3.399,-4.151,-4.882,-5.339,-5.729,-5.789,-6.018,-6.099,-6.129729,0.051,9.05,0.0,MW,FU,2.0,
CNSct,0.999665,14.501,12.479,9.61,7.078,7.991,6.769,12.745399,11.178543,9.939811,11.603,11.839416731868187,1.206,1.749,-2.205,-3.019,,-4.749,-5.23,-5.297,,-5.675,55.5,4782.0,4866.1,0.937,5,-1.1884,3.3,280.62703839147,-4.33066326768,Gaia DR3 4256740751371777408,CNSct,4256740751371777408,280.62704,-4.33069,9.9922905,0.999665,2117.6,26.5,59.6,0.7,11.629,0.027,-3.346,-2.231,-3.045,,-4.775,-5.256,-5.323,,-5.701,-5.781075,1.206,19.24,-0.02,MW,FU,5.0,0.263
BZCyg,1.006127,11.837,10.221,8.324,6.155,6.886,5.924,10.510661,9.456697,8.456591,11.89,11.344383530323437,0.885,1.3121,-3.798,-4.526,-5.304,-5.838,-6.252,-6.306,-6.509,-6.628,81.9,5325.0,5878.6,1.138,3,-0.219,7.5,311.49912578441,45.30693439453,Gaia DR3 2070224337474904064,BZCyg,2070224337474904064,311.49916,45.30696,10.142079,1.006127,2416.8,96.5,87.9,3.5,11.916,0.087,-4.659,-3.824,-4.552,-5.33,-5.864,-6.278,-6.332,-6.535,-6.654,-6.3620386,0.885,-10.64,-0.01,MW,FU,3.0,0.105
SYAur,1.006262,10.09,9.07,7.843,6.524,7.008,6.405,9.384711,8.798152,8.009101,12.106,11.519353307836806,0.432,,-3.844,-4.432,-5.111,-5.505,-5.835,-5.868,-6.165,-6.117,63.3,5790.0,,1.084,3,,4.3,78.16345237446,42.83178007665,Gaia DR3 201509768065410944,SYAur,201509768065410944,78.16345,42.83178,10.14523,1.006262,2669.0,83.9,68.0,2.1,12.132,0.068,-4.47,-3.87,-4.458,-5.137,-5.531,-5.861,-5.894,-6.191,-6.143,-5.947508,0.432,-2.08,0.01,MW,FU,3.0,-0.033
zetGem,1.006497,4.708,3.849,3.117,2.201,2.612,2.131,3.973537,3.539513,2.986609,7.932,7.524406174568671,0.014,,-3.284,-4.13,,-5.333,-5.739,-5.806,,-6.132,64.1,5451.0,,2.778,1,,4.5,106.02717676047,20.57029427416,Gaia DR3 3366754155291545344,zetGem,3366754155291545344,106.02721,20.5703,10.150725,1.006497,390.5,8.6,68.8,1.5,7.958,0.048,-4.231,-3.31,-4.156,,-5.359,-5.765,-5.832,,-6.158,-6.29365,0.014,7.44,0.05,MW,FU,1.0,
YSct,1.014575,11.194,9.632,7.841,5.896,6.578,5.691,9.911994,8.931744,7.900859,11.248,11.143930014246287,0.757,1.1386,-3.257,-4.06,-4.894,-5.384,-5.794,-5.848,-6.185,-6.168,66.7,5305.0,5322.8,0.944,4,0.0047,4.7,279.51377343258,-8.36894716336,Gaia DR3 4156450099578283776,YSct,4156450099578283776,279.51378,-8.36893,10.341299,1.014575,1717.9,40.4,68.2,1.6,11.175,0.051,-4.096,-3.184,-3.986,-4.821,-5.311,-5.721,-5.775,-6.112,-6.095,-6.064415,0.757,14.78,-0.015,MW,FU,4.0,0.166
TWNor,1.032868,13.63,11.701,9.287,6.694,7.506,6.39,12.008674,10.565082,9.417015,11.691,11.971016997017266,1.157,,-2.956,-3.726,-4.676,-5.276,-5.673,-5.746,-6.148,-6.069,65.8,5049.0,,0.891,3,,4.4,241.23009532876,-51.95352728432,Gaia DR3 5981406000300438016,TWNor,5981406000300438016,241.23008,-51.95353,10.786189,1.032868,2204.3,105.7,70.3,3.4,11.716,0.104,-3.942,-2.981,-3.75,-4.701,-5.301,-5.698,-5.771,-6.173,-6.094,-6.0750694,1.157,-56.3,0.02,MW,FU,3.0,0.231
ZLac,1.036854,9.514,8.414,7.148,5.827,6.346,5.693,8.862301,8.185639,7.3586416,11.37,11.32206851288647,0.37,,-3.422,-4.15,-4.949,-5.373,-5.759,-5.82,-6.187,-6.127,64.5,5464.0,,1.055,2,,4.1,340.21724149798,56.82945573799,Gaia DR3 2007201567928631296,ZLac,2007201567928631296,340.21727,56.82947,10.885643,1.036854,1900.9,42.7,69.0,1.6,11.395,0.049,-4.247,-3.447,-4.175,-4.974,-5.398,-5.784,-5.845,-6.212,-6.152,-6.0663147,0.37,0.07,0.0,MW,FU,2.0,0.025
VXPer,1.036883,10.492,9.299,7.919,6.437,6.98,6.298,9.593902,8.893997,8.042477,13.118,11.836746421977784,0.475,0.8165,-4.636,-5.354,-6.132,-6.586,-6.958,-7.002,-7.339,-7.289,110.5,5498.0,5694.8,1.122,5,-0.2182,13.1,31.95200190538,58.44353350743,Gaia DR3 506779550797525760,VXPer,506779550797525760,31.952,58.44354,10.886367,1.036883,4903.6,110.4,136.6,3.1,13.453,0.049,-5.752,-4.971,-5.688,-6.467,-6.921,-7.293,-7.337,-7.674,-7.624,-7.506712,0.475,-33.67,0.11,MW,FU,5.0,-0.046
XXCen,1.039548,8.803,7.819,6.736,5.53,5.991,5.407,8.214571,7.621872,6.876737,10.999,11.102331520324078,0.271,,-3.343,-4.057,-4.796,-5.263,-5.627,-5.696,-5.944,-5.994,61.0,5493.0,,1.238,2,,3.6,205.07765290606,-57.61318392067,Gaia DR3 5871922507947292032,XXCen,5871922507947292032,205.07768,-57.61318,10.953379,1.039548,1602.4,18.8,65.2,0.8,11.024,0.025,-4.146,-3.368,-4.081,-4.821,-5.288,-5.652,-5.721,-5.969,-6.019,-5.9440126,0.271,-16.33,-0.03,MW,FU,2.0,0.084
TYSct,1.043507,12.507,10.818,8.825,6.638,7.355,6.429,11.021042,9.899057,8.871977,11.638,11.915950557847639,0.965,,-3.214,-3.937,-4.708,-5.193,-5.564,-5.58,-5.905,-5.846,57.7,5498.0,,0.905,4,,3.2,280.53296920017,-4.29349280288,Gaia DR3 4256744187345732224,TYSct,4256744187345732224,280.53297,-4.29348,11.053682,1.043507,2150.5,38.0,61.6,1.1,11.663,0.038,-4.027,-3.239,-3.962,-4.733,-5.218,-5.589,-5.605,-5.93,-5.871,-5.847168,0.965,25.81,-0.01,MW,FU,4.0,0.324
SVPer,1.046469,10.023,8.977,7.734,6.355,6.891,6.237,9.318793,8.696445,7.9050736,12.383,13.388793924236634,0.408,,-4.086,-4.726,-5.451,-5.877,-6.266,-6.303,-6.577,-6.596,80.3,5567.0,,11.693,3,,6.4,72.44976511863,42.28970434341,Gaia DR3 203496585576324224,SVPer,203496585576324224,72.44976,42.28972,11.129328,1.046469,2789.1,82.0,78.6,2.3,12.227,0.064,-4.618,-3.93,-4.57,-5.295,-5.721,-6.11,-6.147,-6.421,-6.44,-6.2166233,0.408,-4.05,-0.01,MW,FU,3.0,-0.062
V0438Cyg,1.049647,12.847,10.943,8.639,6.081,6.921,5.789,11.313254,9.948211,8.838357,11.407,11.222520857106748,1.238,1.958,-3.799,-4.463,-5.199,-5.653,-6.05,-6.094,-6.341,-6.397,73.2,5508.0,6267.2,1.094,5,-0.097,5.2,304.72629821519,40.06447451486,Gaia DR3 2062267687221984128,V0438Cyg,2062267687221984128,304.72631,40.06449,11.211069,1.049647,1933.4,44.5,78.1,1.8,11.432,0.05,-4.55,-3.824,-4.487,-5.224,-5.678,-6.075,-6.119,-6.366,-6.422,-6.1860943,1.238,-8.92,0.015,MW,FU,5.0,0.22
HZPer,1.052296,15.842,13.774,10.646,8.347,9.295,8.072,14.075144,12.531315,11.312087,13.127,11.958086208782056,1.213,2.2806,-2.418,-3.271,,-4.976,-5.489,-5.521,,-5.897,61.7,4809.0,6894.4,1.16,3,-0.1309,3.6,66.40539208275,45.62032007941,Gaia DR3 256735552768873856,HZPer,256735552768873856,66.40538,45.62028,11.279663,1.052296,4268.0,174.5,65.7,2.7,13.151,0.089,-3.583,-2.442,-3.295,,-5.0,-5.513,-5.545,,-5.921,-5.869493,1.213,-29.31,0.02,MW,FU,3.0,-0.286
V340Nor,1.052579,9.526,8.371,7.168,5.732,6.272,5.586,8.69774,8.036095,7.2513065,11.19,11.406441265236701,0.322,,-3.026,-3.86,-4.654,-5.222,-5.646,-5.728,-5.887,-6.076,63.9,5223.0,,0.919,4,,3.9,243.32248330227,-54.23489685836,Gaia DR3 5932569709575669504,V340Nor,5932569709575669504,243.32248,-54.2348968,11.287014,1.052579,1749.6,80.1,68.1,3.1,11.215,0.099,-4.021,-3.051,-3.884,-4.679,-5.247,-5.671,-5.753,-5.912,-6.101,-5.9271274,0.322,-40.34,-0.03,MW,FU,4.0,
AAGem,1.053181,10.809,9.729,8.581,7.2,7.734,7.106,10.008104,9.393121,8.64468,12.612,12.300634761167014,0.309,0.5586,-3.11,-3.882,-4.638,-5.169,-5.593,-5.625,-5.811,-5.938,59.8,5369.0,5783.9,1.249,3,-0.2277,3.4,91.64560763763,26.32921983415,Gaia DR3 3430067092837622272,AAGem,3430067092837622272,91.64561,26.32922,11.3026705,1.053181,3384.5,69.6,64.1,1.3,12.648,0.045,-4.01,-3.146,-3.917,-4.674,-5.205,-5.629,-5.661,-5.847,-5.974,-5.845385,0.309,19.31,0.0,MW,FU,3.0,-0.192
RXAur,1.065337,8.631,7.669,6.59,5.355,5.819,5.269,7.931838,7.36267,6.635994,10.796,10.803614155482359,0.263,,-3.278,-3.978,-4.722,-5.225,-5.594,-5.628,-5.878,-5.905,59.0,5494.0,,0.982,3,,3.1,75.34662500842,39.9603810927,Gaia DR3 200708636406382720,RXAur,200708636406382720,75.34662,39.96039,11.623499,1.065337,1591.1,42.7,68.7,1.8,11.009,0.058,-4.255,-3.491,-4.191,-4.935,-5.438,-5.807,-5.841,-6.091,-6.118,-6.1084356,0.263,-21.88,0.03,MW,FU,3.0,-0.015
UUMus,1.065819,10.936,9.794,8.486,6.989,7.528,6.828,10.127277,9.441485,8.624062,12.033,12.313232382609929,0.404,,-2.806,-3.544,-4.34,-4.886,-5.28,-5.36,-5.576,-5.687,53.7,5281.0,,1.006,3,,2.6,178.07378070609,-65.4041820158,Gaia DR3 5332375453374624640,UUMus,5332375453374624640,178.07385,-65.40418,11.636409,1.065819,2578.2,103.6,57.1,2.3,12.057,0.087,-3.686,-2.83,-3.567,-4.364,-4.91,-5.304,-5.384,-5.6,-5.711,-5.4716244,0.404,-19.27,0.0,MW,FU,3.0,0.109
RYCas,1.084181,11.321,9.95,8.403,6.551,7.175,6.373,10.242566,9.384336,8.493247,12.069,11.996823112034367,0.618,0.7186,-3.363,-4.118,-4.88,-5.477,-5.879,-5.934,-6.065,-6.248,70.2,5275.0,5028.7,1.134,3,-1.8015,4.3,358.02927448682,58.74171978277,Gaia DR3 1999252442448732288,RYCas,1999252442448732288,358.0293,58.74172,12.138946,1.084181,2621.1,71.0,74.5,2.0,12.092,0.059,-4.259,-3.386,-4.141,-4.903,-5.5,-5.902,-5.957,-6.088,-6.271,-6.0313716,0.618,-82.27,-0.015,MW,FU,3.0,0.15
UNor,1.101875,10.841,9.247,7.352,5.237,5.931,4.991,9.551569,8.493722,7.443438,10.549,10.894666037511602,0.857,1.3007,-3.335,-4.073,-4.88,-5.426,-5.813,-5.888,-6.135,-6.205,69.0,5273.0,5683.1,0.984,2,-0.16,4.0,235.58714333319,-55.31194067495,Gaia DR3 5884368498528237952,UNor,5884368498528237952,235.58716,-55.31193,12.643723,1.101875,1301.3,39.3,73.0,2.2,10.572,0.066,-4.213,-3.358,-4.096,-4.903,-5.449,-5.836,-5.911,-6.158,-6.228,-6.0837264,0.857,-21.95,0.0,MW,FU,2.0,0.119
SUCru,1.108822,11.516,9.802,7.657,5.027,6.012,4.736,10.112465,9.364089,7.7866793,10.527,13.570427790707452,0.952,,-3.039,-3.8,-4.74,-5.413,-6.056,-6.157,-6.197,-6.668,84.0,4719.0,,1.52,3,,5.9,184.57063908216,-63.28011877437,Gaia DR3 6054171091399658880,SUCru,6054171091399658880,184.57055,-63.28016,12.847601,1.108822,1287.8,87.8,88.8,6.1,10.549,0.148,-4.152,-3.061,-3.822,-4.762,-5.435,-6.078,-6.179,-6.219,-6.69,-5.6039042,0.952,-30.4,0.01,MW,FU,3.0,-0.363
ZSct,1.110645,10.927,9.592,8.055,6.478,7.055,6.323,10.054388,9.223479,8.362758,12.298,12.066442294122076,0.492,0.4921,-3.453,-4.296,-5.209,-5.707,-6.107,-6.164,-6.626,-6.478,79.6,5199.0,4706.4,0.903,3,-0.5432,5.2,280.7386394805,-5.82091281592,Gaia DR3 4253435825622331392,ZSct,4253435825622331392,280.73864,-5.8209,12.901643,1.110645,2691.7,62.0,77.4,1.8,12.15,0.05,-4.285,-3.305,-4.148,-5.061,-5.559,-5.959,-6.016,-6.478,-6.33,-6.1406183,0.492,31.49,-0.02,MW,FU,3.0,0.237
V0916Aql,1.128449,12.574,10.791,8.896,6.767,7.486,6.581,11.191147,10.064854,9.0079155,12.481,12.126544342672084,1.089,1.226,-4.515,-5.205,-5.724,-6.022,-6.35,-6.319,-6.524,-6.522,75.9,6322.0,5066.7,0.916,1,0.2422,4.5,287.50172438518,12.53653558769,Gaia DR3 4313179507891570304,V0916Aql,4313179507891570304,287.50173,12.53656,13.44154,1.128449,3166.5,45.5,79.9,1.2,12.503,0.031,-5.207,-4.537,-5.226,-5.746,-6.044,-6.372,-6.341,-6.546,-6.544,-6.586288,1.089,17.46,0.035,MW,FU,1.0,0.278
BNPup,1.135867,11.069,9.882,8.552,7.076,7.626,6.921,10.428416,9.638985,8.797571,12.912,12.388919204911467,0.416,,-3.604,-4.372,-5.177,-5.678,-6.079,-6.151,-6.424,-6.476,77.4,5332.0,,1.249,3,,4.6,121.58947099704,-30.09687032198,Gaia DR3 5596601154188852352,BNPup,5596601154188852352,121.58948,-30.09688,13.6731,1.135867,3860.3,83.4,81.4,1.8,12.933,0.047,-4.5,-3.625,-4.393,-5.198,-5.699,-6.1,-6.172,-6.445,-6.497,-6.392622,0.416,67.48,0.02,MW,FU,3.0,0.028
TTAql,1.138459,8.436,7.138,5.678,4.204,4.772,4.051,7.582161,6.774303,5.906593,9.93,9.932871345899628,0.435,0.2198,-3.335,-4.198,-5.107,-5.568,-5.981,-6.046,-6.518,-6.375,74.7,5240.0,4392.1,1.076,2,-0.4549,4.2,287.05728923954,1.29863144782,Gaia DR3 4267397694768545920,TTAql,4267397694768545920,287.05729,1.29865,13.75495,1.138459,978.0,14.9,78.6,1.2,9.952,0.033,-4.346,-3.357,-4.219,-5.129,-5.59,-6.003,-6.068,-6.54,-6.397,-6.3612742,0.435,4.01,0.005,MW,FU,2.0,0.13
CYAur,1.141376,13.446,11.867,9.962,7.961,8.708,7.774,12.11607,11.216944,10.131946,13.736,12.605420508306517,0.768,,-3.54,-4.353,,-5.752,-6.224,-6.258,,-6.605,83.7,5162.0,,1.16,4,,5.3,74.41700356968,46.09253021377,Gaia DR3 206577210999441536,CYAur,206577210999441536,74.41698,46.09254,13.847649,1.141376,5641.3,263.7,88.0,4.1,13.757,0.101,-4.525,-3.561,-4.374,,-5.773,-6.245,-6.279,,-6.626,-6.309892,0.768,-14.17,-0.005,MW,FU,4.0,-0.229
LSPup,1.150646,11.685,10.448,9.074,7.518,8.094,7.353,10.928136,10.147516,9.267422,13.423,13.05227817705691,0.462,,-3.693,-4.469,-5.256,-5.765,-6.175,-6.247,-6.48,-6.579,81.5,5318.0,,1.247,2,,4.9,119.74673595271,-29.30786248156,Gaia DR3 5597327141100381568,LSPup,5597327141100381568,119.74675,-29.30788,14.146401,1.150646,4774.3,139.6,83.5,2.4,13.395,0.063,-4.546,-3.665,-4.44,-5.228,-5.737,-6.147,-6.219,-6.452,-6.551,-6.402841,0.462,81.17,-0.03,MW,FU,2.0,
TXCyg,1.167607,11.363,9.489,7.228,4.637,5.462,4.372,9.865825,8.521427,7.313938,10.438,10.297969519686204,1.13,,-3.856,-4.603,-5.429,-6.042,-6.462,-6.5,-6.716,-6.816,94.1,5161.0,,0.952,3,,6.4,315.02658089008,42.59755012053,Gaia DR3 2161786374436607616,TXCyg,2161786374436607616,315.02659,42.59756,14.709807,1.167607,1109.6,52.9,88.2,4.2,10.226,0.103,-4.537,-3.644,-4.391,-5.217,-5.83,-6.25,-6.288,-6.504,-6.604,-6.5531554,1.13,-17.83,-0.03,MW,FU,3.0,0.135
UZSct,1.168739,13.124,11.247,9.184,6.746,7.534,6.534,11.622959,10.364139,9.268289,12.735,12.235944074870769,1.02,1.2352,-3.927,-4.781,-5.554,-6.163,-6.585,-6.593,-6.751,-6.89,95.8,5287.0,4964.0,0.913,2,0.2063,6.6,277.8431918063,-12.92871602632,Gaia DR3 4104869264724284544,UZSct,4104869264724284544,277.8432,-12.92871,14.748197,1.168739,3556.3,71.1,100.3,2.0,12.755,0.043,-4.915,-3.947,-4.801,-5.574,-6.183,-6.605,-6.613,-6.771,-6.91,-6.8647356,1.02,41.91,0.045,MW,FU,2.0,0.395
RWCas,1.170032,10.462,9.233,7.871,6.367,6.934,6.237,9.516718,8.834319,8.018065,12.707,12.150423688538691,0.38,,-3.853,-4.705,-5.582,-6.131,-6.562,-6.616,-6.947,-6.95,98.4,5167.0,,1.262,3,,7.0,24.30840720487,57.75921601261,Gaia DR3 508915489570374272,RWCas,508915489570374272,24.30842,57.75921,14.792173,1.170032,3496.0,57.4,102.5,1.7,12.718,0.036,-4.862,-3.864,-4.715,-5.593,-6.142,-6.573,-6.627,-6.958,-6.961,-6.731121,0.38,-70.14,0.065,MW,FU,3.0,0.076
VWCen,1.177138,11.586,10.248,8.77,7.014,7.654,6.819,10.698315,9.853758,8.964626,12.694,12.645686718721777,0.439,0.5431,-2.965,-3.866,-4.786,-5.454,-5.937,-6.044,-6.217,-6.449,79.0,4877.0,4718.6,1.063,3,-0.1565,4.3,203.49589762776,-64.05556091566,Gaia DR3 5864955727424819200,VWCen,5864955727424819200,203.49596,-64.05556,15.036196,1.177138,3489.0,68.6,82.6,1.6,12.713,0.043,-4.14,-2.984,-3.886,-4.805,-5.473,-5.956,-6.063,-6.236,-6.468,-6.153252,0.439,-37.91,0.005,MW,FU,3.0,0.31
SZCyg,1.179252,10.91,9.432,7.755,5.961,6.635,5.775,9.855323,8.952725,8.012443,11.621,11.579416265073641,0.571,,-3.127,-4.036,-4.988,-5.525,-5.994,-6.066,-6.467,-6.438,77.9,5038.0,,0.956,2,,4.1,308.22621041712,46.6012487157,Gaia DR3 2071433765909167232,SZCyg,2071433765909167232,308.22622,46.60127,15.10957,1.179252,2128.8,48.9,81.4,1.9,11.641,0.05,-4.25,-3.147,-4.056,-5.008,-5.545,-6.014,-6.086,-6.487,-6.458,-6.189747,0.571,-9.0,-0.015,MW,FU,2.0,0.158
SVMon,1.182801,9.31,8.256,7.133,5.826,6.345,5.726,8.755854,8.132302,7.3303633,11.481,11.493701472036832,0.234,0.4102,-3.161,-3.981,-4.808,-5.357,-5.792,-5.845,-6.09,-6.18,69.1,5209.0,5270.5,1.006,3,-0.1313,3.1,95.35960712119,6.47015262948,Gaia DR3 3324153371114695680,SVMon,3324153371114695680,95.3596,6.47016,15.233547,1.182801,1996.1,30.6,72.2,1.1,11.501,0.033,-4.137,-3.181,-4.001,-4.828,-5.377,-5.812,-5.865,-6.11,-6.2,-6.077131,0.234,27.81,0.02,MW,FU,3.0,0.001
XCyg,1.214482,7.533,6.377,5.223,3.964,4.471,3.838,6.810588,6.199011,5.442217,10.285,10.119499113710727,0.228,,-3.716,-4.642,-5.51,-6.029,-6.454,-6.535,-6.852,-6.883,97.0,5151.0,,1.277,2,,5.9,310.85076233271,35.58777650649,Gaia DR3 1870258975238302208,XCyg,1870258975238302208,310.8508,35.5878,16.386337,1.214482,1149.9,8.2,100.8,0.7,10.303,0.015,-4.811,-3.734,-4.66,-5.528,-6.047,-6.472,-6.553,-6.87,-6.901,-6.7038965,0.228,7.48,0.0,MW,FU,2.0,0.089
RWCam,1.215224,10.034,8.671,7.042,5.291,5.93,5.139,9.069653,8.229256,7.2557936,11.329,10.557587712401588,0.633,,-3.974,-4.703,-5.53,-5.996,-6.408,-6.433,-6.814,-6.734,89.4,5365.0,,8.013,2,,5.0,58.59070073087,58.65332973792,Gaia DR3 473043922712140928,RWCam,473043922712140928,58.5907,58.65333,16.414362,1.215224,1859.7,56.8,93.0,2.8,11.347,0.066,-4.814,-3.992,-4.722,-5.548,-6.014,-6.426,-6.451,-6.832,-6.752,-6.5640755,0.633,-23.74,-0.025,MW,FU,2.0,0.08
CDCyg,1.232334,10.217,8.948,7.448,5.89,6.463,5.72,9.376083,8.587173,7.6942596,11.945,11.831463238585702,0.493,0.9644,-3.814,-4.592,-5.465,-5.947,-6.344,-6.414,-6.822,-6.736,89.3,5269.0,5977.7,1.007,1,-0.0117,4.0,301.1106612854,34.11224946615,Gaia DR3 2058374144759464064,CDCyg,2058374144759464064,301.11067,34.11227,17.073952,1.232334,2469.3,33.6,92.6,1.3,11.963,0.03,-4.729,-3.832,-4.609,-5.483,-5.965,-6.362,-6.432,-6.84,-6.754,-6.571291,0.493,-11.59,-0.005,MW,FU,1.0,0.154
YOph,1.233609,7.531,6.166,4.524,2.869,3.437,2.682,6.557959,5.640049,4.686301,8.78,9.319633753826372,0.647,,-3.987,-4.705,-5.526,-5.953,-6.29,-6.347,-6.803,-6.617,84.1,5498.0,,1.031,2,,4.1,268.16124433489,-6.1435971224,Gaia DR3 4175017625462647168,YOph,4175017625462647168,268.16126,-6.14357,17.124147,1.233609,574.9,6.7,87.2,1.0,8.798,0.025,-4.781,-4.005,-4.722,-5.544,-5.971,-6.308,-6.365,-6.821,-6.635,-6.7141037,0.647,-6.91,0.02,MW,FU,2.0,0.021
SZAql,1.234029,10.033,8.634,7.018,5.347,5.955,5.16,9.052635,8.201151,7.225074,11.65,11.256058008028884,0.534,,-3.876,-4.742,-5.68,-6.198,-6.615,-6.695,-7.138,-7.037,104.2,5107.0,,0.94,2,,6.5,286.16423460279,1.30614320294,Gaia DR3 4267549637851481344,SZAql,4267549637851481344,286.16423,1.30615,17.14072,1.234029,2155.5,28.1,108.0,1.4,11.668,0.028,-4.925,-3.894,-4.76,-5.698,-6.216,-6.633,-6.713,-7.156,-7.055,-6.9392157,0.534,6.38,0.02,MW,FU,2.0,0.181
AASer,1.234041,14.396,12.238,9.571,6.78,7.706,6.527,12.657625,11.081848,9.84074,12.072,12.581332991007699,1.046,1.4787,-2.102,-3.212,-4.555,-5.353,-5.903,-5.947,-6.637,-6.356,83.3,4867.0,4467.2,0.952,2,-0.1895,4.0,280.3406709082,-1.11123399344,Gaia DR3 4260210878780635904,AASer,4260210878780635904,280.34067,-1.11119,17.14119,1.234041,2618.1,36.7,86.3,1.2,12.09,0.03,-3.985,-2.12,-3.23,-4.573,-5.371,-5.921,-5.965,-6.655,-6.374,-6.3602333,1.046,-44.24,0.0,MW,FU,5.0,0.414
CPCep,1.251989,12.223,10.577,8.773,6.726,7.457,6.537,10.902071,9.859632,8.864258,12.78,12.531832906000954,0.649,1.0169,-3.303,-4.3,-5.282,-5.935,-6.433,-6.492,-6.806,-6.875,98.6,4858.0,5006.7,1.009,2,-0.1676,5.5,329.46951559015,56.16388559015,Gaia DR3 2198162651499971200,CPCep,2198162651499971200,329.46955,56.1639,17.864426,1.251989,3626.2,70.0,101.9,2.0,12.797,0.042,-4.578,-3.32,-4.317,-5.299,-5.952,-6.45,-6.509,-6.823,-6.892,-6.8092136,0.649,-39.47,-0.01,MW,FU,2.0,-0.05
CTCar,1.256661,12.182,12.226,10.931,8.792,9.467,8.578,12.503415,11.683173,10.73966,15.09,14.59427946365433,0.57,,-5.319,-4.706,-5.279,-6.161,-6.632,-6.731,-6.169,-7.124,106.8,5043.0,,0.834,3,,6.5,159.23232981378,-61.58130906345,Gaia DR3 5253717937706836480,CTCar,5253717937706836480,159.23238,-61.58132,18.057642,1.256661,10503.1,225.7,110.3,2.4,15.107,0.047,-4.914,-5.336,-4.723,-5.296,-6.178,-6.649,-6.748,-6.186,-7.141,-6.7749615,0.57,110.39,0.0,MW,FU,3.0,
