name,logP,B_mag,V_mag,I_mag,H_mag,J_mag,K_mag,BPmag,Gmag,"RPmag ",IRSB,gplx,EBV,E(BP-RP),Mb,Mv,Mi,Mj,Mh,Mk,Wvi,Wjk,Radius_IRSB,Teq,Teff,RUWE,QLT,[Fe/H],Mass,RA_ICRS,DE_ICRS,DR3Name,ID,GDR3_Source,RA,DEC,Period,logP_2,distance,sig_distance,Radius,sig_Radius,mM0,sig_mM0,Mbol,M_B,M_V,M_I,M_J,M_H,M_K,W_VI,W_JK,W_G,EBV_2,RV_gamma,ph_shift,gal,MODE,Quality,FeH
WWMon,0.66858,13.637,12.51,11.137,9.507,10.064,9.392,13.051188,12.31651,11.39435,13.254,13.166368025984259,0.605,0.9973,-2.177,-2.701,-3.305,-3.761,-4.101,-4.095,-4.247,-4.324,32.0,5839.0,6087.5,1.094,5,-0.4897,2.7,98.40492430617,9.20356771487,Gaia DR3 3326443821335586816,WWMon,3326443821335586816,98.40492,9.20353,4.662083,0.66858,4552.5,100.8,30.0,0.7,13.291,0.048,-2.731,-2.214,-2.738,-3.342,-3.798,-4.138,-4.132,-4.284,-4.361,-4.1224833,0.605,53.41,0.01,MW,FU,5.0,-0.223
RYCMa,0.670099,8.953,8.108,7.119,6.045,6.455,5.936,8.449467,7.938902,7.2278967,10.713,10.327899676023286,0.239,0.3669,-2.771,-3.378,-4.064,-4.484,-4.807,-4.869,-5.129,-5.135,46.4,5708.0,5813.3,1.29,5,-0.1008,5.9,109.1568033685,-11.48729732864,Gaia DR3 3046774762417915136,RYCMa,3046774762417915136,109.15681,-11.48731,4.678418,0.670099,1412.5,71.2,43.5,2.2,10.75,0.11,-3.437,-2.808,-3.415,-4.101,-4.521,-4.844,-4.906,-5.166,-5.172,-5.132078,0.239,36.59,0.0,MW,FU,5.0,
VZCyg,0.687034,9.836,8.956,7.933,6.872,7.283,6.759,9.251616,8.745005,8.053974,11.452,11.162505097664255,0.266,0.5206,-2.741,-3.355,-4.042,-4.42,-4.736,-4.795,-5.107,-5.053,44.6,5779.0,5814.7,1.314,1,-0.2581,5.2,327.92264896468,43.13402308887,Gaia DR3 1960750328384177408,VZCyg,1960750328384177408,327.92267,43.13404,4.864453,0.687034,1984.7,21.8,41.8,0.5,11.488,0.024,-3.401,-2.777,-3.392,-4.078,-4.456,-4.772,-4.831,-5.143,-5.089,-5.018512,0.266,-17.77,0.05,MW,FU,1.0,-0.057
CFCas,0.687994,12.338,11.128,9.691,8.132,8.701,7.966,11.468504,10.724333,9.874154,12.212,12.252554504981493,0.553,,-2.213,-2.869,-3.607,-4.033,-4.403,-4.459,-4.75,-4.752,39.3,5563.0,,1.036,3,,3.9,359.57487036665,61.2210537331,Gaia DR3 2011892703004353792,CFCas,2011892703004353792,359.5749,61.22106,4.8752174,0.687994,2815.9,33.0,36.8,0.4,12.248,0.025,-2.96,-2.249,-2.905,-3.643,-4.069,-4.439,-4.495,-4.786,-4.788,-4.552932,0.553,-77.59,0.03,MW,FU,3.0,-0.029
ASPer,0.696531,11.02,9.719,8.09,6.478,7.035,6.315,10.073069,9.226171,8.296702,10.831,10.814865478528557,0.679,1.2495,-2.684,-3.305,-4.075,-4.436,-4.75,-4.776,-5.269,-5.011,44.5,5730.0,6310.6,1.079,5,-0.3998,5.0,64.94524474253,48.95326102831,Gaia DR3 270272675510149504,ASPer,270272675510149504,64.94524,48.95327,4.9719987,0.696531,1490.5,74.7,41.6,2.1,10.867,0.109,-3.357,-2.72,-3.341,-4.111,-4.472,-4.786,-4.812,-5.305,-5.047,-5.015925,0.679,-30.37,0.015,MW,FU,5.0,0.05
VLac,0.697493,9.816,8.921,7.866,6.671,7.121,6.587,9.305993,8.771336,7.9975805,11.321,11.372474932442639,0.335,0.5188,-2.923,-3.483,-4.113,-4.516,-4.846,-4.863,-5.091,-5.102,45.7,5858.0,5731.4,1.094,3,-0.2824,5.3,342.15828864485,56.32153324908,Gaia DR3 2003938801532007808,VLac,2003938801532007808,342.15832,56.32154,4.9830246,0.697493,1868.1,37.2,42.7,0.9,11.357,0.043,-3.509,-2.959,-3.519,-4.149,-4.552,-4.882,-4.899,-5.127,-5.138,-5.0716476,0.335,-24.05,0.06,MW,FU,3.0,0.008
V350Sgr,0.712165,8.382,7.474,6.416,5.257,5.712,5.165,7.80918,7.248875,6.557424,9.982,10.397456924021109,0.299,0.5489,-2.865,-3.475,-4.153,-4.552,-4.9,-4.932,-5.208,-5.193,47.8,5750.0,5796.6,2.427,2,-0.1824,5.6,281.32289948318,-20.64739456406,Gaia DR3 4080122796947250176,V350Sgr,4080122796947250176,281.3229,-20.64738,5.154245,0.712165,1008.0,25.6,44.6,1.1,10.017,0.055,-3.524,-2.9,-3.511,-4.188,-4.587,-4.935,-4.967,-5.243,-5.228,-5.1464605,0.299,3.46,-0.005,MW,FU,2.0,
V0386Cyg,0.720788,11.167,9.627,7.742,5.809,6.482,5.587,10.015031,8.998431,7.964558,9.599,10.159435638990368,0.841,1.3702,-1.99,-2.689,-3.509,-3.91,-4.281,-4.336,-4.781,-4.629,37.4,5502.0,5817.9,0.951,4,-0.1374,3.2,318.66846943872,41.716336531,Gaia DR3 1968971582984827136,V0386Cyg,1968971582984827136,318.66848,41.71635,5.2576056,0.720788,845.0,33.3,34.8,1.4,9.634,0.085,-2.792,-2.025,-2.725,-3.544,-3.945,-4.316,-4.371,-4.816,-4.664,-4.531465,0.841,-5.25,-0.03,MW,FU,4.0,0.0
CRSer,0.724391,12.492,10.853,8.895,6.763,7.463,6.548,11.121695,10.01851,8.980743,11.565,11.063017638117676,1.036,,-3.456,-4.059,-4.705,-5.079,-5.408,-5.415,-5.707,-5.647,58.7,5901.0,,1.19,2,,8.4,272.50887793975,-13.54596188866,Gaia DR3 4147381366335558784,CRSer,4147381366335558784,272.50888,-13.54596,5.301405,0.724391,2089.4,107.8,54.7,2.8,11.6,0.112,-4.078,-3.491,-4.094,-4.74,-5.114,-5.443,-5.45,-5.742,-5.682,-5.649296,1.036,2.99,-0.01,MW,FU,2.0,
BGLac,0.726883,9.833,8.881,7.784,6.658,7.112,6.543,9.158546,8.614144,7.9073715,11.247,11.042322127203757,0.3,0.4836,-2.684,-3.334,-4.052,-4.418,-4.764,-4.819,-5.164,-5.095,45.6,5717.0,5697.7,1.43,2,-0.3346,4.8,330.10475637179,43.44535204904,Gaia DR3 1960981328902089088,BGLac,1960981328902089088,330.10477,43.44537,5.3319125,0.726883,1804.8,26.6,42.5,0.6,11.282,0.032,-3.39,-2.719,-3.369,-4.087,-4.453,-4.799,-4.854,-5.199,-5.13,-5.045089,0.3,-17.99,0.005,MW,FU,2.0,-0.011
