name,logP,B_mag,V_mag,I_mag,K_mag,IRSB,sig_mM0_IRSB,Mb,Mv,Mi,Mj,Mh,Mk,Wvi,Wjk,EBV,sig_EBV,J_mag,H_mag,dist_IRSB,sig_dist_IRSB
CYAur,1.141376,13.446,11.867,9.962,7.774,13.736,0.101,-3.54,-4.353,,-5.752,-6.224,-6.258,,-6.605,0.768,0.02,8.708,7.961,5586.8,261.1
DDCas,0.991759,11.076,9.879,8.507,6.948,12.353,0.052,-3.181,-3.926,-4.73,-5.15,-5.548,-5.578,-5.975,-5.872,0.45,0.02,7.627,7.068,2955.2,70.2
DLCas,0.903126,10.121,8.968,7.575,5.949,11.647,0.061,-3.591,-4.256,-5.031,-5.456,-5.831,-5.885,-6.234,-6.181,0.488,0.02,6.651,6.101,2135.3,60.4
DTCyg,0.397804,6.313,5.774,5.178,4.438,10.12,0.094,-3.976,-4.474,-5.021,-5.405,-5.661,-5.697,-5.866,-5.898,0.04,0.02,4.753,4.483,1056.6,45.8
EVSct,0.490098,11.29,10.144,8.623,7.028,11.32,0.095,-2.802,-3.291,-3.984,-4.274,-4.532,-4.544,-5.057,-4.729,0.655,0.02,7.664,7.171,1836.6,80.6
FFAql,0.65039,6.128,5.373,4.501,3.49,8.578,0.062,-3.28,-3.838,-4.462,-4.842,-5.116,-5.163,-5.431,-5.384,0.196,0.02,3.921,3.577,519.6,14.9
FMAql,0.786342,9.546,8.27,6.717,5.075,10.363,0.051,-3.309,-3.995,-4.802,-5.124,-5.473,-5.515,-6.054,-5.783,0.589,0.02,5.794,5.235,1182.1,27.7
FMCas,0.764123,10.119,9.128,7.978,6.638,11.055,0.064,-2.311,-2.976,-3.715,-4.138,-4.499,-4.542,-4.86,-4.82,0.325,0.02,7.223,6.746,1625.3,48.2
FNAql,0.976878,9.593,8.389,6.947,5.356,10.327,0.036,-2.79,-3.507,-4.335,-4.735,-5.116,-5.158,-5.617,-5.449,0.486,0.02,6.05,5.495,1162.5,19.5
GHCyg,0.893092,11.159,9.896,8.43,6.638,12.108,0.099,-3.615,-4.251,-4.915,-5.346,-5.677,-5.713,-5.951,-5.965,0.63,0.02,7.356,6.799,2640.5,120.6
GHLup,0.967448,8.844,7.637,6.364,4.813,10.563,0.039,-3.187,-4.047,-4.881,-5.398,-5.806,-5.883,-6.174,-6.217,0.347,0.02,5.492,4.96,1295.9,23.3
GYSge,1.708102,12.442,10.163,7.5,4.596,12.292,0.026,-5.393,-6.36,-7.365,-7.805,-8.169,-8.199,-8.922,-8.47,1.31,0.02,5.723,4.889,2873.3,34.5
HZPer,1.052296,15.842,13.774,10.646,8.072,13.127,0.089,-2.418,-3.271,,-4.976,-5.489,-5.521,,-5.897,1.213,0.02,9.295,8.347,4220.7,172.5
KNCen,1.531857,11.468,9.856,7.996,5.49,12.983,0.046,-4.862,-5.685,-6.541,-7.212,-7.69,-7.797,-7.872,-8.199,0.791,0.02,6.517,5.756,3949.4,83.9
KQSco,1.457818,11.747,9.81,7.658,4.947,12.237,0.074,-4.167,-5.234,-6.285,-7.031,-7.527,-7.624,-7.917,-8.032,0.869,0.02,6.025,5.218,2801.0,95.1
LSPup,1.150646,11.685,10.448,9.074,7.353,13.423,0.053,-3.693,-4.469,-5.256,-5.765,-6.175,-6.247,-6.48,-6.579,0.462,0.02,8.094,7.518,4836.9,118.2
MWCyg,0.774852,10.841,9.483,7.874,6.041,10.267,0.032,-2.113,-2.834,-3.64,-4.067,-4.43,-4.47,-4.889,-4.747,0.635,0.02,6.799,6.209,1130.8,16.9
QZNor,0.578244,9.756,8.869,7.865,6.619,10.706,0.056,-2.063,-2.686,-3.357,-3.818,-4.127,-4.188,-4.398,-4.442,0.263,0.02,7.136,6.733,1383.9,35.6
RRLac,0.807281,9.753,8.842,7.816,6.527,10.772,0.037,-2.369,-2.963,-3.582,-4.015,-4.339,-4.368,-4.547,-4.61,0.319,0.02,7.058,6.619,1427.2,24.0
RSCas,0.799056,11.423,9.944,8.217,6.03,10.317,0.058,-2.419,-3.064,-3.736,-4.218,-4.577,-4.607,-4.779,-4.874,0.833,0.02,6.884,6.227,1157.2,31.1
RSOri,0.878917,9.376,8.414,7.253,5.917,11.137,0.068,-3.251,-3.861,-4.575,-4.98,-5.325,-5.355,-5.684,-5.614,0.352,0.02,6.489,6.018,1688.4,53.1
RSPup,1.61742,8.442,7.01,5.489,3.647,11.288,0.037,-4.779,-5.756,-6.696,-7.279,-7.728,-7.817,-8.158,-8.187,0.457,0.02,4.44,3.827,1810.0,30.5
RTAur,0.571489,6.036,5.443,4.767,3.937,7.999,0.032,-2.213,-2.745,-3.348,-3.753,-4.044,-4.085,-4.281,-4.313,0.059,0.02,4.302,3.989,398.0,5.8
RUSct,1.29448,11.126,9.487,7.371,5.072,11.834,0.069,-4.563,-5.29,-6.252,-6.916,-7.052,-7.112,-7.744,-7.246,0.911,0.02,5.777,5.315,2326.7,73.9
RWCam,1.215224,10.034,8.671,7.042,5.139,11.329,0.066,-3.974,-4.703,-5.53,-5.996,-6.408,-6.433,-6.814,-6.734,0.633,0.02,5.93,5.291,1844.0,56.3
RWCas,1.170032,10.462,9.233,7.871,6.237,12.707,0.04,-3.853,-4.705,-5.582,-6.131,-6.562,-6.616,-6.947,-6.95,0.38,0.02,6.934,6.367,3478.8,64.2
RXAur,1.065337,8.631,7.669,6.59,5.269,10.796,0.05,-3.278,-3.978,-4.722,-5.225,-5.594,-5.628,-5.878,-5.905,0.263,0.02,5.819,5.355,1443.1,33.5
RXCam,0.898288,8.888,7.669,6.223,4.599,9.506,0.076,-2.869,-3.555,-4.327,-4.742,-5.093,-5.112,-5.524,-5.366,0.532,0.02,5.266,4.724,796.4,28.1
RYCMa,0.670099,8.953,8.108,7.119,5.936,10.713,0.11,-2.771,-3.378,-4.064,-4.484,-4.807,-4.869,-5.129,-5.135,0.239,0.02,6.455,6.045,1388.7,70.0
RYCas,1.084181,11.321,9.95,8.403,6.373,12.069,0.059,-3.363,-4.118,-4.88,-5.477,-5.879,-5.934,-6.065,-6.248,0.618,0.02,7.175,6.551,2593.3,70.2
RYSco,1.307927,9.462,8.018,6.255,4.143,10.337,0.028,-3.913,-4.639,-5.493,-6.015,-6.391,-6.47,-6.818,-6.783,0.718,0.02,4.999,4.365,1168.1,15.2
RYVel,1.449158,9.744,8.371,6.834,4.928,11.847,0.034,-4.409,-5.235,-6.083,-6.661,-7.043,-7.128,-7.396,-7.45,0.545,0.02,5.7,5.123,2341.0,36.6
RZCMa,0.628882,10.698,9.698,8.469,7.027,10.942,0.086,-2.118,-2.675,-3.343,-3.731,-4.024,-4.085,-4.379,-4.329,0.443,0.02,7.629,7.177,1543.2,60.8
RZGem,0.742669,11.055,10.006,8.662,7.01,11.655,0.115,-2.982,-3.469,-4.098,-4.483,-4.82,-4.861,-5.077,-5.121,0.563,0.02,7.703,7.164,2142.8,113.9
RZVel,1.309564,8.216,7.09,5.867,4.308,10.684,0.022,-3.737,-4.568,-5.406,-5.988,-6.4,-6.491,-6.713,-6.837,0.3,0.02,4.979,4.46,1370.0,14.1
SMus,0.98498,6.963,6.136,5.188,4.017,9.67,0.044,-3.299,-3.988,-4.757,-5.249,-5.625,-5.707,-5.952,-6.021,0.14,0.02,4.553,4.127,859.0,17.4
SNor,0.989194,7.375,6.429,5.427,4.162,9.888,0.024,-3.27,-4.036,-4.813,-5.328,-5.718,-5.795,-6.015,-6.117,0.179,0.02,4.729,4.275,949.6,10.6
SSSct,0.564814,9.165,8.218,7.095,5.845,10.346,0.083,-2.556,-3.178,-3.889,-4.272,-4.599,-4.626,-4.992,-4.87,0.325,0.02,6.381,5.937,1172.5,44.6
SSge,0.923352,6.424,5.617,4.775,3.765,9.342,0.05,-3.337,-4.046,-4.762,-5.208,-5.554,-5.615,-5.874,-5.894,0.099,0.02,4.227,3.846,738.7,16.9
STTau,0.605768,9.066,8.219,7.138,5.788,10.137,0.029,-2.628,-3.107,-3.722,-4.132,-4.454,-4.49,-4.676,-4.737,0.368,0.02,6.352,5.898,1064.9,14.3
SUCas,0.289884,6.673,5.971,5.094,4.13,8.196,0.069,-2.619,-3.061,-3.61,-3.91,-4.142,-4.166,-4.461,-4.342,0.259,0.02,4.53,4.205,435.7,13.8
SUCru,1.108822,11.516,9.802,7.657,4.736,10.527,0.148,-3.039,-3.8,-4.74,-5.413,-6.056,-6.157,-6.197,-6.668,0.952,0.02,6.012,5.027,1274.7,86.9
SUCyg,0.584952,7.455,6.886,6.196,5.324,9.17,0.129,-2.129,-2.601,-3.166,-3.559,-3.84,-3.884,-4.045,-4.108,0.098,0.02,5.703,5.387,682.2,40.6
SVMon,1.182801,9.31,8.256,7.133,5.726,11.481,0.033,-3.161,-3.981,-4.808,-5.357,-5.792,-5.845,-6.09,-6.18,0.234,0.02,6.345,5.826,1978.2,30.4
SVPer,1.046469,10.023,8.977,7.734,6.237,12.383,0.047,-4.086,-4.726,-5.451,-5.877,-6.266,-6.303,-6.577,-6.596,0.408,0.02,6.891,6.355,2996.9,64.9
SVVul,1.652569,8.7,7.213,5.67,3.93,11.388,0.017,-4.643,-5.67,-6.626,-7.155,-7.568,-7.636,-8.111,-7.967,0.462,0.02,4.668,4.09,1895.0,15.2
SVul,1.837426,10.85,8.961,6.941,4.6,12.908,0.028,-5.388,-6.489,-7.513,-8.115,-8.536,-8.611,-9.1,-8.952,0.787,0.02,5.536,4.832,3815.2,49.9
SWCas,0.735675,10.808,9.703,8.387,6.859,11.655,0.065,-2.823,-3.461,-4.185,-4.595,-4.946,-4.976,-5.308,-5.238,0.467,0.02,7.5,6.982,2142.9,64.2
SWVel,1.370016,9.281,8.128,6.844,5.231,12.036,0.029,-4.21,-5.02,-5.868,-6.429,-6.847,-6.937,-7.184,-7.287,0.344,0.02,5.931,5.39,2554.0,34.1
SYAur,1.006262,10.09,9.07,7.843,6.405,12.106,0.068,-3.844,-4.432,-5.111,-5.505,-5.835,-5.868,-6.165,-6.117,0.432,0.02,7.008,6.524,2637.5,82.9
SYCas,0.609712,10.85,9.873,8.752,7.343,11.472,0.059,-2.493,-3.025,-3.588,-3.98,-4.282,-4.299,-4.459,-4.518,0.442,0.02,7.909,7.448,1969.7,53.5
SZAql,1.234029,10.033,8.634,7.018,5.16,11.65,0.028,-3.876,-4.742,-5.68,-6.198,-6.615,-6.695,-7.138,-7.037,0.534,0.02,5.955,5.347,2138.0,27.9
SZCyg,1.179252,10.91,9.432,7.755,5.775,11.621,0.05,-3.127,-4.036,-4.988,-5.525,-5.994,-6.066,-6.467,-6.438,0.571,0.02,6.635,5.961,2109.5,48.5
SZTau,0.498166,7.365,6.526,5.517,4.314,8.731,0.022,-2.614,-3.159,-3.793,-4.183,-4.489,-4.531,-4.778,-4.77,0.295,0.02,4.827,4.414,557.5,5.6
TMon,1.431915,7.307,6.128,4.98,3.525,10.585,0.031,-4.035,-5.036,-5.957,-6.571,-7.038,-7.129,-7.386,-7.512,0.179,0.02,4.183,3.652,1309.2,18.7
TTAql,1.138459,8.436,7.138,5.678,4.051,9.93,0.033,-3.335,-4.198,-5.107,-5.568,-5.981,-6.046,-6.518,-6.375,0.435,0.02,4.772,4.204,968.5,14.8
TVel,0.666501,8.944,8.032,6.959,5.641,10.003,0.024,-2.281,-2.906,-3.612,-4.051,-4.404,-4.473,-4.709,-4.763,0.289,0.02,6.225,5.768,1001.4,11.2
TVul,0.646934,6.39,5.753,5.054,4.205,8.69,0.018,-2.554,-3.132,-3.754,-4.146,-4.455,-4.508,-4.721,-4.757,0.06,0.02,4.601,4.27,547.1,4.5
TWCMa,0.844792,10.534,9.564,8.419,7.069,11.266,0.028,-2.124,-2.765,-3.493,-3.916,-4.283,-4.324,-4.623,-4.604,0.329,0.02,7.66,7.175,1791.1,23.2
TWNor,1.032868,13.63,11.701,9.287,6.39,11.691,0.104,-2.956,-3.726,-4.676,-5.276,-5.673,-5.746,-6.148,-6.069,1.157,0.02,7.506,6.694,2179.1,104.5
TXCyg,1.167607,11.363,9.489,7.228,4.372,10.438,0.054,-3.856,-4.603,-5.429,-6.042,-6.462,-6.5,-6.716,-6.816,1.13,0.02,5.462,4.637,1223.4,30.3
TYMon,0.604502,12.062,11.743,11.043,8.723,12.948,0.085,-3.192,-2.968,-2.975,-4.057,-4.4,-4.435,-2.99,-4.695,0.545,0.02,9.405,8.866,3886.6,152.8
TYSct,1.043507,12.507,10.818,8.825,6.429,11.638,0.038,-3.214,-3.937,-4.708,-5.193,-5.564,-5.58,-5.905,-5.846,0.965,0.02,7.355,6.638,2126.3,37.6
TZMon,0.870882,11.459,10.796,9.468,7.856,13.551,0.13,-3.869,-4.114,-4.908,-5.396,-5.791,-5.856,-6.142,-6.173,0.42,0.02,8.551,8.006,5131.3,308.3
UAql,0.846591,7.475,6.449,5.259,3.89,8.861,0.069,-2.909,-3.576,-4.309,-4.724,-5.063,-5.109,-5.448,-5.374,0.36,0.02,4.476,4.008,591.8,18.7
UCar,1.58897,7.469,6.292,5.057,3.522,10.743,0.025,-4.387,-5.3,-6.202,-6.798,-7.227,-7.322,-7.601,-7.681,0.263,0.02,4.193,3.67,1407.7,16.5
UNor,1.101875,10.841,9.247,7.352,4.991,10.549,0.066,-3.335,-4.073,-4.88,-5.426,-5.813,-5.888,-6.135,-6.205,0.857,0.02,5.931,5.237,1287.9,38.9
USgr,0.828997,7.786,6.69,5.426,3.954,8.881,0.039,-2.796,-3.489,-4.244,-4.673,-5.023,-5.082,-5.416,-5.363,0.402,0.02,4.587,4.093,597.4,10.6
UUMus,1.065819,10.936,9.794,8.486,6.828,12.033,0.087,-2.806,-3.544,-4.34,-4.886,-5.28,-5.36,-5.576,-5.687,0.404,0.02,7.528,6.989,2550.1,102.5
UVul,0.902584,8.419,7.125,5.542,3.957,9.006,0.039,-3.139,-3.829,-4.648,-4.944,-5.259,-5.281,-5.917,-5.513,0.603,0.02,4.631,4.099,632.6,11.5
UZSct,1.168739,13.124,11.247,9.184,6.534,12.735,0.043,-3.927,-4.781,-5.554,-6.163,-6.585,-6.593,-6.751,-6.89,1.02,0.02,7.534,6.746,3523.5,70.5
V0336Aql,0.863534,11.152,9.85,8.63,6.554,10.619,0.043,-2.06,-2.749,,-3.943,-4.287,-4.301,,-4.547,0.613,0.02,7.254,6.69,1329.9,26.3
V0386Cyg,0.720788,11.167,9.627,7.742,5.587,9.599,0.085,-1.99,-2.689,-3.509,-3.91,-4.281,-4.336,-4.781,-4.629,0.841,0.02,6.482,5.809,831.4,32.7
V0402Cyg,0.639968,10.897,9.867,8.669,7.299,11.396,0.049,-2.153,-2.791,-3.495,-3.87,-4.214,-4.248,-4.586,-4.507,0.391,0.02,7.895,7.41,1901.5,43.0
V0438Cyg,1.049647,12.847,10.943,8.639,5.789,11.407,0.05,-3.799,-4.463,-5.199,-5.653,-6.05,-6.094,-6.341,-6.397,1.238,0.02,6.921,6.081,1911.9,44.0
V0459Cyg,0.860413,12.035,10.601,8.837,6.903,11.52,0.072,-2.574,-3.278,-4.116,-4.494,-4.873,-4.898,-5.418,-5.175,0.73,0.02,7.715,7.073,2013.7,66.9
V0465Mon,0.433514,10.965,10.372,9.474,8.365,10.484,0.077,-0.551,-0.9,-1.489,-1.879,-2.191,-2.213,-2.403,-2.442,0.244,0.02,8.835,8.436,1249.7,44.4
V0495Cyg,0.827263,12.246,10.618,8.694,6.314,12.365,0.101,-4.257,-4.906,-5.592,-6.054,-6.394,-6.427,-6.655,-6.684,0.978,0.02,7.233,6.542,2971.3,138.5
