,Unnamed: 0,Unnamed: 0.1,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag
82,82,82,99,TXCyg,1.167607,10.058,1.2023538063027397,11.363,9.489,7.228,5.462,4.637,4.372
83,83,83,100,UZSct,1.168739,12.255,1.091068447566931,13.124,11.247,9.184,7.534,6.746,6.534
84,84,84,101,RWCas,1.170032,12.307,0.4139286163330069,10.462,9.233,7.871,6.934,6.367,6.237
85,85,85,103,SZCyg,1.179252,11.781,0.6214367174914996,10.91,9.432,7.755,6.635,5.961,5.775
86,86,86,104,SVMon,1.182801,11.921,0.267241275027891,9.31,8.256,7.133,6.345,5.826,5.726
87,87,87,105,XCyg,1.214482,10.165,0.2231396026387224,7.533,6.377,5.223,4.471,3.964,3.838
88,88,88,106,RWCam,1.215224,11.268999999999998,0.5794749151802695,10.034,8.671,7.042,5.93,5.291,5.139
89,89,89,107,CDCyg,1.232334,12.025,0.4345140695815654,10.217,8.948,7.448,6.463,5.89,5.72
90,90,90,108,SZAql,1.234029,11.43,0.5159333607266472,10.033,8.634,7.018,5.955,5.347,5.16
91,91,91,110,CPCep,1.251989,12.72,0.7828794142502661,12.223,10.577,8.773,7.457,6.726,6.537
92,92,92,113,VYCar,1.276818,11.364,0.2594650809945144,8.642,7.463,6.28,5.463,4.945,4.806
93,93,93,115,VXCyg,1.303917,12.243,0.7898943273640346,11.769,10.062,8.161,6.816,6.083,5.905
94,94,94,116,RYSco,1.307927,10.617,0.6524804468173134,9.462,8.018,6.255,4.999,4.365,4.143
95,95,95,117,RZVel,1.309564,10.964,0.3018165724550615,8.216,7.09,5.867,4.979,4.46,4.308
96,96,96,118,WZSgr,1.339443,11.219,0.5284509089867667,9.424,8.03,6.497,5.404,4.765,4.568
97,97,97,119,BMPer,1.360896,12.275,0.8629773059004852,12.21,10.401,8.214,6.8,6.012,5.773
98,98,98,120,WZCar,1.361977,13.122,0.358549138079431,10.427,9.266,7.963,7.009,6.456,6.29
99,99,99,122,SWVel,1.370016,12.096,0.3177980859440883,9.281,8.128,6.844,5.931,5.39,5.231
100,100,100,123,XPup,1.414321,12.438,0.3430209321377271,9.702,8.507,7.107,6.18,5.6,5.431
101,101,101,124,TMon,1.431915,10.645,0.2079578237021627,7.307,6.128,4.98,4.183,3.652,3.525
102,102,102,125,RYVel,1.449158,12.007,0.4803728811200376,9.744,8.371,6.834,5.7,5.123,4.928
103,103,103,126,KQSco,1.457818,11.777,1.0061222936317644,11.747,9.81,7.658,6.025,5.218,4.947
104,104,104,127,AQPup,1.478624,12.47,0.4325677157489482,10.081,8.705,7.14,6.102,5.483,5.299
105,105,105,128,KNCen,1.531857,12.723,0.8387956441089972,11.468,9.856,7.996,6.517,5.756,5.49
106,106,106,129,lCar,1.550816,8.636000000000001,0.1847130347283466,5.009,3.729,2.557,1.766,1.212,1.093
107,107,107,130,UCar,1.58897,11.223,0.2037125817829194,7.469,6.292,5.057,4.193,3.67,3.522
108,108,108,131,RSPup,1.61742,11.348,0.394558314286047,8.442,7.01,5.489,4.44,3.827,3.647
