,level_0,index,ID,logP,IRSB,plx,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,DR3Name,Gmag,BPmag,RPmag,RA_ICRS,DE_ICRS
61,64,68,RYCas,1.084181,11.922,11.996823112034368,0.618,11.321,9.95,8.403,7.175,6.551,6.373,Gaia DR3 1999252442448732288,9.384336,10.242566,8.493246,358.02927448682,58.74171978277
62,65,69,UNor,1.101875,10.408,10.894666037511602,0.857,10.841,9.247,7.352,5.931,5.237,4.991,Gaia DR3 5884368498528237952,8.493722,9.551569,7.443438,235.58714333319,-55.31194067495
63,66,70,ZSct,1.110645,12.159,12.066442294122076,0.492,10.927,9.592,8.055,7.055,6.478,6.323,Gaia DR3 4253435825622331392,9.223479,10.054388,8.362758,280.7386394805,-5.82091281592
64,68,72,BNPup,1.135867,12.78,12.388919204911469,0.416,11.069,9.882,8.552,7.626,7.076,6.921,Gaia DR3 5596601154188852352,9.638985,10.428416,8.79757,121.58947099704,-30.09687032198
65,69,73,TTAql,1.138459,9.8,9.932871345899628,0.435,8.436,7.138,5.678,4.772,4.204,4.051,Gaia DR3 4267397694768545920,6.774303,7.582161,5.906594,287.05728923954,1.29863144782
66,70,75,LSPup,1.150646,13.296,13.05227817705691,0.462,11.685,10.448,9.074,8.094,7.518,7.353,Gaia DR3 5597327141100381568,10.147516,10.928136,9.267422,119.74673595271,-29.30786248156
67,71,76,TXCyg,1.167607,10.316,10.297969519686204,1.13,11.363,9.489,7.228,5.462,4.637,4.372,Gaia DR3 2161786374436607616,8.521427,9.865825,7.313939,315.02658089008,42.59755012053
68,72,77,UZSct,1.168739,12.613,12.235944074870767,1.02,13.124,11.247,9.184,7.534,6.746,6.534,Gaia DR3 4104869264724284544,10.364139,11.622959,9.268289,277.8431918063,-12.92871602632
69,73,78,RWCas,1.170032,12.586,12.150423688538693,0.38,10.462,9.233,7.871,6.934,6.367,6.237,Gaia DR3 508915489570374272,8.834319,9.516718,8.018065,24.30840720487,57.75921601261
70,74,79,VWCen,1.177138,12.575,12.645686718721777,0.439,11.586,10.248,8.77,7.654,7.014,6.819,Gaia DR3 5864955727424819200,9.853758,10.698315,8.964625,203.49589762776,-64.05556091566
71,75,80,SZCyg,1.179252,11.502,11.57941626507364,0.571,10.91,9.432,7.755,6.635,5.961,5.775,Gaia DR3 2071433765909167232,8.952725,9.855323,8.012443,308.22621041712,46.6012487157
72,76,81,SVMon,1.182801,11.364,11.493701472036832,0.234,9.31,8.256,7.133,6.345,5.826,5.726,Gaia DR3 3324153371114695680,8.132302,8.755854,7.330363,95.35960712119,6.47015262948
73,77,82,XCyg,1.214482,10.177,10.119499113710727,0.228,7.533,6.377,5.223,4.471,3.964,3.838,Gaia DR3 1870258975238302208,6.199011,6.810588,5.442216,310.85076233271,35.58777650649
74,78,83,CDCyg,1.232334,11.843,11.831463238585702,0.493,10.217,8.948,7.448,6.463,5.89,5.72,Gaia DR3 2058374144759464064,8.587173,9.376083,7.69426,301.1106612854,34.11224946615
75,79,84,YOph,1.233609,8.678,9.319633753826372,0.647,7.531,6.166,4.524,3.437,2.869,2.682,Gaia DR3 4175017625462647168,5.640049,6.557959,4.6863,268.16124433489,-6.1435971224
76,80,85,SZAql,1.234029,11.548,11.256058008028884,0.534,10.033,8.634,7.018,5.955,5.347,5.16,Gaia DR3 4267549637851481344,8.201151,9.052635,7.225074,286.16423460279,1.30614320294
77,82,87,CPCep,1.251989,12.684,12.531832906000954,0.649,12.223,10.577,8.773,7.457,6.726,6.537,Gaia DR3 2198162651499971200,9.859632,10.902071,8.864258,329.46951559015,56.16388559015
78,84,90,VYCar,1.276818,11.255,11.096359923379694,0.242,8.642,7.463,6.28,5.463,4.945,4.806,Gaia DR3 5351161399793209984,7.337772,8.046384,6.535224,161.13616016361,-57.56535723495
79,86,92,VXCyg,1.303917,12.263,12.23020280080577,0.753,11.769,10.062,8.161,6.816,6.083,5.905,Gaia DR3 1873250780732545920,9.421895,10.519523,8.398459,314.33678002732,40.17748649759
80,87,93,RYSco,1.307927,10.258,10.476692647650534,0.718,9.462,8.018,6.255,4.999,4.365,4.143,Gaia DR3 4041690364529590144,7.489791,8.513703,6.469172,267.71811125846,-33.70567624871
81,88,94,RZVel,1.309564,10.605,10.793705173405876,0.3,8.216,7.09,5.867,4.979,4.46,4.308,Gaia DR3 5523162573544337408,6.850103,7.60386,6.022648,129.2554000675,-44.1146536029
