,Unnamed: 0,name,logP,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,plx,EBV
45,45,GHLup,0.967448,8.844,7.637,6.364,5.492,4.96,4.813,10.22261827152559,0.4093423354720742
46,46,FNAql,0.976878,9.593,8.389,6.947,6.05,5.495,5.356,10.802928469687204,0.4519896971842769
47,47,YZSgr,0.980171,8.372,7.351,6.214,5.472,5.003,4.903,10.404027307737111,0.2623354270266919
48,48,SNor,0.989194,7.375,6.429,5.427,4.729,4.275,4.162,9.728963126792776,0.1889925179975598
49,49,DDCas,0.991759,11.076,9.879,8.507,7.627,7.068,6.948,12.437054664486077,0.4216430629239304
50,50,BZCyg,1.006127,11.837,10.221,8.324,6.886,6.155,5.924,11.224383530323436,0.9247824389706346
51,51,SYAur,1.006262,10.09,9.07,7.843,7.008,6.524,6.405,11.959353307836803,0.3163496315849881
52,52,YSct,1.014575,11.194,9.632,7.841,6.578,5.896,5.691,11.063930014246289,0.8039660338418947
53,53,TWNor,1.032868,13.63,11.701,9.287,7.506,6.694,6.39,11.591016997017263,1.310065310198231
54,54,ZLac,1.036854,9.514,8.414,7.148,6.346,5.827,5.693,11.382068512886471,0.3147759035077923
55,55,XXCen,1.039548,8.803,7.819,6.736,5.991,5.53,5.407,11.10233152032408,0.2244028220690421
56,56,TYSct,1.043507,12.507,10.818,8.825,7.355,6.638,6.429,11.79595055784764,0.966326541382956
57,57,V340Nor,1.052579,9.526,8.371,7.168,6.272,5.732,5.586,11.2664412652367,0.3648831699807696
58,58,AAGem,1.053181,10.809,9.729,8.581,7.734,7.2,7.106,12.780634761167017,0.3176636539486417
59,59,RXAur,1.065337,8.631,7.669,6.59,5.819,5.355,5.269,11.00361415548236,0.2345602640161835
60,60,UUMus,1.065819,10.936,9.794,8.486,7.528,6.989,6.828,12.533232382609928,0.4146828535997265
61,61,RYCas,1.084181,11.321,9.95,8.403,7.175,6.551,6.373,11.976823112034367,0.6658943184528613
62,62,UNor,1.101875,10.841,9.247,7.352,5.931,5.237,4.991,10.574666037511603,0.8926414685358876
63,63,ZSct,1.110645,10.927,9.592,8.055,7.055,6.478,6.323,12.106442294122076,0.5309412204907991
64,64,BNPup,1.135867,11.069,9.882,8.552,7.626,7.076,6.921,12.848919204911468,0.3911024852326311
65,65,TTAql,1.138459,8.436,7.138,5.678,4.772,4.204,4.051,9.972871345899629,0.4437131065509711
66,66,LSPup,1.150646,11.685,10.448,9.074,8.094,7.518,7.353,13.31227817705691,0.4316508802788795
67,67,TXCyg,1.167607,11.363,9.489,7.228,5.462,4.637,4.372,9.997969519686205,1.2033625006181323
68,69,RWCas,1.170032,10.462,9.233,7.871,6.934,6.367,6.237,12.250423688538692,0.4099530670368753
69,70,VWCen,1.177138,11.586,10.248,8.77,7.654,7.014,6.819,12.825686718721776,0.5491959020398792
70,71,SZCyg,1.179252,10.91,9.432,7.755,6.635,5.961,5.775,11.75941626507364,0.6303999436939458
71,72,SVMon,1.182801,9.31,8.256,7.133,6.345,5.826,5.726,11.853701472036832,0.2302659754927926
72,73,XCyg,1.214482,7.533,6.377,5.223,4.471,3.964,3.838,10.059499113710729,0.2338317714101689
73,74,CDCyg,1.232334,10.217,8.948,7.448,6.463,5.89,5.72,11.911463238585702,0.4589320488395733
74,75,YOph,1.233609,7.531,6.166,4.524,3.437,2.869,2.682,8.799633753826372,0.5672317931327938
75,76,SZAql,1.234029,10.033,8.634,7.018,5.955,5.347,5.16,11.316058008028884,0.5579930097971587
76,77,CPCep,1.251989,12.223,10.577,8.773,7.457,6.726,6.537,12.611832906000954,0.7952245948225397
77,78,VYCar,1.276818,8.642,7.463,6.28,5.463,4.945,4.806,11.196359923379694,0.2619554114938115
78,79,VXCyg,1.303917,11.769,10.062,8.161,6.816,6.083,5.905,12.09020280080577,0.83559960397051
79,80,RYSco,1.307927,9.462,8.018,6.255,4.999,4.365,4.143,10.436692647650537,0.6846322424890109
80,81,RZVel,1.309564,8.216,7.09,5.867,4.979,4.46,4.308,10.773705173405876,0.2923193668775336
81,82,WZSgr,1.339443,9.424,8.03,6.497,5.404,4.765,4.568,11.067760656251568,0.5201849216657741
82,83,WZCar,1.361977,10.427,9.266,7.963,7.009,6.456,6.29,12.92384153044638,0.3251475516696503
83,84,VZPup,1.364945,10.793,9.634,8.305,7.373,6.83,6.67,13.30163567071646,0.3182441009811321
84,85,SWVel,1.370016,9.281,8.128,6.844,5.931,5.39,5.231,11.902503039198647,0.2956531280480458
85,86,XPup,1.414321,9.702,8.507,7.107,6.18,5.6,5.431,12.258070902897956,0.3209269367296506
86,87,RYVel,1.449158,9.744,8.371,6.834,5.7,5.123,4.928,11.695188031554531,0.5069864434962715
87,88,KQSco,1.457818,11.747,9.81,7.658,6.025,5.218,4.947,11.504080204997342,1.0547302045041993
88,89,AQPup,1.478624,10.081,8.705,7.14,6.102,5.483,5.299,12.235260552745409,0.4495736361673172
89,90,KNCen,1.531857,11.468,9.856,7.996,6.517,5.756,5.49,12.44949627515709,0.7748975556072882
90,91,UCar,1.58897,7.469,6.292,5.057,4.193,3.67,3.522,10.862760074756943,0.206567948330834
91,92,RSPup,1.61742,8.442,7.01,5.489,4.44,3.827,3.647,10.97487314490565,0.4244024098256329
92,93,SVVul,1.652569,8.7,7.213,5.67,4.668,4.09,3.93,11.3354976151152,0.4125560245421475
93,94,SVul,1.837426,10.85,8.961,6.941,5.536,4.832,4.6,12.422775885631404,0.7519062915746086
