name,logP,B_mag,V_mag,I_mag,H_mag,J_mag,K_mag,EBV,mM0_IRSB,gmod
XCyg,1.214482,7.533,6.377,5.223,3.964,4.471,3.838,0.228,10.303,10.267247447150725
CDCyg,1.232334,10.217,8.948,7.448,5.89,6.463,5.72,0.493,11.963,12.179630105114263
SZAql,1.234029,10.033,8.634,7.018,5.347,5.955,5.16,0.534,11.668,11.548576487436854
VYCar,1.276818,8.642,7.463,6.28,4.945,5.463,4.806,0.242,11.36,11.284411873926292
VXCyg,1.303917,11.769,10.062,8.161,6.083,6.816,5.905,0.753,12.358,12.704546051997067
RZVel,1.309564,8.216,7.09,5.867,4.46,4.979,4.308,0.3,10.698,10.928762021340399
WZSgr,1.339443,9.424,8.03,6.497,4.765,5.404,4.568,0.435,11.293,11.204684059197564
BMPer,1.360896,12.21,10.401,8.214,6.012,6.8,5.773,0.871,11.99,12.703037561203846
WZCar,1.361977,10.427,9.266,7.963,6.456,7.009,6.29,0.372,12.755,12.839163652787057
SWVel,1.370016,9.281,8.128,6.844,5.39,5.931,5.231,0.344,12.049,11.968093174446974
XPup,1.414321,9.702,8.507,7.107,5.6,6.18,5.431,0.421,12.161,12.122328908400679
TMon,1.431915,7.307,6.128,4.98,3.652,4.183,3.525,0.179,10.595,10.731204834626155
AQPup,1.478624,10.081,8.705,7.14,5.483,6.102,5.299,0.518,12.578,12.802547048051583
KNCen,1.531857,11.468,9.856,7.996,5.756,6.517,5.49,0.791,12.989,13.217958364805092
lCar,1.550816,5.009,3.729,2.557,1.212,1.766,1.093,0.146,8.501,8.512072773513268
UCar,1.58897,7.469,6.292,5.057,3.67,4.193,3.522,0.263,10.747,11.28637434347651
RSPup,1.61742,8.442,7.01,5.489,3.827,4.44,3.647,0.457,11.291,11.22329408094226
