ID,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,overtone,BPmag,Gmag,RPmag,plx,IRSB,sig_mM0_IRSB,EBV,E(BP-RP),DR3Name,RA_ICRS,DE_ICRS,QLT,RUWE,[Fe/H],Mb,Mv,Mi,Mj,Mh,Mk,Wvi,Wjk
xSgr,5.311,4.561,3.655,3.016,2.618,2.521,0,4.77966,4.327284,3.681707,7.716269118243055,7.711,0.036,0.237,0.4168,Gaia DR3 4057701830728920064,266.89007492147,-27.83083461775,2,1.222,-0.1887,-3.403,-3.915,-4.522,-4.919,-5.232,-5.281,-5.462,-5.53
RYCMa,8.953,8.108,7.119,6.455,6.045,5.936,0,8.449467,7.938902,7.227898,10.327899676023286,10.844,0.11,0.239,0.3669,Gaia DR3 3046774762417915136,109.1568033685,-11.48729732864,5,1.29,-0.1008,-2.902,-3.509,-4.195,-4.615,-4.938,-5.0,-5.26,-5.266
VYCar,8.642,7.463,6.28,5.463,4.945,4.806,0,8.046384,7.337772,6.535224,11.096359923379694,11.255,0.028,0.242,,Gaia DR3 5351161399793209984,161.13616016361,-57.56535723495,1,0.916,,-3.637,-4.573,-5.45,-6.02,-6.452,-6.542,-6.809,-6.9
WGem,7.865,6.95,5.901,5.204,4.763,4.693,0,7.355924,6.75011,6.033707,9.91019545058013,9.991,0.141,0.255,,Gaia DR3 3356940155020790656,98.73938107213,15.33046066377,6,1.225,,-3.205,-3.866,-4.591,-5.027,-5.377,-5.396,-5.718,-5.649
RXAur,8.631,7.669,6.59,5.819,5.355,5.269,0,7.931838,7.36267,6.635993,10.803614155482359,10.644,0.05,0.263,,Gaia DR3 200708636406382720,75.34662500842,39.9603810927,3,0.982,,-3.126,-3.826,-4.57,-5.073,-5.442,-5.476,-5.726,-5.753
UCar,7.469,6.292,5.057,4.193,3.67,3.522,0,6.809177,6.157681,5.33878,11.122760074756943,10.752,0.025,0.263,0.3809,Gaia DR3 5338359442320395904,164.45072523345,-59.73217920344,2,1.229,-1.2903,-4.396,-5.31,-6.211,-6.807,-7.236,-7.331,-7.61,-7.69
VZCyg,9.836,8.956,7.933,7.283,6.872,6.759,0,9.251616,8.745005,8.053975,11.162505097664255,11.588,0.024,0.266,0.5206,Gaia DR3 1960750328384177408,327.92264896468,43.13402308887,1,1.314,-0.2581,-2.877,-3.491,-4.178,-4.556,-4.872,-4.931,-5.243,-5.189
XXCen,8.803,7.819,6.736,5.991,5.53,5.407,0,8.214571,7.621872,6.876737,11.102331520324078,10.839,0.025,0.271,,Gaia DR3 5871922507947292032,205.07765290606,-57.61318392067,2,1.238,,-3.183,-3.896,-4.636,-5.103,-5.467,-5.536,-5.784,-5.834
BBSgr,7.924,6.94,5.822,5.099,4.639,4.51,0,7.13682,6.584278,5.878089,9.559813198538286,9.784,0.013,0.281,,Gaia DR3 4085919765884068736,282.74947248862,-20.29525298445,1,0.82,,-3.049,-3.753,-4.514,-4.95,-5.309,-5.382,-5.695,-5.678
YZSgr,8.372,7.351,6.214,5.472,5.003,4.903,0,7.592309,7.014152,6.27917,10.244027307737111,10.183,0.028,0.281,0.1022,Gaia DR3 4099189015819292800,282.36912121969,-16.72304157114,1,0.955,-0.78,-3.0,-3.742,-4.521,-4.976,-5.345,-5.388,-5.732,-5.671
TVel,8.944,8.032,6.959,6.225,5.768,5.641,0,8.305958,7.774636,7.052883,10.05660033600083,10.133,0.024,0.289,0.5009,Gaia DR3 5521459979795304320,129.42006775171,-47.36194868437,2,0.926,-0.3743,-2.411,-3.036,-3.742,-4.181,-4.534,-4.603,-4.839,-4.893
VCen,7.705,6.834,5.796,5.073,4.628,4.509,0,7.228839,6.637,5.935676,9.197433322695396,9.191,0.068,0.294,0.6055,Gaia DR3 5891675303053080704,218.13779279681,-56.88774644776,3,1.06,-0.4147,-2.73,-3.308,-3.973,-4.395,-4.735,-4.795,-5.006,-5.07
V350Sgr,8.382,7.474,6.416,5.712,5.257,5.165,0,7.80918,7.248875,6.557424,10.397456924021109,10.125,0.055,0.299,0.5489,Gaia DR3 4080122796947250176,281.32289948318,-20.64739456406,2,2.427,-0.1824,-3.008,-3.618,-4.296,-4.695,-5.043,-5.075,-5.351,-5.336
BGLac,9.833,8.881,7.784,7.112,6.658,6.543,0,9.158546,8.614144,7.907371,11.042322127203757,11.394,0.032,0.3,0.4836,Gaia DR3 1960981328902089088,330.10475637179,43.44535204904,2,1.43,-0.3346,-2.831,-3.481,-4.199,-4.565,-4.911,-4.966,-5.311,-5.242
RZVel,8.216,7.09,5.867,4.979,4.46,4.308,0,7.60386,6.850103,6.022648,10.793705173405876,10.605,0.022,0.3,0.693,Gaia DR3 5523162573544337408,129.2554000675,-44.1146536029,2,1.244,-0.9696,-3.658,-4.489,-5.327,-5.909,-6.321,-6.412,-6.634,-6.758
V0508Mon,11.057,10.5,9.459,8.717,8.275,8.193,0,10.769706,10.251835,9.543302,12.17763400852138,13.121,0.114,0.307,0.5341,Gaia DR3 3127458403131746048,101.78916618531,3.96710116502,4,1.707,-0.162,-3.363,-3.613,-4.265,-4.693,-5.025,-5.046,-5.277,-5.289
AAGem,10.809,9.729,8.581,7.734,7.2,7.106,0,10.008104,9.393121,8.64468,12.300634761167014,12.456,0.051,0.309,0.5586,Gaia DR3 3430067092837622272,91.64560763763,26.32921983415,3,1.249,-0.2277,-2.954,-3.725,-4.482,-5.013,-5.437,-5.469,-5.655,-5.782
RRLac,9.753,8.842,7.816,7.058,6.619,6.527,0,9.21242,8.684987,7.924542,11.674609409067937,10.943,0.037,0.319,0.6044,Gaia DR3 2006989121667184384,340.36049512807,56.43277230583,4,1.1,-0.168,-2.54,-3.134,-3.753,-4.186,-4.51,-4.539,-4.718,-4.781
SSSct,9.165,8.218,7.095,6.381,5.937,5.845,0,8.452847,7.893511,7.173412,10.073996745630627,10.447,0.083,0.325,0.5241,Gaia DR3 4251917636212432384,280.93130508578,-7.73109359922,4,0.843,-0.2802,-2.657,-3.279,-3.99,-4.373,-4.7,-4.727,-5.093,-4.971
FMCas,10.119,9.128,7.978,7.223,6.746,6.638,0,9.334805,8.797508,8.054358,11.492937268073236,11.212,0.064,0.325,0.4114,Gaia DR3 422226488141991296,3.61765603372,56.25293038823,3,1.081,-0.0682,-2.468,-3.134,-3.872,-4.295,-4.656,-4.699,-5.017,-4.977
TWCMa,10.534,9.564,8.419,7.66,7.175,7.069,0,9.807674,9.219297,8.575474,11.901871648972966,11.447,0.028,0.329,,Gaia DR3 3031875585286182144,110.50990452423,-14.31817971516,3,1.149,,-2.305,-2.946,-3.674,-4.097,-4.464,-4.505,-4.804,-4.785
VLac,9.816,8.921,7.866,7.121,6.671,6.587,0,9.305993,8.771336,7.997581,11.372474932442639,11.46,0.043,0.335,0.5188,Gaia DR3 2003938801532007808,342.15828864485,56.32153324908,3,1.094,-0.2824,-3.062,-3.622,-4.252,-4.655,-4.985,-5.002,-5.23,-5.241
SWVel,9.281,8.128,6.844,5.931,5.39,5.231,0,8.536652,7.787433,6.929191,11.74250303919865,11.976,0.029,0.344,,Gaia DR3 5329352998951582976,130.91118029355,-47.4030901241,3,1.049,,-4.15,-4.96,-5.808,-6.369,-6.787,-6.877,-7.124,-7.227
RSOri,9.376,8.414,7.253,6.489,6.018,5.917,0,8.788838,8.193092,7.443338,11.001908401272402,11.328,0.068,0.352,0.5525,Gaia DR3 3368698813404804352,95.55497028344,14.67812664531,4,1.119,-0.1611,-3.442,-4.052,-4.766,-5.171,-5.516,-5.546,-5.875,-5.805
UAql,7.475,6.449,5.259,4.476,4.008,3.89,0,6.819616,6.16102,5.385125,8.712694514966282,9.043,0.069,0.36,0.6481,Gaia DR3 4207681367143932800,292.33901044157,-7.04412597366,3,3.09,-0.2496,-3.091,-3.758,-4.491,-4.906,-5.245,-5.291,-5.63,-5.556
STTau,9.066,8.219,7.138,6.352,5.898,5.788,0,8.609181,8.051365,7.311717,10.141118674761305,10.249,0.029,0.368,0.6637,Gaia DR3 3346584610911570176,86.26316893008,13.57635184119,3,1.351,-0.3466,-2.74,-3.22,-3.834,-4.244,-4.566,-4.602,-4.788,-4.849
ZLac,9.514,8.414,7.148,6.346,5.827,5.693,0,8.862301,8.185639,7.358641,11.32206851288647,11.209,0.049,0.37,,Gaia DR3 2007201567928631296,340.21724149798,56.82945573799,2,1.055,,-3.261,-3.989,-4.788,-5.212,-5.598,-5.659,-6.026,-5.966
WZCar,10.427,9.266,7.963,7.009,6.456,6.29,0,9.702198,8.997776,8.172882,12.483841530446382,12.68,0.066,0.372,0.7831,Gaia DR3 5338182833266967680,163.8279757782,-60.93997649537,2,1.376,-0.1606,-3.828,-4.613,-5.447,-6.022,-6.441,-6.533,-6.737,-6.884
YAur,10.512,9.614,8.571,7.743,7.284,7.167,0,10.035061,9.457623,8.714322,11.204778834597668,11.682,0.139,0.375,,Gaia DR3 195373217573454464,82.16349483157,42.43772581388,3,1.122,,-2.757,-3.28,-3.847,-4.293,-4.617,-4.659,-4.728,-4.911
RWCas,10.462,9.233,7.871,6.934,6.367,6.237,0,9.516718,8.834319,8.018065,12.150423688538691,12.586,0.04,0.38,,Gaia DR3 508915489570374272,24.30840720487,57.75921601261,3,1.262,,-3.732,-4.583,-5.461,-6.01,-6.441,-6.495,-6.826,-6.829
V0402Cyg,10.897,9.867,8.669,7.895,7.41,7.299,0,10.121401,9.520483,8.773199,11.758495668618941,11.518,0.049,0.391,0.512,Gaia DR3 2060021625508894592,302.28231841529,37.15195204657,5,0.92,-0.2234,-2.275,-2.913,-3.617,-3.992,-4.336,-4.37,-4.708,-4.629
USgr,7.786,6.69,5.426,4.587,4.093,3.954,0,7.129108,6.42923,5.63952,8.923040732551554,9.058,0.039,0.402,0.0018,Gaia DR3 4092905375639902464,277.97220951561,-19.1250998575,2,0.853,-0.9225,-2.973,-3.666,-4.421,-4.85,-5.2,-5.259,-5.593,-5.54
UUMus,10.936,9.794,8.486,7.528,6.989,6.828,0,10.127277,9.441485,8.624062,12.313232382609929,11.88,0.087,0.404,,Gaia DR3 5332375453374624640,178.07378070609,-65.4041820158,3,1.006,,-2.653,-3.391,-4.187,-4.733,-5.127,-5.207,-5.423,-5.534
