,Unnamed: 0,name,logP,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,plx,EBV
25,25,FMCas,0.764123,10.119,9.128,7.978,7.223,6.746,6.638,11.452937268073237,0.3373110531794813
26,26,CSVel,0.771201,13.049,11.709,10.068,8.84,8.234,8.018,12.707220228688158,0.754041815385419
27,27,MWCyg,0.774852,10.841,9.483,7.874,6.799,6.209,6.041,10.759703416360896,0.6442777926631179
28,28,FMAql,0.786342,9.546,8.27,6.717,5.794,5.235,5.075,9.853257091898543,0.5828208507698722
29,29,CRCep,0.794695,11.048,9.655,7.929,6.754,6.098,5.935,10.66520836988451,0.7340919511024309
30,30,RSCas,0.799056,11.423,9.944,8.217,6.884,6.227,6.03,10.772222441629962,0.8230040773086416
31,31,RRLac,0.807281,9.753,8.842,7.816,7.058,6.619,6.527,11.514609409067935,0.2726699937962121
32,32,XXSgr,0.807815,9.967,8.856,7.469,6.496,5.961,5.824,10.71248084128896,0.502228877691533
33,33,BBSgr,0.821971,7.924,6.94,5.822,5.099,4.639,4.51,9.499813198538286,0.3110596255690674
34,34,VCar,0.82586,8.235,7.368,6.421,5.806,5.387,5.284,10.349031150564477,0.1931292419083738
35,35,V0495Cyg,0.827263,12.246,10.618,8.694,7.233,6.542,6.314,11.102048975110923,0.946423527145374
36,36,USgr,0.828997,7.786,6.69,5.426,4.587,4.093,3.954,8.943040732551554,0.4070479038923422
37,37,TWCMa,0.844792,10.534,9.564,8.419,7.66,7.175,7.069,12.121871648972968,0.3299202135484181
38,38,xSgr,0.845893,5.311,4.561,3.655,3.016,2.618,2.521,7.656269118243055,0.1933971426803419
39,39,V0600Aql,0.859672,11.527,10.036,8.199,7.074,6.45,6.272,11.219348318024386,0.7439838133489506
40,40,V0459Cyg,0.860413,12.035,10.601,8.837,7.715,7.073,6.903,11.8420689467904,0.7239931553126651
41,41,CKSct,0.870124,12.165,10.575,8.778,7.498,6.82,6.652,11.60572101874594,0.768289185258055
42,42,V1344Aql,0.873787,9.131,7.766,6.311,5.279,4.729,4.59,9.672609588121729,0.5179635578801776
43,43,RSOri,0.878917,9.376,8.414,7.253,6.489,6.018,5.917,11.101908401272402,0.314869714249094
44,44,BKAur,0.903222,10.524,9.457,8.249,7.387,6.885,6.772,11.997938427875784,0.385344409884227
45,45,GHLup,0.967448,8.844,7.637,6.364,5.492,4.96,4.813,10.20261827152559,0.403178180762123
46,46,FNAql,0.976878,9.593,8.389,6.947,6.05,5.495,5.356,10.742928469687204,0.4771668553903736
47,47,YZSgr,0.980171,8.372,7.351,6.214,5.472,5.003,4.903,10.404027307737111,0.2618201384017435
48,48,SNor,0.989194,7.375,6.429,5.427,4.729,4.275,4.162,9.688963126792776,0.2132132211469973
49,49,DDCas,0.991759,11.076,9.879,8.507,7.627,7.068,6.948,12.397054664486076,0.443757701656726
50,50,BZCyg,1.006127,11.837,10.221,8.324,6.886,6.155,5.924,11.224383530323436,0.9150871414472658
51,51,SYAur,1.006262,10.09,9.07,7.843,7.008,6.524,6.405,11.959353307836803,0.3571574718616049
52,52,YSct,1.014575,11.194,9.632,7.841,6.578,5.896,5.691,11.063930014246289,0.7822006160876812
53,53,TWNor,1.032868,13.63,11.701,9.287,7.506,6.694,6.39,11.671016997017263,1.1835250087348623
54,54,ZLac,1.036854,9.514,8.414,7.148,6.346,5.827,5.693,11.302068512886471,0.3741215493258751
55,55,XXCen,1.039548,8.803,7.819,6.736,5.991,5.53,5.407,11.08233152032408,0.261264888522391
56,56,TYSct,1.043507,12.507,10.818,8.825,7.355,6.638,6.429,11.87595055784764,0.9074153564069688
57,57,V340Nor,1.052579,9.526,8.371,7.168,6.272,5.732,5.586,11.2264412652367,0.3832248824221714
58,58,AAGem,1.053181,10.809,9.729,8.581,7.734,7.2,7.106,12.780634761167017,0.3194677772502097
59,59,RXAur,1.065337,8.631,7.669,6.59,5.819,5.355,5.269,11.04361415548236,0.2190463546073785
60,60,UUMus,1.065819,10.936,9.794,8.486,7.528,6.989,6.828,12.513232382609928,0.4309316675104092
61,61,RYCas,1.084181,11.321,9.95,8.403,7.175,6.551,6.373,12.036823112034368,0.623484901060004
62,62,UNor,1.101875,10.841,9.247,7.352,5.931,5.237,4.991,10.614666037511602,0.8630054832733633
63,63,ZSct,1.110645,10.927,9.592,8.055,7.055,6.478,6.323,12.106442294122076,0.4930005150756054
64,64,BNPup,1.135867,11.069,9.882,8.552,7.626,7.076,6.921,12.808919204911469,0.4279902815666657
65,65,TTAql,1.138459,8.436,7.138,5.678,4.772,4.204,4.051,9.932871345899628,0.4518246719730225
66,66,LSPup,1.150646,11.685,10.448,9.074,8.094,7.518,7.353,13.25227817705691,0.4812911723738023
67,67,TXCyg,1.167607,11.363,9.489,7.228,5.462,4.637,4.372,10.097969519686204,1.1208775723756406
68,68,UZSct,1.168739,13.124,11.247,9.184,7.534,6.746,6.534,12.315944074870767,0.9823409943330984
69,69,RWCas,1.170032,10.462,9.233,7.871,6.934,6.367,6.237,12.230423688538693,0.3978540528164254
70,70,VWCen,1.177138,11.586,10.248,8.77,7.654,7.014,6.819,12.745686718721776,0.560443288221547
71,71,SZCyg,1.179252,10.91,9.432,7.755,6.635,5.961,5.775,11.67941626507364,0.6428959370726313
72,72,SVMon,1.182801,9.31,8.256,7.133,6.345,5.826,5.726,11.813701472036833,0.2533900291557606
73,73,XCyg,1.214482,7.533,6.377,5.223,4.471,3.964,3.838,10.019499113710728,0.2587952808916094
74,74,CDCyg,1.232334,10.217,8.948,7.448,6.463,5.89,5.72,11.891463238585702,0.4819761999774758
75,75,YOph,1.233609,7.531,6.166,4.524,3.437,2.869,2.682,8.839633753826371,0.561152655655347
76,76,SZAql,1.234029,10.033,8.634,7.018,5.955,5.347,5.16,11.296058008028885,0.55159335671919
77,77,CPCep,1.251989,12.223,10.577,8.773,7.457,6.726,6.537,12.631832906000954,0.7238283486288869
78,78,VYCar,1.276818,8.642,7.463,6.28,5.463,4.945,4.806,11.176359923379694,0.27750522678184
79,79,VXCyg,1.303917,11.769,10.062,8.161,6.816,6.083,5.905,12.15020280080577,0.7505903145771964
80,80,RYSco,1.307927,9.462,8.018,6.255,4.999,4.365,4.143,10.476692647650534,0.6797331246183331
81,81,RZVel,1.309564,8.216,7.09,5.867,4.979,4.46,4.308,10.773705173405876,0.310894589841555
82,82,WZSgr,1.339443,9.424,8.03,6.497,5.404,4.765,4.568,10.987760656251568,0.5292584956429041
83,83,WZCar,1.361977,10.427,9.266,7.963,7.009,6.456,6.29,12.883841530446382,0.3807284752997599
84,84,VZPup,1.364945,10.793,9.634,8.305,7.373,6.83,6.67,13.28163567071646,0.4005727043534244
85,85,SWVel,1.370016,9.281,8.128,6.844,5.931,5.39,5.231,11.86250303919865,0.3479271732628624
86,86,XPup,1.414321,9.702,8.507,7.107,6.18,5.6,5.431,12.158070902897958,0.4223611642507017
87,87,RYVel,1.449158,9.744,8.371,6.834,5.7,5.123,4.928,11.755188031554532,0.4934022506644806
88,88,KQSco,1.457818,11.747,9.81,7.658,6.025,5.218,4.947,11.564080204997342,0.9398225705664
89,89,AQPup,1.478624,10.081,8.705,7.14,6.102,5.483,5.299,12.175260552745408,0.506785986073516
90,90,KNCen,1.531857,11.468,9.856,7.996,6.517,5.756,5.49,12.38949627515709,0.8409564515577733
91,91,UCar,1.58897,7.469,6.292,5.057,4.193,3.67,3.522,10.842760074756944,0.2423961530654525
92,92,RSPup,1.61742,8.442,7.01,5.489,4.44,3.827,3.647,10.97487314490565,0.4443781390542565
93,93,SVVul,1.652569,8.7,7.213,5.67,4.668,4.09,3.93,11.3954976151152,0.3848832687139811
94,94,SVul,1.837426,10.85,8.961,6.941,5.536,4.832,4.6,12.522775885631404,0.691475537825117
