,name,logP,EBV,IRSB,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,BPmag,Gmag,RPmag,plx,E(BP-RP),DR3Name,RA_ICRS,DE_ICRS,QLT,RUWE,[Fe/H]
77,ZSct,1.110645,0.4844148897446823,12.298,10.927,9.592,8.055,7.055,6.478,6.323,10.054388,9.223479,8.362758,12.106442294122076,0.4921,Gaia DR3 4253435825622331392,280.7386394805,-5.82091281592,3,0.903,-0.5432
78,BNPup,1.135867,0.4266392342982131,12.912,11.069,9.882,8.552,7.626,7.076,6.921,10.428416,9.638985,8.79757,12.808919204911469,,Gaia DR3 5596601154188852352,121.58947099704,-30.09687032198,3,1.249,
79,TTAql,1.138459,0.4538536948854408,9.93,8.436,7.138,5.678,4.772,4.204,4.051,7.582161,6.774303,5.906594,9.912871345899628,0.2198,Gaia DR3 4267397694768545920,287.05728923954,1.29863144782,2,1.076,-0.4549
80,CYAur,1.141376,0.8325086358032414,13.736,13.446,11.867,9.962,8.708,7.961,7.774,12.11607,11.216944,10.131946,13.485420508306516,,Gaia DR3 206577210999441536,74.41700356968,46.09253021377,4,1.16,
81,LSPup,1.150646,0.4850112335572728,13.423,11.685,10.448,9.074,8.094,7.518,7.353,10.928136,10.147516,9.267422,13.25227817705691,,Gaia DR3 5597327141100381568,119.74673595271,-29.30786248156,2,1.247,
82,TXCyg,1.167607,1.1008118173541277,10.438,11.363,9.489,7.228,5.462,4.637,4.372,9.865825,8.521427,7.313939,10.077969519686205,,Gaia DR3 2161786374436607616,315.02658089008,42.59755012053,3,0.952,
83,UZSct,1.168739,0.939893149887447,12.735,13.124,11.247,9.184,7.534,6.746,6.534,11.622959,10.364139,9.268289,12.295944074870768,1.2352,Gaia DR3 4104869264724284544,277.8431918063,-12.92871602632,2,0.913,0.2063
84,RWCas,1.170032,0.3992759138826395,12.707,10.462,9.233,7.871,6.934,6.367,6.237,9.516718,8.834319,8.018065,12.230423688538693,,Gaia DR3 508915489570374272,24.30840720487,57.75921601261,3,1.262,
85,SZCyg,1.179252,0.6859517070767228,11.621,10.91,9.432,7.755,6.635,5.961,5.775,9.855323,8.952725,8.012443,11.65941626507364,,Gaia DR3 2071433765909167232,308.22621041712,46.6012487157,2,0.956,
86,SVMon,1.182801,0.2553241660059618,11.481,9.31,8.256,7.133,6.345,5.826,5.726,8.755854,8.132302,7.330363,11.813701472036833,0.4102,Gaia DR3 3324153371114695680,95.35960712119,6.47015262948,3,1.006,-0.1313
87,XCyg,1.214482,0.2680603954524032,10.285,7.533,6.377,5.223,4.471,3.964,3.838,6.810588,6.199011,5.442216,10.019499113710728,,Gaia DR3 1870258975238302208,310.85076233271,35.58777650649,2,1.277,
88,RWCam,1.215224,0.54940722559937,11.329,10.034,8.671,7.042,5.93,5.291,5.139,9.069653,8.229256,7.255794,11.197587712401589,,Gaia DR3 473043922712140928,58.59070073087,58.65332973792,2,8.013,
89,CDCyg,1.232334,0.4571598543602212,11.945,10.217,8.948,7.448,6.463,5.89,5.72,9.376083,8.587173,7.69426,11.8714632385857,0.9644,Gaia DR3 2058374144759464064,301.1106612854,34.11224946615,1,1.007,-0.0117
90,SZAql,1.234029,0.5491514285607298,11.65,10.033,8.634,7.018,5.955,5.347,5.16,9.052635,8.201151,7.225074,11.276058008028883,,Gaia DR3 4267549637851481344,286.16423460279,1.30614320294,2,0.94,
91,CPCep,1.251989,0.7651772280565843,12.78,12.223,10.577,8.773,7.457,6.726,6.537,10.902071,9.859632,8.864258,12.611832906000954,1.0169,Gaia DR3 2198162651499971200,329.46951559015,56.16388559015,2,1.009,-0.1676
