,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag
36,41,V0 600Aql,0.859672,11.325,0.798,11.527,10.036,8.199,7.074,6.45,6.272
37,42,V0 459Cyg,0.860413,11.706,0.73,12.035,10.601,8.837,7.715,7.073,6.903
38,43,CK Sct,0.870124,10.626,0.757,12.165,10.575,8.778,7.498,6.82,6.652
39,46,RS Ori,0.878917,11.328,0.352,9.376,8.414,7.253,6.489,6.018,5.917
40,47,BK Aur,0.903222,11.207,0.425,10.524,9.457,8.249,7.387,6.885,6.772
41,48,GH Lup,0.967448,10.381,0.347,8.844,7.637,6.364,5.492,4.96,4.813
42,49,FN Aql,0.976878,10.148,0.486,9.593,8.389,6.947,6.05,5.495,5.356
43,50,YZ Sgr,0.980171,10.183,0.281,8.372,7.351,6.214,5.472,5.003,4.903
44,51,SN or,0.989194,9.712,0.179,7.375,6.429,5.427,4.729,4.275,4.162
45,52,DD Cas,0.991759,12.178,0.45,11.076,9.879,8.507,7.627,7.068,6.948
46,53,BZ Cyg,1.006127,11.72,0.885,11.837,10.221,8.324,6.886,6.155,5.924
47,54,SY Aur,1.006262,11.936,0.432,10.09,9.07,7.843,7.008,6.524,6.405
48,55,YS ct,1.014575,11.08,0.757,11.194,9.632,7.841,6.578,5.896,5.691
49,56,TW Nor,1.032868,11.529,1.157,13.63,11.701,9.287,7.506,6.694,6.39
50,57,ZL ac,1.036854,11.209,0.37,9.514,8.414,7.148,6.346,5.827,5.693
51,58,XX Cen,1.039548,10.839,0.271,8.803,7.819,6.736,5.991,5.53,5.407
52,59,TY Sct,1.043507,11.479,0.965,12.507,10.818,8.825,7.355,6.638,6.429
53,60,V3 40Nor,1.052579,11.034,0.322,9.526,8.371,7.168,6.272,5.732,5.586
54,61,AA Gem,1.053181,12.456,0.309,10.809,9.729,8.581,7.734,7.2,7.106
55,62,RX Aur,1.065337,10.644,0.263,8.631,7.669,6.59,5.819,5.355,5.269
56,63,UU Mus,1.065819,11.88,0.404,10.936,9.794,8.486,7.528,6.989,6.828
57,64,RY Cas,1.084181,11.922,0.618,11.321,9.95,8.403,7.175,6.551,6.373
58,65,UN or,1.101875,10.408,0.857,10.841,9.247,7.352,5.931,5.237,4.991
59,66,ZS ct,1.110645,12.159,0.492,10.927,9.592,8.055,7.055,6.478,6.323
60,68,BN Pup,1.135867,12.78,0.416,11.069,9.882,8.552,7.626,7.076,6.921
61,69,TT Aql,1.138459,9.8,0.435,8.436,7.138,5.678,4.772,4.204,4.051
62,70,LS Pup,1.150646,13.296,0.462,11.685,10.448,9.074,8.094,7.518,7.353
63,71,TX Cyg,1.167607,10.316,1.13,11.363,9.489,7.228,5.462,4.637,4.372
64,72,UZ Sct,1.168739,12.613,1.02,13.124,11.247,9.184,7.534,6.746,6.534
65,73,RW Cas,1.170032,12.586,0.38,10.462,9.233,7.871,6.934,6.367,6.237
66,74,VW Cen,1.177138,12.575,0.439,11.586,10.248,8.77,7.654,7.014,6.819
67,75,SZ Cyg,1.179252,11.502,0.571,10.91,9.432,7.755,6.635,5.961,5.775
68,76,SV Mon,1.182801,11.364,0.234,9.31,8.256,7.133,6.345,5.826,5.726
69,77,XC yg,1.214482,10.177,0.228,7.533,6.377,5.223,4.471,3.964,3.838
70,78,CD Cyg,1.232334,11.843,0.493,10.217,8.948,7.448,6.463,5.89,5.72
71,79,YO ph,1.233609,8.678,0.647,7.531,6.166,4.524,3.437,2.869,2.682
72,80,SZ Aql,1.234029,11.548,0.534,10.033,8.634,7.018,5.955,5.347,5.16
73,82,CP Cep,1.251989,12.684,0.649,12.223,10.577,8.773,7.457,6.726,6.537
74,84,VY Car,1.276818,11.255,0.242,8.642,7.463,6.28,5.463,4.945,4.806
75,86,VX Cyg,1.303917,12.263,0.753,11.769,10.062,8.161,6.816,6.083,5.905
76,87,RY Sco,1.307927,10.258,0.718,9.462,8.018,6.255,4.999,4.365,4.143
77,88,RZ Vel,1.309564,10.605,0.3,8.216,7.09,5.867,4.979,4.46,4.308
78,89,WZ Sgr,1.339443,11.21,0.435,9.424,8.03,6.497,5.404,4.765,4.568
79,90,WZ Car,1.361977,12.68,0.372,10.427,9.266,7.963,7.009,6.456,6.29
80,91,VZ Pup,1.364945,13.249,0.455,10.793,9.634,8.305,7.373,6.83,6.67
81,92,SW Vel,1.370016,11.976,0.344,9.281,8.128,6.844,5.931,5.39,5.231
82,93,XP up,1.414321,12.192,0.421,9.702,8.507,7.107,6.18,5.6,5.431
83,94,RY Vel,1.449158,11.812,0.545,9.744,8.371,6.834,5.7,5.123,4.928
84,95,KQ Sco,1.457818,12.204,0.869,11.747,9.81,7.658,6.025,5.218,4.947
85,96,AQ Pup,1.478624,12.544,0.518,10.081,8.705,7.14,6.102,5.483,5.299
86,97,KN Cen,1.531857,12.974,0.791,11.468,9.856,7.996,6.517,5.756,5.49
87,98,UC ar,1.58897,10.752,0.263,7.469,6.292,5.057,4.193,3.67,3.522
88,99,RS Pup,1.61742,11.307,0.457,8.442,7.01,5.489,4.44,3.827,3.647
89,100,SV Vul,1.652569,11.418,0.462,8.7,7.213,5.67,4.668,4.09,3.93
90,102,SV ul,1.837426,12.999,0.787,10.85,8.961,6.941,5.536,4.832,4.6
