,Unnamed: 0,name,logP,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,BPmag,Gmag,RPmag,plx,IRSB,EBV,DR3Name,RA_ICRS,DE_ICRS,QLT,RUWE,[Fe/H]
55,55,RXAur,1.065337,8.631,7.669,6.59,5.819,5.355,5.269,7.931838,7.36267,6.635993,10.98361415548236,10.644,0.2205291672453285,Gaia DR3 200708636406382720,75.34662500842,39.9603810927,3,0.982,
56,56,VCar,0.82586,8.235,7.368,6.421,5.806,5.387,5.284,7.650739,7.17335,6.511265,10.309031150564474,9.871,0.1740356304802243,Gaia DR3 5302258008774271488,127.18202311384,-60.12256315649,2,1.042,
57,57,BFOph,0.609329,8.2,7.337,6.366,5.701,5.285,5.178,7.575954,7.069333,6.408388,9.50465716912419,9.11,0.2625116104599284,Gaia DR3 4111834567779557376,256.52291020043,-26.58056513078,2,0.837,-0.5115
58,58,VYCar,1.276818,8.642,7.463,6.28,5.463,4.945,4.806,8.046384,7.337772,6.535224,11.156359923379696,11.255,0.2751936723198512,Gaia DR3 5351161399793209984,161.13616016361,-57.56535723495,1,0.916,
59,59,RYSco,1.307927,9.462,8.018,6.255,4.999,4.365,4.143,8.513703,7.489791,6.469172,10.436692647650531,10.258,0.675612506159811,Gaia DR3 4041690364529590144,267.71811125846,-33.70567624871,2,0.733,
60,60,YZSgr,0.980171,8.372,7.351,6.214,5.472,5.003,4.903,7.592309,7.014152,6.27917,10.344027307737113,10.183,0.2620151717918529,Gaia DR3 4099189015819292800,282.36912121969,-16.72304157114,1,0.955,-0.78
61,61,RZVel,1.309564,8.216,7.09,5.867,4.979,4.46,4.308,7.60386,6.850103,6.022648,10.753705173405876,10.605,0.3023410412252633,Gaia DR3 5523162573544337408,129.2554000675,-44.1146536029,2,1.244,-0.9696
62,62,BBSgr,0.821971,7.924,6.94,5.822,5.099,4.639,4.51,7.13682,6.584278,5.878089,9.479813198538288,9.784,0.2930967974303713,Gaia DR3 4085919765884068736,282.74947248862,-20.29525298445,1,0.82,
63,63,VCen,0.739882,7.705,6.834,5.796,5.073,4.628,4.509,7.228839,6.637,5.935676,9.217433322695396,9.191,0.2895409728977032,Gaia DR3 5891675303053080704,218.13779279681,-56.88774644776,3,1.06,-0.4147
64,64,TTAql,1.138459,8.436,7.138,5.678,4.772,4.204,4.051,7.582161,6.774303,5.906594,9.892871345899628,9.8,0.4556595455812259,Gaia DR3 4267397694768545920,287.05728923954,1.29863144782,2,1.076,-0.4549
65,65,RSPup,1.61742,8.442,7.01,5.489,4.44,3.827,3.647,7.594005,6.638235,5.740647,10.954873144905651,11.307,0.4415844496881017,Gaia DR3 5546476927338700416,123.26754647233,-34.57851289632,2,1.157,
66,66,SNor,0.989194,7.375,6.429,5.427,4.729,4.275,4.162,6.699772,6.175861,5.503014,9.668963126792775,9.712,0.2035331446064772,Gaia DR3 5835124087174043136,244.7159519047,-57.89980282729,2,0.878,-0.129
67,67,USgr,0.828997,7.786,6.69,5.426,4.587,4.093,3.954,7.129108,6.42923,5.63952,8.883040732551555,9.058,0.4094601834205415,Gaia DR3 4092905375639902464,277.97220951561,-19.1250998575,2,0.853,-0.9225
68,68,XCyg,1.214482,7.533,6.377,5.223,4.471,3.964,3.838,6.810588,6.199011,5.442216,9.999499113710728,10.177,0.2524432581479968,Gaia DR3 1870258975238302208,310.85076233271,35.58777650649,2,1.277,
69,69,UCar,1.58897,7.469,6.292,5.057,4.193,3.67,3.522,6.809177,6.157681,5.33878,10.842760074756944,10.752,0.227182050734198,Gaia DR3 5338359442320395904,164.45072523345,-59.73217920344,2,1.229,-1.2903
70,70,TVul,0.646934,6.39,5.753,5.054,4.601,4.27,4.205,5.828832,5.499797,5.005271,8.739609271617036,8.815,0.0306822737035682,Gaia DR3 1857884212378132096,312.86767706102,28.25048193691,1,1.2,0.1393
