name,logP,B_mag,V_mag,I_mag,K_mag,EBV,J_mag,H_mag,DR3Name,RAdeg,DEdeg,Plx,RUWE,Gmag,BP-RP,BP-G,G-RP,RV,[Fe/H],E(BP-RP),mMplx,Period,mM0
FMAql,0.786342,9.546,8.27,6.717,5.075,0.589,5.794,5.235,Gaia DR3 4312361436842603520,287.31662690693,10.55246519356,0.9821,1.261,7.822873,1.711637,0.794792,0.916844,-10.27,,,9.97112727686199,6.114234,10.396
XXCen,1.039548,8.803,7.819,6.736,5.407,0.271,5.991,5.53,Gaia DR3 5871922507947292032,205.07765290606,-57.61318392067,0.5516,1.238,7.621872,1.337834,0.592699,0.745135,-11.88,,,11.240092300400269,10.953379,11.024
SWVel,1.370016,9.281,8.128,6.844,5.231,0.344,5.931,5.39,Gaia DR3 5329352998951582976,130.91118029355,-47.4030901241,0.404,1.049,7.787433,1.607461,0.749219,0.858242,,,,11.92958438038239,23.443153,12.049
V1162Aql,0.730464,8.677,7.789,6.845,5.714,0.195,6.22,5.807,Gaia DR3 4190143160245024256,298.08749761841,-11.3669243656,0.7868,0.952,7.593359,1.153272,0.499295,0.653977,15.78,-0.0744,0.2865,10.436754472933437,5.376058,10.018
FNAql,0.976878,9.593,8.389,6.947,5.356,0.486,6.05,5.495,Gaia DR3 4269036830424588800,288.19713780419,3.55739781345,0.7018,1.125,8.005132,1.605709,0.703979,0.901731,8.26,-0.1958,0.7629,10.690641568331941,9.481522,10.354
TVel,0.666501,8.944,8.032,6.959,5.641,0.289,6.225,5.768,Gaia DR3 5521459979795304320,129.42006775171,-47.36194868437,0.9309,0.926,7.774636,1.253075,0.531322,0.721753,6.51,-0.3743,0.5009,10.140673284092125,4.6398187,10.04
SZAql,1.234029,10.033,8.634,7.018,5.16,0.534,5.955,5.347,Gaia DR3 4267549637851481344,286.16423460279,1.30614320294,0.4901,0.94,8.201151,1.827561,0.851484,0.976077,5.05,,,11.404277487351148,17.14072,11.668
XPup,1.414321,9.702,8.507,7.107,5.431,0.421,6.18,5.6,Gaia DR3 5620098679741674496,113.19596459365,-20.90968216106,0.3763,1.038,8.347651,1.697088,0.774582,0.922506,89.29,,,12.012082148621722,25.960972,12.161
RYCMa,0.670099,8.953,8.108,7.119,5.936,0.239,6.455,6.045,Gaia DR3 3046774762417915136,109.1568033685,-11.48729732864,0.8006,1.29,7.938902,1.221569,0.510564,0.711005,46.41,-0.1008,0.3669,10.423410378124547,4.678418,10.75
XVul,0.800689,10.28,8.835,7.137,5.255,0.742,6.021,5.426,Gaia DR3 2027263738133623168,299.36918285728,26.5564491634,0.8362,1.059,8.322478,1.876393,0.900714,0.975679,-17.91,,,10.329613452877272,6.3195906,9.47
