,Unnamed: 0,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag
78,78,87,RY Sco,1.307927,10.498,0.6505681094904321,9.462,8.018,6.255,4.999,4.365,4.143
79,79,88,RZ Vel,1.309564,10.805,0.3203112421745459,8.216,7.09,5.867,4.979,4.46,4.308
80,80,89,WZ Sgr,1.339443,11.03,0.6046484198002134,9.424,8.03,6.497,5.404,4.765,4.568
81,81,90,WZ Car,1.361977,12.92,0.3888735871391167,10.427,9.266,7.963,7.009,6.456,6.29
82,82,91,VZ Pup,1.364945,13.309,0.3592729509870136,10.793,9.634,8.305,7.373,6.83,6.67
83,83,92,SW Vel,1.370016,11.896,0.3523531348014623,9.281,8.128,6.844,5.931,5.39,5.231
84,84,93,XP up,1.414321,12.192,0.4252309952710172,9.702,8.507,7.107,6.18,5.6,5.431
85,85,94,RY Vel,1.449158,11.792,0.4549765748704968,9.744,8.371,6.834,5.7,5.123,4.928
86,86,95,KQ Sco,1.457818,11.604,0.9975816468548436,11.747,9.81,7.658,6.025,5.218,4.947
87,87,96,AQ Pup,1.478624,12.224,0.5006138483738559,10.081,8.705,7.14,6.102,5.483,5.299
88,88,97,KN Cen,1.531857,12.434,0.8827288646507894,11.468,9.856,7.996,6.517,5.756,5.49
89,89,98,UC ar,1.58897,10.912,0.2296609732871817,7.469,6.292,5.057,4.193,3.67,3.522
90,90,99,RS Pup,1.61742,11.027,0.4378013973442786,8.442,7.01,5.489,4.44,3.827,3.647
91,91,100,SV Vul,1.652569,11.457999999999998,0.3283286407189514,8.7,7.213,5.67,4.668,4.09,3.93
92,92,102,SV ul,1.837426,12.579,0.6213199755890634,10.85,8.961,6.941,5.536,4.832,4.6
