,name,logP,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,BPmag,Gmag,RPmag,plx,IRSB,EBV,DR3Name,RA_ICRS,DE_ICRS,QLT,RUWE,[Fe/H]
38,UNor,1.101875,10.841,9.247,7.352,5.931,5.237,4.991,9.551569,8.493722,7.443438,10.894666037511602,10.548,0.8925613677569042,Gaia DR3 5884368498528237952,235.58714333319,-55.31194067495,2,0.984,-0.16
39,RSOri,0.878917,9.376,8.414,7.253,6.489,6.018,5.917,8.788838,8.193092,7.443338,11.001908401272402,11.028,0.297034752166767,Gaia DR3 3368698813404804352,95.55497028344,14.67812664531,4,1.119,-0.1611
40,TXCyg,1.167607,11.363,9.489,7.228,5.462,4.637,4.372,9.865825,8.521427,7.313939,10.297969519686204,9.996,1.1910207946304243,Gaia DR3 2161786374436607616,315.02658089008,42.59755012053,3,0.952,
41,ZLac,1.036854,9.514,8.414,7.148,6.346,5.827,5.693,8.862301,8.185639,7.358641,11.32206851288647,11.309,0.3322217558968803,Gaia DR3 2007201567928631296,340.21724149798,56.82945573799,2,1.055,
42,AQPup,1.478624,10.081,8.705,7.14,6.102,5.483,5.299,9.253232,8.315241,7.369619,12.415260552745409,12.204,0.4642611415031313,Gaia DR3 5597379741549105280,119.59202293226,-29.13008221932,2,1.18,0.3209
43,STTau,0.605768,9.066,8.219,7.138,6.352,5.898,5.788,8.609181,8.051365,7.311717,10.141118674761303,9.949,0.3759929552264979,Gaia DR3 3346584610911570176,86.26316893008,13.57635184119,3,1.351,-0.3466
44,SVMon,1.182801,9.31,8.256,7.133,6.345,5.826,5.726,8.755854,8.132302,7.330363,11.493701472036832,11.724,0.2636647508391089,Gaia DR3 3324153371114695680,95.35960712119,6.47015262948,3,1.006,-0.1313
45,XPup,1.414321,9.702,8.507,7.107,6.18,5.6,5.431,9.122233,8.347651,7.425146,11.818070902897958,12.132,0.3754671586844992,Gaia DR3 5620098679741674496,113.19596459365,-20.90968216106,2,1.038,
46,SSSct,0.564814,9.165,8.218,7.095,6.381,5.937,5.845,8.452847,7.893511,7.173412,10.073996745630629,10.027,0.3234251111524036,Gaia DR3 4251917636212432384,280.93130508578,-7.73109359922,4,0.843,-0.2802
47,SZAql,1.234029,10.033,8.634,7.018,5.955,5.347,5.16,9.052635,8.201151,7.225074,11.256058008028884,11.328,0.53835161104809,Gaia DR3 4267549637851481344,286.16423460279,1.30614320294,2,0.94,
48,TVel,0.666501,8.944,8.032,6.959,6.225,5.768,5.641,8.305958,7.774636,7.052883,10.05660033600083,10.053,0.3400810737987998,Gaia DR3 5521459979795304320,129.42006775171,-47.36194868437,2,0.926,-0.3743
49,FNAql,0.976878,9.593,8.389,6.947,6.05,5.495,5.356,8.70911,8.005132,7.103401,10.582928469687204,10.808,0.4346229803317448,Gaia DR3 4269036830424588800,288.19713780418,3.55739781345,2,1.125,-0.1958
