col1,name,logP,HST,IRSB,gplx,EBV,EBV_2,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,M_B,M_V,M_R,M_I,M_J,M_H,M_K,modu,excessu,M_Bu,M_Vu,M_Ru,M_Iu,M_Ju,M_Hu,M_Ku,Mb,Mv,Mi,Mj,Mh,Mk,DR3Name,RUWE,Gmag,BPmag,RA_ICRS,DE_ICRS,RPmag,QLT,Star,logP_2,BMAG,VMAG,RcMAG,IcMAG,Wvi,Wbi,JMAG,HMAG,KsMAG
14,CS Vel,0.771201,12.407,12.515,12.547220228688158,0.737,0.737,13.049,11.709,10.068,8.84,8.234,8.018,-2.48,-3.09,-3.54,-3.79,-4.33,-4.59,-4.69,12.223,0.747,-2.62,-3.24,-3.7,-3.96,-4.5,-4.77,-4.87,-2.584,-3.192,-3.894,-4.371,-4.712,-4.78,Gaia DR3 5308893149150949248,0.905,11.1879,12.0446,145.29271952315,-53.81603750378,10.216908,3,CS Vel,0.771201,-2.48,-3.09,-3.54,-3.79,-4.88,-4.93,-4.33,-4.59,-4.69
15,BB Sgr,0.821971,9.481,9.61,9.559813198538286,0.281,0.281,7.924,6.94,5.822,5.099,4.639,4.51,-2.74,-3.45,-3.88,-4.19,-4.7,-4.99,-5.08,9.521,0.226,-2.93,-3.58,-3.97,-4.23,-4.71,-4.98,-5.06,-2.875,-3.579,-4.34,-4.776,-5.135,-5.208,Gaia DR3 4085919765884068736,0.82,6.584278,7.13682,282.74947248862,-20.29525298445,5.87809,1,BB Sgr,0.821971,-2.74,-3.45,-3.88,-4.19,-5.35,-5.45,-4.7,-4.99,-5.08
16,V Car,0.82586,10.089,9.695,10.389031150564474,0.169,0.166,8.235,7.368,6.421,5.806,5.387,5.284,-2.58,-3.29,-3.7,-4.01,-4.5,-4.79,-4.89,9.945,0.157,-2.77,-3.47,-3.87,-4.17,-4.65,-4.94,-5.04,-2.162,-2.864,-3.6,-4.046,-4.405,-4.474,Gaia DR3 5302258008774271488,1.042,7.17335,7.650739,127.18202311384,-60.12256315649,6.511265,2,V Car,0.82586,-2.58,-3.29,,-4.01,-5.13,-5.24,-4.5,-4.79,-4.89
17,U Sgr,0.828997,8.76,8.881,8.923040732551554,0.403,0.402,7.786,6.69,5.426,4.587,4.093,3.954,-2.67,-3.36,-3.79,-4.1,-4.61,-4.89,-4.97,8.685,0.369,-2.89,-3.55,-3.95,-4.23,-4.72,-4.99,-5.06,-2.796,-3.489,-4.244,-4.673,-5.023,-5.082,Gaia DR3 4092905375639902464,0.853,6.42923,7.129108,277.97220951561,-19.1250998575,5.63952,2,U Sgr,0.828997,-2.67,-3.36,-3.79,-4.1,-5.24,-5.34,-4.61,-4.89,-4.97
18,V496 Aql,0.832958,9.853,9.587,9.948829239317085,0.397,0.397,8.901,7.753,6.545,5.647,5.15,5.04,-2.63,-3.39,-3.85,-4.16,-4.67,-4.95,-5.02,9.985,0.395,-2.5,-3.26,-3.72,-4.03,-4.54,-4.82,-4.89,-2.366,-3.117,-2.622,-4.314,-4.67,-4.7,Gaia DR3 4204653587029046400,1.558,7.352778,8.014097,287.08654406189,-7.43776920988,6.528344,4,V496 Aql,0.832958,-2.63,-3.39,-3.85,-4.16,-5.34,-5.48,-4.67,-4.95,-5.02
19,X Sgr,0.845893,7.614,7.529,7.716269118243055,0.237,0.237,5.311,4.561,3.655,3.016,2.618,2.521,-3.31,-3.82,-4.17,-4.43,-4.87,-5.1,-5.17,7.541,0.281,-3.2,-3.75,-4.14,-4.44,-4.9,-5.15,-5.23,-3.221,-3.734,-4.34,-4.737,-5.05,-5.099,Gaia DR3 4057701830728920064,1.222,4.327284,4.77966,266.89007492147,-27.83083461775,3.681707,2,X Sgr,0.845907,-3.31,-3.82,-4.17,-4.43,-5.38,-5.4,-4.87,-5.1,-5.17
20,U Aql,0.846591,9.178,8.861,8.712694514966282,0.36,0.36,7.475,6.449,5.259,4.476,4.008,3.89,-2.97,-3.65,-4.07,-4.35,-4.87,-5.12,-5.21,9.342,0.416,-2.57,-3.31,-3.77,-4.1,-4.66,-4.92,-5.03,-2.909,-3.576,-4.309,-4.724,-5.063,-5.109,Gaia DR3 4207681367143932800,3.09,6.16102,6.819616,292.33901044157,-7.04412597366,5.3851247,3,U Aql,0.846591,-2.97,-3.65,-4.07,-4.35,-5.43,-5.55,-4.87,-5.12,-5.21
21,eta Aql,0.85593,6.91,7.032,7.14831762378528,0.13,0.129,4.689,3.904,3.018,2.46,2.066,1.985,-2.77,-3.43,-3.8,-4.14,-4.63,-4.91,-5.0,6.612,0.07,-3.32,-3.92,-4.24,-4.53,-4.98,-5.24,-5.32,-2.889,-3.547,-4.267,-4.694,-5.041,-5.096,Gaia DR3 4240272953377646592,2.561,3.747671,4.282705,298.11824336044,1.00562189681,3.1402369,2,eta Aql,0.85593,-2.77,-3.43,,-4.14,-5.23,-5.32,-4.63,-4.91,-5.0
22,W Sgr,0.880529,8.21,6.963,8.12792057924312,0.108,0.108,5.423,4.672,3.863,3.311,2.941,2.847,-3.25,-3.89,-4.31,-4.58,-5.1,-5.4,-5.47,8.446,0.177,-2.73,-3.44,-3.91,-4.24,-4.8,-5.12,-5.21,-1.997,-2.641,-3.312,-3.754,-4.085,-4.157,Gaia DR3 4050309195613114624,3.952,4.585245,5.014106,271.25513249315,-29.58010989671,3.9059231,5,W Sgr,0.880522,-3.25,-3.89,-4.31,-4.58,-5.64,-5.72,-5.1,,-5.47
23,U Vul,0.902584,9.178,9.006,9.363454954252909,0.603,0.603,8.419,7.125,5.542,4.631,4.099,3.957,-3.32,-3.99,-4.47,-4.75,-5.17,-5.41,-5.46,9.558,0.593,-2.98,-3.64,-4.11,-4.39,-4.8,-5.04,-5.08,-3.139,-3.829,-4.648,-4.944,-5.259,-5.281,Gaia DR3 1825621002188696448,2.883,6.700444,7.601454,294.15720454195,20.33293147254,5.7924933,3,U Vul,0.902584,-3.32,-3.99,-4.47,-4.75,-5.92,-5.99,-5.17,-5.41,-5.46
24,S Sge,0.923352,9.149,9.342,8.841839350480978,0.1,0.099,6.424,5.617,4.775,4.227,3.846,3.765,-3.16,-3.86,-4.27,-4.57,-5.07,-5.35,-5.44,9.237,0.141,-2.9,-3.64,-4.08,-4.42,-4.94,-5.24,-5.34,-3.337,-4.046,-4.762,-5.208,-5.554,-5.615,Gaia DR3 1820309639468685824,4.003,5.461868,5.908135,299.00526380027,16.63476346161,4.816586,4,S Sge,0.923352,-3.16,-3.86,-4.27,-4.57,-5.67,-5.79,-5.07,-5.35,-5.44
25,GH Lup,0.967448,10.253,10.563,10.22261827152559,0.335,0.347,8.844,7.637,6.364,5.492,4.96,4.813,-2.83,-3.71,-4.21,-4.56,-5.14,-5.47,-5.59,10.417,0.275,-2.92,-3.74,-4.19,-4.49,-5.03,-5.34,-5.45,-3.187,-4.047,-4.881,-5.398,-5.806,-5.883,Gaia DR3 5888819699572539264,0.95,7.213343,7.864696,231.15974101293,-52.85387016499,6.4247494,3,GH Lup,0.967448,-2.83,-3.71,-4.21,-4.56,-5.88,-6.07,-5.14,-5.47,-5.59
26,S Mus,0.98498,9.568,9.67,9.602141962137964,0.212,0.14,6.963,6.136,5.188,4.553,4.127,4.017,-3.5,-4.13,-4.5,-4.8,-5.27,-5.55,-5.66,9.502,0.244,-3.43,-4.1,-4.49,-4.82,-5.31,-5.6,-5.71,-3.299,-3.988,-4.757,-5.249,-5.625,-5.707,Gaia DR3 5855852527008107008,4.495,5.881265,6.333974,183.19580971297,-70.15179538057,5.251543,3,S Mus,0.98498,-3.5,-4.13,-4.5,-4.8,-5.85,-5.93,-5.27,-5.55,-5.66
27,S Nor,0.989194,9.873,9.888,9.728963126792777,0.178,0.179,7.375,6.429,5.427,4.729,4.275,4.162,-3.25,-4.02,-4.46,-4.8,-5.36,-5.68,-5.79,9.992,0.137,-3.3,-4.03,-4.44,-4.74,-5.28,-5.59,-5.69,-3.27,-4.036,-4.813,-5.328,-5.718,-5.795,Gaia DR3 5835124087174043136,0.878,6.175861,6.699772,244.7159519047,-57.89980282729,5.503014,2,S Nor,0.989194,-3.25,-4.02,-4.46,-4.8,-6.01,-6.14,-5.36,-5.68,-5.79
28,beta Dor,0.993131,7.515,7.703,7.639078525279643,0.052,0.051,4.545,3.743,2.947,2.438,2.029,1.959,-3.18,-3.93,-4.34,-4.68,-5.17,-5.49,-5.59,7.46,0.042,-3.28,-4.02,-4.42,-4.75,-5.23,-5.55,-5.65,-3.373,-4.124,-4.856,-5.313,-5.703,-5.763,Gaia DR3 4757601523650165120,4.535,3.593462,4.038506,83.4063106733,-62.48976923943,2.9889321,2,beta Dor,0.993131,-3.18,-3.93,-4.34,-4.68,-5.84,-5.97,-5.17,-5.49,-5.59
29,zeta Gem,1.006497,7.78,7.932,7.524406174568671,0.014,0.014,4.708,3.849,3.117,2.612,2.201,2.131,-3.13,-3.93,-4.4,-4.7,-5.31,-5.6,-5.71,7.919,0.075,-2.73,-3.6,-4.11,-4.47,-5.12,-5.42,-5.55,-3.284,-4.13,,-5.333,-5.739,-5.806,Gaia DR3 3366754155291545344,2.778,3.539513,3.973537,106.02717676047,20.57029427416,2.986609,1,zeta Gem,1.006507,-3.13,-3.93,,-4.7,-5.9,-6.06,-5.31,,-5.71
30,Z Lac,1.036854,11.379,11.37,11.32206851288647,0.37,0.37,9.514,8.414,7.148,6.346,5.827,5.693,-3.41,-4.14,-4.6,-4.89,-5.42,-5.73,-5.83,11.482,0.417,-3.11,-3.89,-4.38,-4.72,-5.27,-5.6,-5.71,-3.422,-4.15,-4.949,-5.373,-5.759,-5.82,Gaia DR3 2007201567928631296,1.055,8.185639,8.862301,340.21724149798,56.82945573799,7.3586416,2,Z Lac,1.036854,-3.41,-4.14,-4.6,-4.89,-6.06,-6.17,-5.42,-5.73,-5.83
31,XX Cen,1.039548,10.902,10.999,11.102331520324078,0.266,0.271,8.803,7.819,6.736,5.991,5.53,5.407,-3.22,-3.93,-4.36,-4.68,-5.2,-5.5,-5.6,10.666,0.265,-3.46,-4.17,-4.6,-4.92,-5.44,-5.74,-5.84,-3.343,-4.057,-4.796,-5.263,-5.627,-5.696,Gaia DR3 5871922507947292032,1.238,7.621872,8.214571,205.07765290606,-57.61318392067,6.876737,2,XX Cen,1.039548,-3.22,-3.93,-4.36,-4.68,-5.84,-5.94,-5.2,-5.5,-5.6
32,V340 Nor,1.052579,11.259,11.19,11.406441265236701,0.321,0.322,9.526,8.371,7.168,6.272,5.732,5.586,-3.1,-3.94,-4.42,-4.73,-5.36,-5.7,-5.82,12.308,0.372,-2.83,-3.73,-4.25,-4.6,-5.26,-5.62,-5.75,-3.026,-3.86,-4.654,-5.222,-5.646,-5.728,Gaia DR3 5932569709575669504,0.919,8.036095,8.69774,243.32248330227,-54.23489685836,7.2513065,4,V340 Nor,1.052579,-3.1,-3.94,-4.42,-4.73,-5.97,-6.14,-5.36,-5.7,-5.82
33,UU Mus,1.065819,12.407,12.033,12.313232382609929,0.399,0.404,10.936,9.794,8.486,7.528,6.989,6.828,-3.14,-3.89,-4.36,-4.68,-5.29,-5.6,-5.72,12.18,0.391,-3.4,-4.14,-4.6,-4.92,-5.52,-5.83,-5.95,-2.806,-3.544,-4.34,-4.886,-5.28,-5.36,Gaia DR3 5332375453374624640,1.006,9.441485,10.127277,178.07378070609,-65.4041820158,8.624062,3,UU Mus,1.065819,-3.14,-3.89,-4.36,-4.68,-5.9,-6.01,-5.29,-5.6,-5.72
34,U Nor,1.101875,10.458,10.549,10.894666037511602,0.862,0.857,10.841,9.247,7.352,5.931,5.237,4.991,-3.26,-4.01,-4.52,-4.8,-5.4,-5.7,-5.8,10.356,0.929,-3.08,-3.89,-4.46,-4.8,-5.44,-5.76,-5.88,-3.335,-4.073,-4.88,-5.426,-5.813,-5.888,Gaia DR3 5884368498528237952,0.984,8.493722,9.551569,235.58714333319,-55.31194067495,7.443438,2,U Nor,1.101875,-3.26,-4.01,-4.52,-4.8,-6.02,-6.13,-5.4,-5.7,-5.8
35,SU Cru,1.108822,10.038,10.527,13.570427790707452,0.942,0.952,11.516,9.802,7.657,6.012,5.027,4.736,-3.47,-4.3,-4.88,-5.23,-5.99,-6.53,-6.66,11.321,0.779,-3.87,-4.54,-4.99,-5.2,-5.85,-6.35,-6.44,-3.039,-3.8,-4.74,-5.413,-6.056,-6.157,Gaia DR3 6054171091399658880,1.52,9.364089,10.112465,184.57063908216,-63.28011877437,7.7866793,3,SU Cru,1.1088,-3.47,-4.3,-4.88,-5.23,-6.67,-6.75,-5.99,-6.53,-6.66
36,BN Pup,1.135867,12.925,12.912,12.388919204911467,0.416,0.416,11.069,9.882,8.552,7.626,7.076,6.921,-3.64,-4.42,-4.89,-5.23,-5.79,-6.11,-6.22,13.004,0.395,-3.65,-4.41,-4.86,-5.18,-5.73,-6.04,-6.15,-3.604,-4.372,-5.177,-5.678,-6.079,-6.151,Gaia DR3 5596601154188852352,1.249,9.638985,10.428416,121.58947099704,-30.09687032198,8.797571,3,BN Pup,1.135867,-3.64,-4.42,-4.89,-5.23,-6.48,-6.6,-5.79,-6.11,-6.22
37,TT Aql,1.138459,10.022,9.93,9.932871345899628,0.438,0.435,8.436,7.138,5.678,4.772,4.204,4.051,-3.43,-4.3,-4.8,-5.15,-5.72,-6.05,-6.15,10.142,0.397,-3.48,-4.31,-4.78,-5.09,-5.64,-5.95,-6.04,-3.335,-4.198,-5.107,-5.568,-5.981,-6.046,Gaia DR3 4267397694768545920,1.076,6.774303,7.582161,287.05728923954,1.29863144782,5.906593,2,TT Aql,1.138459,-3.43,-4.3,-4.8,-5.15,-6.48,-6.64,-5.72,-6.05,-6.15
38,LS Pup,1.150646,13.389,13.423,13.05227817705691,0.461,0.462,11.685,10.448,9.074,8.094,7.518,7.353,-3.63,-4.4,-4.87,-5.2,-5.76,-6.09,-6.19,13.387,0.456,-3.65,-4.42,-4.88,-5.21,-5.77,-6.1,-6.19,-3.693,-4.469,-5.256,-5.765,-6.175,-6.247,Gaia DR3 5597327141100381568,1.247,10.147516,10.928136,119.74673595271,-29.30786248156,9.267422,2,LS Pup,1.150646,-3.63,-4.4,-4.87,-5.2,-6.44,-6.55,-5.76,-6.09,-6.19
39,VW Cen,1.177138,12.764,12.694,12.645686718721777,0.428,0.439,11.586,10.248,8.77,7.654,7.014,6.819,-2.94,-3.87,-4.43,-4.83,-5.55,-5.95,-6.1,12.46,0.257,-3.96,-4.72,-5.14,-5.39,-6.01,-6.36,-6.47,-2.965,-3.866,-4.786,-5.454,-5.937,-6.044,Gaia DR3 5864955727424819200,1.063,9.853758,10.698315,203.49589762776,-64.05556091566,8.964626,3,VW Cen,1.177138,-2.94,-3.87,-4.43,-4.83,-6.31,-6.46,-5.55,-5.95,-6.1
40,X Cyg,1.214482,10.328,10.285,10.119499113710727,0.228,0.228,7.533,6.377,5.223,4.471,3.964,3.838,-3.76,-4.66,-5.17,-5.53,-6.14,-6.48,-6.6,10.614,0.208,-3.56,-4.44,-4.93,-5.27,-5.87,-6.21,-6.32,-3.716,-4.642,-5.51,-6.029,-6.454,-6.535,Gaia DR3 1870258975238302208,1.277,6.199011,6.810588,310.85076233271,35.58777650649,5.442217,2,X Cyg,1.214482,-3.76,-4.66,-5.17,-5.53,-6.88,-7.07,-6.14,-6.48,-6.6
41,CD Cyg,1.232334,12.045,11.945,11.831463238585702,0.493,0.493,10.217,8.948,7.448,6.463,5.89,5.72,-3.87,-4.68,-5.19,-5.5,-6.13,-6.45,-6.55,12.189,0.534,-3.56,-4.41,-4.95,-5.29,-5.95,-6.28,-6.39,-3.814,-4.592,-5.465,-5.947,-6.344,-6.414,Gaia DR3 2058374144759464064,1.007,8.587173,9.376083,301.1106612854,34.11224946615,7.6942596,1,CD Cyg,1.232334,-3.87,-4.68,-5.19,-5.5,-6.78,-6.91,-6.13,-6.45,-6.55
42,Y Oph,1.233609,8.712,8.78,9.319633753826372,0.645,0.647,7.531,6.166,4.524,3.437,2.869,2.682,-3.89,-4.62,-5.16,-5.43,-5.96,-6.21,-6.28,8.742,0.686,-3.69,-4.46,-5.03,-5.34,-5.89,-6.15,-6.23,-3.987,-4.705,-5.526,-5.953,-6.29,-6.347,Gaia DR3 4175017625462647168,1.031,5.640049,6.557959,268.16124433489,-6.1435971224,4.686301,2,Y Oph,1.233609,-3.89,-4.62,-5.16,-5.43,-6.7,-6.77,-5.96,-6.21,-6.28
43,SZ Aql,1.234029,11.686,11.65,11.256058008028884,0.537,0.534,10.033,8.634,7.018,5.955,5.347,5.16,-3.9,-4.79,-5.33,-5.68,-6.3,-6.63,-6.74,12.095,0.523,-3.55,-4.42,-4.95,-5.29,-5.9,-6.23,-6.34,-3.876,-4.742,-5.68,-6.198,-6.615,-6.695,Gaia DR3 4267549637851481344,0.94,8.201151,9.052635,286.16423460279,1.30614320294,7.225074,2,SZ Aql,1.234029,-3.9,-4.79,-5.33,-5.68,-7.05,-7.22,-6.3,-6.63,-6.74
44,VY Car,1.276818,11.298,11.344,11.096359923379694,0.237,0.242,8.642,7.463,6.28,5.463,4.945,4.806,-3.69,-4.61,-5.13,-5.51,-6.13,-6.49,-6.61,11.358,0.206,-3.76,-4.65,-5.14,-5.5,-6.1,-6.45,-6.56,-3.726,-4.662,-5.539,-6.109,-6.541,-6.631,Gaia DR3 5351161399793209984,0.916,7.337772,8.046384,161.13616016361,-57.56535723495,6.535224,1,VY Car,1.276818,-3.69,-4.61,-5.13,-5.51,-6.89,-7.09,-6.13,-6.49,-6.61
45,RU Sct,1.29448,11.183,11.834,11.260624817506708,0.921,0.911,11.126,9.487,7.371,5.777,5.315,5.072,-3.94,-4.69,-5.26,-5.51,-6.09,-6.38,-6.46,11.192,1.022,-3.51,-4.36,-5.01,-5.35,-5.99,-6.31,-6.41,-4.563,-5.29,-6.252,-6.916,-7.052,-7.112,Gaia DR3 4258436301367796480,0.867,8.713349,9.898445,280.48492497805,-4.11066312434,7.6229463,3,RU Sct,1.29448,-3.94,-4.69,-5.26,-5.51,-6.79,-6.87,-6.09,-6.38,-6.46
46,RY Sco,1.307927,10.353,10.337,10.476692647650534,0.718,0.718,9.462,8.018,6.255,4.999,4.365,4.143,-3.91,-4.65,-5.19,-5.48,-6.09,-6.38,-6.49,10.165,0.761,-3.92,-4.7,-5.27,-5.6,-6.24,-6.54,-6.66,-3.913,-4.639,-5.493,-6.015,-6.391,-6.47,Gaia DR3 4041690364529590144,0.733,7.489791,8.513703,267.71811125846,-33.70567624871,6.469171,2,RY Sco,1.307927,-3.91,-4.65,-5.19,-5.48,-6.76,-6.84,-6.09,-6.38,-6.49
47,RZ Vel,1.309564,10.775,10.684,10.793705173405876,0.299,0.3,8.216,7.09,5.867,4.979,4.46,4.308,-3.83,-4.66,-5.14,-5.51,-6.13,-6.47,-6.59,10.541,0.267,-4.2,-5.0,-5.45,-5.79,-6.39,-6.72,-6.84,-3.737,-4.568,-5.406,-5.988,-6.4,-6.491,Gaia DR3 5523162573544337408,1.244,6.850103,7.60386,129.2554000675,-44.1146536029,6.022648,2,RZ Vel,1.309564,-3.83,-4.66,-5.14,-5.51,-6.82,-6.96,-6.13,-6.47,-6.59
