,Identifier,logP,B_mag,V_mag,I_mag,K_mag,EBV,J_mag,H_mag,DR3Name,RAdeg,DEdeg,Plx,RUWE,Gmag,BP-RP,BP-G,G-RP,RV,[Fe/H],E(BP-RP),RA_ICRS,DE_ICRS,plxDR3,mMplx,Period,name_1,mM0,Quality,FeH,mMplx_1a,name,MODE
77,VZCyg,0.687034,9.836,8.956,7.933,6.759,0.266,7.283,6.872,Gaia DR3 1960750328384177408,327.92264896468,43.13402308887,0.52,1.314,8.745005,1.19764,0.506611,0.69103,-18.29,-0.2581,0.5206,327.92264896468,43.13402308887,0.5484623619102718,11.304265852073843,4.864453,VZ Cyg,11.488,1.0,-0.057,11.419983281826006,VZCyg,FU
123,CFCas,0.687994,12.338,11.128,9.691,7.966,0.553,8.701,8.132,Gaia DR3 2011892703004353792,359.57487036665,61.2210537331,0.289,1.036,10.724333,1.59435,0.744171,0.850179,-69.75,,,359.57487036665,61.2210537331,0.3173962346567367,12.491991148420995,4.8752174,CF Cas,12.248,3.0,-0.029,12.695510786217262,CFCas,FU
83,ASPer,0.696531,11.02,9.719,8.09,6.315,0.679,7.035,6.478,Gaia DR3 270272675510149504,64.94524474253,48.95326102831,0.6125,1.079,9.226171,1.776366,0.846898,0.929468,-34.56,-0.3998,1.2495,64.94524474253,48.95326102831,0.650111004828797,10.935062411642551,4.9719987,AS Per,10.867,5.0,0.05,11.06446953481715,ASPer,FU
73,VLac,0.697493,9.816,8.921,7.866,6.587,0.335,7.121,6.671,Gaia DR3 2003938801532007808,342.15828864485,56.32153324908,0.4725,1.094,8.771336,1.308413,0.534657,0.773755,-37.16,-0.2824,0.5188,342.15828864485,56.32153324908,0.4945021351514291,11.529159144373626,4.9830246,V Lac,11.357,3.0,0.008,11.627990935773592,VLac,FU
34,V350Sgr,0.712165,8.382,7.474,6.416,5.165,0.299,5.712,5.257,Gaia DR3 4080122796947250176,281.32289948318,-20.64739456406,0.7739,2.427,7.248875,1.251757,0.560306,0.691451,13.24,-0.1824,0.5489,281.32289948318,-20.64739456406,0.795738445038274,10.496148295376148,5.154245,V350 Sgr,10.017,2.0,,10.556575766701506,V350Sgr,FU
67,V0386Cyg,0.720788,11.167,9.627,7.742,5.587,0.841,6.482,5.809,Gaia DR3 1968971582984827136,318.66846943872,41.716336531,0.8638,0.951,8.998431,2.050472,1.0166,1.033873,-0.07,-0.1374,1.3702,318.66846943872,41.716336531,0.8922078545232968,10.247669788899994,5.2576056,V0386 Cyg,9.634,4.0,0.0,10.317934001442602,V0386Cyg,FU
115,CRSer,0.724391,12.492,10.853,8.895,6.548,1.036,7.463,6.763,Gaia DR3 4147381366335558784,272.50887793975,-13.54596188866,0.5351,1.19,10.01851,2.14095,1.103185,1.037766,-2.17,,,272.50887793975,-13.54596188866,0.5759096686145506,11.198228151449277,5.301405,CR Ser,11.6,2.0,,11.357825245128726,CRSer,FU
69,BGLac,0.726883,9.833,8.881,7.784,6.543,0.3,7.112,6.658,Gaia DR3 1960981328902089088,330.10475637179,43.44535204904,0.5555,1.43,8.614144,1.251175,0.544402,0.706773,-24.44,-0.3346,0.4836,330.10475637179,43.44535204904,0.5817790118008753,11.17620975184459,5.3319125,BG Lac,11.282,2.0,-0.011,11.27657968361557,BGLac,FU
3,delCep,0.729678,4.612,3.959,3.209,2.325,0.075,2.748,2.392,Gaia DR3 2200153454733285248,337.2928846512,58.41520817274,3.5551,2.713,3.8506,0.970615,0.3811,0.589515,-12.82,-0.129,0.2539,337.2928846512,58.41520817274,3.5740478379155007,7.234198194233452,5.3663373,del Cep,7.165,2.0,,7.245740893324548,delCep,FU
42,V1162Aql,0.730464,8.677,7.789,6.845,5.714,0.195,6.22,5.807,Gaia DR3 4190143160245024256,298.08749761841,-11.3669243656,0.7868,0.952,7.593359,1.153272,0.499295,0.653977,15.78,-0.0744,0.2865,298.08749761841,-11.3669243656,0.8178037646009765,10.436754472933435,5.376058,V1162 Aql,10.018,3.0,0.005,10.520678243763504,V1162Aql,FU
102,CVMon,0.730685,11.596,10.305,8.616,6.576,0.722,7.404,6.791,Gaia DR3 3127142323596470144,99.27018871085,3.06396219477,0.5675,1.1,9.701135,1.824931,0.89334,0.931591,9.35,-1.4814,0.5633,99.27018871085,3.06396219477,0.6001473541798718,11.108710520996771,5.378795,CV Mon,10.953,2.0,-0.061,11.230170670674198,CVMon,FU
92,SWCas,0.735675,10.808,9.703,8.387,6.859,0.467,7.5,6.982,Gaia DR3 2010285491880986112,346.79198165636,58.55419147277,0.4363,1.123,9.355734,1.465435,0.648597,0.816838,-32.01,-0.5406,0.8127,346.79198165636,58.55419147277,0.4612594953438275,11.68027340245187,5.4409533,SW Cas,11.69,3.0,0.046,11.8010739350659,SWCas,FU
59,XLac,0.735997,9.306,8.405,7.317,6.046,0.336,6.608,6.157,Gaia DR3 2004036486267748352,342.26322668964,56.4281966365,0.4966,1.01,8.115799,1.248826,0.546796,0.70203,-27.94,-0.1248,0.4597,342.26322668964,56.4281966365,0.5148561325152365,11.441570549779795,5.444989,X Lac,11.365,2.0,-0.015,11.519966423907274,XLac,FU
22,VCen,0.739882,7.705,6.834,5.796,4.509,0.294,5.073,4.628,Gaia DR3 5891675303053080704,218.13779279681,-56.88774644776,1.3898,1.06,6.637,1.293163,0.591839,0.701324,-17.81,-0.4147,0.6055,218.13779279681,-56.88774644776,1.4101492886272764,9.253674536741,5.493916,V Cen,9.075,3.0,-0.04,9.28523846328284,VCen,FU
106,RZGem,0.742669,11.055,10.006,8.662,7.01,0.563,7.703,7.164,Gaia DR3 3423693395726613504,90.65244278873,22.23414673031,0.2487,2.989,9.675486,1.568349,0.721353,0.846996,,-0.285,0.8364,90.65244278873,22.23414673031,0.2765306927181513,12.791283292169725,5.5292854,RZ Gem,12.089,4.0,-0.196,13.02162107365032,RZGem,FU
9,YSgr,0.761428,6.595,5.743,4.797,3.612,0.188,4.131,3.702,Gaia DR3 4096107909387492992,275.34576074156,-18.86003402735,1.9748,1.757,5.475163,1.16597,0.48065,0.685319,-6.18,-0.2457,0.1958,275.34576074156,-18.86003402735,2.007536964281258,8.486682247094269,5.7733507,Y Sgr,8.177,4.0,0.048,8.522384407262534,YSgr,FU
79,FMCas,0.764123,10.119,9.128,7.978,6.638,0.325,7.223,6.746,Gaia DR3 422226488141991296,3.61765603372,56.25293038823,0.4463,1.081,8.797508,1.280448,0.537297,0.743151,-37.31,-0.0682,0.4114,3.61765603372,56.25293038823,0.4658200030981689,11.658909330309497,5.809289,FM Cas,11.089,3.0,-0.148,11.751865565797353,FMCas,FU
125,CSVel,0.771201,13.049,11.709,10.068,8.018,0.737,8.84,8.234,Gaia DR3 5308893149150949248,145.29271952315,-53.81603750378,0.2611,0.905,11.1879,1.827692,0.856701,0.970991,31.0,,,145.29271952315,-53.81603750378,0.2724253951749659,12.823762052256535,5.9047437,CS Vel,12.549,3.0,0.021,12.91596564088528,CSVel,FU
75,MWCyg,0.774852,10.841,9.483,7.874,6.041,0.635,6.799,6.209,Gaia DR3 2055014277739104896,303.09510555228,32.87159966536,0.513,1.208,9.016481,1.759204,0.833564,0.92564,-14.34,-2.2118,0.9076,303.09510555228,32.87159966536,0.5385185373347551,11.343996712306986,5.9545918,MW Cyg,10.3,4.0,0.02,11.44941317444092,MWCyg,FU
38,FMAql,0.786342,9.546,8.27,6.717,5.075,0.589,5.794,5.235,Gaia DR3 4312361436842603520,287.31662690693,10.55246519356,0.9821,1.261,7.822873,1.711637,0.794792,0.916844,-10.27,,,287.31662690693,10.55246519356,1.0133851703358496,9.97112727686199,6.114234,FM Aql,10.396,2.0,0.082,10.039221444786916,FMAql,FU
76,CRCep,0.794695,11.048,9.655,7.929,5.935,0.709,6.754,6.098,Gaia DR3 2008504454839717120,341.60317447817,59.44218743844,0.6727,1.056,9.031693,1.843758,0.902249,0.941508,-24.7,,,341.60317447817,59.44218743844,0.6991364560132636,10.777190256394054,6.2329698,CR Cep,9.973,2.0,-0.165,10.860892861585988,CRCep,FU
87,RSCas,0.799056,11.423,9.944,8.217,6.03,0.833,6.884,6.227,Gaia DR3 2015820463470505600,354.31690503772,62.42898845585,0.6029,1.045,9.329637,1.962568,0.976338,0.98623,-39.21,-0.1898,1.2549,354.31690503772,62.42898845585,0.6321993518768109,10.99572976864851,6.2958736,RS Cas,10.35,4.0,0.115,11.09877358067324,RSCas,FU
52,XVul,0.800689,10.28,8.835,7.137,5.255,0.742,6.021,5.426,Gaia DR3 2027263738133623168,299.36918285728,26.5564491634,0.8362,1.059,8.322478,1.876393,0.900714,0.975679,-17.91,,,299.36918285728,26.5564491634,0.8591664494264298,10.329613452877272,6.3195906,X Vul,9.47,5.0,0.076,10.38844918392802,XVul,FU
70,RRLac,0.807281,9.753,8.842,7.816,6.527,0.319,7.058,6.619,Gaia DR3 2006989121667184384,340.36049512807,56.43277230583,0.4012,1.1,8.684987,1.287878,0.527432,0.760445,-43.08,-0.168,0.6044,340.36049512807,56.43277230583,0.4254641990979801,11.85568488986323,6.4162464,RR Lac,10.805,4.0,-0.01,11.9831953782581,RRLac,FU
63,XXSgr,0.807815,9.967,8.856,7.469,5.824,0.521,6.496,5.961,Gaia DR3 4096979650282842112,276.18541940721,-16.79717387453,0.687,1.1,8.539941,1.577002,0.702007,0.874994,3.16,,,276.18541940721,-16.79717387453,0.7242088550552029,10.700680846379209,6.424141,XXSgr,10.51,3.0,0.061,10.815216314702248,XXSgr,FU
26,AWPer,0.810474,8.533,7.467,6.19,4.715,0.489,5.308,4.83,Gaia DR3 174489098011145216,71.9429804233,36.72278112168,1.0566,1.156,7.085648,1.484663,0.684055,0.800609,12.29,-0.5843,0.6817,71.9429804233,36.72278112168,1.0875555213135075,9.8177428121674,6.4635925,AW Per,9.948,5.0,0.045,9.880446968245398,AWPer,FU
23,BBSgr,0.821971,7.924,6.94,5.822,4.51,0.281,5.099,4.639,Gaia DR3 4085919765884068736,282.74947248862,-20.29525298445,1.1516,0.82,6.584278,1.258731,0.552543,0.706188,3.72,,,282.74947248862,-20.29525298445,1.1877215517138815,9.626426814990603,6.636988,BB Sgr,9.642,1.0,0.074,9.693491718969778,BBSgr,FU
35,VCar,0.82586,8.235,7.368,6.421,5.284,0.166,5.806,5.387,Gaia DR3 5302258008774271488,127.18202311384,-60.12256315649,0.7927,1.042,7.17335,1.139474,0.477389,0.662085,20.13,,,127.18202311384,-60.12256315649,0.7989759237953383,10.4873315372246,6.696687,V Car,9.727,2.0,-0.026,10.504455709033005,VCar,FU
16,USgr,0.828997,7.786,6.69,5.426,3.954,0.402,4.587,4.093,Gaia DR3 4092905375639902464,277.97220951561,-19.1250998575,1.5693,0.853,6.42923,1.489588,0.699878,0.78971,17.54,-0.9225,0.0018,277.97220951561,-19.1250998575,1.6050707059888891,8.972529157278565,6.745234,U Sgr,8.913,2.0,0.066,9.021470126264507,USgr,FU
94,TWCMa,0.844792,10.534,9.564,8.419,7.069,0.329,7.66,7.175,Gaia DR3 3031875585286182144,110.50990452423,-14.31817971516,0.3598,1.149,9.219297,1.232201,0.588377,0.643824,62.79,,,110.50990452423,-14.31817971516,0.379510227629855,12.103882577849667,6.9950695,TW CMa,11.297,3.0,,12.21969420495234,TWCMa,FU
4,XSgr,0.845893,5.311,4.561,3.655,2.521,0.237,3.016,2.618,Gaia DR3 4057701830728920064,266.89007492147,-27.83083461775,2.8057,1.222,4.327284,1.097953,0.452376,0.645577,-12.36,-0.1887,0.4168,266.89007492147,-27.83083461775,2.8255044885992557,7.744519992224434,7.0128255,X Sgr,7.56,2.0,-0.291,7.759793839221608,XSgr,FU
15,UAql,0.846591,7.475,6.449,5.259,3.89,0.36,4.476,4.008,Gaia DR3 4207681367143932800,292.33901044157,-7.04412597366,1.73,3.09,6.16102,1.434491,0.658596,0.775895,-0.74,-0.2496,0.6481,292.33901044157,-7.04412597366,1.7720938489773668,8.75756640938445,7.0241055,U Aql,8.892,3.0,0.111,8.809769484356023,UAql,FU
2,etaAql,0.85593,4.689,3.904,3.018,1.985,0.129,2.46,2.066,Gaia DR3 4240272953377646592,298.11824336044,1.00562189681,3.6715,2.561,3.747671,1.142468,0.535033,0.607434,10.82,-0.1891,0.3259,298.11824336044,1.00562189681,3.6812319233796633,7.170034102292488,7.1767864,eta Aql,7.062,2.0,0.084,7.1757823372808325,etaAql,FU
85,V0600Aql,0.859672,11.527,10.036,8.199,6.272,0.798,7.074,6.45,Gaia DR3 4307944836090489600,290.25978306915,8.51632750768,0.4871,1.126,9.388953,1.896937,0.91533,0.981607,-3.11,-0.2468,0.0043,290.25978306915,8.51632750768,0.5229256159176089,11.407800416983084,7.23889,V0600 Aql,11.17,4.0,-0.08,11.56190935214115,V0600Aql,FU
114,V0459Cyg,0.860413,12.035,10.601,8.837,6.903,0.73,7.715,7.073,Gaia DR3 2165771172070496512,317.72653587334,49.14204142755,0.3551,1.086,10.057569,1.946774,0.961648,0.985126,-20.94,,,317.72653587334,49.14204142755,0.3833259571836022,12.082158855986078,7.2512527,V0459 Cyg,11.551,4.0,0.055,12.24824663849192,V0459Cyg,FU
104,V0336Aql,0.863534,11.152,9.85,8.63,6.554,0.613,7.254,6.69,Gaia DR3 4265899816338237696,285.33220795089,0.14700310624,0.4724,1.096,9.433443,1.729445,0.821649,0.907797,32.29,-0.2145,1.1354,285.33220795089,0.14700310624,0.5053512196535456,11.482033409010953,7.3035502,V0336 Aql,10.65,4.0,0.111,11.628450555292613,V0336Aql,FU
112,CKSct,0.870124,12.165,10.575,8.778,6.652,0.757,7.498,6.82,Gaia DR3 4253442933709196288,280.25276444138,-6.09722740672,0.4498,0.971,9.911044,2.009689,1.019316,0.990374,12.06,0.0828,1.2191,280.25276444138,-6.09722740672,0.4864266084227228,11.564913381926086,7.4152193,CK Sct,10.468,2.0,0.133,11.734902744501934,CKSct,FU
58,RSOri,0.878917,9.376,8.414,7.253,5.917,0.352,6.489,6.018,Gaia DR3 3368698813404804352,95.55497028344,14.67812664531,0.5552,1.119,8.193092,1.3455,0.595746,0.749754,43.09,-0.1611,0.5525,95.55497028344,14.67812664531,0.5934030704182107,11.133251054317014,7.566881,RS Ori,11.168,4.0,-0.02,11.277752712766006,RSOri,FU
5,WSgr,0.880529,5.423,4.672,3.863,2.847,0.108,3.311,2.941,Gaia DR3 4050309195613114624,271.25513249315,-29.58010989671,2.365,3.952,4.585245,1.108183,0.428861,0.679322,-33.11,-0.8508,0.0938,271.25513249315,-29.58010989671,2.331186407784531,8.162114988820546,7.595022,W Sgr,6.993,5.0,-0.002,8.13084427463085,WSgr,FU
95,GHCyg,0.893092,11.159,9.896,8.43,6.638,0.63,7.356,6.799,Gaia DR3 2030063919381336832,299.79497615604,29.45072316718,0.3891,1.073,9.393191,1.670691,0.786532,0.884158,,,,299.79497615604,29.45072316718,0.4163786436795454,11.902557769126211,7.817934,GH Cyg,12.138,6.0,0.126,12.049693845981288,GHCyg,FU
82,VYCyg,0.895256,10.822,9.582,8.079,6.396,0.606,7.102,6.548,Gaia DR3 1873112207907294848,316.06930218182,39.97223311596,0.4572,1.073,9.205185,1.666895,0.785139,0.881756,-7.42,,,316.06930218182,39.97223311596,0.4807504976789246,11.590401287510868,7.856986,VY Cyg,11.176,5.0,-0.064,11.69946889138378,VYCyg,FU
29,RXCam,0.898288,8.888,7.669,6.223,4.599,0.532,5.266,4.724,Gaia DR3 470361114339849472,61.24359254184,58.65978110563,0.6313,2.143,7.179552,1.595267,0.74201,0.853257,-48.02,,,61.24359254184,58.65978110563,0.6376823216656344,10.976978113507236,7.912032,RX Cam,9.535,5.0,0.019,10.99882105336323,RXCam,FU
25,WGem,0.898368,7.865,6.95,5.901,4.693,0.255,5.204,4.763,Gaia DR3 3356940155020790656,98.73938107213,15.33046066377,0.9723,1.225,6.75011,1.322217,0.605814,0.716403,-2.82,,,98.73938107213,15.33046066377,1.0052236163762378,9.988686583975696,7.913488,W Gem,9.824,6.0,-0.05,10.060998571240638,WGem,FU
19,UVul,0.902584,8.419,7.125,5.542,3.957,0.603,4.631,4.099,Gaia DR3 1825621002188696448,294.15720454195,20.33293147254,1.2781,2.883,6.700444,1.808961,0.90101,0.907951,-2.75,,,294.15720454195,20.33293147254,1.3036302331895695,9.424227880666464,7.990686,U Vul,9.035,3.0,0.082,9.467175825766178,UVul,FU
65,DLCas,0.903126,10.121,8.968,7.575,5.949,0.488,6.651,6.101,Gaia DR3 428620663657823232,7.49409611203,60.21195729734,0.5528,1.883,8.57736,1.564116,0.711698,0.852418,-46.8,-0.2499,0.7861,7.49409611203,60.21195729734,0.5797729587062334,11.183710222574446,8.000664,DL Cas,11.677,4.0,-0.024,11.28715982816929,DLCas,FU
88,BKAur,0.903222,10.524,9.457,8.249,6.772,0.425,7.387,6.885,Gaia DR3 261548119462093568,77.66762373902,49.68760306511,0.3927,1.007,9.128825,1.39373,0.587401,0.806329,-37.04,-0.0671,0.6489,77.66762373902,49.68760306511,0.4247557523811414,11.859303654284332,8.002433,BK Aur,11.437,3.0,0.005,12.02969549364791,BKAur,FU
8,SSge,0.923352,6.424,5.617,4.775,3.765,0.099,4.227,3.846,Gaia DR3 1820309639468685824,299.00526380027,16.63476346161,1.6673,4.003,5.461868,1.091549,0.446267,0.645282,-15.37,-0.1011,0.267,299.00526380027,16.63476346161,1.6676378600448067,8.88949126867048,8.382084,S Sge,9.371,4.0,0.081,8.889931249143203,SSge,FU
32,GHLup,0.967448,8.844,7.637,6.364,4.813,0.347,5.492,4.96,Gaia DR3 5888819699572539264,231.15974101293,-52.85387016499,0.8408,0.95,7.213343,1.439947,0.651353,0.788594,-17.83,,,231.15974101293,-52.85387016499,0.8655605472239967,10.313512735964563,9.2778635,GH Lup,10.59,3.0,0.089,10.37653648489907,GHLup,FU
44,FNAql,0.976878,9.593,8.389,6.947,5.356,0.486,6.05,5.495,Gaia DR3 4269036830424588800,288.19713780419,3.55739781345,0.7018,1.125,8.005132,1.605709,0.703979,0.901731,8.26,-0.1958,0.7629,288.19713780418,3.55739781345,0.727564811473406,10.69064156833194,9.481522,FN Aql,10.354,2.0,-0.083,10.768933180603064,FNAql,FU
28,YZSgr,0.980171,8.372,7.351,6.214,4.903,0.281,5.472,5.003,Gaia DR3 4099189015819292800,282.36912121969,-16.72304157114,0.8235,0.955,7.014152,1.313139,0.578158,0.734982,16.49,-0.78,0.1022,282.36912121969,-16.72304157114,0.8567057218244308,10.335841662469749,9.553689,YZ Sgr,10.388,1.0,0.081,10.421681982471132,YZSgr,FU
13,SMus,0.98498,6.963,6.136,5.188,4.017,0.14,4.553,4.127,Gaia DR3 5855852527008107008,183.19580971297,-70.15179538057,1.1707,4.495,5.881265,1.082432,0.45271,0.629722,1.36,,,183.19580971297,-70.15179538057,1.164079093647366,9.670087552177986,9.660065,S Mus,9.697,3.0,-0.01,9.65777190822824,SMus,FU
17,SNor,0.989194,7.375,6.429,5.427,4.162,0.179,4.729,4.275,Gaia DR3 5835124087174043136,244.7159519047,-57.89980282729,1.0774,0.878,6.175861,1.196758,0.523911,0.672847,-0.22,-0.129,0.2211,244.7159519047,-57.89980282729,1.0959412109867408,9.801063709316807,9.7542515,S Nor,9.914,2.0,0.104,9.838115143950318,SNor,FU
98,DDCas,0.991759,11.076,9.879,8.507,6.948,0.45,7.627,7.068,Gaia DR3 2013029941628292352,359.39564965836,62.71824065724,0.3221,1.049,9.469182,1.480394,0.661828,0.818566,-62.72,-1.1153,0.0309,359.39564965836,62.71824065724,0.347228050348595,12.296925990929063,9.812035,DD Cas,12.379,4.0,0.002,12.460046375901545,DDCas,FU
1,betDor,0.993131,4.545,3.743,2.947,1.959,0.051,2.438,2.029,Gaia DR3 4757601523650165120,83.4063106733,-62.48976923943,2.9308,4.535,3.593462,1.049574,0.445045,0.60453,7.06,-0.3443,0.2101,83.4063106733,-62.48976923943,2.9290897969155134,7.666336569883047,9.8430805,bet Dor,7.729,2.0,,7.665069085665159,betDor,FU
122,CNSct,0.999665,14.501,12.479,9.61,6.769,1.206,7.991,7.078,Gaia DR3 4256740751371777408,280.62703839147,-4.33066326768,0.3592,0.937,11.178543,2.805589,1.566856,1.238732,19.62,-1.1884,1.749,280.62703839147,-4.33066326768,0.3916636460913508,12.035433687252096,9.9922905,CN Sct,11.629,5.0,0.263,12.223318360023663,CNSct,FU
91,BZCyg,1.006127,11.837,10.221,8.324,5.924,0.885,6.886,6.155,Gaia DR3 2070224337474904064,311.49912578441,45.30693439453,0.4718,1.138,9.456697,2.054071,1.053965,1.000107,-16.57,-0.219,1.3121,311.49912578441,45.30693439453,0.5014226161897489,11.49898040748436,10.142079,BZ Cyg,11.916,3.0,0.105,11.631210317252116,BZCyg,FU
